date,open,high,low,close,volume
2022-01-03,172.25,173.7,172.25,173.3,6468384
2022-01-04,174.2,176.9,172.65,173.25,11799296
2022-01-05,172.75,178.2,172.0,177.35,13483996
2022-01-06,178.0,178.25,175.4,177.9,8237148
2022-01-07,178.95,181.25,177.5,178.1,11914426
2022-01-10,179.4,179.7,177.8,178.75,4179728
2022-01-11,179.3,179.3,175.2,175.7,6854016
2022-01-12,177.25,178.0,173.55,174.5,9246820
2022-01-13,175.2,178.75,173.8,177.25,8491424
2022-01-14,177.5,179.85,176.35,179.1,6915504
2022-01-17,180.35,181.95,179.2,180.15,9671610
2022-01-18,180.75,183.15,178.15,179.0,13220496
2022-01-19,178.0,180.6,176.6,177.2,10347976
2022-01-20,177.5,178.75,175.2,176.6,6495234
2022-01-21,176.9,178.0,170.4,171.2,10310538
2022-01-24,171.05,172.15,165.7,167.1,10668074
2022-01-25,166.65,172.15,164.65,171.65,9905300
2022-01-27,172.75,172.85,168.0,171.45,11474790
2022-01-28,172.75,176.75,171.05,171.6,8089918
2022-01-31,175.1,179.75,174.2,178.45,13928184
2022-02-01,177.5,177.5,168.5,169.8,25515398
2022-02-02,172.75,173.05,170.1,171.4,11701576
2022-02-03,172.25,172.7,168.75,169.0,10658294
2022-02-04,169.05,170.4,167.5,168.3,8957710
2022-02-07,169.4,169.6,165.7,166.8,8189026
2022-02-08,167.7,169.65,165.9,169.15,6909612
2022-02-09,170.4,171.35,167.85,168.3,9292356
2022-02-10,166.95,167.3,164.9,165.45,12283058
2022-02-11,165.45,167.75,163.25,165.45,11262552
2022-02-14,163.25,163.65,161.2,161.7,10196386
2022-02-15,161.85,165.55,159.3,165.1,11049572
2022-02-16,166.1,169.6,165.8,167.55,10889816
2022-02-17,168.5,169.05,166.1,167.05,5224320
2022-02-18,166.3,168.5,166.3,167.15,4420434
2022-02-21,167.05,167.05,163.25,165.05,6207542
2022-02-22,160.9,162.95,155.8,158.65,14106162
2022-02-23,160.15,161.3,159.1,159.55,5636142
2022-02-24,155.65,157.1,147.2,148.05,14094970
2022-02-25,151.4,152.15,147.7,149.7,11679020
2022-02-28,149.2,156.75,147.6,156.05,19146282
2022-03-02,154.5,159.35,151.3,152.4,15469204
2022-03-03,154.95,158.05,153.0,154.45,12825706
2022-03-04,155.2,156.85,152.8,155.35,15557860
2022-03-07,154.75,154.75,147.55,150.45,19936000
2022-03-08,150.35,152.8,147.9,152.15,12880560
2022-03-09,153.55,155.0,150.3,152.6,13563906
2022-03-10,157.1,158.05,154.0,155.65,18109208
2022-03-11,156.65,162.65,156.25,161.85,16557604
2022-03-14,160.8,161.35,157.3,160.7,16449824
2022-03-15,161.35,161.6,155.2,156.3,12130866
2022-03-16,157.8,159.8,156.25,159.15,9444984
2022-03-17,160.7,163.85,159.8,162.85,22827672
2022-03-21,160.9,164.4,159.15,159.6,12369650
2022-03-22,160.3,165.5,159.35,164.85,14934378
2022-03-23,166.05,166.4,163.25,164.05,12475458
2022-03-24,163.75,164.6,161.3,162.15,9696758
2022-03-25,161.85,163.05,159.95,161.05,7259104
2022-03-28,160.9,162.2,159.15,160.75,11624382
