date,open,high,low,close,volume
2022-01-03,1184.0,1201.0,1182.0,1194.5,1565055
2022-01-04,1205.0,1227.0,1198.0,1221.0,3346085
2022-01-05,1221.5,1221.5,1178.0,1188.0,3480935
2022-01-06,1170.0,1197.0,1151.5,1186.0,1719990
2022-01-07,1195.0,1195.0,1142.0,1151.0,1259050
2022-01-10,1162.5,1162.5,1112.0,1116.0,1901720
2022-01-11,1123.5,1177.5,1123.0,1153.5,3841550
2022-01-12,1160.0,1168.0,1146.5,1157.5,1230480
2022-01-13,1164.0,1173.0,1137.0,1145.5,1046130
2022-01-14,1130.0,1142.0,1125.0,1137.5,916430
2022-01-17,1142.0,1144.0,1122.5,1125.5,853150
2022-01-18,1135.0,1135.0,1076.5,1082.0,1393010
2022-01-19,1084.0,1092.0,1056.0,1081.5,1693990
2022-01-20,1079.5,1088.0,1044.5,1062.0,1461985
2022-01-21,1050.0,1077.0,1031.0,1040.0,1248565
2022-01-24,1040.0,1040.0,960.0,965.0,1940435
2022-01-25,937.0,975.5,930.5,956.5,1319185
2022-01-27,955.0,955.0,874.0,880.0,2717755
2022-01-28,920.5,965.0,912.0,942.5,6720665
2022-01-31,961.5,982.0,952.5,962.5,2333095
2022-02-01,985.0,989.5,943.0,958.0,2125050
2022-02-02,962.0,972.5,951.5,964.5,2065345
2022-02-03,966.0,968.5,932.0,935.5,1737845
2022-02-04,935.0,948.0,917.5,939.0,2057605
2022-02-07,938.0,952.0,922.5,932.0,1635785
2022-02-08,935.5,943.5,909.0,916.5,1383345
2022-02-09,925.0,955.0,922.0,953.0,1611105
2022-02-10,958.0,964.0,942.5,946.0,941430
2022-02-11,929.0,932.0,905.0,908.5,1775005
2022-02-14,874.0,902.5,860.0,871.0,1288900
2022-02-15,878.0,905.5,866.5,901.0,1755420
2022-02-16,914.5,918.0,886.0,892.5,1318130
2022-02-17,894.5,898.5,873.0,877.5,1118710
2022-02-18,867.0,884.0,861.0,864.0,1086800
2022-02-21,860.0,902.0,848.0,882.5,2397775
2022-02-22,841.0,889.5,841.0,883.5,1416055
2022-02-23,891.0,899.0,878.0,887.5,733475
2022-02-24,860.5,864.0,837.5,845.0,1792400
2022-02-25,865.0,903.5,852.0,900.5,1664145
2022-02-28,874.0,912.0,874.0,907.0,1471030
2022-03-02,900.0,910.0,896.0,898.5,1149115
2022-03-03,910.0,938.5,898.5,935.5,3152420
2022-03-04,929.0,945.5,911.0,932.5,1631635
2022-03-07,902.5,949.5,896.0,944.5,2467275
2022-03-08,948.5,968.5,934.5,962.5,2302850
2022-03-09,971.5,975.0,905.0,911.0,4306000
2022-03-10,870.0,870.0,845.5,852.0,18311435
2022-03-11,852.0,866.0,847.0,859.5,3857190
2022-03-14,858.0,879.0,843.5,875.0,3609870
2022-03-15,877.5,882.0,817.0,830.5,4969165
2022-03-16,840.0,872.0,840.0,870.0,4301735
2022-03-17,885.0,887.0,873.0,882.0,4807090
2022-03-21,889.0,897.0,879.0,887.0,1428255
2022-03-22,885.0,896.0,877.5,891.5,1089810
2022-03-23,897.0,899.5,881.5,887.0,827815
2022-03-24,886.0,900.0,880.0,896.0,1579895
2022-03-25,898.0,905.0,880.5,884.5,1536150
2022-03-28,886.0,888.0,863.0,867.5,1154430
2022-03-29,871.0,884.5,868.5,881.5,990615
2022-03-30,885.0,906.5,879.5,904.5,1637480
2022-03-31,913.0,913.0,888.0,891.5,1230430
2022-04-01,898.0,899.5,870.0,883.0,1650485
2022-04-04,892.0,909.0,883.0,902.5,1596040
2022-04-05,908.0,921.0,902.5,911.5,1795365
2022-04-06,909.0,911.0,890.0,893.0,1222695
2022-04-07,892.5,899.0,876.0,878.0,1790400
2022-04-08,886.0,886.5,872.5,874.5,931325
2022-04-11,876.0,878.5,859.0,862.5,1277825
2022-04-12,834.0,859.0,821.0,829.5,2028475
2022-04-13,839.0,848.0,830.0,832.0,1152325
2022-04-18,814.5,824.0,799.0,814.5,2060760
2022-04-19,824.0,833.5,795.5,805.5,1646955
2022-04-20,814.0,814.0,787.0,796.5,1795945
2022-04-21,806.0,821.5,798.0,818.5,1459790
2022-04-22,816.0,830.0,800.5,826.0,1394285
2022-04-25,822.0,822.0,798.5,800.5,1078155
2022-04-26,807.0,812.0,800.5,808.5,554235
2022-04-27,800.5,810.0,792.0,806.5,782125
2022-04-28,817.0,828.0,804.5,820.0,936520
2022-04-29,831.0,850.0,823.0,840.0,1644240
2022-05-02,835.0,835.0,812.0,823.5,650650
2022-05-04,826.0,837.0,806.0,811.5,692650
2022-05-05,822.0,843.5,811.5,834.5,1261345
2022-05-06,810.0,811.5,718.0,781.0,9471025
2022-05-09,772.5,786.0,753.5,771.5,2411595
2022-05-10,770.0,781.0,727.0,730.0,1709820
2022-05-11,738.0,753.5,719.0,744.5,1718220
2022-05-12,735.0,747.0,710.5,731.0,2573040
2022-05-13,751.0,760.0,732.0,748.5,2299395
2022-05-16,750.0,775.5,749.0,759.0,1659875
2022-05-17,764.0,793.0,762.0,788.0,1171455
2022-05-18,789.5,814.5,784.0,790.0,1431600
2022-05-19,766.0,767.0,725.0,733.0,2393815
2022-05-20,752.0,760.0,734.5,757.5,1152750
2022-05-23,763.5,778.0,753.5,770.5,989935
2022-05-24,775.0,775.0,739.5,743.0,917500
2022-05-25,743.0,745.5,687.5,691.0,1965075
2022-05-26,698.0,707.0,670.5,695.5,2096885
2022-05-27,703.0,740.0,703.0,734.5,2415750
2022-05-30,755.0,783.0,750.5,779.5,2353215
2022-05-31,782.5,790.0,766.0,782.5,2278985
2022-06-01,782.5,790.5,753.5,758.5,1627080
2022-06-02,758.5,777.0,752.5,768.0,1255295
2022-06-03,788.0,802.0,747.5,752.0,3123375
2022-06-06,750.0,750.0,715.0,721.5,2978330
2022-06-07,719.0,728.0,706.5,710.0,1440245
2022-06-08,717.0,718.0,691.5,699.5,2041880
2022-06-09,695.0,712.0,687.0,710.0,1524445
2022-06-10,699.5,703.0,678.0,696.5,1726700
2022-06-13,682.0,682.0,660.0,662.5,1822030
2022-06-14,652.5,671.0,644.0,647.0,2032605
2022-06-15,660.0,660.0,643.5,655.5,1519350
2022-06-16,669.0,678.0,652.0,659.0,2376050
2022-06-17,660.0,694.0,655.0,675.0,6981435
2022-06-20,681.0,689.5,667.5,674.0,2165955
2022-06-21,680.0,725.0,679.5,719.0,2943285
2022-06-22,714.0,714.0,692.5,700.5,1915020
2022-06-23,700.5,742.0,699.0,736.0,1571635
2022-06-24,747.0,748.0,716.0,729.5,1863505
2022-06-27,744.0,765.5,741.0,758.0,2246030
2022-06-28,750.5,756.5,742.0,747.0,1547735
2022-06-29,727.5,741.0,727.5,732.5,1994865
2022-06-30,735.0,739.5,706.0,708.0,1367215
2022-07-01,707.5,707.5,684.0,697.5,2681085
2022-07-04,702.0,707.0,681.5,701.0,997635
2022-07-05,707.5,717.0,698.0,708.5,1671945
2022-07-06,710.0,725.0,705.0,721.5,1255740
2022-07-07,725.5,744.0,714.0,722.0,2292405
2022-07-08,736.0,736.0,715.5,721.5,1902540
2022-07-11,708.0,712.0,689.0,700.5,1794550
2022-07-12,696.0,711.0,691.0,703.5,1022425
2022-07-13,706.5,716.0,699.0,701.0,1592075
2022-07-14,704.0,708.0,670.0,683.5,2490795
2022-07-15,688.5,695.0,666.5,675.5,2274990
2022-07-18,684.0,697.0,681.0,688.5,1928330
2022-07-19,687.0,687.0,673.0,682.5,2425015
2022-07-20,688.0,711.0,687.0,707.0,2407070
2022-07-21,710.0,746.0,704.0,724.0,3903380
2022-07-22,728.0,760.0,712.0,745.5,6784000
2022-07-25,738.0,767.0,737.0,758.0,3109580
2022-07-26,753.5,757.5,737.5,740.5,2521590
2022-07-27,743.5,760.0,735.5,757.5,1893570
2022-07-28,763.5,773.0,757.5,769.0,3251015
2022-07-29,784.0,793.0,778.5,791.0,2288000
2022-08-01,792.0,799.5,780.0,789.0,1282525
2022-08-02,784.0,784.0,760.5,764.0,1735430
2022-08-03,766.0,780.0,764.0,774.0,1710915
2022-08-04,779.0,789.5,764.0,780.0,1474645
2022-08-05,780.5,796.0,779.0,787.0,1176665
2022-08-08,788.0,792.5,774.0,777.0,752610
2022-08-10,777.0,781.0,762.0,764.5,910245
2022-08-11,772.0,794.0,769.0,771.5,1827410
2022-08-12,774.0,774.0,757.0,758.5,830770
2022-08-16,763.0,772.0,759.5,765.5,734365
2022-08-17,769.0,790.0,762.5,779.0,1873720
2022-08-18,779.0,784.0,760.5,780.0,1163975
2022-08-19,784.0,811.5,778.0,784.5,4856375
2022-08-22,772.0,772.0,750.0,752.5,1989105
2022-08-23,732.0,747.0,722.5,740.0,1792810
2022-08-24,743.5,747.0,735.0,739.5,928190
2022-08-25,744.5,750.0,733.0,737.0,1057555
2022-08-26,742.5,749.0,730.0,732.5,875930
2022-08-29,686.0,713.0,686.0,702.5,1673060
2022-08-30,712.0,717.0,707.5,712.0,1310340
2022-09-01,710.0,710.0,692.0,700.0,935480
2022-09-02,706.0,709.0,692.0,693.5,830030
2022-09-05,694.0,705.0,692.5,695.0,675495
2022-09-06,701.5,705.5,687.5,693.5,920815
2022-09-07,690.0,704.5,687.0,701.0,1146440
2022-09-08,708.0,715.0,697.5,701.0,1258255
2022-09-09,706.0,719.0,698.5,713.5,1584990
2022-09-12,718.0,731.5,716.5,723.5,1409885
2022-09-13,730.0,732.0,719.0,721.5,609120
2022-09-14,696.0,700.0,687.5,694.0,2195345
2022-09-15,700.0,703.0,681.0,684.0,1029400
2022-09-16,681.0,682.0,652.5,656.5,1722225
2022-09-19,656.0,660.0,642.0,647.0,1126050
2022-09-20,656.0,685.0,655.0,667.5,2984515
2022-09-21,663.0,673.5,660.0,665.0,1023720
2022-09-22,660.0,686.5,655.0,679.5,1731965
2022-09-23,677.5,691.0,664.5,667.5,1237680
2022-09-26,664.0,685.0,661.0,677.0,2269315
2022-09-27,687.0,697.0,672.0,692.5,1699300
2022-09-28,691.0,700.0,685.0,690.0,1556480
2022-09-29,693.5,698.0,670.0,673.0,1424795
2022-09-30,676.0,679.0,665.5,672.5,1192575
2022-10-03,674.0,677.5,659.0,666.0,1574495
2022-10-04,674.0,698.0,674.0,696.0,1746595
2022-10-06,699.5,727.5,699.0,724.5,1730045
2022-10-07,724.5,728.0,712.5,720.5,850870
2022-10-10,706.0,731.0,701.5,727.5,1007915
2022-10-11,731.0,745.0,716.0,718.5,2008380
2022-10-12,728.0,728.0,709.5,724.0,924920
2022-10-13,724.0,729.5,716.0,727.0,684880
2022-10-14,736.0,756.0,733.0,748.5,2444480
2022-10-17,745.5,757.0,737.0,752.5,1139470
2022-10-18,756.5,769.0,755.0,767.5,1504425
2022-10-19,770.0,772.5,761.0,762.5,642230
2022-10-20,761.0,780.0,747.5,771.5,1610975
2022-10-21,771.0,790.0,758.0,772.5,2876945
2022-10-24,785.0,785.0,772.5,775.5,119175
2022-10-25,779.0,786.0,769.0,779.0,900545
2022-10-27,778.0,786.0,766.0,777.5,711910
2022-10-28,772.0,775.0,741.0,747.5,1048310
2022-10-31,751.0,765.5,749.5,762.0,766820
2022-11-01,769.5,774.0,762.5,769.0,793765
2022-11-02,757.0,772.0,757.0,767.5,648820
2022-11-03,756.0,766.0,753.5,759.0,484385
2022-11-04,759.0,762.0,744.5,747.5,492730
2022-11-07,749.5,758.5,740.0,742.5,536615
2022-11-09,748.0,754.5,732.5,736.0,455035
2022-11-10,729.5,742.5,728.0,735.0,488590
2022-11-11,751.0,783.0,751.0,779.5,2910880
2022-11-14,786.0,808.0,781.0,803.5,2215680
2022-11-15,806.5,807.5,782.5,794.5,1235920
2022-11-16,798.5,805.0,784.0,789.0,996740
2022-11-17,787.0,789.0,770.5,773.0,844280
2022-11-18,776.0,788.0,751.5,762.0,1187770
2022-11-21,750.0,760.0,748.0,752.0,861665
2022-11-22,756.0,764.0,751.0,761.5,569835
2022-11-23,765.5,778.0,764.0,775.0,1111300
2022-11-24,779.0,793.5,774.0,789.5,985620
2022-11-25,793.0,798.0,785.0,789.0,791835
2022-11-28,784.0,798.0,784.0,796.0,740215
2022-11-29,794.0,802.0,788.5,795.5,965080
2022-11-30,796.0,813.5,792.0,807.5,1635765
2022-12-01,817.0,841.0,810.0,823.5,3463435
2022-12-02,827.5,850.5,824.0,847.5,2603030
2022-12-05,853.0,853.0,835.0,838.5,1242145
2022-12-06,831.0,834.0,809.0,816.0,1262610
2022-12-07,808.0,813.5,798.5,805.0,1001340
2022-12-08,805.0,810.0,795.0,797.0,1107090
