date,open,high,low,close,volume
2022-01-03,299.7,311.3,299.3,309.5,4720831
2022-01-04,312.0,313.45,302.2,304.25,2253490
2022-01-05,302.5,302.5,292.55,293.9,2681296
2022-01-06,289.0,290.95,283.25,288.65,2804174
2022-01-07,288.7,296.5,286.0,286.95,2546584
2022-01-10,286.5,291.5,285.45,289.4,1304481
2022-01-11,286.2,289.1,282.35,286.05,1892225
2022-01-12,288.5,295.5,286.6,293.45,1830492
2022-01-13,295.3,295.3,286.65,287.8,1483332
2022-01-14,287.1,288.55,283.1,286.45,1185581
2022-01-17,283.55,289.9,283.55,289.4,818943
2022-01-18,290.65,294.75,285.6,289.0,1764331
2022-01-19,289.0,290.0,284.1,286.5,778330
2022-01-20,286.55,290.5,279.0,280.25,1645821
2022-01-21,278.75,280.45,274.0,276.0,1064579
2022-01-24,275.95,275.95,261.2,266.25,1675875
2022-01-25,263.55,271.9,260.75,271.05,953021
2022-01-27,269.7,269.7,261.65,262.6,869231
2022-01-28,265.0,272.9,263.85,265.3,763449
2022-01-31,267.5,273.9,267.2,270.3,834734
2022-02-01,271.95,278.9,271.2,275.45,994602
2022-02-02,277.0,279.8,275.7,277.65,458697
2022-02-03,277.5,277.5,268.0,268.5,1119001
2022-02-04,268.6,270.35,263.9,264.8,633499
2022-02-07,263.95,266.55,261.3,263.6,1046332
2022-02-08,264.9,265.9,257.75,260.85,851145
2022-02-09,262.05,263.7,258.0,258.6,657786
2022-02-10,260.0,263.2,255.25,261.9,1676825
2022-02-11,256.0,260.5,254.7,259.2,788664
2022-02-14,257.0,267.5,253.0,259.0,2612884
2022-02-15,263.3,268.0,254.9,266.4,1310649
2022-02-16,266.95,269.75,263.9,266.9,1378169
2022-02-17,269.85,269.85,260.55,263.05,1188407
2022-02-18,260.95,264.4,260.0,261.15,658412
2022-02-21,259.0,259.95,253.4,256.25,930261
2022-02-22,252.0,256.25,246.5,249.35,1621309
2022-02-23,249.35,252.0,243.3,245.4,1112022
2022-02-24,230.0,239.05,229.0,233.3,2547489
2022-02-25,236.0,242.95,235.25,241.35,1002183
2022-02-28,241.35,248.5,239.7,245.5,1365180
2022-03-02,242.05,249.0,242.05,246.65,1008782
2022-03-03,248.2,272.35,248.2,267.0,3808322
2022-03-04,262.0,265.65,257.6,263.5,903234
2022-03-07,254.5,258.75,251.0,256.55,716152
2022-03-08,259.8,262.3,253.45,259.35,1599481
2022-03-09,259.8,265.0,257.2,264.3,2638347
2022-03-10,267.0,267.0,258.6,260.5,596937
2022-03-11,259.0,266.0,256.6,262.4,885731
2022-03-14,261.2,262.35,255.4,257.75,443350
2022-03-15,257.75,259.0,250.7,251.75,990817
2022-03-16,253.95,255.0,246.85,253.7,2035446
2022-03-17,256.0,260.2,251.35,254.45,2813652
2022-03-21,259.0,263.9,256.6,258.35,1100925
2022-03-22,256.8,262.9,256.65,261.7,543948
2022-03-23,261.7,268.95,260.5,266.95,1521621
2022-03-24,265.0,284.9,264.45,280.2,3816666
2022-03-25,280.6,282.55,273.5,275.65,1451537
2022-03-28,276.0,276.2,264.05,270.95,1723760
2022-03-29,271.95,274.9,265.1,271.35,1440112
2022-03-30,273.0,290.0,268.05,280.35,2578305
2022-03-31,282.5,292.85,276.25,290.4,4508944
2022-04-01,289.0,289.0,282.15,284.1,920868
2022-04-04,286.0,286.45,274.2,276.0,1247065
2022-04-05,278.9,282.0,275.05,275.5,1551153
2022-04-06,275.5,278.9,273.25,277.0,566627
2022-04-07,277.45,277.95,267.5,271.05,990785
2022-04-08,272.5,273.8,267.3,271.9,1074256
2022-04-11,271.9,280.8,271.5,276.0,1128022
2022-04-12,277.4,279.8,270.8,276.3,1075262
2022-04-13,276.85,279.25,270.15,270.75,876345
2022-04-18,270.0,280.85,268.75,272.15,1393597
2022-04-19,273.25,274.95,267.25,270.85,2002813
2022-04-20,269.9,275.0,268.1,270.85,1471587
2022-04-21,272.95,279.8,272.05,278.8,1337223
2022-04-22,278.0,279.9,273.0,274.4,808754
2022-04-25,273.25,274.2,269.0,270.05,657737
2022-04-26,272.25,278.0,269.5,275.8,1278720
2022-04-27,273.25,274.8,270.8,272.75,1851930
2022-04-28,273.15,273.85,267.05,268.25,531580
2022-04-29,269.05,271.8,265.55,267.15,290528
2022-05-02,266.0,268.75,262.55,264.05,434660
2022-05-04,266.4,269.1,257.65,259.55,1445918
2022-05-05,260.0,263.5,249.5,253.8,1973436
2022-05-06,250.0,252.65,247.2,250.9,1351945
2022-05-09,246.6,249.75,244.7,245.85,1263464
2022-05-10,247.35,252.4,236.4,242.95,1067819
2022-05-11,245.0,249.75,239.9,242.1,1329588
2022-05-12,237.6,243.6,233.3,237.85,726874
2022-05-13,241.05,244.4,235.0,236.0,518519
2022-05-16,237.2,244.0,234.8,236.5,1378165
2022-05-17,237.35,242.85,235.0,240.95,1959085
2022-05-18,242.0,243.85,239.2,240.35,1057266
2022-05-19,237.95,237.95,232.6,235.05,950221
2022-05-20,237.0,242.9,235.7,241.0,828315
2022-05-23,243.5,247.65,240.0,242.2,1041102
2022-05-24,244.4,246.9,240.95,245.3,569757
2022-05-25,245.0,248.0,239.35,241.8,573655
2022-05-26,234.4,241.95,233.55,238.15,1271788
2022-05-27,241.0,242.0,233.0,234.7,604678
2022-05-30,238.0,245.7,234.0,244.7,1021995
2022-05-31,243.8,246.4,236.55,238.05,749585
2022-06-01,240.3,246.05,239.0,243.7,893013
2022-06-02,244.4,244.6,240.55,241.65,228201
2022-06-03,242.5,243.6,239.4,240.55,362761
2022-06-06,240.15,243.85,239.95,242.55,375684
2022-06-07,241.0,242.85,239.55,241.2,645284
2022-06-08,240.1,241.9,239.3,240.45,409745
2022-06-09,239.5,246.0,237.6,245.3,438982
2022-06-10,244.1,245.3,240.7,244.25,293567
2022-06-13,241.3,241.6,235.2,236.0,760932
2022-06-14,237.0,239.4,225.1,230.75,1177129
2022-06-15,229.4,235.0,228.85,233.95,462900
2022-06-16,234.55,236.0,225.7,228.0,507152
2022-06-17,227.6,230.5,221.45,227.5,768454
2022-06-20,228.65,229.5,219.75,226.05,2269181
2022-06-21,229.0,235.75,228.45,234.3,1116161
