date,open,high,low,close,volume
2022-01-03,607.0,622.8,606.0,616.85,1104054
2022-01-04,618.35,633.45,616.6,624.3,2104244
2022-01-05,627.45,639.4,620.05,634.85,1514570
2022-01-06,635.5,638.0,622.45,624.2,1531864
2022-01-07,624.3,636.5,624.3,628.3,942470
2022-01-10,628.3,650.0,628.3,648.1,2852966
2022-01-11,647.8,652.9,635.5,640.1,2913574
2022-01-12,643.5,659.65,642.6,656.3,1692542
2022-01-13,657.5,664.0,650.4,659.9,780012
2022-01-14,659.9,686.0,656.0,682.8,1760492
2022-01-17,687.0,708.7,679.35,698.4,2202348
2022-01-18,700.0,715.0,690.8,694.8,1986732
2022-01-19,695.0,721.0,685.6,716.1,1832218
2022-01-20,719.2,723.25,706.5,715.55,1218872
2022-01-21,712.6,728.4,695.5,709.1,1701794
2022-01-24,714.95,722.0,672.5,680.45,2210358
2022-01-25,670.5,719.0,665.9,710.65,1908080
2022-01-27,709.75,714.6,699.2,711.5,1551976
2022-01-28,715.95,735.5,702.7,708.55,1923192
2022-01-31,724.0,735.25,713.8,721.85,1698662
2022-02-01,728.8,737.4,708.75,720.9,1534430
2022-02-02,724.5,728.9,705.5,710.3,1246952
2022-02-03,712.95,727.0,703.5,708.3,1482606
2022-02-04,708.3,716.8,697.3,700.1,586412
2022-02-07,700.1,709.4,691.0,693.4,628232
2022-02-08,695.0,702.0,682.6,689.0,999434
2022-02-09,692.5,711.5,691.55,707.25,1167058
2022-02-10,709.5,719.0,691.5,698.9,1993640
2022-02-11,685.0,699.5,685.0,690.0,557218
2022-02-14,677.5,682.45,663.05,666.4,694502
2022-02-15,675.0,686.5,658.0,683.7,649632
2022-02-16,687.5,696.0,677.45,681.4,1010008
2022-02-17,671.0,687.85,670.0,682.3,1118614
2022-02-18,687.5,687.5,670.25,673.0,1230176
2022-02-21,665.0,669.0,647.3,650.5,1205286
2022-02-22,632.5,645.0,628.5,640.8,1214574
2022-02-23,640.5,662.0,640.5,655.1,1168062
2022-02-24,645.0,649.65,620.0,638.1,1384050
2022-02-25,642.9,666.1,642.9,657.3,1087016
2022-02-28,657.0,696.6,642.6,693.9,1488674
2022-03-02,693.45,715.0,680.9,695.2,1845270
2022-03-03,699.5,712.25,685.5,688.9,1188174
2022-03-04,688.0,709.3,680.5,686.05,1445024
2022-03-07,677.4,682.1,652.3,662.5,1176136
2022-03-08,670.9,675.0,653.5,662.85,1160930
2022-03-09,669.5,679.0,665.0,667.8,954242
2022-03-10,668.8,694.5,668.8,684.1,1225572
2022-03-11,685.0,703.0,683.5,692.55,1180240
2022-03-14,700.0,702.45,688.55,690.6,948082
2022-03-15,696.45,701.0,679.4,688.4,793210
2022-03-16,697.5,740.5,690.55,731.1,4808698
2022-03-17,743.0,747.0,717.5,722.9,2445066
2022-03-21,729.0,735.0,719.4,723.1,1174988
2022-03-22,723.5,723.5,699.0,707.4,1139158
2022-03-23,719.95,727.0,701.65,703.55,1056982
2022-03-24,703.0,720.5,691.0,702.95,2351078
2022-03-25,703.9,709.9,693.5,697.4,936172
2022-03-28,699.0,704.4,690.5,699.9,963454
2022-03-29,702.5,709.2,698.0,700.25,1002168
2022-03-30,704.7,707.5,694.0,702.3,977962
2022-03-31,717.45,748.15,705.0,742.45,3826742
2022-04-01,746.0,769.9,740.2,762.15,4339668
2022-04-04,766.5,796.45,763.5,780.5,2551602
2022-04-05,784.4,793.5,772.5,776.4,1756158
2022-04-06,772.5,787.25,763.9,773.9,1716074
2022-04-07,777.4,812.4,777.4,789.1,4487878
2022-04-08,795.0,816.0,792.8,810.1,4010552
2022-04-11,819.3,846.5,815.0,839.7,5061988
2022-04-12,842.0,842.0,819.55,835.5,2949782
2022-04-13,839.2,860.7,834.45,838.8,2013610
2022-04-18,834.95,877.1,830.0,869.0,4052334
2022-04-19,874.0,879.0,834.4,845.3,2087080
2022-04-20,850.0,860.0,828.6,836.2,1140070
2022-04-21,840.0,854.4,834.6,838.45,1076504
2022-04-22,834.0,867.9,831.1,839.3,1945030
2022-04-25,832.5,837.45,798.8,813.6,1686524
2022-04-26,818.4,839.4,814.15,822.95,1315140
2022-04-27,820.95,830.6,816.0,820.9,1044702
2022-04-28,824.6,829.4,809.6,816.2,1526388
2022-04-29,820.4,824.5,793.0,797.55,1275486
2022-05-02,789.0,803.55,784.3,787.6,1161508
2022-05-04,793.0,807.0,784.65,790.95,1682782
2022-05-05,797.55,811.9,791.4,797.8,1001110
2022-05-06,789.5,796.8,780.05,791.4,1230358
2022-05-09,777.5,792.5,770.0,783.3,1000198
2022-05-10,785.75,795.0,771.5,775.3,913308
2022-05-11,776.0,785.8,759.1,778.5,1278840
2022-05-12,775.0,792.3,750.0,758.5,1394432
2022-05-13,761.5,784.95,734.0,754.95,2715380
2022-05-16,765.5,805.0,760.9,800.2,2134260
2022-05-17,808.0,839.4,806.0,835.8,2057806
2022-05-18,843.9,849.5,833.05,840.5,1698510
2022-05-19,821.5,848.5,812.5,842.9,1285596
2022-05-20,862.5,893.5,859.75,878.6,3816272
2022-05-23,886.5,925.0,880.0,907.9,4954548
2022-05-24,909.9,916.5,882.4,892.3,1593430
2022-05-25,892.3,912.0,869.5,872.7,1799772
2022-05-26,880.0,887.5,852.9,881.5,1533562
2022-05-27,895.0,916.5,885.5,897.1,1846810
2022-05-30,909.0,923.1,901.1,910.95,1385854
2022-05-31,911.0,936.0,905.3,919.15,1873818
2022-06-01,924.0,964.35,920.0,946.7,4099956
2022-06-02,950.0,962.3,942.5,948.8,1964814
2022-06-03,954.0,959.95,934.55,948.85,1255358
2022-06-06,950.0,957.4,937.0,943.9,1439400
2022-06-07,955.9,970.8,945.25,949.3,3436266
2022-06-08,952.5,955.0,911.0,921.2,1894752
2022-06-09,921.5,940.0,910.2,937.05,1409134
2022-06-10,924.5,949.3,921.3,946.5,1254786
2022-06-13,930.0,938.6,920.1,927.45,1449750
2022-06-14,925.0,945.85,923.0,941.9,1373658
2022-06-15,949.75,949.75,926.5,929.55,825786
2022-06-16,944.0,945.0,890.5,898.55,1563972
2022-06-17,887.5,986.3,882.3,949.35,8249262
2022-06-20,950.0,970.5,850.0,862.4,5165108
