date,open,high,low,close,volume
2022-01-03,1210.0,1214.5,1202.5,1210.5,320478
2022-01-04,1214.5,1218.0,1203.5,1215.0,281850
2022-01-05,1217.0,1222.5,1211.0,1217.0,262040
2022-01-06,1211.0,1211.0,1198.0,1202.5,321872
2022-01-07,1211.0,1211.0,1195.0,1198.0,466362
2022-01-10,1207.5,1241.5,1200.0,1236.0,571308
2022-01-11,1227.0,1245.5,1217.5,1220.5,324198
2022-01-12,1231.5,1231.5,1210.0,1222.5,325920
2022-01-13,1229.0,1230.5,1211.0,1214.0,380320
2022-01-14,1212.0,1226.5,1205.0,1212.5,1178016
2022-01-17,1219.5,1224.5,1209.0,1221.5,361658
2022-01-18,1224.0,1229.5,1193.0,1202.0,750070
2022-01-19,1209.0,1209.0,1172.5,1175.0,529226
2022-01-20,1172.0,1177.5,1156.5,1174.5,483362
2022-01-21,1172.5,1172.5,1152.0,1163.0,443462
2022-01-24,1168.0,1168.0,1097.0,1108.5,836278
2022-01-25,1092.0,1106.0,1065.5,1095.0,1141066
2022-01-27,1097.0,1097.0,1039.5,1050.5,1967572
2022-01-28,1067.5,1105.0,1051.0,1072.0,1610088
2022-01-31,1094.0,1094.0,1076.0,1082.5,925676
2022-02-01,1094.0,1094.5,1073.0,1087.5,723238
2022-02-02,1092.5,1133.5,1090.0,1126.5,465478
2022-02-03,1129.5,1145.0,1119.5,1133.0,708646
2022-02-04,1135.0,1138.0,1124.0,1129.0,325362
2022-02-07,1130.0,1131.0,1078.0,1084.5,695744
2022-02-08,1089.5,1093.5,1068.0,1084.5,552252
2022-02-09,1085.5,1101.5,1085.5,1096.0,403778
2022-02-10,1101.0,1102.0,1081.5,1090.0,409024
2022-02-11,1080.0,1091.5,1075.0,1085.5,504344
2022-02-14,1056.0,1072.0,1048.0,1066.0,919224
2022-02-15,1066.0,1085.0,1063.5,1080.5,541674
2022-02-16,1088.0,1095.5,1075.5,1082.5,680230
2022-02-17,1084.5,1089.5,1071.0,1082.5,516916
2022-02-18,1080.0,1086.5,1070.5,1079.5,278678
2022-02-21,1075.0,1077.5,1060.5,1065.5,351516
2022-02-22,1056.0,1075.0,1034.0,1071.0,588930
2022-02-23,1079.5,1082.5,1066.0,1071.5,392026
2022-02-24,1041.0,1054.0,986.5,992.0,1213858
2022-02-25,1008.5,1035.5,1007.0,1021.5,658860
2022-02-28,1019.0,1038.5,996.5,1024.0,557100
2022-03-02,1016.0,1042.5,1008.5,1039.5,571486
2022-03-03,1048.0,1051.0,1021.0,1025.0,570808
2022-03-04,1017.0,1033.0,1005.0,1021.5,382966
2022-03-07,1021.0,1021.0,975.5,1000.5,606024
2022-03-08,996.5,1035.5,985.0,1032.5,513640
2022-03-09,1043.0,1058.0,1021.0,1047.0,517234
2022-03-10,1072.5,1072.5,1050.5,1064.5,637904
2022-03-11,1066.5,1069.5,1050.5,1064.0,568852
2022-03-14,1062.5,1067.0,1039.5,1057.5,482520
2022-03-15,1056.0,1067.0,1040.0,1046.5,520738
2022-03-16,1055.0,1093.0,1053.0,1084.0,961796
2022-03-17,1102.0,1104.0,1093.0,1098.5,757724
2022-03-21,1102.5,1107.0,1053.0,1056.5,735788
2022-03-22,1056.5,1063.5,1041.0,1060.5,554896
2022-03-23,1065.0,1101.0,1065.0,1089.0,1190516
2022-03-24,1070.0,1092.0,1065.0,1070.0,578194
2022-03-25,1071.0,1079.0,1051.5,1054.0,432250
2022-03-28,1056.0,1063.5,1022.0,1028.0,878392
2022-03-29,1029.0,1037.0,1023.0,1028.0,1049630
2022-03-30,1036.5,1065.0,1035.5,1062.0,879084
