date,open,high,low,close,volume
2022-01-03,362.8,372.05,362.15,370.9,2359074
2022-01-04,371.0,374.25,364.85,370.7,1779669
2022-01-05,371.0,375.5,370.1,372.8,1828781
2022-01-06,369.5,373.35,366.1,371.05,2103162
2022-01-07,373.0,373.4,363.9,367.5,1775363
2022-01-10,369.5,375.0,368.6,371.7,2619247
2022-01-11,373.85,374.5,366.05,367.0,2360674
2022-01-12,369.4,379.6,369.0,373.15,5175043
2022-01-13,375.6,375.6,370.6,371.5,2309062
2022-01-14,371.5,372.35,366.7,370.4,2534148
2022-01-17,370.4,383.85,369.6,381.0,7240364
2022-01-18,384.5,386.35,368.15,370.1,3918505
2022-01-19,370.05,370.05,358.7,362.55,4411110
2022-01-20,363.75,365.55,355.0,358.4,3570906
2022-01-21,355.3,358.8,340.1,343.45,3934544
2022-01-24,343.5,347.4,323.7,329.65,5550090
2022-01-25,329.1,337.3,321.5,332.75,4665632
2022-01-27,331.4,339.4,321.15,337.0,5402870
2022-01-28,350.45,388.25,346.5,374.65,27295740
2022-01-31,386.4,386.4,373.5,376.85,4516325
2022-02-01,380.9,387.3,372.35,379.05,6423339
2022-02-02,381.5,397.4,381.1,395.1,8477068
2022-02-03,396.7,397.0,388.85,390.65,3509709
2022-02-04,392.45,395.05,385.35,386.35,3262801
2022-02-07,384.5,390.35,377.6,380.45,3070642
2022-02-08,382.25,386.5,370.45,379.15,2912240
2022-02-09,383.3,384.85,377.65,383.35,2142290
2022-02-10,385.4,399.5,383.1,394.65,5990222
2022-02-11,394.65,397.95,380.5,382.15,4343501
2022-02-14,372.5,373.5,348.25,350.1,9323114
2022-02-15,352.5,380.5,350.55,378.5,9969533
2022-02-16,379.5,391.4,379.5,382.15,6833637
2022-02-17,384.55,388.5,372.05,375.15,3881456
2022-02-18,370.15,374.0,365.05,366.1,2536375
2022-02-21,365.3,370.85,361.3,364.1,2277433
2022-02-22,349.75,360.5,349.0,358.65,3838190
2022-02-23,363.5,363.85,353.5,354.55,2516545
2022-02-24,343.7,346.25,319.6,321.6,6765144
2022-02-25,331.0,336.7,326.5,330.8,5286099
2022-02-28,330.5,336.0,323.05,334.55,3158189
2022-03-02,330.75,338.8,328.95,337.0,3571998
2022-03-03,342.5,343.5,335.7,338.3,2398816
2022-03-04,334.5,341.05,331.5,333.85,2994698
2022-03-07,330.5,330.5,312.5,322.2,4443897
2022-03-08,323.45,332.3,318.35,330.35,2234945
2022-03-09,334.5,343.8,331.9,339.2,2631679
