date,open,high,low,close,volume
2022-01-03,73589.95,73979.95,73113.65,73367.7,5871
2022-01-04,73667.7,74000.0,73350.0,73937.2,6005
2022-01-05,73937.2,74400.0,73783.0,74046.0,7370
2022-01-06,73905.0,74495.0,73200.0,74155.3,7559
2022-01-07,74210.15,74573.95,73551.05,74189.3,5550
2022-01-10,74210.0,74979.1,74150.0,74286.4,5451
2022-01-11,74286.0,74445.0,73918.0,74291.3,5864
2022-01-12,74291.3,75498.1,74260.05,75383.75,7862
2022-01-13,75551.0,76300.0,75030.2,75977.05,9077
2022-01-14,75970.0,76277.15,75345.05,76134.65,4493
2022-01-17,76134.65,77185.45,75800.05,76822.2,6852
2022-01-18,76851.0,77299.9,76000.0,76296.85,8057
2022-01-19,76300.0,76780.3,75650.0,76529.85,6542
2022-01-20,76097.95,76097.95,73500.0,73728.25,16368
2022-01-21,73640.0,74800.0,72054.35,72697.1,11025
2022-01-24,72700.0,72989.95,70002.0,71077.35,10330
2022-01-25,70900.0,72249.55,69815.4,70569.95,11974
2022-01-27,70120.0,71049.0,69459.55,70712.65,10272
2022-01-28,71070.0,72850.0,71070.0,71327.7,9147
2022-01-31,72180.0,72500.05,71401.05,72148.1,6201
2022-02-01,72400.0,72680.0,71200.2,71515.45,12365
2022-02-02,71601.0,72674.65,71185.0,71462.45,8742
2022-02-03,70450.0,71930.0,70111.3,70987.15,10786
2022-02-04,70987.0,71297.5,69851.9,70006.4,11034
2022-02-07,70398.95,70421.85,68600.0,68798.8,12143
2022-02-08,69240.0,69800.0,68500.0,69426.35,11669
2022-02-09,69601.0,70579.85,69601.0,70426.6,5620
2022-02-10,70919.6,70919.6,69501.0,69769.2,14416
2022-02-11,69700.0,69700.0,68038.2,68233.45,15042
2022-02-14,67866.0,67866.0,65708.0,65929.0,18628
2022-02-15,66475.0,66999.9,65007.05,66680.15,14444
2022-02-16,67240.0,67275.0,66000.9,66140.6,12266
2022-02-17,66450.0,66641.4,65439.65,65615.75,7727
2022-02-18,65315.0,66263.3,65210.3,65638.95,19661
2022-02-21,65574.9,65574.9,64602.35,64734.65,10513
2022-02-22,63000.0,65999.05,63000.0,65769.6,26513
2022-02-23,66164.2,66799.95,65701.0,65803.6,11015
2022-02-24,64350.0,65850.0,63000.0,63945.6,43260
2022-02-25,64100.0,65814.95,64022.7,65651.7,19903
