date,open,high,low,close,volume
2022-01-03,2245.0,2246.9,2187.0,2230.15,31251
2022-01-04,2259.0,2269.0,2212.55,2226.25,24864
2022-01-05,2255.0,2259.9,2225.0,2234.6,222566
2022-01-06,2225.5,2240.0,2192.0,2201.35,108125
2022-01-07,2190.0,2212.85,2177.0,2196.2,44125
2022-01-10,2207.8,2224.75,2187.1,2198.35,22365
2022-01-11,2209.9,2278.1,2200.0,2255.15,69207
2022-01-12,2274.0,2293.15,2245.05,2267.4,101260
2022-01-13,2275.0,2275.0,2231.6,2248.2,323250
2022-01-14,2250.0,2250.0,2215.0,2219.55,111077
2022-01-17,2251.0,2338.0,2230.15,2297.75,161024
2022-01-18,2308.55,2324.9,2261.0,2269.35,82333
2022-01-19,2282.35,2300.95,2247.95,2265.55,42436
2022-01-20,2277.9,2294.85,2251.0,2261.95,25387
2022-01-21,2265.0,2279.4,2231.05,2237.6,37849
2022-01-24,2249.4,2268.3,2080.0,2130.05,176153
2022-01-25,2080.0,2085.0,2007.0,2047.85,342630
2022-01-27,2050.0,2098.0,1963.15,2052.75,152471
2022-01-28,2129.0,2136.9,2065.0,2089.65,77406
2022-01-31,2071.35,2129.35,2071.35,2099.65,49497
2022-02-01,2139.45,2149.6,2084.45,2137.95,29730
2022-02-02,2160.0,2163.4,2076.3,2092.65,199459
2022-02-03,2103.7,2118.25,1998.6,2014.6,405647
2022-02-04,2036.8,2038.95,2004.95,2016.25,117900
2022-02-07,2030.0,2088.45,2000.0,2019.75,37439
2022-02-08,2030.4,2045.15,1970.05,1985.7,218271
2022-02-09,1995.55,2048.9,1952.0,2030.7,184656
2022-02-10,2024.3,2024.3,1999.9,2014.9,56553
2022-02-11,2026.9,2026.9,1965.0,1977.05,81050
2022-02-14,1948.0,1948.0,1872.6,1911.0,147071
2022-02-15,1998.0,1998.0,1877.2,1967.2,144639
2022-02-16,2044.0,2044.0,1984.65,1999.65,69955
2022-02-17,2005.95,2007.2,1951.0,1966.3,77509
2022-02-18,1966.0,1971.0,1936.9,1965.6,49148
2022-02-21,1958.0,1978.05,1932.05,1951.75,67587
2022-02-22,1912.0,2050.0,1891.0,2040.5,159109
2022-02-23,2051.2,2087.9,2018.2,2056.4,90362
2022-02-24,1980.0,2055.0,1952.0,2040.15,284376
2022-02-25,2075.0,2094.4,2002.75,2046.15,172757
2022-02-28,2045.0,2089.0,1996.65,2042.4,121304
2022-03-02,2005.05,2048.65,1997.8,2016.65,125874
2022-03-03,2047.0,2047.0,2015.85,2029.35,86337
2022-03-04,2034.45,2034.45,1972.0,1983.7,68665
2022-03-07,1952.0,2021.0,1935.1,1973.1,75629
2022-03-08,1970.0,2045.0,1949.65,2014.95,48487
2022-03-09,2024.95,2064.0,2000.15,2014.7,54376
2022-03-10,2042.2,2049.2,1990.0,1992.55,70201
2022-03-11,1996.0,2009.0,1983.05,1991.85,60252
2022-03-14,2002.3,2005.15,1961.55,1964.35,65965
2022-03-15,1984.0,1984.0,1951.0,1956.95,30339
2022-03-16,1969.85,1997.0,1969.85,1994.5,70404
2022-03-17,2029.0,2070.0,2007.95,2052.95,117789
2022-03-21,2060.0,2089.7,2024.05,2044.35,67352
2022-03-22,2052.65,2055.1,2005.0,2023.75,72807
2022-03-23,2025.1,2039.95,2012.0,2017.65,19651
2022-03-24,2000.0,2056.85,2000.0,2022.7,37970
2022-03-25,2023.55,2033.3,1982.0,2003.15,32688
2022-03-28,2003.15,2013.3,1977.5,1997.45,34245
2022-03-29,2030.0,2048.45,1976.0,1990.6,46699
2022-03-30,2034.0,2034.0,1976.3,1991.8,147152
2022-03-31,2000.0,2065.95,1987.3,2047.2,162635
2022-04-01,2028.6,2053.0,2016.0,2039.35,82583
2022-04-04,2050.0,2060.75,2011.4,2038.2,178406
2022-04-05,2059.5,2219.3,2052.0,2155.25,312919
2022-04-06,2166.6,2176.0,2119.1,2162.55,111645
2022-04-07,2156.0,2156.0,2084.55,2097.9,148485
2022-04-08,2127.9,2127.9,2075.4,2096.95,70127
2022-04-11,2108.0,2124.9,2069.0,2095.0,54104
2022-04-12,2076.0,2099.9,2028.0,2083.5,107326
2022-04-13,2094.5,2112.65,2035.2,2039.55,60955
2022-04-18,2044.7,2044.7,1989.0,1997.5,51245
2022-04-19,2018.0,2023.8,1987.9,1988.55,48108
2022-04-20,1988.55,2020.0,1985.0,1996.85,17846
2022-04-21,2007.4,2010.15,1976.0,1980.1,55907
2022-04-22,1989.9,1989.9,1961.0,1963.65,64916
2022-04-25,1963.65,1983.0,1926.05,1947.0,51712
2022-04-26,1963.5,1976.25,1930.0,1937.4,29595
2022-04-27,1945.5,1951.05,1918.25,1924.25,20791
2022-04-28,1934.4,1949.9,1931.6,1935.0,15389
2022-04-29,1954.0,2022.0,1922.75,1946.9,166017
2022-05-02,1929.2,2049.9,1919.0,2015.8,107854
2022-05-04,2025.0,2037.0,1960.0,1994.7,54480
2022-05-05,1994.7,2014.75,1962.65,1981.45,95893
2022-05-06,1953.0,2009.95,1935.0,1980.45,39237
2022-05-09,1990.0,1990.0,1918.0,1925.55,27126
2022-05-10,1935.7,1935.7,1882.0,1901.6,68449
2022-05-11,1911.6,1917.2,1875.0,1896.9,41188
2022-05-12,1889.9,1889.9,1818.6,1848.5,119417
2022-05-13,1858.2,1890.0,1846.0,1874.8,52909
2022-05-16,1884.7,1903.75,1846.0,1879.75,21369
2022-05-17,1880.0,1910.0,1850.05,1899.6,26372
2022-05-18,1900.15,1903.05,1865.05,1877.45,23075
2022-05-19,1860.4,1883.75,1806.0,1827.0,44636
2022-05-20,1836.6,1845.1,1791.0,1802.5,115794
2022-05-23,1830.0,1836.0,1770.0,1777.15,57529
2022-05-24,1786.5,1786.5,1740.0,1748.2,73397
2022-05-25,1757.4,1764.55,1695.8,1720.0,189161
2022-05-26,1720.0,1750.0,1701.05,1721.5,20569
2022-05-27,1730.6,1822.05,1717.05,1793.4,117191
2022-05-30,1815.0,1835.0,1790.0,1821.45,31691
2022-05-31,1824.05,1843.95,1822.1,1837.1,50357
2022-06-01,1837.1,1904.1,1817.0,1892.45,58532
2022-06-02,1900.0,1902.35,1845.0,1886.15,53849
2022-06-03,1896.1,1896.1,1847.0,1859.5,13828
2022-06-06,1860.0,1889.95,1852.2,1876.55,23282
2022-06-07,1862.45,1886.25,1842.15,1868.6,59772
2022-06-08,1878.4,1897.9,1865.65,1883.0,97512
2022-06-09,1890.0,1890.0,1820.05,1839.65,21355
2022-06-10,1830.0,1834.8,1800.0,1806.0,18891
2022-06-13,1780.0,1780.0,1754.0,1771.1,25843
2022-06-14,1750.0,1778.45,1736.05,1748.35,50142
2022-06-15,1740.0,1811.0,1740.0,1779.8,24549
2022-06-16,1824.9,1824.9,1733.95,1757.95,36385
2022-06-17,1742.0,1792.35,1737.85,1762.0,60266
2022-06-20,1762.0,1798.35,1751.25,1786.5,86408
2022-06-21,1769.9,1780.15,1731.0,1739.9,35328
2022-06-22,1749.1,1749.1,1687.5,1692.8,28794
2022-06-23,1701.7,1711.55,1666.25,1688.25,125610
2022-06-24,1703.0,1713.95,1689.15,1705.4,28551
2022-06-27,1712.0,1733.8,1691.55,1699.6,125777
2022-06-28,1697.6,1733.0,1697.6,1715.9,57632
2022-06-29,1710.0,1747.15,1705.15,1717.25,115445
2022-06-30,1726.3,1773.9,1716.85,1766.85,28749
2022-07-01,1760.05,1780.0,1752.45,1769.8,10943
2022-07-04,1769.8,1794.0,1760.55,1769.8,175444
2022-07-05,1770.1,1792.05,1745.0,1777.8,40880
2022-07-06,1772.5,1791.75,1765.15,1771.95,81570
2022-07-07,1776.25,1864.45,1776.25,1844.95,42617
2022-07-08,1854.7,1880.45,1836.6,1859.8,43554
2022-07-11,1879.0,1917.0,1860.0,1904.9,19632
2022-07-12,1904.9,1910.35,1870.0,1904.05,19988
2022-07-13,1913.55,1913.55,1826.35,1836.0,129839
2022-07-14,1836.0,1851.75,1811.45,1821.15,14450
2022-07-15,1822.1,1858.35,1818.0,1825.35,27303
2022-07-18,1834.45,1882.15,1827.15,1869.8,128413
2022-07-19,1869.8,1900.0,1855.8,1892.9,26801
2022-07-20,1893.55,1914.65,1881.0,1894.25,41233
2022-07-21,1896.9,1923.15,1872.0,1878.95,77229
2022-07-22,1888.8,1919.95,1866.2,1895.05,38116
2022-07-25,1932.0,1932.0,1811.0,1822.7,105553
2022-07-26,1823.0,1828.1,1776.9,1782.25,55990
2022-07-27,1772.0,1847.45,1772.0,1836.45,36363
2022-07-28,1847.0,1881.0,1833.05,1875.7,35530
2022-07-29,1877.25,1912.05,1865.4,1897.1,75094
2022-08-01,1898.0,1926.0,1866.5,1896.65,160051
2022-08-02,1900.0,1909.05,1857.0,1864.45,63635
2022-08-03,1874.3,1874.3,1830.0,1853.3,22192
2022-08-04,1860.25,1900.0,1853.3,1893.0,53285
2022-08-05,1893.0,1922.0,1855.0,1869.5,41525
2022-08-08,1872.1,1880.55,1850.1,1869.65,23851
2022-08-10,1861.0,1899.0,1860.2,1887.6,69707
2022-08-11,1895.7,1900.0,1881.0,1895.35,28122
2022-08-12,1896.3,1910.0,1872.0,1894.0,38038
2022-08-16,1900.0,1932.0,1887.15,1900.1,84547
2022-08-17,1910.1,2024.0,1904.0,1969.1,221274
2022-08-18,1975.0,1984.0,1927.4,1938.0,54553
2022-08-19,1955.0,1964.35,1902.0,1907.95,45523
2022-08-22,1900.0,1910.0,1831.0,1840.7,44814
2022-08-23,1837.0,1887.0,1820.0,1836.8,130517
2022-08-24,1846.5,1890.0,1824.0,1855.45,197887
2022-08-25,1865.2,1917.0,1860.1,1909.7,65028
2022-08-26,1917.85,1935.0,1896.0,1924.6,59628
2022-08-29,1907.1,1948.95,1880.85,1930.35,36550
2022-08-30,1948.0,1975.0,1924.0,1965.6,39351
2022-09-01,1960.0,1975.0,1941.0,1967.2,26074
2022-09-02,1967.2,1994.3,1963.25,1982.25,31215
2022-09-05,2015.0,2084.0,1984.9,2060.7,171710
2022-09-06,2070.0,2101.0,2061.0,2079.85,117606
2022-09-07,2089.8,2134.9,2062.25,2123.25,72727
2022-09-08,2140.0,2199.2,2076.65,2104.45,157691
2022-09-09,2114.65,2160.0,2110.3,2137.4,76195
2022-09-12,2137.4,2175.0,2111.0,2116.4,53219
2022-09-13,2116.4,2126.1,2063.6,2067.45,58296
2022-09-14,2030.0,2067.15,2026.0,2050.55,41456
2022-09-15,2061.3,2083.95,2030.0,2057.35,65171
2022-09-16,2060.0,2099.0,1978.85,2021.85,143226
2022-09-19,2031.95,2058.0,1995.8,2017.7,38867
2022-09-20,2036.25,2098.0,2032.15,2090.05,66076
2022-09-21,2100.0,2100.1,2057.55,2076.9,34442
2022-09-22,2057.25,2086.2,2045.9,2077.55,24646
2022-09-23,2077.0,2081.65,2043.15,2061.45,38390
2022-09-26,2047.0,2079.85,2025.0,2067.3,66754
2022-09-27,2061.1,2079.0,2050.0,2059.65,30483
2022-09-28,2051.5,2140.0,2051.0,2114.0,80799
2022-09-29,2125.0,2132.6,2065.2,2117.4,424581
2022-09-30,2117.4,2139.4,2067.0,2133.4,53697
2022-10-03,2133.4,2133.4,2074.9,2092.0,75684
2022-10-04,2092.0,2102.25,2056.55,2069.35,52896
2022-10-06,2070.0,2092.85,2027.6,2048.15,51529
2022-10-07,2039.55,2041.4,2009.05,2014.85,83973
2022-10-10,2000.0,2014.5,1987.0,1997.75,43301
2022-10-11,2007.45,2022.9,1933.55,1961.75,30633
2022-10-12,1971.55,2035.0,1965.3,2021.9,55537
2022-10-13,2029.0,2029.4,1965.0,1975.55,20382
2022-10-14,1991.0,2003.25,1930.1,1939.55,20361
2022-10-17,1943.5,2000.0,1906.5,1994.85,33857
2022-10-18,1994.85,2044.2,1978.55,2021.7,103171
2022-10-19,2025.0,2045.5,1962.6,2032.3,18175
2022-10-20,2032.0,2091.0,2027.0,2057.65,66509
2022-10-21,2038.9,2119.95,2038.9,2091.75,69131
2022-10-24,2099.0,2120.0,2036.65,2052.4,11490
2022-10-25,2052.4,2068.9,2031.05,2046.8,24402
2022-10-27,2046.8,2098.8,2045.0,2091.15,49410
2022-10-28,2072.1,2120.0,2020.0,2037.35,34913
2022-10-31,2035.5,2190.0,1952.2,2170.3,370014
2022-11-01,2160.0,2275.0,2050.0,2263.35,377065
2022-11-02,2241.25,2345.0,2238.9,2284.25,257999
2022-11-03,2263.5,2275.65,2186.45,2200.75,126820
2022-11-04,2211.8,2245.0,2191.0,2238.8,38363
2022-11-07,2243.6,2374.9,2240.0,2358.6,184873
2022-11-09,2358.6,2429.0,2346.05,2400.8,134366
2022-11-10,2413.4,2450.0,2405.05,2447.4,105129
2022-11-11,2430.0,2480.0,2372.0,2420.7,87290
2022-11-14,2382.0,2457.55,2382.0,2420.55,39021
2022-11-15,2411.1,2429.8,2372.3,2415.35,27438
2022-11-16,2396.5,2438.85,2355.55,2369.3,43682
2022-11-17,2356.5,2398.95,2261.55,2275.65,60443
2022-11-18,2287.05,2300.0,2244.25,2289.4,47334
2022-11-21,2289.4,2369.0,2255.0,2282.5,61751
2022-11-22,2280.0,2285.0,2246.6,2257.6,23700
2022-11-23,2268.9,2312.0,2232.05,2304.85,53382
2022-11-24,2314.95,2317.0,2272.4,2278.1,17151
2022-11-25,2278.15,2347.9,2278.15,2343.25,28138
2022-11-28,2350.0,2415.0,2339.85,2406.2,39795
2022-11-29,2399.95,2399.95,2350.0,2371.15,19385
2022-11-30,2349.6,2458.8,2349.6,2435.2,112943
2022-12-01,2447.95,2471.95,2410.45,2431.15,45251
2022-12-02,2465.0,2531.95,2438.05,2508.1,67225
2022-12-05,2508.1,2568.45,2460.05,2488.4,49519
2022-12-06,2500.0,2500.0,2454.1,2464.55,13805
2022-12-07,2454.35,2459.2,2386.35,2445.5,51395
2022-12-08,2423.3,2458.0,2392.0,2403.5,26488
2022-12-09,2416.2,2445.0,2398.25,2420.95,51339
2022-12-12,2405.5,2567.4,2405.5,2536.3,160756
2022-12-13,2536.0,2557.8,2504.4,2515.2,48168
2022-12-14,2528.4,2607.65,2516.3,2565.9,87161
2022-12-15,2570.0,2581.85,2491.45,2506.0,31372
2022-12-16,2481.5,2549.9,2470.25,2507.3,93028
2022-12-19,2507.3,2593.0,2495.05,2559.7,72749
2022-12-20,2544.0,2544.0,2489.0,2503.2,333814
