date,open,high,low,close,volume
2022-01-03,5888.0,5983.75,5868.0,5893.65,120686
2022-01-04,5950.0,5989.5,5895.05,5977.75,107717
2022-01-05,6000.0,6027.0,5884.95,5963.8,106351
2022-01-06,5873.0,5901.75,5805.0,5873.55,93465
2022-01-07,5900.0,5938.85,5782.0,5799.55,112039
2022-01-10,5861.05,6020.0,5800.0,5992.95,176137
2022-01-11,6010.0,6042.9,5925.0,5938.75,80493
2022-01-12,5978.05,6167.0,5950.0,6114.1,208195
2022-01-13,6141.0,6450.0,6137.0,6401.75,467887
2022-01-14,6411.0,6415.0,6232.0,6312.0,172383
2022-01-17,6350.0,6505.15,6345.0,6398.1,179777
2022-01-18,6480.0,6523.8,6301.0,6376.3,274448
2022-01-19,6547.95,7170.0,6381.4,6977.25,2831099
2022-01-20,7059.0,7525.0,7037.3,7430.45,2156628
2022-01-21,7520.0,7800.0,7025.0,7200.7,2003434
2022-01-24,7275.0,7495.0,6834.4,7040.7,995137
2022-01-25,7085.0,7280.0,6840.0,7179.2,805943
2022-01-27,7103.0,7129.0,6930.0,6974.15,358322
2022-01-28,7030.9,7400.0,7008.05,7183.15,603449
2022-01-31,7438.7,7777.0,7376.7,7607.35,1006940
2022-02-01,7779.0,7964.4,7400.0,7464.85,856691
2022-02-02,7580.0,7672.0,7430.0,7482.5,310590
2022-02-03,7504.0,7526.4,7260.05,7293.85,316939
2022-02-04,7300.0,7493.0,7205.3,7424.8,327785
2022-02-07,7490.0,7700.0,7425.0,7640.05,407494
2022-02-08,7706.0,7833.0,7578.85,7615.6,637281
2022-02-09,7660.0,7725.0,7651.0,7667.7,149046
2022-02-10,7700.0,7707.4,7560.65,7603.6,137948
2022-02-11,7455.0,7560.0,7350.0,7397.6,197308
2022-02-14,7020.0,7139.15,6872.5,6911.35,379926
2022-02-15,7020.0,7145.8,6701.0,7111.05,442208
2022-02-16,7235.0,7269.0,6960.0,6998.5,260130
2022-02-17,7040.3,7175.9,6902.1,6941.25,189183
2022-02-18,6900.0,7039.0,6860.3,6985.5,124944
2022-02-21,6915.0,6943.6,6710.4,6733.0,235154
2022-02-22,6422.9,6665.0,6422.9,6560.85,289125
2022-02-23,6650.0,6760.0,6565.0,6603.75,182581
2022-02-24,6380.0,6428.75,5990.0,6074.1,541664
2022-02-25,6350.0,6534.9,6350.0,6499.75,333438
2022-02-28,6465.0,6480.0,6282.05,6431.85,294069
2022-03-02,6374.0,6629.0,6340.05,6564.8,330743
2022-03-03,6744.4,6789.0,6617.0,6659.55,206261
2022-03-04,6635.0,6800.0,6518.0,6673.6,298568
2022-03-07,6571.0,6637.0,6465.0,6554.75,171241
2022-03-08,6554.1,6656.25,6486.0,6572.7,189439
2022-03-09,6664.0,7060.0,6580.05,6993.0,419890
2022-03-10,7247.0,7290.0,6990.0,7010.05,236784
2022-03-11,7010.05,7180.0,6925.3,7121.2,197254
2022-03-14,7150.0,7220.0,7115.0,7169.65,157696
2022-03-15,7164.0,7229.7,6908.0,6997.45,198353
2022-03-16,7140.0,7249.0,7075.0,7213.4,171345
2022-03-17,7300.0,7625.0,7137.6,7431.75,804233
2022-03-21,7520.0,7527.6,7340.1,7403.75,278972
2022-03-22,7429.8,7554.05,7311.0,7512.6,312549
2022-03-23,7550.2,7722.1,7535.0,7692.0,357796
2022-03-24,7685.0,7775.0,7566.6,7606.9,286798
2022-03-25,7649.0,8534.0,7600.25,8438.2,1829120
2022-03-28,8465.0,9160.0,8180.0,9035.5,3109546
2022-03-29,8970.0,9024.0,8500.0,8552.85,1347710
2022-03-30,8564.0,9192.1,8460.0,8996.8,2450372
2022-03-31,9000.0,9420.0,8790.5,8840.15,2086042
2022-04-01,8884.0,9142.6,8732.0,8912.8,1414522
2022-04-04,8988.0,9164.4,8931.5,9009.7,511585
2022-04-05,9090.0,9090.0,8850.0,8878.35,617070
2022-04-06,8875.0,8990.0,8762.0,8893.65,372750
2022-04-07,8907.0,8938.25,8703.0,8747.8,343816
2022-04-08,8791.55,9088.0,8621.0,8685.2,778818
2022-04-11,8723.0,8820.0,8620.0,8711.15,420571
2022-04-12,8740.0,8741.0,8326.4,8409.25,599014
2022-04-13,8470.0,8635.0,8350.0,8383.8,397311
2022-04-18,8319.0,8319.0,7789.8,7815.95,685016
2022-04-19,7944.0,8040.0,7580.0,7693.15,831426
2022-04-20,7777.95,7975.0,7733.05,7807.7,676897
2022-04-21,7940.0,8190.0,7825.75,7903.85,1376486
2022-04-22,7876.0,8480.0,7795.0,8358.0,1546038
2022-04-25,8319.0,8320.0,7980.0,8009.4,642502
2022-04-26,8167.0,8225.0,7802.0,7842.35,636737
2022-04-27,7842.35,8125.5,7461.0,7980.85,1383493
2022-04-28,8052.7,8178.65,7801.0,7843.5,648047
2022-04-29,7974.0,7988.0,7720.0,7746.0,468423
2022-05-02,7690.0,7817.55,7531.0,7672.25,417790
2022-05-04,7748.0,7888.0,7679.55,7776.5,495595
2022-05-05,7815.0,7940.0,7754.0,7826.2,244579
2022-05-06,7575.0,7721.6,7487.0,7508.0,499986
2022-05-09,7468.0,7468.0,7147.0,7227.3,540875
2022-05-10,7168.0,7305.0,6771.0,6815.7,602605
2022-05-11,6801.0,6990.0,6432.0,6872.5,1162695
2022-05-12,6805.3,6975.0,6601.55,6884.5,890703
2022-05-13,7180.0,8000.0,7119.2,7886.65,2734940
2022-05-16,7960.0,8261.0,7913.45,8121.15,1483361
2022-05-17,8139.95,8234.7,8021.0,8197.55,739730
2022-05-18,8258.1,8499.0,8245.0,8437.7,997190
2022-05-19,8075.0,8317.65,8020.0,8261.5,719905
2022-05-20,8510.0,8620.5,8316.0,8412.4,750432
2022-05-23,8419.95,8585.0,8400.2,8541.75,546351
2022-05-24,8600.0,8690.0,8405.0,8457.4,563544
2022-05-25,8581.0,8589.85,8092.0,8121.2,766623
2022-05-26,8150.0,8380.0,8150.0,8258.25,638433
2022-05-27,8470.0,8470.0,8301.2,8336.9,418901
2022-05-30,8450.0,8513.8,8015.0,8076.7,555822
2022-05-31,8180.0,8820.0,8092.25,8381.1,5673542
2022-06-01,8612.0,8821.95,8525.6,8606.0,654606
2022-06-02,8649.0,8689.0,8560.0,8629.15,325702
2022-06-03,8740.0,8775.95,8366.3,8433.3,354646
2022-06-06,8400.0,8758.4,8324.0,8696.25,685885
2022-06-07,8680.0,8770.0,8582.0,8618.35,393626
2022-06-08,8630.35,8710.0,8552.2,8608.95,210199
2022-06-09,8595.0,8740.0,8560.0,8693.6,339870
2022-06-10,8620.0,8665.2,8550.0,8602.9,213882
2022-06-13,8470.0,8696.0,8411.6,8462.0,487797
2022-06-14,8439.95,8555.5,8375.0,8386.75,230884
2022-06-15,8475.0,8521.8,8111.1,8159.65,311273
2022-06-16,8340.0,8369.0,7775.0,7991.9,531165
2022-06-17,7875.0,7925.0,7680.5,7812.85,645946
2022-06-20,7810.0,7812.8,7200.0,7254.85,628149
2022-06-21,7301.0,7600.0,7123.0,7551.6,954372
2022-06-22,7550.0,7625.0,7351.0,7492.3,542906
2022-06-23,7500.0,7848.7,7481.6,7788.05,562596
2022-06-24,7900.0,7964.85,7738.05,7794.35,396405
2022-06-27,7940.0,8050.0,7861.75,7991.6,403762
2022-06-28,7958.0,8060.0,7915.0,8036.7,273264
2022-06-29,8000.0,8231.0,7951.4,8186.35,435851
2022-06-30,8225.0,8329.95,8085.0,8170.55,279462
2022-07-01,8170.55,8239.0,8022.0,8152.05,270194
2022-07-04,8205.0,8235.0,8050.1,8081.4,155702
2022-07-05,8124.0,8148.95,7970.0,8003.2,165819
2022-07-06,8035.9,8090.0,7912.0,7973.85,186608
2022-07-07,8114.0,8150.0,8009.0,8082.9,185172
2022-07-08,8125.0,8144.85,7952.0,7993.15,194361
2022-07-11,7948.0,8120.0,7815.65,8046.0,242078
2022-07-12,8000.0,8075.0,7933.0,7958.0,149473
