date,open,high,low,close,volume
2022-01-03,71.53,73.95,71.53,73.66,21177306
2022-01-04,73.95,74.48,72.98,73.76,24456776
2022-01-05,73.66,75.64,73.32,74.72,33925654
2022-01-06,73.32,77.04,73.13,76.37,34206729
2022-01-07,76.85,78.25,76.27,77.33,39877581
2022-01-10,77.82,82.02,77.43,81.73,42535778
2022-01-11,81.78,82.51,80.91,81.78,27427262
2022-01-12,82.17,83.04,81.68,82.31,23947845
2022-01-13,82.17,84.15,81.78,83.42,25289041
2022-01-14,82.65,84.1,82.51,83.13,17230925
2022-01-17,82.7,84.2,82.7,83.28,14506863
2022-01-18,83.38,85.36,81.3,81.83,36750278
2022-01-19,81.83,85.79,81.1,85.31,35333475
2022-01-20,85.41,86.9,85.02,86.13,37096905
2022-01-21,85.07,85.16,81.15,82.26,39203300
2022-01-24,81.88,83.13,80.33,82.17,56181631
2022-01-25,81.59,89.03,81.15,87.87,65620823
2022-01-27,86.42,93.19,85.55,92.71,94518500
2022-01-28,93.62,95.61,91.98,92.51,56977661
2022-01-31,93.14,97.44,92.27,96.62,61044762
2022-02-01,97.64,98.31,91.64,95.27,86624214
2022-02-02,95.94,99.18,95.32,98.41,47769665
2022-02-03,98.12,100.83,97.54,98.55,54520992
2022-02-04,98.8,100.29,95.27,95.65,45581685
2022-02-07,97.83,105.95,97.3,101.84,177298544
2022-02-08,102.86,107.01,100.44,106.67,115380004
2022-02-09,107.21,107.5,103.34,103.68,61784484
2022-02-10,104.21,105.18,102.47,103.53,40178477
2022-02-11,102.57,104.26,101.41,102.42,33757340
2022-02-14,98.02,99.38,94.4,95.22,50506830
2022-02-15,95.7,99.47,93.24,99.13,61851795
2022-02-16,100.0,100.2,95.75,96.09,45599684
2022-02-17,97.15,97.35,94.54,94.83,29911159
2022-02-18,94.45,96.77,94.16,94.49,31422298
2022-02-21,94.49,95.22,92.03,92.95,40170256
2022-02-22,90.48,94.93,88.4,94.01,51955994
2022-02-23,94.16,97.97,94.01,96.81,62092144
2022-02-24,92.03,94.74,89.42,89.81,70341673
2022-02-25,93.19,97.68,92.27,95.9,61465709
2022-02-28,93.67,97.06,93.29,95.65,41283452
2022-03-02,95.07,95.51,91.01,92.32,47475131
2022-03-03,93.67,94.45,91.4,91.84,41511333
2022-03-04,89.85,92.37,89.37,89.85,47496069
2022-03-07,87.49,89.81,80.62,82.36,84678404
2022-03-08,83.23,87.92,81.78,86.86,72203819
2022-03-09,87.39,88.55,86.13,88.21,51266334
2022-03-10,91.45,94.59,90.48,91.11,71291981
2022-03-11,91.06,93.87,90.24,93.58,40767554
2022-03-14,94.11,96.57,92.75,95.99,45750608
2022-03-15,96.48,97.93,94.4,95.03,46827034
2022-03-16,96.57,97.73,96.04,96.77,27985666
2022-03-17,98.75,98.8,96.52,97.01,32425892
2022-03-21,96.96,97.39,94.88,95.61,24879006
2022-03-22,95.32,96.52,92.71,95.9,32477182
2022-03-23,96.33,98.17,95.03,95.36,27104882
2022-03-24,94.59,97.06,94.2,95.27,26545928
2022-03-25,95.85,98.02,95.41,97.54,40572355
2022-03-28,97.97,101.26,96.38,100.87,46409385
2022-03-29,101.41,101.99,99.67,100.49,32359109
2022-03-30,101.65,103.77,100.97,102.86,100828273
2022-03-31,101.79,102.28,100.0,100.54,28030563
2022-04-01,100.54,105.18,100.29,104.79,30941452
2022-04-04,104.98,105.76,104.02,104.89,29356607
2022-04-05,105.18,106.58,103.34,104.79,28093579
2022-04-06,104.45,109.57,103.97,108.56,36964790
2022-04-07,108.51,111.17,106.67,107.88,44284867
2022-04-08,108.46,109.48,106.67,108.95,27463874
2022-04-11,109.38,111.27,108.27,108.95,17762107
2022-04-12,108.56,109.53,105.85,108.8,23810157
2022-04-13,109.48,110.06,107.79,108.12,18304816
2022-04-18,107.4,107.4,102.13,102.76,41375448
2022-04-19,103.82,105.47,100.54,101.94,29839721
2022-04-20,102.61,103.34,100.34,101.5,21822195
2022-04-21,102.42,103.34,101.89,102.76,19921166
2022-04-22,101.84,102.81,100.15,100.39,17387240
2022-04-25,99.33,101.41,98.07,100.1,24586074
2022-04-26,101.79,104.69,101.45,104.31,28059744
