date,open,high,low,close,volume
2022-01-03,194.0,197.7,194.0,195.7,232362
2022-01-04,196.2,200.45,195.9,197.0,208698
2022-01-05,197.0,199.0,193.5,194.6,209974
2022-01-06,193.5,197.8,192.8,196.1,157354
2022-01-07,196.95,202.7,196.95,198.6,334810
2022-01-10,200.9,203.85,199.1,199.8,352036
2022-01-11,201.4,211.7,200.2,204.8,1204688
2022-01-12,206.0,208.9,204.5,208.2,329814
2022-01-13,208.5,208.5,204.5,206.0,137556
2022-01-14,206.0,222.4,205.35,218.9,1137542
2022-01-17,222.0,228.5,219.0,221.05,1724462
2022-01-18,222.2,222.5,210.3,213.2,392942
2022-01-19,211.55,221.1,210.1,217.75,461468
2022-01-20,218.0,236.7,217.8,230.6,4281360
2022-01-21,229.5,233.1,224.9,229.55,954482
2022-01-24,227.5,236.0,220.5,223.4,1715464
2022-01-25,220.0,239.3,218.5,232.7,2043858
2022-01-27,229.4,249.5,227.6,244.3,3483852
2022-01-28,247.5,249.0,238.1,243.3,1440158
2022-01-31,248.1,255.9,246.6,248.95,1612970
2022-02-01,251.95,255.85,244.4,245.8,1645196
2022-02-02,247.45,250.0,242.5,243.7,562608
2022-02-03,258.45,268.15,249.0,251.65,6927930
2022-02-04,252.55,252.65,244.7,247.0,1364876
2022-02-07,248.0,251.0,238.75,245.1,815256
2022-02-08,246.35,247.5,233.1,236.3,451044
2022-02-09,237.2,241.0,235.75,236.9,579316
2022-02-10,238.1,238.1,230.5,232.0,478950
2022-02-11,230.0,231.35,225.05,226.1,315724
2022-02-14,221.0,239.5,218.0,231.9,4586952
2022-02-15,233.9,237.95,228.05,233.2,1456276
2022-02-16,235.15,239.0,228.5,230.65,737870
2022-02-17,232.7,240.05,230.05,237.65,1185126
2022-02-18,237.65,242.0,235.25,236.35,711906
2022-02-21,234.0,236.0,227.55,229.85,661626
2022-02-22,217.5,228.85,217.5,222.2,652488
2022-02-23,221.75,223.4,217.5,218.45,458870
2022-02-24,211.1,215.5,203.25,205.5,787268
2022-02-25,210.2,218.4,210.0,215.9,715480
2022-02-28,210.5,226.85,205.1,224.1,1356714
2022-03-02,229.5,239.5,227.3,231.85,2414644
2022-03-03,234.3,237.5,230.5,231.1,495278
2022-03-04,230.0,235.0,227.5,228.35,522124
2022-03-07,224.9,228.0,219.3,222.15,1473464
2022-03-08,224.25,233.5,224.0,225.15,1061790
2022-03-09,229.4,236.25,227.65,230.5,1559926
2022-03-10,237.5,240.5,232.2,237.7,836262
2022-03-11,239.0,247.5,236.7,246.3,1403840
2022-03-14,249.95,257.5,249.6,250.95,1896178
2022-03-15,252.95,266.95,248.25,261.25,2445280
2022-03-16,263.0,286.4,259.0,277.55,8003318
2022-03-17,281.1,306.0,280.0,299.75,6228026
2022-03-21,300.5,303.3,283.0,286.1,2866150
2022-03-22,287.3,293.75,285.05,287.7,1382174
2022-03-23,290.8,299.0,284.0,284.8,1618308
2022-03-24,285.0,287.3,279.0,281.4,1063954
2022-03-25,283.5,284.1,277.5,279.0,580276
2022-03-28,280.0,281.45,272.25,273.4,527902
2022-03-29,275.0,287.5,273.0,281.2,1400120
2022-03-30,283.7,284.95,273.0,274.5,560714
2022-03-31,275.4,279.1,269.0,274.65,1621626
2022-04-01,274.2,289.0,272.5,284.3,1923766
2022-04-04,287.6,298.8,287.5,290.35,2045306
2022-04-05,293.0,293.85,283.0,284.05,1148562
2022-04-06,283.9,294.2,280.85,285.4,1376488
2022-04-07,287.9,314.35,287.5,310.4,9809980
2022-04-08,314.0,369.7,313.5,358.1,26609330
2022-04-11,359.5,388.4,355.5,380.9,14668434
2022-04-12,382.5,391.8,370.7,380.7,5788024
2022-04-13,382.75,387.0,366.2,368.35,2363780
2022-04-18,365.0,442.0,360.0,427.65,19202262
2022-04-19,434.0,452.45,405.05,413.95,11205840
2022-04-20,420.0,433.8,382.6,390.2,6790658
2022-04-21,394.85,400.8,380.1,383.5,4553770
2022-04-22,385.0,422.4,381.8,399.6,11304204
2022-04-25,395.0,399.4,380.3,383.25,2393700
2022-04-26,392.0,401.85,383.6,388.55,2977324
2022-04-27,387.5,390.4,373.1,380.1,2114684
2022-04-28,383.5,387.5,365.05,370.45,2000998
2022-04-29,374.5,393.5,371.0,374.1,3718038
2022-05-02,371.0,371.15,354.0,357.4,2269928
2022-05-04,360.45,367.5,339.1,342.3,2317728
2022-05-05,345.0,364.9,340.3,360.75,4669172
2022-05-06,349.0,357.35,344.25,345.8,2082568
2022-05-09,344.0,344.0,327.2,329.1,1512766
2022-05-10,329.5,341.15,316.3,319.05,1530498
2022-05-11,321.6,326.95,304.2,323.55,3122134
2022-05-12,320.0,332.5,312.4,319.8,2675350
2022-05-13,325.45,351.65,325.45,332.6,4659342
2022-05-16,338.75,349.1,328.3,344.5,2561162
2022-05-17,347.85,364.4,346.6,356.2,3834012
2022-05-18,359.2,366.3,347.55,357.3,2350874
2022-05-19,347.0,365.2,340.4,360.5,1927566
2022-05-20,373.0,388.5,365.5,380.55,6158722
2022-05-23,383.45,406.4,376.3,386.4,6272836
2022-05-24,388.0,391.3,363.0,365.95,2171540
2022-05-25,368.0,377.75,350.6,353.75,2308128
2022-05-26,357.2,374.9,342.35,370.65,2508514
2022-05-27,379.3,383.5,366.9,371.05,2883882
2022-05-30,374.45,378.7,370.2,373.25,1446356
2022-05-31,373.95,396.95,365.9,391.8,8099920
2022-06-01,404.0,422.35,402.5,406.65,11895384
2022-06-02,406.95,416.25,406.0,412.6,3199870
2022-06-03,417.0,419.0,395.25,397.85,2783630
2022-06-06,397.45,397.45,378.3,393.9,2011476
2022-06-07,401.0,412.5,400.5,408.6,4221474
2022-06-08,412.7,413.9,397.5,402.7,2179474
2022-06-09,399.95,412.5,394.0,408.9,1609576
2022-06-10,403.5,416.0,399.95,411.6,2818748
2022-06-13,397.5,407.0,390.0,397.95,2129376
2022-06-14,393.5,405.85,388.4,391.3,2262914
2022-06-15,395.85,407.0,391.6,403.8,1741162
2022-06-16,412.0,426.7,390.05,393.3,8671348
2022-06-17,407.0,409.0,393.0,404.75,4424144
2022-06-20,406.95,413.4,323.8,358.65,10248876
2022-06-21,362.35,374.0,358.65,371.65,3694328
2022-06-22,367.5,378.9,361.0,364.5,2843282
2022-06-23,366.5,371.5,360.6,366.0,1527056
2022-06-24,369.5,371.8,358.0,364.0,1182646
2022-06-27,368.5,370.75,361.15,363.5,1275600
2022-06-28,363.4,364.4,358.0,359.4,851666
2022-06-29,355.0,355.1,346.5,350.1,1398792
2022-06-30,349.5,355.85,338.8,340.6,1118904
2022-07-01,338.5,340.0,330.0,333.6,1386572
2022-07-04,330.5,342.25,330.3,338.3,1139606
2022-07-05,340.7,344.0,333.1,335.45,773604
2022-07-06,335.0,352.8,332.5,348.75,1291006
2022-07-07,351.6,354.5,344.0,346.6,981190
2022-07-08,348.4,362.3,347.4,357.45,4437166
2022-07-11,354.95,360.35,351.2,352.6,1182644
2022-07-12,352.0,354.5,346.8,348.05,829148
2022-07-13,349.8,351.75,343.0,344.6,513476
2022-07-14,345.0,348.5,341.0,346.9,1226008
2022-07-15,348.0,348.4,339.4,346.2,567670
2022-07-18,351.2,361.9,347.7,355.7,1984746
2022-07-19,355.7,365.8,353.5,359.5,1448082
2022-07-20,361.9,367.0,355.7,360.3,955144
2022-07-21,361.5,369.4,350.0,366.9,1651536
2022-07-22,367.0,368.9,359.3,360.7,925400
2022-07-25,359.5,363.5,355.75,359.8,898610
2022-07-26,359.0,360.0,349.0,350.5,543166
2022-07-27,355.0,368.0,355.0,365.45,2612300
2022-07-28,367.5,394.35,365.0,391.1,5872084
2022-07-29,393.0,409.7,390.0,405.9,4302308
2022-08-01,406.5,417.1,402.1,410.6,2239332
2022-08-02,408.0,431.2,406.9,421.6,4568436
2022-08-03,424.25,431.0,417.7,425.75,2668848
2022-08-04,427.9,427.9,406.3,420.3,2011248
2022-08-05,420.9,421.35,409.55,412.65,1118534
2022-08-08,410.1,438.95,410.1,431.9,6182002
2022-08-10,433.0,436.9,418.9,423.8,3238586
2022-08-11,425.0,448.95,423.75,442.1,5922184
2022-08-12,443.0,446.5,405.0,410.8,6418214
2022-08-16,414.5,427.5,411.05,426.1,2671670
2022-08-17,428.25,433.5,422.1,426.3,1765210
2022-08-18,426.25,431.45,420.3,422.25,1435650
2022-08-19,424.0,427.6,414.35,417.1,1353268
2022-08-22,415.0,415.0,397.0,399.15,1379642
2022-08-23,396.5,413.0,392.9,405.6,1953144
2022-08-24,407.0,410.05,401.55,402.7,935550
2022-08-25,405.0,410.5,400.85,402.0,1024312
2022-08-26,403.45,418.0,403.45,413.2,2718064
2022-08-29,395.0,420.0,395.0,405.5,2862340
2022-08-30,409.0,414.45,407.25,408.9,1369474
2022-09-01,409.45,421.0,408.5,415.45,3230990
