date,open,high,low,close,volume
2022-01-03,511.0,514.0,505.1,507.65,48442
2022-01-04,511.85,514.5,505.5,513.75,51092
2022-01-05,516.45,523.75,495.1,499.15,174984
2022-01-06,495.0,515.5,495.0,508.4,86428
2022-01-07,504.25,508.25,492.5,499.7,131746
2022-01-10,502.2,505.2,491.0,494.3,143388
2022-01-11,490.0,499.5,482.85,489.65,121586
2022-01-12,492.0,506.3,486.5,502.9,180824
2022-01-13,505.4,515.0,499.55,512.95,125500
2022-01-14,512.95,519.45,507.4,517.35,199914
2022-01-17,517.5,526.7,516.1,524.95,106058
2022-01-18,527.7,529.0,502.5,509.95,99540
2022-01-19,510.0,515.75,497.6,504.0,83430
2022-01-20,504.0,504.0,494.5,501.8,44326
2022-01-21,498.45,499.95,492.2,495.5,42228
2022-01-24,495.5,498.0,457.5,463.8,111466
2022-01-25,465.05,475.0,455.8,460.5,221362
2022-01-27,459.5,459.5,435.5,439.95,119852
2022-01-28,440.65,448.3,432.8,435.1,181450
2022-01-31,425.7,439.0,418.2,432.25,387498
2022-02-01,434.55,438.4,431.4,435.15,108180
2022-02-02,436.5,462.25,427.8,456.0,344734
2022-02-03,468.0,512.1,461.9,500.0,3671444
2022-02-04,500.0,512.4,485.0,505.45,631360
2022-02-07,502.5,536.0,500.05,526.6,757472
2022-02-08,527.5,532.5,510.5,518.15,146400
2022-02-09,519.8,524.0,510.1,514.6,98466
2022-02-10,517.5,523.75,512.5,522.2,92482
2022-02-11,527.45,527.45,510.0,520.65,68962
2022-02-14,519.25,519.25,497.5,501.9,188332
2022-02-15,504.0,532.0,502.1,523.4,194018
2022-02-16,525.0,560.0,515.25,553.5,545828
2022-02-17,564.0,567.0,531.25,539.2,720426
2022-02-18,543.95,543.95,520.9,524.35,143854
2022-02-21,512.5,536.0,512.5,530.25,538486
2022-02-22,520.0,545.5,504.85,534.4,310798
2022-02-23,538.5,562.75,520.0,527.55,251378
2022-02-24,517.5,522.7,500.0,507.8,155294
2022-02-25,517.5,533.0,517.5,528.5,196924
2022-02-28,530.0,541.25,519.0,535.05,133576
2022-03-02,530.2,543.4,518.1,524.7,159408
2022-03-03,532.5,536.4,517.9,526.75,108306
2022-03-04,518.0,525.0,509.8,513.95,122652
2022-03-07,510.0,512.5,489.8,504.1,206956
2022-03-08,506.6,519.0,491.7,510.9,106658
2022-03-09,513.5,513.5,489.5,493.05,180464
2022-03-10,507.5,507.5,483.0,490.5,194010
2022-03-11,492.5,499.05,486.05,491.5,101842
2022-03-14,496.6,502.45,485.5,489.95,105152
2022-03-15,494.95,494.95,486.5,491.3,110586
2022-03-16,495.0,500.0,483.85,490.2,564062
2022-03-17,499.5,502.35,489.1,491.4,478252
2022-03-21,496.95,497.0,482.65,489.4,325012
2022-03-22,491.5,496.0,485.1,492.4,208202
2022-03-23,495.7,502.0,491.45,497.5,429540
2022-03-24,500.0,502.0,491.0,500.05,80910
2022-03-25,504.65,504.9,493.2,495.2,210472
2022-03-28,502.5,502.5,488.0,495.65,83822
2022-03-29,497.4,523.5,496.0,519.1,345150
2022-03-30,524.0,533.9,518.0,525.8,168856
2022-03-31,525.8,532.5,522.75,526.0,170084
2022-04-01,526.0,549.9,526.0,545.9,412466
2022-04-04,550.0,560.0,545.2,549.35,273796
2022-04-05,552.5,572.5,548.5,566.15,476598
2022-04-06,566.0,592.5,566.0,574.05,508686
2022-04-07,573.5,583.8,564.5,581.5,172704
2022-04-08,587.5,589.9,571.0,576.6,844058
2022-04-11,580.75,582.9,571.7,580.0,611380
2022-04-12,582.0,591.5,573.1,576.4,376790
2022-04-13,579.3,582.2,569.8,575.6,187192
2022-04-18,573.95,574.8,560.0,569.2,197222
2022-04-19,564.0,587.5,564.0,571.9,327800
2022-04-20,570.35,583.6,570.35,581.4,127312
2022-04-21,583.5,612.5,576.0,582.15,574560
2022-04-22,576.0,584.5,565.0,569.3,214622
2022-04-25,569.0,574.7,552.5,563.35,81696
2022-04-26,567.5,600.5,567.5,576.3,291564
2022-04-27,573.5,579.7,562.5,567.2,54884
2022-04-28,569.7,580.0,565.5,567.8,76986
2022-04-29,571.0,586.55,565.0,568.2,270122
2022-05-02,565.5,572.1,555.0,569.95,77104
2022-05-04,575.0,575.2,558.3,563.35,108884
2022-05-05,570.0,570.0,536.8,545.95,149762
2022-05-06,550.0,583.1,521.0,536.0,1248068
2022-05-09,537.0,555.85,515.0,523.3,545116
2022-05-10,520.1,536.0,505.05,513.3,242722
2022-05-11,517.0,517.5,491.1,500.7,515576
2022-05-12,499.45,520.45,477.5,513.7,215048
2022-05-13,525.0,525.9,491.5,494.9,105858
2022-05-16,501.5,514.5,487.5,504.45,135418
2022-05-17,506.9,514.75,498.5,508.55,281776
2022-05-18,513.5,523.75,500.5,512.4,274552
2022-05-19,499.5,528.5,499.5,516.35,164088
2022-05-20,519.9,522.0,503.3,507.3,104270
2022-05-23,511.7,517.5,505.05,516.4,93468
2022-05-24,516.4,526.0,499.4,503.4,131236
2022-05-25,504.5,512.0,482.7,489.2,73452
2022-05-26,490.0,501.95,489.55,497.35,87458
2022-05-27,507.15,508.4,499.5,501.75,44444
2022-05-30,510.0,510.0,491.6,501.8,85818
2022-05-31,502.45,516.0,497.5,512.2,109060
2022-06-01,514.8,516.8,505.8,511.5,45988
2022-06-02,510.6,518.5,498.5,503.4,126950
2022-06-03,502.5,506.4,497.55,501.3,59532
2022-06-06,502.0,503.65,490.0,491.7,40384
2022-06-07,491.0,492.5,475.0,478.9,82192
2022-06-08,479.0,484.5,470.2,480.8,61716
2022-06-09,480.0,487.8,472.7,482.0,201268
2022-06-10,484.0,486.95,472.7,478.9,50508
2022-06-13,472.5,477.5,464.3,473.9,86876
2022-06-14,471.1,477.5,462.5,468.0,261544
2022-06-15,467.8,489.5,466.5,482.5,70428
2022-06-16,488.7,491.5,461.15,466.6,89314
2022-06-17,463.0,483.4,445.05,452.45,163256
2022-06-20,454.7,463.85,442.5,458.9,254406
2022-06-21,459.8,475.0,459.8,472.1,122012
2022-06-22,470.0,478.7,466.1,472.8,53874
2022-06-23,470.0,483.1,470.0,476.4,35086
2022-06-24,476.4,486.1,472.4,484.3,34418
2022-06-27,489.5,489.8,474.0,476.35,65882
2022-06-28,481.9,481.9,462.7,469.6,65586
2022-06-29,465.0,469.5,459.0,461.9,24370
2022-06-30,457.7,460.5,447.6,451.9,223698
2022-07-01,446.05,451.9,442.7,448.1,84892
2022-07-04,440.0,449.0,429.5,441.9,621100
2022-07-05,436.5,447.5,435.3,442.4,121918
2022-07-06,442.4,445.5,435.0,437.5,739304
2022-07-07,438.4,441.6,436.1,438.0,1589082
2022-07-08,443.25,447.8,439.5,443.3,149452
2022-07-11,442.7,486.95,440.1,479.9,403066
2022-07-12,474.1,481.7,467.0,470.6,134386
2022-07-13,472.4,479.5,456.4,471.7,438912
2022-07-14,474.05,492.0,467.8,487.7,120848
2022-07-15,487.7,498.45,482.1,495.95,375048
2022-07-18,491.7,511.2,491.7,502.5,132496
2022-07-19,500.8,519.0,500.0,512.5,112548
2022-07-20,514.5,517.5,491.0,497.6,142162
2022-07-21,498.35,504.5,491.7,499.9,112754
2022-07-22,499.9,511.9,498.2,499.85,78416
2022-07-25,502.3,505.0,490.0,498.3,60162
2022-07-26,500.8,512.5,491.3,497.4,124324
2022-07-27,501.2,509.5,489.8,494.4,76490
2022-07-28,496.0,504.75,489.0,499.5,182262
2022-07-29,499.5,516.0,490.05,492.6,127436
2022-08-01,497.3,497.3,478.0,480.4,392006
2022-08-02,477.5,490.3,477.5,488.8,84148
2022-08-03,485.5,500.0,479.9,484.6,134502
2022-08-04,485.8,519.5,479.5,505.2,206042
2022-08-05,515.0,529.0,493.0,495.5,1205808
2022-08-08,495.5,507.0,489.0,504.85,1050570
2022-08-10,507.3,508.5,496.1,504.1,132270
2022-08-11,505.0,508.5,495.5,498.0,150514
2022-08-12,496.0,503.1,493.5,498.3,64892
2022-08-16,500.0,512.8,499.4,505.5,111862
2022-08-17,503.0,525.95,501.2,524.05,283360
2022-08-18,529.5,537.5,525.0,535.1,234976
2022-08-19,538.5,542.1,520.5,534.8,176088
2022-08-22,537.0,538.45,521.2,532.45,100716
2022-08-23,526.35,539.45,515.15,534.15,172848
2022-08-24,531.5,555.5,526.35,547.65,299392
2022-08-25,559.5,559.5,531.0,538.4,183078
2022-08-26,544.0,548.5,533.0,543.1,84096
2022-08-29,522.9,548.55,521.4,541.8,548546
