date,open,high,low,close,volume
2022-01-03,178.95,179.3,177.3,177.7,155042
2022-01-04,177.7,178.55,173.0,173.4,342110
2022-01-05,174.75,175.3,173.15,174.0,181326
2022-01-06,174.0,174.25,172.5,172.7,187674
2022-01-07,172.75,176.9,172.75,174.2,490428
2022-01-10,174.85,175.8,174.0,174.4,170720
2022-01-11,175.2,175.2,173.15,173.55,143538
2022-01-12,174.35,176.75,173.55,175.9,371400
2022-01-13,176.25,176.25,174.0,174.95,176990
2022-01-14,175.7,176.25,174.0,174.35,143186
2022-01-17,174.5,175.5,173.8,174.05,167166
2022-01-18,174.45,177.0,173.05,174.0,247730
2022-01-19,174.8,174.8,172.8,173.6,165300
2022-01-20,174.35,177.4,173.15,173.95,316242
2022-01-21,173.95,174.7,172.0,172.5,134282
2022-01-24,172.5,173.0,166.5,167.4,302470
2022-01-25,167.3,169.25,163.95,168.2,190584
2022-01-27,167.5,170.05,166.5,169.7,271550
2022-01-28,170.25,171.9,170.0,170.45,174372
2022-01-31,171.35,172.45,170.55,171.5,183018
2022-02-01,171.75,173.9,171.5,172.3,274014
2022-02-02,174.0,174.0,171.95,172.3,140684
2022-02-03,173.0,173.6,169.9,171.2,222764
2022-02-04,171.4,172.45,169.5,169.9,202704
2022-02-07,170.45,172.5,169.25,169.8,149752
2022-02-08,170.45,172.45,167.55,169.9,250832
2022-02-09,169.9,170.85,169.0,169.75,89476
2022-02-10,170.45,171.3,169.6,170.4,127386
2022-02-11,167.05,168.2,164.2,164.5,660052
2022-02-14,163.4,163.5,156.05,158.5,536050
2022-02-15,160.95,160.95,155.5,157.3,581772
2022-02-16,160.0,160.9,157.15,157.4,716880
2022-02-17,158.0,159.0,156.1,156.5,397580
2022-02-18,156.0,157.0,155.8,156.5,240894
2022-02-21,154.5,155.0,152.55,153.8,289864
2022-02-22,152.55,152.95,150.1,150.8,294048
2022-02-23,151.6,153.25,150.7,151.1,215316
2022-02-24,148.95,148.95,142.5,143.65,630998
2022-02-25,145.45,147.15,143.1,144.15,521416
2022-02-28,143.5,145.8,142.55,144.95,399956
2022-03-02,146.0,146.0,141.1,144.9,314690
2022-03-03,145.15,147.95,144.95,145.4,365430
2022-03-04,145.0,146.0,144.1,144.55,266696
2022-03-07,143.0,144.5,141.8,143.05,367936
2022-03-08,144.5,145.5,140.4,142.4,377426
2022-03-09,144.4,147.1,143.2,144.8,383732
2022-03-10,146.5,149.5,146.3,148.4,490448
2022-03-11,148.25,153.2,147.6,152.3,487224
2022-03-14,154.9,155.0,151.8,153.1,406654
2022-03-15,152.7,153.75,150.5,151.0,318866
2022-03-16,154.0,156.5,152.0,152.3,777446
2022-03-17,155.0,155.0,151.0,152.3,600348
2022-03-21,153.1,154.45,150.5,150.9,412214
2022-03-22,150.9,151.45,149.0,150.3,374926
2022-03-23,152.5,153.95,151.25,151.5,489240
2022-03-24,152.75,152.75,149.6,150.7,255186
2022-03-25,151.05,152.0,150.0,150.3,278344
2022-03-28,150.3,152.0,147.05,147.5,517878
2022-03-29,148.65,148.7,145.15,146.3,565460
2022-03-30,146.5,148.1,146.1,146.5,405518
2022-03-31,146.5,149.1,146.5,147.1,356480
2022-04-01,147.8,152.2,147.3,151.4,277330
2022-04-04,152.4,161.95,152.4,158.9,1185682
2022-04-05,160.0,162.4,158.3,160.45,501428
2022-04-06,160.45,161.05,158.4,159.2,229064
2022-04-07,159.95,166.4,159.3,161.0,842600
2022-04-08,161.9,168.4,161.2,163.95,806092
2022-04-11,163.75,169.8,163.3,166.55,729380
2022-04-12,167.9,177.45,163.0,175.5,5531826
2022-04-13,175.7,177.3,171.0,171.8,1065942
2022-04-18,171.4,178.95,167.55,176.65,1836978
2022-04-19,178.35,178.45,165.5,169.2,791260
2022-04-20,169.5,172.2,167.55,168.05,417644
2022-04-21,169.2,174.9,169.2,174.1,744582
2022-04-22,172.5,178.25,171.35,175.15,1579254
2022-04-25,174.45,174.45,170.25,171.55,377526
2022-04-26,173.45,174.0,170.25,170.8,321702
2022-04-27,170.0,170.95,167.6,169.7,240374
2022-04-28,170.0,171.4,168.1,169.1,149504
2022-04-29,169.5,173.4,165.8,167.15,287868
2022-05-02,167.7,170.0,165.4,168.3,260694
2022-05-04,170.5,170.5,164.0,164.75,154306
2022-05-05,165.0,167.95,162.2,163.4,178948
2022-05-06,161.0,163.1,157.6,161.4,239362
2022-05-09,160.6,162.25,158.0,160.4,145534
2022-05-10,158.5,162.55,157.0,157.85,179874
2022-05-11,158.4,159.1,150.5,152.15,218968
2022-05-12,152.5,156.0,150.05,153.85,161218
2022-05-13,155.0,160.0,154.3,156.35,343176
2022-05-16,159.0,160.35,156.1,157.6,136766
2022-05-17,158.4,164.9,157.9,163.8,258060
2022-05-18,165.5,166.4,163.15,163.9,247316
2022-05-19,160.05,161.95,155.0,156.5,213980
2022-05-20,159.8,162.75,158.0,161.9,292344
2022-05-23,168.0,174.95,165.0,171.55,2150048
2022-05-24,174.6,174.6,166.0,166.8,388522
2022-05-25,168.95,168.95,159.9,161.3,430796
2022-05-26,163.4,163.4,153.0,159.35,345688
2022-05-27,163.5,164.5,159.5,161.3,211008
2022-05-30,161.6,164.5,161.6,163.4,277894
2022-05-31,163.5,164.2,160.55,161.55,177328
2022-06-01,164.0,167.5,161.7,163.7,627974
2022-06-02,164.4,165.95,162.7,165.1,175084
2022-06-03,166.0,168.7,162.25,163.7,307058
2022-06-06,163.7,163.7,156.4,159.8,189006
2022-06-07,161.5,162.35,158.0,160.5,388122
2022-06-08,162.5,164.2,159.0,159.25,268942
2022-06-09,159.5,161.1,159.0,160.2,138760
2022-06-10,159.15,160.7,157.9,158.5,116330
2022-06-13,157.5,157.5,153.3,153.7,422718
2022-06-14,152.5,157.0,152.5,155.85,473048
2022-06-15,156.65,157.0,155.2,155.7,87380
2022-06-16,157.5,157.8,152.5,155.35,269044
2022-06-17,156.0,156.15,151.0,151.3,283638
2022-06-20,152.7,152.8,148.5,150.5,337102
2022-06-21,149.5,155.0,149.5,154.5,267748
2022-06-22,155.0,159.2,153.4,157.6,303882
2022-06-23,157.0,158.0,154.65,156.8,210622
2022-06-24,156.5,156.5,154.8,155.9,212496
2022-06-27,156.5,156.5,154.55,154.75,262868
2022-06-28,153.5,158.75,153.5,157.25,294722
2022-06-29,155.5,158.5,153.0,154.9,310758
2022-06-30,154.6,156.3,153.9,155.85,88874
2022-07-01,155.45,156.5,153.6,156.2,69590
2022-07-04,156.0,157.0,155.0,155.2,92610
2022-07-05,155.95,157.45,155.5,155.9,81192
2022-07-06,156.0,157.1,155.05,156.6,78896
2022-07-07,156.6,159.5,156.6,158.8,163378
2022-07-08,159.5,159.8,157.3,158.55,77378
2022-07-11,157.5,160.0,157.4,159.15,101472
2022-07-12,159.0,160.5,158.5,160.1,180048
2022-07-13,160.9,161.0,157.7,158.55,155570
2022-07-14,159.35,161.45,157.7,160.6,278398
2022-07-15,161.0,161.3,159.1,160.7,98202
2022-07-18,162.25,162.25,160.6,161.6,127144
2022-07-19,161.0,162.5,160.5,161.3,141200
2022-07-20,162.1,162.5,160.2,160.6,171294
2022-07-21,161.0,163.5,161.0,162.7,209318
2022-07-22,163.4,163.4,160.9,162.4,110256
2022-07-25,162.4,163.4,160.35,163.0,110926
2022-07-26,163.0,164.0,161.85,163.2,115168
2022-07-27,163.9,165.5,162.8,163.3,221500
2022-07-28,163.5,164.25,162.1,162.75,112004
2022-07-29,165.0,167.0,163.85,166.7,447174
2022-08-01,167.0,169.5,166.3,167.35,582930
2022-08-02,166.5,168.95,166.25,168.1,268696
2022-08-03,167.5,168.3,165.0,167.25,148720
2022-08-04,168.45,169.5,164.1,166.0,245174
2022-08-05,166.9,172.5,165.3,170.5,778100
2022-08-08,170.75,173.0,169.0,170.6,463206
2022-08-10,171.3,172.45,170.5,171.6,257848
2022-08-11,172.4,173.0,165.5,166.75,840532
2022-08-12,166.0,169.0,165.6,168.15,227520
2022-08-16,169.0,169.0,167.5,168.0,149056
2022-08-17,168.95,170.0,168.25,169.3,172822
2022-08-18,169.8,172.6,168.75,171.1,458314
2022-08-19,171.3,173.0,168.55,169.1,206362
2022-08-22,168.5,168.5,164.55,166.0,174398
2022-08-23,165.0,170.0,165.0,168.8,197970
2022-08-24,168.5,171.5,167.9,170.4,190910
2022-08-25,171.0,179.0,170.0,175.6,1862810
2022-08-26,177.45,184.45,176.5,182.2,3543450
2022-08-29,180.0,194.0,178.8,187.9,6048306
2022-08-30,192.4,193.65,187.75,188.3,1640070
2022-09-01,188.5,194.0,188.0,189.85,1825448
2022-09-02,194.5,197.15,188.4,189.7,4412116
2022-09-05,190.9,192.95,187.65,188.5,1074100
2022-09-06,189.5,189.5,185.6,186.6,783782
2022-09-07,186.5,196.4,186.15,194.2,2168838
2022-09-08,196.0,202.35,193.35,198.05,3858604
2022-09-09,198.05,199.75,191.25,192.55,1291748
2022-09-12,193.4,197.8,192.75,195.0,1611938
2022-09-13,196.3,197.45,193.0,193.7,748708
2022-09-14,191.0,193.5,188.75,189.3,674660
2022-09-15,190.4,192.3,186.8,187.95,566160
2022-09-16,188.9,204.3,187.3,191.7,6491168
2022-09-19,192.5,202.5,188.65,200.3,4092340
2022-09-20,202.5,212.0,201.45,209.3,6180454
2022-09-21,212.0,217.1,206.5,213.5,5613502
2022-09-22,214.0,218.9,211.85,216.5,3313876
2022-09-23,216.4,216.5,209.5,213.8,1366996
2022-09-26,213.5,213.5,200.6,208.35,1741576
2022-09-27,209.0,214.0,207.7,211.45,1274996
2022-09-28,210.9,211.45,206.6,209.65,1141206
2022-09-29,212.5,220.4,212.0,216.4,2809090
2022-09-30,217.8,222.4,210.1,220.5,2931916
2022-10-03,219.5,245.8,217.55,242.7,17094616
2022-10-04,241.0,250.35,238.2,248.3,8051250
2022-10-06,249.5,264.75,246.0,253.9,10455732
2022-10-07,254.95,264.75,250.0,262.55,6233456
2022-10-10,262.05,279.9,260.5,263.55,14843952
2022-10-11,266.85,268.0,250.55,253.9,5336646
2022-10-12,253.0,267.5,250.5,263.75,6077994
2022-10-13,266.6,276.2,265.05,271.0,8786476
2022-10-14,276.0,279.4,258.5,260.9,5397260
2022-10-17,261.7,267.35,258.6,262.8,3110088
2022-10-18,264.1,266.7,255.55,257.75,2974656
2022-10-19,259.2,262.5,256.1,260.7,2730996
2022-10-20,260.9,266.1,259.0,264.7,2177606
2022-10-21,262.0,264.35,256.05,258.7,1371888
2022-10-24,260.25,261.1,257.5,258.7,291876
