date,open,high,low,close,volume
2022-01-03,981.4,986.05,969.55,970.65,1463005
2022-01-04,972.2,978.6,965.0,967.1,1267190
2022-01-05,976.0,980.9,951.4,958.1,2684010
2022-01-06,958.1,967.2,945.65,947.9,1908215
2022-01-07,953.9,953.9,938.0,941.7,1335615
2022-01-10,945.7,945.7,931.05,939.8,1575095
2022-01-11,942.0,948.0,932.1,933.85,1547160
2022-01-12,936.0,940.65,926.8,938.7,1188845
2022-01-13,940.0,951.9,936.9,945.2,2270255
2022-01-14,944.05,944.6,932.1,937.85,1594300
2022-01-17,933.1,940.0,921.1,934.5,2693245
2022-01-18,934.0,944.9,924.2,938.7,2122640
2022-01-19,939.0,946.9,931.0,937.0,1539435
2022-01-20,942.4,942.4,914.0,918.3,1588695
2022-01-21,912.25,914.0,887.0,899.25,2787740
2022-01-24,897.2,897.95,862.2,872.85,2782490
2022-01-25,872.85,883.8,860.2,880.55,1704510
2022-01-27,868.0,873.05,846.4,851.25,3527530
2022-01-28,849.75,876.0,835.1,843.7,6514920
2022-01-31,850.0,873.7,848.0,860.55,3092775
2022-02-01,864.0,865.3,851.6,861.9,1858315
2022-02-02,865.0,885.95,863.0,883.05,1525005
2022-02-03,883.6,887.4,872.0,874.95,1107685
2022-02-04,880.9,881.3,867.4,870.4,1234965
2022-02-07,864.0,870.0,850.0,861.85,1279790
2022-02-08,861.8,875.85,856.0,864.4,1982015
2022-02-09,864.45,879.0,862.3,873.75,994400
2022-02-10,877.0,877.75,866.75,874.15,1189325
2022-02-11,862.2,869.9,856.05,865.1,1687690
2022-02-14,850.0,853.3,833.35,840.9,2246930
2022-02-15,846.8,858.9,837.7,855.5,1790055
2022-02-16,855.6,874.55,848.7,863.3,1903065
2022-02-17,864.6,867.05,858.65,860.2,1145155
2022-02-18,856.0,868.6,852.9,864.25,1790540
2022-02-21,875.2,883.35,856.5,859.65,2939755
2022-02-22,838.0,847.1,831.15,843.7,2404200
2022-02-23,852.0,852.15,838.15,840.2,1857420
2022-02-24,810.0,829.8,810.0,818.5,3485635
2022-02-25,822.8,840.2,820.4,835.3,1527165
2022-02-28,830.0,830.0,810.5,812.7,4914250
2022-03-02,812.25,812.7,765.0,770.65,7703175
2022-03-03,775.8,778.85,740.0,743.75,6673625
2022-03-04,742.0,774.8,730.8,765.75,6040250
2022-03-07,749.8,758.4,733.6,753.9,3015430
2022-03-08,750.0,777.4,747.55,773.7,3920845
2022-03-09,780.3,796.25,776.45,786.1,4046845
2022-03-10,795.0,797.3,775.1,778.5,3560495
2022-03-11,778.6,799.2,774.6,795.1,5566315
2022-03-14,792.2,798.95,785.0,791.45,2850290
2022-03-15,791.6,799.8,776.0,779.95,2356470
2022-03-16,794.8,794.8,778.0,788.75,1793880
2022-03-17,793.0,810.0,789.25,808.45,3862935
2022-03-21,814.8,816.6,799.35,801.0,2008195
2022-03-22,804.2,811.4,794.0,806.05,6451110
2022-03-23,808.0,837.8,808.0,825.45,5220570
2022-03-24,822.6,869.7,820.3,865.7,8690735
2022-03-25,865.4,875.0,858.0,872.3,4321985
2022-03-28,871.95,872.6,847.85,857.1,2484535
2022-03-29,858.8,871.1,849.4,864.7,2105420
2022-03-30,870.55,873.3,856.8,870.9,3084130
2022-03-31,870.6,877.5,856.0,859.1,3058595
2022-04-01,859.0,866.95,852.6,855.9,1569355
2022-04-04,868.0,868.0,854.0,863.45,1298870
2022-04-05,867.8,881.6,860.55,866.0,2399325
2022-04-06,866.0,871.0,853.25,855.35,2059755
2022-04-07,859.0,871.4,855.35,863.5,1397010
