date,open,high,low,close,volume
2022-01-03,377,380,374,377,58569
2022-01-04,382,386,377,380,59529
2022-01-05,382,383,375,381,49470
2022-01-06,374,379,374,376,24135
2022-01-07,374,378,373,374,63294
2022-01-10,374,377,373,374,24171
2022-01-11,376,386,375,382,75507
2022-01-12,387,396,382,389,55437
2022-01-13,395,396,385,388,67077
2022-01-14,390,390,382,383,24021
2022-01-17,379,385,375,381,60975
2022-01-18,383,385,378,380,31065
2022-01-19,380,386,374,382,34554
2022-01-20,382,382,374,376,33216
2022-01-21,376,383,370,374,32250
2022-01-24,371,373,360,365,50019
2022-01-25,358,365,351,361,40896
2022-01-27,363,381,358,365,95283
2022-01-28,363,398,363,379,275709
2022-01-31,379,383,369,372,59418
2022-02-01,372,388,364,380,176274
2022-02-02,390,393,377,382,56226
2022-02-03,385,398,378,381,144240
2022-02-04,387,390,370,371,146898
2022-02-07,371,375,367,370,47217
2022-02-08,372,373,362,366,37806
2022-02-09,367,371,359,361,37893
2022-02-10,362,365,357,359,33738
2022-02-11,359,367,356,360,67929
2022-02-14,362,362,350,352,58482
2022-02-15,349,360,349,357,48012
2022-02-16,356,363,355,358,23670
2022-02-17,358,362,354,356,42174
2022-02-18,353,359,353,354,31500
2022-02-21,355,355,335,337,49551
2022-02-22,335,339,327,335,53952
2022-02-23,338,343,337,339,32886
2022-02-24,333,336,311,317,127686
2022-02-25,321,340,321,336,62646
2022-02-28,335,346,328,341,32517
2022-03-02,339,346,336,338,27294
2022-03-03,338,348,335,339,76668
2022-03-04,335,345,331,337,63600
2022-03-07,333,335,326,328,58134
2022-03-08,330,333,326,331,50751
2022-03-09,331,337,331,335,27357
2022-03-10,340,343,336,337,34491
2022-03-11,337,344,335,342,41313
2022-03-14,347,355,342,347,241008
2022-03-15,344,355,335,339,197295
2022-03-16,341,346,338,340,27822
2022-03-17,341,347,341,346,116976
2022-03-21,345,356,345,355,83796
2022-03-22,355,367,349,362,156936
2022-03-23,367,368,355,359,61146
2022-03-24,357,372,356,365,139323
2022-03-25,367,369,350,355,170205
2022-03-28,356,357,342,344,73593
2022-03-29,348,348,336,337,48054
2022-03-30,337,345,337,341,39648
2022-03-31,340,345,335,337,43965
2022-04-01,338,350,337,347,46473
2022-04-04,347,364,347,362,109359
2022-04-05,361,365,358,360,38787
2022-04-06,360,368,359,361,60366
2022-04-07,363,366,350,354,59079
2022-04-08,354,368,354,363,72795
2022-04-11,363,417,363,412,3904656
2022-04-12,410,414,395,408,891819
2022-04-13,410,442,404,431,2746188
2022-04-18,433,453,424,429,1449741
2022-04-19,433,448,422,430,891033
2022-04-20,434,458,433,440,1463919
2022-04-21,446,450,432,435,295239
2022-04-22,433,439,415,419,329169
2022-04-25,419,419,397,400,349959
2022-04-26,403,419,403,413,400380
2022-04-27,412,413,405,408,91878
2022-04-28,415,416,398,400,96834
2022-04-29,404,415,401,405,147855
2022-05-02,406,416,398,404,290868
2022-05-04,404,409,387,392,119175
2022-05-05,397,399,386,391,119520
2022-05-06,390,391,380,386,108885
2022-05-09,380,401,372,392,195645
2022-05-10,397,415,391,398,624075
2022-05-11,403,407,372,376,142695
2022-05-12,373,388,369,378,184593
2022-05-13,380,391,376,380,57591
2022-05-16,375,388,371,377,97362
2022-05-17,379,394,378,389,118215
2022-05-18,395,400,381,387,127719
2022-05-19,375,395,375,393,217701
2022-05-20,394,411,394,405,158028
2022-05-23,409,420,394,399,383970
2022-05-24,403,406,392,398,97131
2022-05-25,394,400,387,390,37743
2022-05-26,389,409,384,405,150915
2022-05-27,419,425,406,408,265512
2022-05-30,416,416,392,397,125331
2022-05-31,402,402,382,384,154269
2022-06-01,388,390,378,381,55353
2022-06-02,383,407,378,403,446979
2022-06-03,407,407,398,400,69804
2022-06-06,402,408,396,400,95376
2022-06-07,398,411,395,405,161634
2022-06-08,409,409,399,401,40176
2022-06-09,403,404,398,402,33771
2022-06-10,398,401,390,392,39279
2022-06-13,390,391,384,385,42372
2022-06-14,377,387,377,385,41892
2022-06-15,380,398,380,390,73527
2022-06-16,394,400,372,376,43956
2022-06-17,377,377,367,368,39738
2022-06-20,367,375,341,352,90945
2022-06-21,352,353,340,349,127461
2022-06-22,347,353,339,342,45606
2022-06-23,343,348,339,341,40947
2022-06-24,343,350,342,348,33579
2022-06-27,351,354,349,351,30780
2022-06-28,351,365,347,360,165618
2022-06-29,360,360,355,356,25455
2022-06-30,358,364,350,353,30792
2022-07-01,363,363,348,356,38361
2022-07-04,358,360,352,355,48969
2022-07-05,356,363,355,357,64614
2022-07-06,357,363,352,358,68682
2022-07-07,358,364,356,361,38850
2022-07-08,363,376,356,357,160599
2022-07-11,357,361,356,359,34212
2022-07-12,360,361,355,357,37188
2022-07-13,358,360,353,354,31689
2022-07-14,356,360,352,357,37872
2022-07-15,358,361,355,359,49782
2022-07-18,360,363,354,358,45891
2022-07-19,357,372,356,367,191685
2022-07-20,371,374,366,370,82110
2022-07-21,372,373,364,368,66633
2022-07-22,370,381,368,377,167409
2022-07-25,379,382,368,371,130638
2022-07-26,368,375,368,372,57519
2022-07-27,368,374,367,371,72954
2022-07-28,373,375,363,366,89673
2022-07-29,368,383,367,380,116250
2022-08-01,402,418,391,395,1215156
2022-08-02,395,398,386,388,143418
2022-08-03,388,390,382,387,68046
2022-08-04,389,400,384,396,126021
2022-08-05,400,400,391,395,98886
2022-08-08,400,406,396,400,140694
2022-08-10,408,410,400,404,108789
2022-08-11,402,402,395,400,68307
2022-08-12,401,401,394,395,45393
2022-08-16,396,397,388,392,117903
2022-08-17,391,405,389,391,147792
2022-08-18,393,396,390,394,75714
2022-08-19,396,398,384,387,193758
2022-08-22,387,387,370,373,133110
2022-08-23,372,380,370,376,52431
2022-08-24,379,385,376,383,75702
2022-08-25,383,389,380,382,74805
2022-08-26,384,385,373,375,142488
2022-08-29,373,373,366,369,107715
2022-08-30,372,374,368,370,148308
2022-09-01,370,373,366,368,147969
2022-09-02,369,371,355,358,380412
2022-09-05,363,363,352,353,163407
2022-09-06,354,360,349,352,129738
2022-09-07,353,373,353,369,365988
2022-09-08,373,382,369,378,212739
2022-09-09,380,380,370,371,84747
2022-09-12,377,382,373,378,121131
2022-09-13,382,393,378,391,286401
2022-09-14,384,399,382,390,177816
2022-09-15,396,396,384,387,99798
2022-09-16,388,392,361,367,202617
2022-09-19,367,384,360,374,223905
2022-09-20,378,380,375,376,42399
2022-09-21,375,380,370,373,68232
2022-09-22,376,383,373,380,111747
2022-09-23,382,396,377,393,476205
2022-09-26,396,403,369,373,612792
2022-09-27,373,387,373,382,205623
2022-09-28,378,381,374,378,63120
2022-09-29,378,381,377,378,37899
2022-09-30,377,386,374,383,91122
2022-10-03,385,392,374,378,207228
2022-10-04,382,405,382,399,705429
2022-10-06,402,422,400,415,777186
2022-10-07,427,442,420,437,740553
2022-10-10,437,448,433,444,700980
2022-10-11,445,449,431,437,296358
2022-10-12,439,442,424,431,270690
2022-10-13,431,442,426,435,455709
2022-10-14,443,445,435,437,151077
2022-10-17,437,476,437,470,1956471
2022-10-18,476,478,460,466,1158756
2022-10-19,467,473,458,460,488703
2022-10-20,460,470,458,468,302439
2022-10-21,471,486,470,474,705462
2022-10-24,484,487,479,484,148719
2022-10-25,486,500,477,497,479418
2022-10-27,500,502,487,492,247827
2022-10-28,487,502,487,490,196221
2022-10-31,490,498,490,495,230091
2022-11-01,495,533,495,530,1998504
2022-11-02,533,543,527,534,604194
2022-11-03,529,540,527,532,238065
2022-11-04,530,560,530,540,1113387
2022-11-07,546,555,540,552,265536
2022-11-09,553,557,538,541,178659
2022-11-10,536,539,524,533,196881
2022-11-11,543,572,536,561,749073
2022-11-14,572,613,567,594,2332152
