date,open,high,low,close,volume
2022-01-03,1886.75,1914.4,1875.0,1903.6,664397
2022-01-04,1919.55,1919.55,1872.25,1890.3,458510
2022-01-05,1890.0,1928.95,1870.0,1920.7,586019
2022-01-06,1909.95,1910.0,1876.75,1903.55,527766
2022-01-07,1910.0,1932.4,1885.0,1891.5,572626
2022-01-10,1901.8,1947.0,1901.8,1921.5,585189
2022-01-11,1923.0,1948.5,1906.6,1913.25,890137
2022-01-12,1930.0,1988.4,1926.85,1956.1,1102410
2022-01-13,1957.95,1957.95,1912.2,1929.9,435700
2022-01-14,1920.0,1969.65,1906.05,1964.35,1012320
2022-01-17,1964.95,1989.9,1938.0,1977.95,798294
2022-01-18,1983.0,2012.5,1894.8,1903.05,1230549
2022-01-19,1898.0,1898.0,1820.4,1851.2,1249679
2022-01-20,1860.5,1879.45,1842.5,1867.0,525825
2022-01-21,1850.0,1858.0,1776.7,1798.85,598677
2022-01-24,1798.85,1800.0,1627.0,1655.9,1351199
2022-01-25,1644.0,1648.5,1560.5,1638.95,3330806
2022-01-27,1624.1,1624.1,1548.0,1609.95,1505371
2022-01-28,1630.0,1705.75,1620.15,1632.1,1100713
2022-01-31,1659.0,1725.0,1656.7,1715.15,1147207
2022-02-01,1749.85,1761.0,1687.3,1721.5,1555314
2022-02-02,1736.0,1786.8,1727.0,1782.2,966243
2022-02-03,1784.9,1792.0,1651.7,1667.85,3044456
2022-02-04,1501.1,1574.8,1500.1,1506.9,8765781
2022-02-07,1590.25,1609.7,1532.15,1561.55,5441200
2022-02-08,1570.0,1579.95,1520.0,1551.2,1668512
2022-02-09,1560.0,1564.0,1537.95,1547.15,1037914
2022-02-10,1556.65,1585.0,1542.0,1576.7,1150733
2022-02-11,1569.9,1580.8,1532.25,1560.45,1067208
2022-02-14,1535.0,1550.0,1459.0,1472.2,1471403
2022-02-15,1496.9,1562.05,1481.1,1554.3,1533031
2022-02-16,1560.0,1628.0,1560.0,1586.9,2687484
2022-02-17,1598.0,1612.0,1585.0,1606.25,959332
2022-02-18,1600.0,1616.65,1562.55,1569.0,929886
2022-02-21,1565.0,1599.45,1537.35,1587.2,944807
2022-02-22,1546.95,1583.7,1530.0,1556.45,785725
2022-02-23,1570.0,1609.0,1567.0,1596.85,949354
2022-02-24,1520.2,1548.0,1443.0,1451.3,1788534
2022-02-25,1500.0,1533.35,1457.85,1471.45,1792611
2022-02-28,1465.0,1510.7,1432.0,1502.15,1440261
2022-03-02,1507.0,1519.5,1481.1,1504.7,1473991
2022-03-03,1529.25,1561.95,1516.35,1539.6,1654795
2022-03-04,1520.0,1532.8,1443.45,1466.3,1542081
2022-03-07,1429.0,1429.0,1350.55,1374.8,1588956
2022-03-08,1374.0,1429.0,1368.0,1424.25,1053313
2022-03-09,1438.0,1480.0,1425.0,1467.3,884502
2022-03-10,1519.0,1519.0,1475.55,1484.0,893869
2022-03-11,1480.0,1501.95,1471.0,1492.8,570819
2022-03-14,1500.0,1504.0,1467.9,1487.35,509386
2022-03-15,1494.8,1536.9,1462.0,1470.95,1619139
2022-03-16,1490.75,1534.75,1490.0,1526.35,972762
2022-03-17,1549.0,1604.2,1545.0,1596.4,1652040
2022-03-21,1609.75,1639.7,1601.45,1607.8,1206242
2022-03-22,1607.0,1607.0,1545.25,1578.95,872990
2022-03-23,1580.0,1611.0,1551.15,1558.5,1008556
2022-03-24,1548.0,1574.45,1533.2,1569.65,790580
2022-03-25,1583.8,1635.5,1575.15,1622.95,1786135
2022-03-28,1631.55,1651.35,1598.2,1628.95,1374928
2022-03-29,1637.0,1664.0,1626.9,1632.3,879939
2022-03-30,1647.9,1676.95,1642.6,1665.6,715374
2022-03-31,1685.0,1685.0,1657.55,1672.2,822933
2022-04-01,1673.2,1698.0,1670.0,1692.15,617371
2022-04-04,1700.65,1715.15,1658.3,1681.75,878744
2022-04-05,1689.0,1693.35,1665.0,1672.05,611044
2022-04-06,1665.0,1690.0,1659.0,1681.65,511082
2022-04-07,1690.1,1699.0,1662.0,1666.85,682723
2022-04-08,1680.0,1682.5,1658.3,1665.25,377738
2022-04-11,1670.25,1705.0,1664.0,1688.55,584430
2022-04-12,1680.0,1682.35,1596.6,1610.95,1008791
2022-04-13,1624.5,1632.0,1598.0,1603.25,274084
2022-04-18,1590.0,1609.15,1550.3,1604.85,412593
