date,open,high,low,close,volume
2022-01-03,742.5,761.5,740.2,759.8,9069184
2022-01-04,760.0,766.4,753.9,764.3,8857352
2022-01-05,768.4,786.0,764.0,782.4,14332638
2022-01-06,771.5,777.4,765.0,769.9,9628930
2022-01-07,772.0,783.4,768.0,775.3,11179384
2022-01-10,779.0,786.0,772.8,779.6,8856496
2022-01-11,780.8,784.4,773.9,783.0,8389198
2022-01-12,784.0,788.3,776.0,778.3,21085530
2022-01-13,777.5,777.5,760.2,764.0,41963896
2022-01-14,765.0,774.4,759.5,772.6,11208968
2022-01-17,765.0,778.0,759.6,760.8,22989372
2022-01-18,766.5,775.4,761.5,764.6,12341152
2022-01-19,767.0,769.9,756.7,759.2,14317626
2022-01-20,764.2,764.2,750.0,754.5,15197846
2022-01-21,750.0,764.9,742.8,760.8,11537694
2022-01-24,755.0,760.6,733.8,743.3,11868508
2022-01-25,729.3,747.5,722.0,744.0,13594248
2022-01-27,725.0,742.5,717.5,737.5,28617838
2022-01-28,738.8,743.4,730.0,731.6,24925208
2022-01-31,736.4,745.8,733.4,742.8,12842546
2022-02-01,754.2,758.5,736.7,748.5,14739484
2022-02-02,756.0,767.5,752.8,765.6,13969290
2022-02-03,764.4,770.0,754.5,757.7,10564762
2022-02-04,764.2,766.4,757.0,762.0,11579958
2022-02-07,756.0,759.5,730.0,734.1,12268042
2022-02-08,738.2,739.2,722.3,730.9,13981130
2022-02-09,737.0,749.8,733.5,748.8,11308342
2022-02-10,757.0,767.8,750.8,762.6,14314530
2022-02-11,750.1,762.5,749.8,759.4,10711104
2022-02-14,745.0,749.7,734.6,736.8,14656620
2022-02-15,738.0,762.4,736.5,758.9,13135066
2022-02-16,767.2,767.4,753.5,757.9,10032264
2022-02-17,756.6,761.0,751.0,753.2,7351208
2022-02-18,749.2,758.5,745.2,756.2,7796128
2022-02-21,752.0,765.4,747.8,761.0,7468066
2022-02-22,744.9,761.0,744.0,755.4,9536196
2022-02-23,762.6,762.8,747.8,750.4,9029562
2022-02-24,725.0,737.5,703.6,709.7,23630766
2022-02-25,720.0,733.0,716.4,728.0,18318654
2022-02-28,713.0,719.3,707.0,713.1,24880832
2022-03-02,693.2,699.2,677.2,687.1,38505560
2022-03-03,690.5,696.0,681.4,685.5,17527922
2022-03-04,680.0,693.0,668.4,683.2,21219364
2022-03-07,659.2,666.2,648.5,662.4,27054458
2022-03-08,651.1,667.0,646.0,663.9,39212492
2022-03-09,665.0,687.4,659.4,685.6,23134694
2022-03-10,713.5,713.5,690.1,696.4,22273206
2022-03-11,694.0,704.5,686.4,698.4,15150780
2022-03-14,707.5,725.0,707.5,721.3,25018126
2022-03-15,721.8,724.8,705.9,712.0,18867928
