date,open,high,low,close,volume
2022-01-03,1887.75,1914.05,1887.75,1898.45,3329616
2022-01-04,1898.45,1906.65,1878.0,1899.15,3921999
2022-01-05,1900.0,1902.9,1840.0,1844.65,6995719
2022-01-06,1828.0,1828.0,1800.0,1817.8,6449205
2022-01-07,1815.45,1836.0,1806.8,1814.3,4834389
2022-01-10,1815.0,1869.9,1813.0,1850.75,7857560
2022-01-11,1855.0,1870.0,1850.15,1855.6,5142287
2022-01-12,1868.9,1889.0,1860.0,1877.45,5362535
2022-01-13,1905.0,1912.5,1866.35,1896.8,14277630
2022-01-14,1882.0,1933.0,1881.0,1929.35,7688506
2022-01-17,1938.55,1953.9,1930.5,1939.5,5262464
2022-01-18,1922.1,1945.0,1911.45,1920.75,3690315
2022-01-19,1916.0,1916.0,1862.85,1867.05,5747770
2022-01-20,1844.0,1848.0,1815.5,1823.7,5533463
2022-01-21,1795.0,1808.0,1776.0,1785.7,8252758
2022-01-24,1765.0,1768.65,1728.0,1736.8,7116712
2022-01-25,1726.6,1740.0,1700.5,1722.15,9137653
2022-01-27,1702.0,1709.7,1665.0,1678.6,11231734
2022-01-28,1681.0,1727.55,1679.5,1686.2,10998502
2022-01-31,1718.0,1749.5,1715.35,1736.2,8788872
2022-02-01,1766.1,1780.0,1734.7,1772.05,5119935
2022-02-02,1789.0,1792.8,1772.0,1787.1,4253717
2022-02-03,1779.0,1779.0,1734.0,1738.55,3832922
2022-02-04,1732.0,1753.95,1710.15,1741.1,4700077
2022-02-07,1722.2,1732.0,1695.4,1715.0,4310209
2022-02-08,1710.0,1725.0,1696.0,1717.3,6053401
2022-02-09,1735.0,1743.0,1725.0,1737.3,3867244
2022-02-10,1755.65,1773.9,1748.75,1769.6,4334630
2022-02-11,1740.0,1745.95,1713.0,1721.35,7551371
2022-02-14,1690.0,1718.55,1678.25,1682.2,7459637
2022-02-15,1699.0,1746.75,1690.45,1738.25,4669915
2022-02-16,1738.25,1755.45,1726.85,1733.3,5350642
2022-02-17,1744.0,1749.0,1720.3,1724.8,3937950
2022-02-18,1710.0,1722.5,1703.5,1706.95,5602215
2022-02-21,1701.0,1737.3,1691.5,1730.7,5120890
2022-02-22,1699.9,1751.0,1691.05,1734.35,8878515
2022-02-23,1750.0,1758.25,1733.4,1742.85,5478811
2022-02-24,1690.1,1714.95,1670.5,1678.15,13592379
2022-02-25,1715.0,1728.15,1677.0,1694.6,9737281
2022-02-28,1682.2,1728.05,1665.0,1715.6,15076542
2022-03-02,1710.0,1714.4,1691.0,1702.8,6771489
2022-03-03,1720.2,1733.9,1705.55,1720.85,7344147
2022-03-04,1695.25,1736.0,1681.0,1723.3,9074499
2022-03-07,1697.0,1751.0,1696.0,1739.85,9742588
2022-03-08,1718.45,1800.0,1718.45,1778.2,10984500
2022-03-09,1791.0,1831.6,1791.0,1813.35,10193515
2022-03-10,1844.75,1844.75,1810.2,1825.9,6547182
2022-03-11,1814.0,1831.4,1811.0,1822.0,4758657
2022-03-14,1831.55,1895.0,1831.55,1890.7,10289724
