date,open,high,low,close,volume
2022-01-03,56.36,57.51,56.28,57.27,10026563
2022-01-04,57.74,58.51,57.46,57.98,8322089
2022-01-05,57.98,60.12,57.79,59.97,21374004
2022-01-06,60.02,60.26,57.31,59.97,10795557
2022-01-07,60.26,61.21,59.79,60.78,11303519
2022-01-10,61.12,61.83,60.64,61.54,9923601
2022-01-11,62.02,62.02,60.59,60.83,8919054
2022-01-12,61.21,61.73,60.69,61.21,10748385
2022-01-13,61.5,62.68,61.02,62.45,12559629
2022-01-14,62.68,64.53,62.58,63.82,22431008
2022-01-17,64.91,64.91,63.78,64.11,14548523
2022-01-18,64.39,65.25,63.87,64.25,21395780
2022-01-19,64.01,65.29,63.63,64.96,14870111
2022-01-20,64.96,65.48,64.48,65.2,10007508
2022-01-21,64.25,65.2,62.2,62.82,14728332
2022-01-24,62.35,63.3,61.68,61.97,19665839
2022-01-25,61.87,62.82,61.3,62.63,9651480
2022-01-27,62.3,64.11,61.59,63.45,12890339
2022-01-28,63.82,66.19,63.82,64.35,14995070
2022-01-31,65.96,66.81,64.39,65.01,19787082
2022-02-01,65.53,65.53,61.4,62.82,34627617
2022-02-02,63.3,64.86,63.11,64.53,14749194
2022-02-03,65.15,65.43,64.35,64.68,13117139
2022-02-04,64.81,65.1,64.06,64.35,10723602
2022-02-07,64.58,64.63,63.3,63.58,13452374
2022-02-08,63.68,63.96,61.73,62.58,23545662
2022-02-09,60.78,62.82,60.31,62.4,17581473
2022-02-10,62.45,62.63,61.5,61.68,18120168
2022-02-11,61.4,63.4,61.12,63.01,26486850
2022-02-14,62.35,62.35,59.31,59.55,16463771
2022-02-15,59.84,61.12,58.26,60.92,12978224
2022-02-16,61.25,63.11,61.25,62.68,17673191
2022-02-17,63.53,64.25,62.07,62.63,16774602
2022-02-18,62.63,63.2,62.12,62.45,7978566
2022-02-21,61.73,62.45,60.83,61.21,8595443
2022-02-22,59.84,60.87,59.5,59.88,11409611
2022-02-23,60.35,60.64,59.5,59.92,8525216
2022-02-24,58.55,59.31,54.94,55.41,19848141
2022-02-25,57.31,60.78,56.03,56.89,28048713
2022-02-28,57.18,59.31,55.8,58.55,24781799
2022-03-02,57.79,59.45,56.31,56.84,22390247
2022-03-03,58.55,59.5,57.31,58.36,28291584
2022-03-04,58.55,58.84,57.18,57.46,25005861
2022-03-07,57.89,57.89,56.18,56.84,25392554
2022-03-08,56.65,60.31,56.41,59.88,33483860
2022-03-09,61.02,61.02,59.07,59.79,23476055
2022-03-10,61.12,62.63,60.26,62.35,27592385
2022-03-11,62.25,64.53,61.97,64.06,18598244
2022-03-14,64.81,64.81,61.78,62.25,22317815
2022-03-15,62.25,62.4,60.59,61.12,16501842
2022-03-16,61.92,63.4,61.4,62.97,15176753
2022-03-17,63.25,63.58,61.78,62.58,41700111
2022-03-21,62.87,62.87,60.35,60.45,18166521
2022-03-22,61.12,62.92,60.78,62.16,30929289
2022-03-23,62.92,63.63,62.16,62.82,25271163
2022-03-24,62.87,63.11,61.97,62.12,12377631
2022-03-25,61.78,62.25,60.83,60.97,12238472
2022-03-28,61.35,62.16,60.26,61.68,15342876
2022-03-29,61.92,62.54,60.45,60.64,14627075
2022-03-30,61.54,61.54,59.26,59.97,159640347
2022-03-31,60.45,62.35,60.45,61.07,31701618
2022-04-01,61.17,63.3,61.12,63.06,16052676
2022-04-04,63.06,63.63,62.82,63.2,14095200
2022-04-05,63.48,63.96,63.2,63.4,13071195
2022-04-06,63.3,65.76,62.68,65.58,23580341
2022-04-07,64.44,66.01,63.78,63.96,30238785
2022-04-08,64.81,66.48,64.3,66.15,21699732
2022-04-11,66.1,67.71,65.91,67.34,19137452
2022-04-12,67.09,67.29,65.01,65.58,14583674
2022-04-13,65.58,67.43,65.29,66.72,17675811
2022-04-18,66.62,67.09,65.86,66.86,17471850
2022-04-19,67.62,69.95,67.09,68.24,30183165
2022-04-20,68.71,70.8,68.47,70.23,28690067
2022-04-21,70.9,71.47,70.23,71.28,22154312
2022-04-22,71.18,71.9,70.52,70.8,13678113
2022-04-25,69.85,69.95,66.43,66.62,16604310
2022-04-26,67.67,68.04,66.62,67.48,14133414
2022-04-27,66.53,67.43,64.96,66.39,14967738
2022-04-28,67.76,68.24,66.53,68.04,15773589
2022-04-29,68.95,68.95,65.29,65.53,13013304
2022-05-02,65.48,66.34,64.25,65.96,8623737
2022-05-04,66.06,67.24,64.96,65.43,8118435
2022-05-05,66.15,66.91,65.01,65.34,8015141
2022-05-06,64.91,66.62,63.4,65.68,13680674
2022-05-09,65.29,65.29,62.58,64.25,12361746
2022-05-10,64.53,65.72,62.54,63.01,15563373
2022-05-11,63.87,64.53,61.02,62.02,14615373
2022-05-12,62.02,64.25,61.45,63.06,30617643
2022-05-13,64.91,65.06,62.16,62.54,22601469
2022-05-16,64.25,64.25,62.16,63.06,12566889
2022-05-17,65.53,65.53,62.73,64.53,27391533
2022-05-18,64.25,64.53,60.31,60.5,64902470
2022-05-19,59.84,60.74,58.89,59.97,21865050
2022-05-20,61.12,61.21,59.31,59.79,24237945
2022-05-23,60.21,60.83,59.64,60.26,17487906
2022-05-24,60.26,61.5,59.97,60.92,18454173
2022-05-25,61.3,61.4,58.08,58.46,17317286
2022-05-26,58.55,59.07,56.56,58.08,23782919
2022-05-27,58.84,58.93,57.41,58.03,11616971
2022-05-30,58.74,59.36,57.98,59.26,12222629
2022-05-31,59.02,60.17,58.89,59.22,19925846
2022-06-01,59.84,61.12,59.69,60.59,16686021
2022-06-02,61.02,61.25,59.22,60.26,16274652
2022-06-03,60.5,61.12,60.35,60.64,13564659
2022-06-06,60.64,60.83,59.5,60.17,12162842
2022-06-07,60.07,61.4,59.59,60.59,14801012
2022-06-08,60.87,61.21,60.26,60.45,12953039
2022-06-09,60.45,62.16,59.79,60.64,32112393
2022-06-10,60.4,60.45,59.5,59.97,16173467
2022-06-13,59.41,59.41,57.31,57.69,15123129
2022-06-14,57.64,57.93,55.41,55.56,23524400
2022-06-15,56.03,56.03,54.33,54.9,14386730
2022-06-16,55.75,55.84,53.8,54.23,14897513
2022-06-17,54.13,54.13,51.34,51.72,23651414
2022-06-20,52.28,52.52,50.05,51.0,19163382
2022-06-21,51.62,53.04,51.34,52.7,14169558
2022-06-22,52.85,53.23,51.34,52.57,18641673
2022-06-23,52.85,53.9,52.33,53.7,16579253
2022-06-24,53.9,54.56,53.7,54.47,11807979
2022-06-27,55.41,55.94,54.66,55.13,17830736
2022-06-28,55.08,55.8,53.85,54.33,22631172
2022-06-29,54.51,55.41,54.13,55.28,18903900
2022-06-30,55.98,57.93,55.75,56.28,34424950
2022-07-01,56.98,57.13,54.94,56.56,22029311
2022-07-04,56.7,56.7,55.37,56.36,12798384
2022-07-05,56.51,56.51,55.46,55.65,17464685
2022-07-06,56.03,56.61,54.37,54.7,21856830
2022-07-07,55.37,55.37,54.28,54.8,17846046
2022-07-08,55.08,55.32,54.33,54.8,11692575
2022-07-11,54.8,54.94,54.18,54.66,11548617
2022-07-12,54.56,54.61,52.62,52.85,16729806
2022-07-13,52.85,53.14,52.47,52.62,13704386
2022-07-14,52.62,53.18,52.42,52.95,8917897
2022-07-15,52.9,53.28,52.24,52.57,7310057
2022-07-18,52.9,53.42,52.57,53.33,6697658
2022-07-19,53.42,54.28,53.18,54.13,7585011
2022-07-20,55.08,55.18,54.33,54.47,10590222
2022-07-21,54.47,54.85,53.52,54.66,9537111
2022-07-22,54.98,55.03,54.13,54.28,8740051
2022-07-25,54.33,54.47,53.42,54.23,10124538
2022-07-26,54.23,54.28,53.61,53.8,8202210
2022-07-27,53.9,54.42,53.57,54.23,8726504
2022-07-28,54.18,54.75,54.04,54.18,11715079
2022-07-29,54.61,55.32,54.37,55.03,16983013
2022-08-01,54.61,54.61,53.0,53.28,30168751
2022-08-02,53.57,54.23,53.42,54.08,15655719
2022-08-03,54.42,54.51,52.95,53.18,18893830
2022-08-04,53.66,53.75,52.75,53.37,25024630
2022-08-05,53.61,55.37,53.09,55.18,48935830
2022-08-08,55.18,55.8,54.51,55.41,16091607
2022-08-10,55.7,55.75,54.51,54.61,29085499
2022-08-11,53.52,53.52,52.8,53.14,16670568
2022-08-12,53.14,53.85,53.0,53.7,12294928
2022-08-16,53.9,55.32,53.42,55.23,26772067
2022-08-17,55.37,55.84,55.28,55.41,18542371
2022-08-18,55.56,55.7,54.56,54.75,18850835
2022-08-19,54.75,54.85,53.95,54.28,13357442
2022-08-22,54.23,54.28,53.09,53.47,13714233
2022-08-23,53.0,53.75,52.95,53.23,11581331
2022-08-24,53.42,53.61,52.47,52.75,19584234
2022-08-25,53.09,54.08,53.0,53.61,13090152
2022-08-26,54.0,54.42,53.85,54.04,10546886
2022-08-29,53.33,53.61,52.57,53.23,14387511
2022-08-30,53.61,54.0,53.52,53.66,14284488
2022-09-01,53.18,53.66,53.0,53.33,17854146
2022-09-02,53.61,53.7,53.04,53.47,13349456
2022-09-05,53.66,53.8,53.04,53.14,11658725
2022-09-06,53.33,53.37,52.8,52.9,10545363
2022-09-07,53.0,53.7,52.9,53.57,19254652
2022-09-08,54.04,55.8,53.95,55.13,24401527
2022-09-09,55.37,55.46,54.47,54.66,9906299
2022-09-12,54.94,55.03,54.08,54.75,21463828
2022-09-13,55.13,55.18,54.13,54.37,11555561
2022-09-14,54.08,54.37,53.75,53.95,9024753
2022-09-15,54.13,54.33,53.47,53.7,9985561
2022-09-16,53.7,53.85,51.76,52.19,25993505
2022-09-19,52.47,52.62,51.85,51.9,13595148
2022-09-20,52.24,52.37,51.34,51.38,20693245
2022-09-21,51.57,51.57,50.52,50.76,24710729
2022-09-22,50.52,50.57,49.86,50.14,15775504
2022-09-23,50.14,50.29,49.57,49.81,13578280
2022-09-26,49.57,49.76,48.34,48.48,19194238
2022-09-27,48.81,49.48,48.53,49.14,14140070
2022-09-28,48.81,48.81,48.01,48.2,15974881
2022-09-29,48.53,49.67,47.68,48.34,24560255
2022-09-30,48.39,49.57,47.96,49.34,16041026
