date,open,high,low,close,volume
2022-01-03,1124.0,1139.5,1115.5,1126.5,1075155
2022-01-04,1136.0,1136.0,1110.0,1122.0,944060
2022-01-05,1122.0,1129.0,1103.0,1123.5,1208575
2022-01-06,1110.0,1118.0,1096.5,1114.5,949060
2022-01-07,1127.0,1133.5,1115.5,1127.0,973170
2022-01-10,1127.0,1130.0,1106.5,1111.5,875580
2022-01-11,1101.5,1134.5,1100.5,1127.5,1857355
2022-01-12,1136.0,1139.5,1106.5,1126.5,2546040
2022-01-13,1129.0,1129.0,1111.0,1118.0,910975
2022-01-14,1114.0,1149.5,1100.0,1139.0,2440655
2022-01-17,1152.0,1152.5,1123.0,1130.5,1776735
2022-01-18,1135.0,1138.0,1053.5,1069.0,2226635
2022-01-19,1075.0,1075.0,1000.0,1003.5,6071595
2022-01-20,1010.0,1018.0,990.0,1001.5,3783040
2022-01-21,1000.0,1000.0,948.0,952.5,4904760
2022-01-24,952.5,953.0,881.5,901.5,4755690
2022-01-25,894.0,930.5,864.0,903.5,4011090
2022-01-27,899.5,899.5,857.0,879.0,3421265
2022-01-28,884.0,916.5,876.0,881.0,2713910
2022-01-31,918.0,999.0,910.0,980.0,10351140
2022-02-01,999.5,1010.0,971.0,1000.0,5116490
2022-02-02,999.0,1028.0,990.0,1023.0,2361125
2022-02-03,1014.0,1022.0,992.0,999.0,1876335
2022-02-04,992.0,1000.0,966.5,969.0,2201665
2022-02-07,970.0,980.5,951.5,959.5,1374335
2022-02-08,960.0,983.5,951.0,955.0,1766215
2022-02-09,964.0,991.5,964.0,982.5,1931810
2022-02-10,992.0,1004.0,968.0,977.5,1320025
2022-02-11,960.0,968.0,916.0,919.0,4628675
2022-02-14,879.5,914.0,860.5,902.5,1905985
2022-02-15,909.5,940.0,901.0,936.5,1916575
2022-02-16,946.0,946.0,913.0,916.0,1845155
2022-02-17,919.0,926.5,905.0,909.5,1735975
2022-02-18,903.0,907.0,876.5,885.5,2627850
2022-02-21,876.0,911.5,870.5,888.5,2680920
2022-02-22,877.5,902.0,864.5,892.0,2682330
2022-02-23,905.0,905.5,879.0,882.5,1660440
2022-02-24,867.0,872.0,848.0,856.0,3393985
2022-02-25,861.5,907.5,861.5,890.0,1790215
2022-02-28,880.0,898.0,869.0,891.0,2279210
2022-03-02,887.0,920.0,882.0,913.5,3077645
2022-03-03,920.0,935.0,914.0,918.0,1564950
2022-03-04,913.5,916.0,865.0,868.0,2617875
2022-03-07,859.0,870.0,841.5,857.5,1643320
2022-03-08,861.5,879.0,856.0,877.0,1170275
2022-03-09,890.0,922.0,877.0,912.5,1745505
2022-03-10,936.0,945.0,916.5,923.5,1507605
2022-03-11,914.0,926.0,900.0,923.0,1141470
2022-03-14,916.5,930.0,901.0,905.5,1181770
2022-03-15,900.0,908.0,876.0,888.5,2325670
2022-03-16,900.0,902.5,880.0,895.0,2566790
2022-03-17,910.0,939.0,899.5,915.5,5026460
2022-03-21,924.0,952.0,918.0,928.5,3114995
2022-03-22,931.0,958.5,912.0,952.0,3317510
2022-03-23,959.5,962.0,921.0,925.0,3413470
2022-03-24,920.0,927.0,903.0,906.0,2379835
2022-03-25,914.5,919.0,894.0,899.0,1924825
2022-03-28,903.0,904.0,871.0,878.5,2991300
2022-03-29,884.0,903.5,884.0,898.5,1314195
2022-03-30,908.0,926.0,906.0,924.0,2146895
2022-03-31,920.0,928.0,899.0,902.0,1634705
2022-04-01,906.5,923.0,894.5,920.0,904455
2022-04-04,920.0,940.5,919.5,937.0,1137525
2022-04-05,942.0,961.0,932.0,949.0,2234650
2022-04-06,944.0,956.0,936.0,946.0,1689930
2022-04-07,950.0,970.0,938.0,963.5,2306225
2022-04-08,976.5,976.5,958.5,970.0,1154000
2022-04-11,970.0,983.5,960.5,976.5,1504290
2022-04-12,976.0,976.0,946.0,957.5,1361650
2022-04-13,957.0,960.0,946.5,951.0,593090
2022-04-18,945.0,947.0,921.0,933.5,1161980
