date,open,high,low,close,volume
2022-01-03,984.8,990.7,981.9,983.9,517380
2022-01-04,983.9,997.4,981.4,994.4,700680
2022-01-05,993.7,1001.2,991.4,996.8,648640
2022-01-06,987.5,996.8,976.8,982.4,614180
2022-01-07,982.5,998.0,979.4,995.2,979660
2022-01-10,995.2,998.4,984.0,985.4,412340
2022-01-11,977.5,991.2,977.5,988.1,635760
2022-01-12,992.5,992.5,983.0,985.4,474220
2022-01-13,987.5,987.5,980.0,985.7,707660
2022-01-14,985.7,986.0,963.5,970.0,743800
2022-01-17,970.0,975.8,955.6,966.6,728060
2022-01-18,964.1,972.5,959.4,969.0,724160
2022-01-19,968.5,972.2,928.6,946.8,1647660
2022-01-20,940.0,954.0,930.2,936.7,1581120
2022-01-21,933.0,953.1,930.5,948.7,1104820
2022-01-24,948.7,952.0,930.0,935.9,1068740
2022-01-25,928.6,944.2,915.6,939.6,1157600
2022-01-27,927.5,939.5,910.9,919.3,1085180
2022-01-28,920.0,932.4,916.4,919.2,748460
2022-01-31,921.4,932.0,921.4,926.1,595220
2022-02-01,930.0,938.9,921.0,933.6,535820
2022-02-02,941.0,942.5,922.0,925.0,1208320
2022-02-03,921.0,929.0,913.0,915.3,687080
2022-02-04,920.0,920.0,910.2,916.6,898480
2022-02-07,916.6,921.0,895.6,903.6,969380
2022-02-08,910.2,910.7,899.5,904.4,787700
2022-02-09,904.5,911.8,901.1,906.8,964860
2022-02-10,905.0,910.6,900.5,907.0,1008440
2022-02-11,906.8,906.8,881.0,890.8,1919600
2022-02-14,885.8,890.0,871.5,883.5,858340
2022-02-15,883.5,916.2,878.6,909.4,1003400
2022-02-16,908.4,919.9,901.7,911.2,808200
2022-02-17,920.0,920.0,898.0,906.3,2276800
2022-02-18,899.4,911.6,890.6,900.5,1926560
2022-02-21,898.8,908.0,891.2,905.3,740720
2022-02-22,899.2,909.7,887.0,905.6,1261740
2022-02-23,905.6,910.5,891.8,896.3,1184960
2022-02-24,886.5,898.4,878.0,887.2,2242100
2022-02-25,890.0,894.8,880.0,885.8,1619780
2022-02-28,885.0,888.5,866.5,882.0,3157460
2022-03-02,880.0,894.5,872.8,892.2,1732620
2022-03-03,894.0,894.0,869.5,871.8,1339280
2022-03-04,865.0,877.2,851.0,869.6,1034100
2022-03-07,855.0,870.4,852.0,867.1,1330840
2022-03-08,865.0,876.5,848.2,863.2,1954480
2022-03-09,869.0,869.0,853.3,857.3,1422440
2022-03-10,865.0,884.2,861.0,882.4,1329780
2022-03-11,880.0,880.9,861.5,866.4,1465580
2022-03-14,873.9,873.9,857.9,868.4,773300
2022-03-15,871.0,878.0,862.2,873.1,1244220
2022-03-16,880.5,894.3,873.6,891.2,967800
2022-03-17,889.3,918.8,889.3,914.2,2017800
2022-03-21,917.5,918.5,890.7,893.8,806700
2022-03-22,886.4,893.5,862.7,871.4,2804480
2022-03-23,876.8,877.5,863.0,867.2,1185580
2022-03-24,866.4,875.0,863.0,870.4,863620
2022-03-25,873.9,873.9,853.8,858.0,1064340
2022-03-28,862.5,867.4,839.5,843.0,1602220
2022-03-29,845.0,850.0,841.0,846.1,1675180
2022-03-30,855.4,867.4,851.1,864.9,1499400
2022-03-31,862.5,871.7,860.2,869.0,1245620
2022-04-01,869.0,880.4,862.5,877.8,623180
2022-04-04,880.5,893.3,873.1,891.0,795680
2022-04-05,891.3,903.0,885.9,901.2,795640
2022-04-06,898.8,913.0,893.2,910.8,941160
2022-04-07,907.5,912.5,899.2,909.4,749740
2022-04-08,907.6,924.8,903.5,922.6,685620
2022-04-11,920.9,926.0,910.6,921.3,753380
2022-04-12,913.8,925.0,911.1,920.9,1098000
2022-04-13,923.8,927.4,912.5,919.1,546600
2022-04-18,915.0,934.3,915.0,928.1,1075460
2022-04-19,927.0,936.2,891.6,897.4,1318840
2022-04-20,910.0,921.0,899.5,915.2,1763540
