date,open,high,low,close,volume
2022-01-03,862.0,901.6,862.0,888.3,1448481
2022-01-04,892.0,912.65,885.1,896.0,1290009
2022-01-05,896.0,934.0,883.0,923.85,1378550
2022-01-06,928.0,929.0,903.65,910.5,1259217
2022-01-07,917.0,931.5,905.0,910.95,1296506
2022-01-10,939.95,950.0,925.3,940.6,2259639
2022-01-11,935.0,951.75,913.45,932.65,1089743
2022-01-12,942.75,977.75,935.45,972.95,2374217
2022-01-13,969.0,969.0,942.85,945.65,855970
2022-01-14,944.0,981.8,935.1,973.95,1247444
2022-01-17,975.0,982.75,951.6,975.65,707041
2022-01-18,984.0,997.85,933.15,941.6,1987220
2022-01-19,940.0,964.0,923.05,950.3,1077245
2022-01-20,951.05,954.75,928.35,935.95,514439
2022-01-21,935.0,952.45,916.85,932.4,1017868
2022-01-24,931.0,931.0,882.5,893.65,1496897
2022-01-25,878.0,910.0,855.05,901.8,1696400
2022-01-27,884.0,892.0,871.0,886.5,1212694
2022-01-28,899.9,926.0,889.5,893.7,973619
2022-01-31,895.0,926.95,893.7,915.8,825108
2022-02-01,927.45,974.0,920.25,968.7,2495695
2022-02-02,968.0,974.3,942.1,954.9,1017403
2022-02-03,959.0,965.7,915.3,949.65,983355
2022-02-04,960.0,998.9,938.0,946.05,3530406
2022-02-07,928.1,938.5,905.55,916.9,1067062
2022-02-08,921.0,928.7,898.05,909.75,592290
2022-02-09,911.4,942.3,911.4,938.05,723669
2022-02-10,942.4,949.0,930.4,939.2,484049
2022-02-11,929.8,934.0,909.0,912.1,412521
2022-02-14,900.0,902.55,861.0,866.45,1320077
2022-02-15,871.0,914.25,851.85,901.05,831729
2022-02-16,913.0,932.3,900.6,904.4,700381
2022-02-17,910.0,915.05,892.45,897.95,388033
2022-02-18,889.0,910.0,887.35,891.35,310326
2022-02-21,883.35,904.55,874.45,892.55,484643
2022-02-22,872.0,898.9,865.0,892.0,911522
2022-02-23,897.65,939.7,897.65,932.85,1685020
2022-02-24,900.0,914.75,841.5,858.55,1124077
2022-02-25,880.0,912.0,880.0,899.2,822320
2022-02-28,889.2,911.85,876.1,907.2,490295
2022-03-02,894.0,901.15,888.0,891.15,492731
2022-03-03,904.9,911.4,861.0,870.2,918318
2022-03-04,863.0,874.05,841.9,845.3,702235
2022-03-07,833.0,833.0,786.0,797.35,1124903
2022-03-08,796.5,838.95,788.3,832.45,778796
