date,open,high,low,close,volume
2022-01-03,131.65,132.7,130.6,132.35,3765911
2022-01-04,132.35,137.5,132.35,136.7,16351836
2022-01-05,137.4,139.75,136.3,139.1,12977680
2022-01-06,139.3,140.05,137.25,139.5,9012777
2022-01-07,140.15,145.7,140.0,145.3,30889365
2022-01-10,146.35,147.45,144.65,146.45,16418985
2022-01-11,146.9,149.55,145.8,148.85,14457548
2022-01-12,150.45,153.3,149.3,152.55,21220614
2022-01-13,152.55,153.1,150.8,151.7,7445346
2022-01-14,150.7,151.05,148.2,148.95,11646259
2022-01-17,150.3,155.6,150.15,153.45,32577835
2022-01-18,155.7,155.8,151.15,151.6,11175409
2022-01-19,152.9,158.2,152.5,157.5,36648534
2022-01-20,158.15,158.15,154.05,154.3,14474454
2022-01-21,152.9,153.95,150.15,151.4,8625926
2022-01-24,152.8,155.7,151.5,153.3,28783449
2022-01-25,150.75,154.2,150.75,152.75,14249846
2022-01-27,152.7,156.1,152.15,153.3,25936832
2022-01-28,155.0,161.6,153.8,156.15,32790065
2022-01-31,158.7,161.75,156.8,159.7,24031034
2022-02-01,160.95,161.8,155.9,158.15,14220953
2022-02-02,157.8,161.0,157.75,158.4,12478192
2022-02-03,157.25,158.35,153.6,154.95,12529302
2022-02-04,157.25,159.8,156.35,156.85,17434362
2022-02-07,157.95,160.25,156.5,159.2,11723574
2022-02-08,159.1,160.05,154.05,154.4,13231599
2022-02-09,155.3,156.85,150.85,151.7,17938632
2022-02-10,153.45,157.65,152.75,156.4,26763203
2022-02-11,155.35,157.75,154.55,155.55,12884995
2022-02-14,156.2,163.1,152.8,153.75,44604164
2022-02-15,157.25,157.25,144.65,151.9,31146458
2022-02-16,152.15,156.2,152.15,155.95,15960268
2022-02-17,155.95,159.5,155.9,158.85,24640791
2022-02-18,158.3,158.85,154.2,155.3,11829998
2022-02-21,154.85,155.0,150.8,151.15,14222260
2022-02-22,154.05,154.05,151.0,152.55,29399172
2022-02-23,153.8,153.95,147.7,148.7,21301826
2022-02-24,148.7,150.2,144.25,144.9,28766189
2022-02-25,147.45,148.35,145.05,147.55,20225258
2022-02-28,148.45,149.75,144.1,148.6,20210070
2022-03-02,153.25,155.75,149.8,150.7,41103406
2022-03-03,155.7,158.9,150.65,157.55,42345653
2022-03-04,157.35,158.2,151.6,152.85,32658756
2022-03-07,154.55,175.6,154.55,172.9,132538155
2022-03-08,175.8,180.35,164.45,165.7,73127816
2022-03-09,169.3,170.05,160.8,162.2,51977091
2022-03-10,155.65,163.65,152.6,161.3,62112814
2022-03-11,159.6,163.15,158.8,162.5,26187452
2022-03-14,160.95,162.3,157.85,158.9,20214021
2022-03-15,155.7,156.75,149.55,151.5,42333127
2022-03-16,153.6,155.25,149.75,154.75,25545119
2022-03-17,154.1,158.6,152.2,157.55,66314748
2022-03-21,158.8,161.9,157.55,159.65,20614652
2022-03-22,163.0,167.7,160.75,162.25,39742745
2022-03-23,163.25,164.35,161.75,162.4,10994784
2022-03-24,165.5,166.85,163.25,164.2,20332589
2022-03-25,165.1,165.85,162.0,162.6,13608989
2022-03-28,162.3,164.55,161.55,163.1,15253027
2022-03-29,161.85,162.1,157.8,158.2,14210783
2022-03-30,150.75,152.45,149.05,149.9,95239532
2022-03-31,149.75,152.85,149.05,151.65,33523683
2022-04-01,151.65,155.65,151.3,155.35,28335224
2022-04-04,154.4,156.35,152.95,155.45,17745513
2022-04-05,157.5,159.85,156.6,158.95,20054934
2022-04-06,157.85,160.45,157.55,159.9,12969222
2022-04-07,157.85,160.75,155.6,156.2,24550313
2022-04-08,156.3,158.4,156.1,158.15,9529874
2022-04-11,158.2,159.85,156.8,158.3,9724979
2022-04-12,158.2,159.3,155.6,156.2,13184429
2022-04-13,158.5,161.75,157.95,161.2,23458303
2022-04-18,162.8,165.6,162.0,162.6,23916912
2022-04-19,164.05,166.3,162.8,163.9,17880666
2022-04-20,163.65,164.1,161.7,162.3,10076403
2022-04-21,162.5,163.45,160.85,161.1,12246720
2022-04-22,161.1,163.1,160.65,160.95,10267952
2022-04-25,158.2,160.05,155.7,156.9,12583497
2022-04-26,158.25,158.8,153.3,154.4,20086229
2022-04-27,155.35,156.2,151.1,152.45,13981957
2022-04-28,153.6,153.6,150.25,152.4,13030499
2022-04-29,154.05,154.9,147.55,148.4,15964743
2022-05-02,146.25,147.3,144.2,144.6,23405519
2022-05-04,147.1,150.55,146.1,150.1,23661920
2022-05-05,151.95,155.8,151.15,152.45,26878516
2022-05-06,151.65,154.85,149.0,154.4,16768573
2022-05-09,152.85,154.75,150.5,152.35,9952775
2022-05-10,148.4,149.55,141.45,142.85,22602956
2022-05-11,142.4,148.0,142.25,146.7,15084514
2022-05-12,147.1,148.9,142.4,144.75,21459069
2022-05-13,148.0,148.25,141.5,142.05,12934346
2022-05-16,142.6,144.5,140.4,142.0,13205775
2022-05-17,144.25,151.45,143.9,150.9,17843200
2022-05-18,149.9,152.15,148.2,150.95,12616832
2022-05-19,146.65,149.95,145.95,148.0,8932407
2022-05-20,149.55,151.55,148.1,149.8,7235654
2022-05-23,149.65,151.95,143.05,143.5,18029557
2022-05-24,145.65,145.9,138.9,139.35,19141394
2022-05-25,141.45,141.8,136.5,141.15,19366472
2022-05-26,141.35,141.8,137.0,140.5,12824105
2022-05-27,143.4,143.85,130.5,133.0,52469252
2022-05-30,134.7,136.25,130.55,133.25,40261336
2022-05-31,134.45,141.55,134.45,139.9,57675204
2022-06-01,139.85,141.45,137.65,138.5,22780094
2022-06-02,136.7,141.45,135.05,141.0,25429955
2022-06-03,142.4,142.6,139.8,140.25,16747177
2022-06-06,141.65,144.25,141.35,142.4,30327268
2022-06-07,143.2,150.7,142.6,149.75,61411715
2022-06-08,151.25,153.95,149.95,151.15,45994327
2022-06-09,153.6,154.8,152.15,153.15,31122996
2022-06-10,151.75,154.15,151.1,152.25,17812698
2022-06-13,149.9,151.7,146.55,147.6,12237777
2022-06-14,147.6,148.5,143.7,144.25,12844437
2022-06-15,145.2,145.5,139.5,140.05,16223385
2022-06-16,137.95,140.2,131.9,132.8,25130676
2022-06-17,131.75,134.3,130.1,130.85,22922034
2022-06-20,128.2,128.45,120.25,124.35,28656582
2022-06-21,125.9,129.7,124.9,128.65,20581784
2022-06-22,126.65,126.65,121.2,124.75,31824106
2022-06-23,123.95,126.2,122.3,124.7,26829020
2022-06-24,126.7,130.4,125.05,127.05,25461812
2022-06-27,129.55,131.9,126.95,130.9,24188349
2022-06-28,132.1,140.35,131.5,138.15,54387675
2022-06-29,138.15,145.65,135.25,142.55,165860322
2022-06-30,141.55,142.85,138.05,140.2,38725546
2022-07-01,137.75,139.8,120.25,121.25,125788305
2022-07-04,120.2,120.2,114.8,116.55,85993413
2022-07-05,117.45,118.95,116.55,117.85,44595740
2022-07-06,113.8,114.25,110.85,111.9,59092334
2022-07-07,112.2,114.85,112.2,114.25,36229792
2022-07-08,116.9,116.9,111.95,112.4,42778692
2022-07-11,112.4,116.45,112.0,116.1,31522017
2022-07-12,115.5,117.25,114.25,114.8,25216226
2022-07-13,113.25,115.5,112.3,115.15,27166975
2022-07-14,115.1,122.65,114.5,117.6,38464081
2022-07-15,118.05,118.75,115.3,117.05,18088858
2022-07-18,117.5,120.9,117.4,120.15,21010247
2022-07-19,120.7,123.25,115.15,118.35,33778758
