date,open,high,low,close,volume
2022-01-03,40421.55,41050.0,40380.05,40929.3,9614
2022-01-04,40950.0,41261.2,40750.0,40959.85,13843
2022-01-05,40765.5,41586.7,40701.55,41210.95,13700
2022-01-06,40950.0,42200.0,40820.05,42059.55,27571
2022-01-07,42076.5,44397.25,42000.0,44087.15,61016
2022-01-10,44100.0,44251.0,43423.7,43635.35,14317
2022-01-11,43225.5,44046.6,43225.5,43637.1,15467
2022-01-12,43720.2,44550.75,43500.0,44407.95,18045
2022-01-13,44450.0,45155.0,44051.45,44390.35,27112
2022-01-14,44360.0,44699.7,43828.95,44607.7,16004
2022-01-17,44600.0,45600.0,44300.0,44450.45,17938
2022-01-18,44584.95,44699.75,43500.0,43669.95,19700
2022-01-19,43799.9,43890.0,43250.25,43390.4,15018
2022-01-20,43344.4,43857.8,43127.55,43665.3,14464
2022-01-21,43550.0,43550.0,42262.05,42539.95,13851
2022-01-24,42559.95,44200.0,39679.0,39915.6,24258
2022-01-25,39999.0,41475.05,39289.8,41320.6,21311
2022-01-27,41150.0,41232.55,39201.5,40804.35,27190
2022-01-28,41256.0,43150.45,41249.85,41841.25,23372
2022-01-31,42399.95,42999.9,42073.55,42426.05,18628
2022-02-01,42900.0,43300.0,42451.15,43190.65,13865
2022-02-02,43458.9,43865.25,43088.95,43221.15,10815
2022-02-03,43000.0,43748.75,42225.05,42458.55,18463
2022-02-04,42458.55,42624.75,41547.0,41691.35,14639
2022-02-07,41850.0,41935.0,40500.0,40715.5,10597
2022-02-08,40900.0,41426.6,40400.0,40884.2,31879
2022-02-09,41399.0,42520.0,41066.85,42415.35,22580
2022-02-10,42151.0,42628.95,40300.0,40953.5,52366
2022-02-11,40902.1,41500.0,39688.85,39803.3,43217
2022-02-14,39714.95,39850.0,38944.7,39129.3,19164
2022-02-15,39343.65,41500.0,39297.15,41312.75,34400
2022-02-16,41200.0,41650.0,41007.5,41271.35,14332
2022-02-17,41800.0,43103.0,41500.2,42236.1,46013
2022-02-18,42000.1,42229.0,41271.65,41496.45,13957
2022-02-21,41400.0,41870.75,40740.15,41019.8,18653
2022-02-22,39600.1,41149.85,39600.1,40771.75,18106
2022-02-23,42950.0,42950.0,40919.4,41137.95,30588
2022-02-24,40400.0,40983.45,39755.0,40196.7,29126
2022-02-25,40400.0,41882.15,40400.0,41476.6,23347
2022-02-28,41425.5,42499.9,40450.0,42256.2,26868
2022-03-02,42047.0,42149.95,41076.2,41597.85,22523
2022-03-03,42499.0,42499.0,41520.15,41827.45,22708
2022-03-04,41380.0,41570.9,40380.0,40996.25,21161
2022-03-07,40399.0,40399.0,39627.25,39914.3,22782
2022-03-08,39720.0,40299.9,39013.75,39514.4,35251
2022-03-09,39870.0,40199.5,39455.0,39999.2,29402
2022-03-10,40600.0,41285.0,40450.0,41000.55,17887
2022-03-11,40750.0,41600.0,40639.0,41488.85,10969
2022-03-14,41350.0,41835.4,40912.55,41686.7,14668
2022-03-15,41624.45,41624.45,40954.0,41230.7,22771
2022-03-16,41444.0,42566.95,41356.75,42354.95,24233
2022-03-17,42430.0,43099.95,42050.6,42674.1,32302
2022-03-21,43000.0,43099.0,41655.95,41826.2,17924
2022-03-22,41826.0,41955.8,40777.0,41790.1,23776
2022-03-23,41826.0,42335.95,41711.2,42024.55,17247
2022-03-24,41890.0,42211.95,41161.6,41383.55,17977
2022-03-25,41670.0,41723.7,40341.45,40444.7,18484
2022-03-28,40520.0,40699.85,39950.6,40188.7,10811
2022-03-29,40507.75,41059.0,40310.65,40806.05,12043
2022-03-30,41200.0,42250.0,41064.3,41952.7,17190
2022-03-31,41950.0,43621.85,41800.2,43189.35,37837
2022-04-01,43189.35,43278.35,42776.6,43147.5,13199
2022-04-04,43149.0,43885.0,42943.45,43713.0,17974
2022-04-05,43713.0,44470.0,43484.55,44332.85,11661
2022-04-06,44000.05,44800.0,43930.4,44423.7,14615
2022-04-07,44400.0,44412.4,43520.0,44108.8,21768
2022-04-08,44200.0,45150.0,43926.95,44983.9,16170
2022-04-11,44983.9,45767.5,44783.9,45689.45,16302
2022-04-12,45605.5,45999.5,44539.55,44635.65,22716
2022-04-13,44800.0,45190.45,44294.0,44817.1,15207
2022-04-18,44715.0,45399.4,44354.85,45276.2,11027
2022-04-19,45300.0,46500.0,44859.85,45437.8,25382
2022-04-20,45247.0,45830.9,45009.8,45121.85,10866
2022-04-21,45201.0,46000.0,45201.0,45814.0,11665
2022-04-22,45749.8,46000.0,45540.05,45872.4,8154
2022-04-25,45631.1,45694.15,44760.0,44866.35,27997
2022-04-26,45120.0,46737.7,45031.55,46563.75,15222
2022-04-27,46211.0,46557.9,45648.7,45781.75,14943
2022-04-28,46280.0,46369.9,45380.25,45862.35,21684
2022-04-29,45949.95,46248.0,45447.55,45578.75,13644
2022-05-02,45450.0,45788.85,45000.0,45595.45,17293
2022-05-04,45800.0,46181.0,45075.0,45345.1,23209
2022-05-05,45700.0,46264.4,45500.0,45722.6,24085
2022-05-06,45399.9,45500.0,44708.45,44911.5,19910
2022-05-09,44890.0,44890.0,42402.95,42619.95,25921
2022-05-10,42360.3,42599.95,40404.05,40839.15,46096
2022-05-11,41000.0,42146.4,40512.1,41785.6,23731
2022-05-12,41699.0,41777.15,40625.2,40915.0,16682
2022-05-13,41570.0,42989.9,41388.6,41787.6,25039
2022-05-16,41815.2,42600.0,41743.7,42394.0,12900
2022-05-17,42394.0,42899.0,41809.65,42087.05,20576
2022-05-18,42587.75,43080.0,42314.7,42916.9,22669
2022-05-19,42401.0,42600.0,41600.15,41866.7,23043
2022-05-20,42500.0,42912.0,42252.1,42568.6,17876
2022-05-23,42565.0,43074.95,42001.0,42184.9,11852
2022-05-24,42397.0,43348.0,42010.0,42940.4,16912
2022-05-25,42932.0,43490.0,41102.7,41408.5,15654
2022-05-26,41790.0,42531.0,40566.8,41778.3,50699
2022-05-27,43150.0,45180.0,42930.4,44442.15,90562
2022-05-30,44636.05,45393.0,44550.0,45042.3,20521
2022-05-31,44810.0,46070.0,44810.0,45194.05,70757
2022-06-01,45500.0,45998.95,43819.2,44194.3,29060
2022-06-02,44100.0,44193.75,43263.3,43548.8,15201
2022-06-03,43950.0,44599.85,42131.5,42433.15,27518
