date,open,high,low,close,volume
2022-01-03,284.4,285.7,281.9,284.4,50964
2022-01-04,287.3,287.3,285.0,285.6,36042
2022-01-05,285.6,286.7,283.0,284.0,38316
2022-01-06,284.0,285.6,282.0,283.2,29622
2022-01-07,283.7,286.8,283.3,284.0,54009
2022-01-10,286.5,286.5,282.7,284.5,61935
2022-01-11,285.7,286.0,284.1,284.6,47190
2022-01-12,286.0,314.9,284.4,302.7,388182
2022-01-13,305.0,315.0,300.3,303.1,124662
2022-01-14,300.7,305.0,299.7,300.2,52566
2022-01-17,303.0,304.3,297.7,298.9,38805
2022-01-18,302.6,303.2,295.0,296.4,41946
2022-01-19,295.2,298.3,293.3,294.3,41010
2022-01-20,296.0,296.0,291.3,292.0,38472
2022-01-21,292.0,292.3,288.0,289.9,33636
2022-01-24,289.9,291.8,280.7,282.2,40569
2022-01-25,283.3,291.4,275.0,281.8,37071
2022-01-27,282.3,282.7,277.1,278.9,39171
2022-01-28,280.0,281.9,279.0,280.2,45411
2022-01-31,283.0,290.0,280.0,280.6,39150
2022-02-01,283.3,284.6,278.3,281.0,48192
2022-02-02,282.7,282.7,280.0,280.2,46665
2022-02-03,280.6,281.2,279.4,279.9,35439
2022-02-04,280.0,280.6,278.3,280.0,29052
2022-02-07,281.2,281.3,266.7,274.1,43704
2022-02-08,273.5,280.0,266.0,269.8,62727
2022-02-09,270.0,275.0,269.0,271.1,29199
2022-02-10,271.6,273.6,267.0,270.1,40752
2022-02-11,276.7,281.1,270.6,274.4,61224
2022-02-14,279.7,302.8,273.5,277.6,732606
2022-02-15,278.7,289.6,278.7,281.6,96933
2022-02-16,283.3,299.3,280.3,294.3,165795
2022-02-17,299.7,299.7,284.0,286.2,58377
2022-02-18,289.4,291.5,286.4,286.9,30678
2022-02-21,287.0,287.0,273.7,276.1,48648
2022-02-22,268.4,273.0,244.2,270.2,67245
2022-02-23,270.2,279.8,269.0,274.6,36153
2022-02-24,269.0,269.0,237.0,253.0,119817
2022-02-25,253.2,303.6,233.4,262.6,117711
2022-02-28,262.7,283.5,260.0,277.6,117522
2022-03-02,275.0,279.6,268.5,273.2,63882
2022-03-03,286.7,286.7,276.7,277.5,54741
2022-03-04,279.3,279.3,270.2,273.6,37602
2022-03-07,272.1,272.1,262.6,266.2,50007
2022-03-08,265.8,269.0,262.7,266.1,36111
2022-03-09,269.3,272.0,264.0,267.8,40116
2022-03-10,270.5,279.0,266.0,267.6,78888
2022-03-11,272.3,272.4,262.2,267.7,66333
2022-03-14,295.9,321.2,285.0,321.2,1019184
2022-03-15,353.7,381.6,348.1,363.6,2884911
2022-03-16,372.3,375.0,351.8,357.1,846309
2022-03-17,356.7,366.7,303.8,334.8,557895
2022-03-21,281.7,314.6,268.3,303.4,1653096
2022-03-22,303.3,314.6,300.0,304.5,809502
2022-03-23,305.0,311.7,296.0,299.2,472278
2022-03-24,299.2,299.2,283.3,290.9,477591
2022-03-25,295.0,296.8,286.9,289.2,455544
2022-03-28,289.2,290.0,260.4,271.4,1233054
2022-03-29,267.0,325.7,263.7,314.4,10500315
2022-03-30,323.3,336.4,320.0,326.4,6469563
2022-03-31,329.3,330.8,315.0,319.3,2702904
2022-04-01,318.0,318.2,297.3,312.3,4668102
2022-04-04,307.4,315.0,302.4,312.9,3736224
2022-04-05,310.0,310.8,289.0,291.8,7438848
2022-04-06,238.2,271.7,238.2,251.8,39543321
2022-04-07,256.7,280.0,256.7,272.6,36245634
2022-04-08,285.0,312.9,275.2,307.8,121115769
2022-04-11,323.0,333.2,301.2,306.4,65362149
2022-04-12,306.3,313.7,293.3,307.8,23384280
2022-04-13,311.6,321.0,307.0,317.5,19408881
2022-04-18,313.3,323.3,308.5,319.6,19325118
2022-04-19,326.2,328.7,306.7,312.0,16409214
2022-04-20,316.7,317.8,309.4,313.3,8824098
2022-04-21,317.2,322.6,314.3,317.6,8920698
2022-04-22,313.3,325.4,312.7,319.3,10767573
2022-04-25,323.5,327.3,312.7,316.6,21065124
2022-04-26,319.7,349.9,318.7,345.3,43272018
2022-04-27,346.7,379.5,346.7,367.8,43413138
2022-04-28,373.3,395.0,347.3,359.5,44972676
2022-04-29,373.3,379.5,360.4,366.1,20697570
2022-05-02,363.3,376.7,360.7,367.7,12088956
2022-05-04,371.7,375.0,331.7,334.8,16073496
2022-05-05,316.7,368.3,313.2,365.2,37834260
2022-05-06,360.0,374.4,346.7,364.8,31107630
2022-05-09,361.6,369.7,350.3,357.9,13550688
2022-05-10,359.6,371.7,340.6,348.3,15457005
2022-05-11,349.5,353.4,313.5,315.0,22147170
2022-05-12,307.3,319.0,293.3,312.4,14549661
2022-05-13,326.8,340.5,320.4,326.3,18306201
2022-05-16,329.2,349.1,321.2,346.4,12988221
2022-05-17,348.3,363.3,344.0,361.3,13348479
2022-05-18,362.7,397.4,362.7,396.0,50561232
2022-05-19,391.8,409.3,384.1,389.6,39542601
2022-05-20,397.3,409.0,396.7,405.9,23037816
2022-05-23,402.3,405.0,385.6,385.6,8902191
2022-05-24,378.3,382.7,366.4,366.4,6128286
2022-05-25,362.3,363.3,348.0,348.1,3099984
2022-05-26,349.8,365.5,330.7,364.6,4119891
2022-05-27,365.5,379.7,365.5,374.8,2398773
2022-05-30,378.3,380.9,366.7,371.6,1596000
2022-05-31,366.7,372.3,362.7,364.9,1553205
2022-06-01,363.3,368.6,347.1,355.4,1189404
2022-06-02,354.6,373.0,353.3,370.4,1326501
2022-06-03,370.0,371.3,358.7,362.3,1786245
2022-06-06,362.2,362.3,344.2,359.6,1175829
2022-06-07,355.6,361.7,350.7,360.6,820176
2022-06-08,360.0,367.7,356.3,359.6,954162
2022-06-09,356.1,366.3,356.1,363.1,496350
2022-06-10,359.1,365.0,356.7,363.1,565509
2022-06-13,353.0,354.7,345.0,346.2,1690356
2022-06-14,342.8,358.0,338.9,346.8,846006
2022-06-15,348.3,357.0,344.5,350.6,733764
2022-06-16,354.0,357.7,333.0,333.4,1888464
2022-06-17,328.3,332.7,320.0,328.3,1020702
2022-06-20,326.7,329.2,311.9,319.6,1710684
2022-06-21,321.7,335.6,320.0,335.4,1194963
2022-06-22,331.7,336.7,323.3,332.2,1061370
2022-06-23,330.7,344.0,324.4,339.1,1525779
2022-06-24,341.3,355.0,341.3,353.5,2198895
2022-06-27,356.0,366.7,346.7,365.3,2950872
2022-06-28,359.0,366.6,357.4,364.8,620694
2022-06-29,358.3,370.0,353.3,357.6,664446
2022-06-30,359.0,361.7,350.0,353.9,303528
2022-07-01,349.5,356.6,343.5,353.7,613092
2022-07-04,352.0,359.6,347.2,353.4,630825
2022-07-05,350.8,358.3,350.8,352.3,544722
2022-07-06,350.7,353.6,335.2,347.2,450165
2022-07-07,347.3,351.7,333.7,341.9,942843
2022-07-08,343.2,351.8,340.0,349.1,405942
2022-07-11,349.0,353.3,345.1,348.8,368901
2022-07-12,348.2,355.0,343.0,351.6,604362
2022-07-13,354.3,355.3,343.4,346.4,308016
2022-07-14,345.0,349.2,343.3,347.7,400356
2022-07-15,347.5,351.3,345.0,346.7,386721
2022-07-18,347.0,356.7,347.0,353.9,769458
2022-07-19,351.3,358.3,348.8,354.0,696498
2022-07-20,356.7,358.3,347.0,349.0,1087107
2022-07-21,347.3,356.5,347.1,350.5,902208
2022-07-22,350.5,355.7,348.3,350.2,966975
2022-07-25,347.3,355.0,340.3,351.3,867762
2022-07-26,349.7,358.3,345.0,352.6,1285284
2022-07-27,350.0,370.2,348.7,365.5,3136260
2022-07-28,363.3,369.0,359.3,363.1,1849017
2022-07-29,364.0,381.3,361.7,377.9,2384007
2022-08-01,380.0,395.7,375.3,391.0,1755981
2022-08-02,390.0,391.6,378.0,386.0,1279161
2022-08-03,385.0,388.3,374.0,376.5,760842
2022-08-04,377.7,382.3,363.7,373.8,594597
2022-08-05,373.3,376.6,367.0,371.2,433320
2022-08-08,374.7,381.7,370.0,379.4,574473
2022-08-10,377.4,382.3,371.0,372.4,426627
2022-08-11,389.7,389.7,371.7,374.1,1396728
2022-08-12,376.7,376.7,366.7,368.2,753033
2022-08-16,372.6,378.3,366.0,374.6,665535
2022-08-17,376.0,383.3,373.3,374.4,831696
