date,open,high,low,close,volume
2022-01-03,1802.45,1827.85,1797.85,1803.05,396395
2022-01-04,1809.1,1819.25,1788.7,1795.8,389027
2022-01-05,1795.3,1804.75,1761.3,1770.7,468725
2022-01-06,1767.4,1772.0,1740.0,1746.25,437927
2022-01-07,1748.35,1763.55,1723.9,1733.15,224313
2022-01-10,1729.3,1771.7,1709.5,1763.3,1040842
2022-01-11,1774.15,1776.5,1744.5,1762.5,449874
2022-01-12,1773.95,1791.9,1765.3,1789.5,735424
2022-01-13,1803.5,1810.0,1777.5,1797.9,388501
2022-01-14,1789.45,1829.15,1779.85,1824.15,759338
2022-01-17,1839.6,1840.15,1801.65,1814.1,302801
2022-01-18,1815.35,1826.25,1753.0,1770.95,418379
2022-01-19,1774.25,1819.2,1758.65,1813.35,597494
2022-01-20,1803.95,1833.65,1794.05,1826.1,560745
2022-01-21,1817.65,1869.45,1754.0,1785.6,1214492
2022-01-24,1781.75,1795.95,1672.4,1699.4,546547
2022-01-25,1694.85,1745.95,1657.85,1734.45,382606
2022-01-27,1717.8,1744.5,1697.8,1735.9,348208
2022-01-28,1745.05,1777.35,1728.45,1736.1,196910
2022-01-31,1754.25,1779.55,1747.55,1771.4,211517
2022-02-01,1778.05,1854.0,1767.45,1842.1,669107
2022-02-02,1852.25,1880.5,1833.35,1858.05,469312
2022-02-03,1855.0,1873.55,1828.3,1857.55,261664
2022-02-04,1859.55,1877.85,1836.15,1845.7,211513
2022-02-07,1816.9,1851.0,1790.25,1840.35,722671
2022-02-08,1846.8,1903.0,1793.3,1800.65,1303244
2022-02-09,1800.65,1848.25,1800.65,1841.6,245881
2022-02-10,1844.45,1866.05,1824.6,1860.6,241573
2022-02-11,1847.35,1851.15,1822.7,1829.7,208862
2022-02-14,1813.1,1816.05,1768.2,1775.3,241928
2022-02-15,1776.1,1852.45,1763.9,1844.55,409519
2022-02-16,1847.35,1858.8,1819.2,1824.0,204306
2022-02-17,1824.8,1883.95,1824.5,1866.2,675319
2022-02-18,1866.2,1908.3,1857.25,1872.05,776265
2022-02-21,1869.4,1885.9,1832.9,1840.2,336222
2022-02-22,1817.0,1847.3,1784.4,1833.6,317495
2022-02-23,1843.8,1874.15,1822.5,1825.65,291772
2022-02-24,1782.6,1798.05,1730.6,1741.25,365857
2022-02-25,1776.5,1833.65,1768.15,1821.5,373699
2022-02-28,1805.45,1805.45,1749.55,1788.3,618850
2022-03-02,1788.35,1822.8,1778.8,1807.15,292226
2022-03-03,1828.3,1857.25,1794.1,1801.45,367531
2022-03-04,1794.8,1802.55,1740.7,1744.3,252997
2022-03-07,1714.05,1735.4,1675.95,1691.75,245983
2022-03-08,1691.75,1724.3,1659.2,1713.9,233459
2022-03-09,1714.05,1756.05,1690.3,1737.5,248908
2022-03-10,1796.35,1796.35,1740.7,1769.6,236557
2022-03-11,1759.9,1802.1,1753.65,1797.9,224579
2022-03-14,1797.85,1820.7,1783.7,1797.7,340828
2022-03-15,1797.7,1808.7,1752.95,1764.0,248748
2022-03-16,1788.55,1811.3,1775.75,1797.25,189871
2022-03-17,1817.65,1854.3,1795.7,1813.8,651386
2022-03-21,1828.3,1836.15,1783.85,1789.4,219863
2022-03-22,1793.15,1797.85,1723.35,1766.75,382104
2022-03-23,1785.5,1785.5,1714.8,1749.15,766942
2022-03-24,1736.15,1753.45,1726.25,1747.8,281885
2022-03-25,1755.2,1761.6,1720.2,1732.2,309043
2022-03-28,1730.05,1741.3,1706.45,1731.0,198874
2022-03-29,1744.5,1759.05,1732.5,1752.15,233945
2022-03-30,1767.05,1795.75,1743.0,1785.25,373560
2022-03-31,1776.5,1811.5,1760.95,1804.1,457251
2022-04-01,1804.1,1829.8,1794.75,1803.35,305129
2022-04-04,1812.95,1855.0,1809.3,1849.35,350606
2022-04-05,1851.35,1876.4,1848.9,1856.6,331099
