date,open,high,low,close,volume
2022-01-03,1468.0,1479.0,1439.15,1445.3,403575
2022-01-04,1449.5,1464.75,1401.25,1421.2,1225469
2022-01-05,1421.0,1543.15,1405.55,1502.25,2827021
2022-01-06,1500.0,1533.45,1471.75,1481.4,1631797
2022-01-07,1490.0,1492.5,1445.05,1463.1,734840
2022-01-10,1475.0,1502.6,1465.0,1485.65,519905
2022-01-11,1487.8,1501.3,1466.0,1479.3,1297785
2022-01-12,1484.95,1587.0,1473.4,1557.7,3723084
2022-01-13,1568.35,1577.05,1536.55,1545.5,984456
2022-01-14,1548.7,1567.0,1537.0,1545.25,915219
2022-01-17,1545.65,1591.95,1540.0,1551.6,1414763
2022-01-18,1558.9,1564.6,1474.4,1485.45,937640
2022-01-19,1480.0,1540.0,1410.0,1523.6,969255
2022-01-20,1482.0,1507.9,1438.85,1449.8,1714708
2022-01-21,1444.0,1450.8,1355.0,1374.35,1229939
2022-01-24,1374.35,1374.35,1272.2,1293.35,1304711
2022-01-25,1279.05,1310.0,1235.05,1292.5,1392034
2022-01-27,1295.0,1297.95,1251.0,1278.1,837894
2022-01-28,1298.45,1328.95,1260.0,1267.35,848119
2022-01-31,1288.0,1302.85,1275.0,1283.3,377823
2022-02-01,1299.0,1313.0,1272.1,1305.65,424481
2022-02-02,1315.0,1321.85,1300.0,1312.35,765713
2022-02-03,1318.9,1328.7,1292.0,1303.5,563851
2022-02-04,1296.0,1320.9,1288.0,1311.75,461335
2022-02-07,1316.5,1316.5,1268.0,1275.9,358386
2022-02-08,1272.25,1302.0,1255.55,1268.55,532828
2022-02-09,1279.8,1293.7,1272.2,1284.35,201937
2022-02-10,1290.15,1312.0,1278.0,1307.0,342830
2022-02-11,1304.0,1304.0,1250.0,1254.9,310184
2022-02-14,1239.0,1261.0,1201.1,1210.95,568830
2022-02-15,1216.0,1270.0,1185.85,1265.95,437885
2022-02-16,1275.0,1275.0,1246.2,1255.3,464194
2022-02-17,1263.65,1265.95,1231.1,1243.0,388915
2022-02-18,1235.0,1250.0,1226.0,1236.7,311006
2022-02-21,1231.05,1244.45,1207.6,1233.35,285832
2022-02-22,1207.0,1229.0,1175.1,1220.5,376638
2022-02-23,1221.05,1237.9,1206.35,1214.6,204207
2022-02-24,1177.0,1192.3,1126.7,1134.8,699330
2022-02-25,1151.0,1201.9,1141.75,1177.35,339236
2022-02-28,1172.0,1189.75,1148.0,1183.25,713268
2022-03-02,1179.0,1205.05,1170.0,1177.2,555169
2022-03-03,1187.7,1200.0,1156.25,1166.05,451613
2022-03-04,1166.85,1166.85,1132.0,1144.35,312460
2022-03-07,1115.05,1142.05,1085.0,1130.05,418415
2022-03-08,1132.05,1147.6,1116.0,1138.3,280011
2022-03-09,1148.75,1173.0,1133.0,1160.0,424030
2022-03-10,1186.0,1186.0,1144.0,1156.9,371965
2022-03-11,1164.8,1169.65,1143.05,1146.65,267547
2022-03-14,1140.0,1160.0,1125.05,1146.85,502613
2022-03-15,1150.0,1162.95,1118.6,1124.65,371130
2022-03-16,1135.0,1185.75,1135.0,1169.25,1020810
2022-03-17,1201.0,1201.0,1151.4,1157.35,948146
2022-03-21,1157.65,1167.15,1144.3,1147.8,334496
2022-03-22,1150.95,1153.6,1121.8,1142.7,380821
2022-03-23,1147.0,1194.7,1143.45,1184.3,886196
2022-03-24,1181.25,1185.6,1154.3,1164.85,612810
2022-03-25,1171.0,1179.05,1156.3,1166.4,486092
2022-03-28,1172.9,1181.35,1130.0,1156.55,501828
2022-03-29,1161.0,1165.0,1145.55,1153.85,525621
2022-03-30,1160.0,1167.9,1152.05,1158.05,794522
2022-03-31,1167.0,1236.0,1159.0,1228.6,2658948
2022-04-01,1230.0,1275.85,1220.0,1239.15,1813614
2022-04-04,1239.8,1249.65,1225.2,1235.4,661811
2022-04-05,1243.4,1262.0,1227.05,1241.5,794674
2022-04-06,1238.5,1288.0,1235.0,1267.65,1515622
2022-04-07,1265.0,1344.0,1253.5,1328.0,1883356
