date,open,high,low,close,volume
2022-01-03,1065.0,1065.0,1041.0,1054.6,363953
2022-01-04,1050.0,1067.0,1046.0,1055.95,258035
2022-01-05,1055.0,1081.15,1049.8,1070.85,741560
2022-01-06,1067.0,1088.95,1054.7,1080.35,408431
2022-01-07,1072.0,1095.0,1068.9,1085.2,482099
2022-01-10,1090.0,1094.75,1062.0,1072.0,604941
2022-01-11,1075.0,1124.0,1072.15,1119.15,861357
2022-01-12,1129.0,1150.5,1110.0,1145.25,741670
2022-01-13,1145.25,1187.7,1130.0,1182.9,682225
2022-01-14,1165.1,1199.95,1159.4,1164.85,744286
2022-01-17,1167.0,1187.9,1154.95,1158.25,501455
2022-01-18,1177.0,1177.0,1135.8,1144.3,543636
2022-01-19,1145.0,1212.0,1136.4,1167.55,1671916
2022-01-20,1165.0,1194.2,1160.0,1170.0,968296
2022-01-21,1169.0,1206.55,1142.0,1181.85,961910
2022-01-24,1179.0,1200.0,1091.3,1121.95,979818
2022-01-25,1092.0,1113.25,1050.4,1079.35,866941
2022-01-27,1060.0,1087.8,1001.35,1022.95,1611802
2022-01-28,1025.1,1042.0,1008.35,1018.3,1230291
2022-01-31,1018.0,1037.85,1018.0,1031.55,408254
2022-02-01,1032.0,1064.85,1031.55,1060.4,521498
2022-02-02,1060.4,1107.0,1049.9,1097.55,878597
2022-02-03,1098.0,1100.0,1077.35,1083.3,416753
2022-02-04,1086.2,1090.0,1052.0,1057.4,305527
2022-02-07,1060.2,1068.8,1025.0,1050.45,648493
2022-02-08,1054.8,1067.05,1035.35,1053.95,377585
2022-02-09,1064.0,1075.0,1053.0,1070.6,304759
2022-02-10,1076.5,1085.0,1055.0,1075.6,411046
2022-02-11,1085.0,1099.55,1055.4,1071.35,1656107
2022-02-14,1040.0,1055.0,1017.0,1036.3,536059
2022-02-15,1037.0,1086.5,1026.0,1081.6,619460
2022-02-16,1089.9,1092.4,1055.65,1061.5,343162
2022-02-17,1073.15,1073.15,1052.2,1062.8,287521
2022-02-18,1045.0,1065.0,1040.0,1045.15,205306
2022-02-21,1045.0,1054.8,1011.0,1035.35,576902
2022-02-22,1002.0,1058.4,1002.0,1049.55,714429
2022-02-23,1050.0,1084.0,1050.0,1054.3,393547
2022-02-24,1016.1,1037.2,980.0,1020.65,633017
2022-02-25,1059.95,1074.75,1029.65,1070.1,543759
2022-02-28,1030.1,1119.0,1030.1,1108.1,1102621
2022-03-02,1099.0,1117.7,1080.05,1105.1,661272
2022-03-03,1110.0,1135.65,1105.6,1131.15,645290
2022-03-04,1126.0,1126.0,1082.4,1095.45,653153
2022-03-07,1080.0,1080.0,1040.0,1064.2,372706
2022-03-08,1065.15,1091.6,1048.05,1078.1,461151
2022-03-09,1078.0,1155.0,1070.05,1143.8,757000
2022-03-10,1155.2,1164.35,1138.55,1149.75,557825
2022-03-11,1141.15,1181.75,1131.0,1168.8,476838
2022-03-14,1179.9,1207.5,1150.45,1167.1,614586
2022-03-15,1165.3,1181.0,1145.5,1158.25,400312
2022-03-16,1174.0,1191.45,1153.0,1171.25,486972
2022-03-17,1190.0,1284.0,1187.0,1262.05,4537229
2022-03-21,1282.0,1302.5,1251.0,1279.6,1520151
2022-03-22,1275.0,1298.45,1256.0,1286.35,713407
2022-03-23,1292.0,1314.6,1277.75,1300.25,713104
2022-03-24,1305.0,1309.95,1271.0,1276.85,453482
2022-03-25,1288.0,1288.0,1240.75,1261.3,662176
2022-03-28,1263.0,1290.0,1255.0,1279.55,939603
2022-03-29,1282.9,1283.25,1260.25,1276.2,539919
2022-03-30,1285.0,1285.0,1252.05,1257.1,366894
