date,open,high,low,close,volume
2022-01-03,352.0,356.3,351.0,352.35,9280810
2022-01-04,354.35,354.5,348.85,353.7,10228800
2022-01-05,353.0,353.4,344.65,349.8,14711264
2022-01-06,346.0,349.15,343.2,346.0,12883220
2022-01-07,347.1,353.7,346.9,348.8,13120326
2022-01-10,347.6,347.6,338.3,340.0,27537820
2022-01-11,340.75,342.4,337.8,340.35,15487458
2022-01-12,343.2,344.05,334.95,338.95,23460682
2022-01-13,325.15,326.5,317.7,318.55,61505934
2022-01-14,318.3,318.3,312.05,313.65,26514548
2022-01-17,313.5,319.45,310.35,317.0,20457876
2022-01-18,318.15,318.65,309.45,310.5,14329980
2022-01-19,309.35,309.65,303.45,304.55,17382766
2022-01-20,304.25,305.15,299.3,301.6,16827124
2022-01-21,299.05,299.55,294.55,296.6,19646694
2022-01-24,296.85,296.85,278.65,280.8,26150716
2022-01-25,275.75,280.45,270.0,275.85,34712370
2022-01-27,272.1,273.0,263.35,267.1,31351744
2022-01-28,269.7,277.0,268.0,270.7,29899780
2022-01-31,278.95,281.6,275.8,280.7,26252174
2022-02-01,284.3,285.55,277.7,282.7,20920202
2022-02-02,285.35,289.25,281.9,288.25,16368826
2022-02-03,286.65,288.65,282.5,283.45,14082780
2022-02-04,282.9,283.25,278.45,280.35,13633558
2022-02-07,280.4,281.3,272.4,273.05,15091358
2022-02-08,275.25,277.4,271.8,274.65,13953814
2022-02-09,276.7,279.85,276.15,278.95,10207476
2022-02-10,280.6,281.8,277.6,281.2,11603824
2022-02-11,277.5,277.5,273.1,275.25,15442458
2022-02-14,269.65,273.15,264.75,265.55,16241546
2022-02-15,267.5,277.1,266.3,276.2,13676992
2022-02-16,277.1,279.6,273.35,276.45,14607822
2022-02-17,280.45,280.6,275.15,276.95,14228840
2022-02-18,274.05,277.35,272.3,275.7,13411838
2022-02-21,272.5,280.75,272.3,279.85,17534002
2022-02-22,272.7,278.95,272.65,276.6,21490124
2022-02-23,279.05,279.9,275.8,278.05,14408512
2022-02-24,268.65,273.0,260.45,263.35,26953888
2022-02-25,268.65,273.95,268.4,272.2,15922624
2022-02-28,270.15,274.6,266.75,272.5,18316874
2022-03-02,272.1,273.7,269.85,272.2,16354110
2022-03-03,276.0,282.4,274.75,279.25,25911326
2022-03-04,275.05,284.35,271.6,282.05,26948372
2022-03-07,276.0,284.15,275.6,280.35,21112334
2022-03-08,280.45,289.65,280.45,288.0,22039998
2022-03-09,288.25,292.4,285.45,287.05,23527232
2022-03-10,291.7,292.45,286.6,288.35,16161966
2022-03-11,287.8,289.25,285.55,287.4,9927188
2022-03-14,287.5,294.55,287.3,293.25,15006442
2022-03-15,295.95,295.95,286.45,288.1,13853244
2022-03-16,291.8,293.85,290.5,293.25,11150296
2022-03-17,296.6,299.55,293.65,294.75,16881290
2022-03-21,296.65,302.0,293.15,294.15,15592952
2022-03-22,295.8,299.55,292.3,299.05,15580500
2022-03-23,301.0,301.5,297.95,299.65,11393836
2022-03-24,297.6,300.9,297.0,299.35,7751490
2022-03-25,299.55,301.0,292.8,295.8,11986194
2022-03-28,298.1,298.55,292.75,294.25,11476810
2022-03-29,295.65,296.8,293.75,295.4,9402006
2022-03-30,296.65,298.7,293.9,294.55,15488764
2022-03-31,294.15,295.75,289.35,290.2,14476178
2022-04-01,290.1,295.8,288.9,295.05,8567994
2022-04-04,296.6,297.35,293.65,296.9,8855948
2022-04-05,296.8,298.8,293.15,293.75,12862488
2022-04-06,293.15,293.15,289.75,291.0,8235902
2022-04-07,290.25,290.25,283.1,284.75,15721530
2022-04-08,287.3,287.8,284.6,286.1,8636632
2022-04-11,286.3,286.4,278.5,280.0,17164216
2022-04-12,278.45,278.45,272.7,273.9,16338532
2022-04-13,274.55,277.25,271.9,274.15,11204576
2022-04-18,269.55,269.55,262.8,264.05,18930062
2022-04-19,266.7,267.5,257.9,260.05,13286008
2022-04-20,262.8,265.05,260.5,263.0,8660976
2022-04-21,265.25,265.95,263.45,264.35,13388782
2022-04-22,262.3,265.15,260.15,263.6,9782424
2022-04-25,259.85,260.45,256.55,259.55,9473768
2022-04-26,263.25,263.65,258.4,259.45,8718740
2022-04-27,258.35,258.35,252.25,254.45,16275078
2022-04-28,256.9,258.15,252.95,256.2,13241338
2022-04-29,259.1,259.1,248.55,249.45,24151260
2022-05-02,252.75,254.45,241.5,242.7,43822854
2022-05-04,245.15,247.0,239.85,241.1,17267854
2022-05-05,245.6,246.95,243.3,245.7,10869532
2022-05-06,240.25,240.65,235.8,237.8,18441782
2022-05-09,236.3,239.95,232.7,236.9,16675250
2022-05-10,236.8,237.2,233.45,234.15,14969534
2022-05-11,235.3,236.3,226.8,231.35,21029342
2022-05-12,229.5,233.35,226.6,232.3,14573000
2022-05-13,235.1,235.1,228.95,229.75,16775318
2022-05-16,232.4,232.6,227.95,229.45,7314066
2022-05-17,230.9,239.75,229.6,238.55,11321450
2022-05-18,240.65,242.8,235.6,235.9,15390968
2022-05-19,228.55,232.3,220.6,221.2,22945978
2022-05-20,226.5,226.6,223.05,225.3,12731912
2022-05-23,227.4,229.35,224.3,228.45,14111568
2022-05-24,229.65,230.25,224.55,225.5,13779460
