Date,Open,High,Low,Close,Volume
2022-01-03,2220.2,2259.55,2214.15,2251.35,335699
2022-01-04,2258.0,2264.8,2216.5,2224.3,363436
2022-01-05,2225.0,2246.0,2220.1,2241.3,372959
2022-01-06,2230.0,2263.8,2202.0,2227.3,470965
2022-01-07,2234.0,2303.8,2232.05,2284.6,573885
2022-01-10,2297.15,2325.0,2278.55,2320.15,358989
2022-01-11,2327.0,2344.55,2286.3,2297.6,289218
2022-01-12,2310.0,2328.8,2273.0,2314.8,380195
2022-01-13,2323.0,2325.45,2298.1,2314.15,221162
2022-01-14,2319.9,2374.0,2304.75,2358.1,676328
2022-01-17,2364.0,2391.0,2301.0,2378.65,490475
2022-01-18,2391.0,2392.9,2240.35,2253.25,691178
2022-01-19,2261.0,2262.8,2219.2,2231.8,372235
2022-01-20,2230.0,2285.25,2230.0,2254.0,322553
2022-01-21,2240.0,2255.9,2196.0,2215.75,238038
2022-01-24,2210.0,2219.65,2148.35,2167.45,467114
2022-01-25,2160.1,2192.6,2120.05,2179.95,262179
2022-01-27,2156.0,2179.0,2127.65,2167.7,298193
2022-01-28,2179.9,2238.55,2173.85,2215.95,272371
2022-01-31,2230.4,2292.7,2227.0,2285.75,428789
2022-02-01,2300.05,2355.0,2272.7,2332.55,491690
2022-02-02,2348.75,2350.05,2300.0,2306.55,274847
2022-02-03,2308.9,2328.0,2286.25,2293.6,253714
2022-02-04,2298.2,2322.45,2270.0,2274.75,184813
2022-02-07,2282.7,2292.75,2239.25,2282.2,201382
2022-02-08,2286.0,2310.0,2262.2,2304.75,608392
2022-02-09,2317.3,2338.8,2290.2,2310.3,367725
2022-02-10,2280.0,2324.8,2265.0,2303.55,876424
2022-02-11,2290.0,2297.0,2240.0,2249.35,359096
2022-02-14,2217.8,2220.15,2145.0,2153.9,279841
2022-02-15,2156.5,2240.0,2156.5,2234.3,259988
2022-02-16,2250.0,2266.25,2215.4,2239.4,218682
2022-02-17,2240.4,2267.55,2215.75,2226.85,218668
2022-02-18,2208.75,2220.0,2172.0,2181.15,295149
2022-02-21,2178.7,2205.25,2151.0,2184.9,291112
2022-02-22,2154.9,2180.8,2100.1,2165.4,323721
2022-02-23,2169.05,2197.0,2143.7,2151.3,376034
2022-02-24,2085.1,2120.65,2002.0,2014.0,474202
2022-02-25,2045.0,2084.45,2030.0,2059.55,286586
2022-02-28,2044.0,2095.0,2020.35,2089.15,349612
2022-03-02,2073.8,2099.95,2043.0,2067.75,494931
2022-03-03,2088.0,2092.7,1950.0,1956.0,728165
