Date,Open,High,Low,Close,Volume
2022-01-03,1340.0,1356.2,1336.9,1346.9,130549
2022-01-04,1357.0,1375.0,1340.0,1366.7,192988
2022-01-05,1366.7,1408.3,1366.7,1399.65,394705
2022-01-06,1400.0,1419.8,1379.65,1409.8,212678
2022-01-07,1427.8,1429.0,1403.0,1423.1,285809
2022-01-10,1405.0,1453.0,1405.0,1438.9,275337
2022-01-11,1448.0,1582.75,1432.0,1567.95,1351146
2022-01-12,1599.0,1667.0,1567.0,1647.55,2070560
2022-01-13,1650.0,1684.4,1588.0,1661.8,940202
2022-01-14,1657.0,1720.5,1637.05,1697.95,656706
2022-01-17,1706.45,1854.0,1698.4,1835.3,1670969
2022-01-18,1850.0,1923.9,1828.5,1900.1,1797857
2022-01-19,1930.0,1950.0,1905.05,1938.45,1100995
2022-01-20,1948.15,1979.3,1945.0,1966.7,644709
2022-01-21,1973.0,1986.75,1875.0,1934.55,827055
2022-01-24,1946.25,1946.25,1837.85,1837.85,449371
2022-01-25,1782.7,1929.7,1746.0,1929.0,620114
2022-01-27,1900.0,1964.7,1885.05,1910.25,379757
2022-01-28,1945.0,1957.0,1904.95,1938.4,352835
2022-01-31,1957.0,1964.9,1863.9,1877.85,297221
2022-02-01,1928.0,1959.0,1883.0,1904.0,492309
2022-02-02,1919.2,1939.25,1870.0,1916.3,258926
2022-02-03,1915.0,1925.0,1881.0,1912.55,242268
2022-02-04,1912.55,1958.5,1902.45,1950.35,296479
2022-02-07,1970.0,2051.2,1966.05,2024.65,470440
2022-02-08,2035.0,2050.0,1856.0,1928.0,561637
2022-02-09,1932.2,1941.5,1891.55,1919.8,348096
2022-02-10,1929.0,1945.0,1888.0,1907.95,555955
2022-02-11,1915.6,1917.35,1875.0,1907.6,397431
2022-02-14,1875.0,1895.0,1804.85,1862.15,402089
2022-02-15,1852.5,1903.95,1780.0,1889.5,410317
2022-02-16,1915.0,1969.0,1894.25,1931.75,659937
2022-02-17,1950.0,2094.8,1933.25,2047.6,1665839
2022-02-18,2060.0,2125.0,2001.0,2041.85,1134090
2022-02-21,2041.0,2041.0,1941.0,1955.9,466499
2022-02-22,1850.0,1994.8,1850.0,1971.95,1159269
