Date,Open,High,Low,Close,Volume
2022-01-03,519.95,543.25,519.95,532.65,3023554
2022-01-04,536.25,552.4,535.95,547.95,2864674
2022-01-05,567.95,624.7,558.05,584.65,20462010
2022-01-06,579.5,594.0,570.6,583.5,4974210
2022-01-07,587.5,614.5,585.65,610.5,6152482
2022-01-10,616.4,623.25,611.05,617.15,3429352
2022-01-11,621.0,654.4,617.5,649.4,7435854
2022-01-12,655.9,657.0,643.35,648.65,3024856
2022-01-13,647.5,659.85,646.0,654.2,2393052
2022-01-14,651.25,651.25,629.5,631.2,2263236
2022-01-17,631.2,642.45,629.8,636.95,1494092
2022-01-18,636.9,657.2,625.0,629.15,3480788
2022-01-19,631.75,639.85,621.25,632.05,2010484
2022-01-20,633.45,638.5,624.8,627.0,2234940
2022-01-21,623.9,635.3,615.1,628.35,1739486
2022-01-24,628.35,634.65,609.4,614.75,1649384
2022-01-25,612.35,631.45,601.0,623.2,2314474
2022-01-27,617.5,642.2,613.6,637.85,3623976
2022-01-28,644.85,650.0,630.2,635.75,2511440
2022-01-31,635.0,669.0,630.35,654.75,6266560
2022-02-01,662.0,678.5,650.55,673.5,3775208
2022-02-02,675.0,702.0,673.5,698.4,4516994
2022-02-03,697.5,710.5,685.5,690.4,2977552
2022-02-04,692.25,694.9,666.8,671.95,1762798
2022-02-07,675.7,682.0,659.2,669.5,1921966
2022-02-08,673.0,680.6,651.5,667.15,2095414
2022-02-09,671.45,686.8,669.0,683.45,1608584
2022-02-10,684.0,691.9,678.5,688.95,1508618
2022-02-11,683.5,688.95,658.0,660.15,1677724
2022-02-14,645.1,650.0,623.65,626.85,1723900
2022-02-15,627.5,658.5,621.5,653.55,1462732
2022-02-16,653.55,657.35,635.55,638.2,1554850
2022-02-17,638.05,646.5,626.05,634.8,1626704
2022-02-18,632.5,640.0,626.5,630.55,1083516
2022-02-21,630.55,638.4,621.75,631.0,973058
2022-02-22,623.5,632.5,613.1,630.5,1526056
2022-02-23,637.0,645.0,631.0,636.7,1224002
2022-02-24,615.0,632.45,582.5,589.75,2616926
2022-02-25,597.95,622.9,595.9,617.35,1743226
2022-02-28,614.0,615.0,592.9,601.8,2236010
2022-03-02,592.5,610.5,584.5,604.65,2434242
2022-03-03,607.05,612.15,574.0,579.05,3038270
2022-03-04,577.0,580.95,557.5,562.5,2190426
2022-03-07,534.4,548.95,525.9,532.45,3253850
2022-03-08,525.5,553.1,525.0,549.15,2751556
2022-03-09,555.0,575.0,540.8,572.55,2433296
2022-03-10,586.0,597.5,575.3,581.05,3223206
2022-03-11,575.0,598.0,573.0,596.5,2531178
2022-03-14,597.95,601.95,538.05,560.55,5538038
2022-03-15,566.25,591.0,565.55,584.75,3947152
2022-03-16,590.0,597.45,580.8,589.4,3214070
2022-03-17,600.0,602.5,579.85,581.7,2284234
2022-03-21,590.0,591.9,570.0,588.85,2554532
2022-03-22,588.85,599.85,582.0,598.0,1763570
