Date,Open,High,Low,Close,Volume
2022-01-03,59.0,60.95,58.75,60.7,26998477
2022-01-04,60.95,61.2,59.3,60.05,23684780
2022-01-05,59.55,60.6,59.5,59.8,21100778
2022-01-06,59.15,60.55,58.55,60.15,21274724
2022-01-07,61.0,61.1,58.9,59.5,23860527
2022-01-10,59.8,62.9,59.7,62.65,46077589
2022-01-11,62.6,63.3,61.4,61.9,28263294
2022-01-12,62.05,62.6,61.3,62.35,22751471
2022-01-13,62.45,63.65,61.6,62.7,27759563
2022-01-14,62.55,64.55,62.05,63.7,38827107
2022-01-17,64.05,64.6,63.55,63.85,24887809
2022-01-18,64.0,64.1,60.35,60.65,36833735
2022-01-19,60.75,62.0,60.0,61.85,24114802
2022-01-20,62.0,62.3,61.1,61.7,16346200
2022-01-21,61.4,62.25,58.55,59.6,26625295
2022-01-24,59.8,60.1,56.3,57.25,29775640
2022-01-25,56.95,58.35,56.3,57.6,28811319
2022-01-27,57.45,60.35,57.0,59.4,51899167
2022-01-28,61.4,61.75,57.5,57.75,61785304
2022-01-31,58.2,58.8,56.8,58.0,37774703
2022-02-01,58.3,60.8,58.0,59.8,53793696
2022-02-02,60.2,61.65,59.75,60.35,32156077
2022-02-03,60.4,61.05,59.7,60.1,27294506
2022-02-04,60.2,60.2,58.5,58.75,25226133
2022-02-07,58.75,59.2,57.3,57.6,26932812
2022-02-08,57.9,58.0,55.2,55.75,41744108
2022-02-09,56.0,56.5,55.2,55.7,17705304
2022-02-10,56.0,57.45,55.6,57.05,19498660
2022-02-11,56.5,57.0,55.85,56.3,13652835
2022-02-14,55.25,55.45,52.7,53.15,26510266
2022-02-15,54.0,55.5,52.7,54.8,20300727
2022-02-16,55.3,55.7,54.45,55.1,17655412
2022-02-17,55.3,56.35,54.1,54.25,45900731
2022-02-18,54.25,54.45,53.2,53.4,17873081
2022-02-21,53.0,53.4,50.2,50.5,44296864
2022-02-22,49.7,50.1,48.2,49.45,51316741
2022-02-23,49.75,50.9,49.55,49.65,31779044
2022-02-24,47.95,48.25,44.0,44.35,48563259
2022-02-25,47.6,49.45,46.1,48.15,61882199
2022-02-28,48.0,50.15,47.0,49.85,41519924
2022-03-02,49.7,51.0,49.05,50.4,33734292
2022-03-03,51.1,51.6,50.15,50.45,25803995
2022-03-04,49.95,50.6,49.0,49.2,25945200
2022-03-07,48.2,49.15,47.5,48.75,25686510
2022-03-08,48.75,50.5,48.5,50.1,26663604
2022-03-09,50.45,51.0,49.85,50.65,25304136
2022-03-10,51.4,52.3,50.7,51.05,28489527
2022-03-11,51.05,52.15,50.85,51.9,23386870
2022-03-14,51.85,52.35,50.55,51.05,20912014
2022-03-15,51.45,51.75,49.7,50.2,21490509
2022-03-16,50.65,51.4,50.55,51.2,16457526
2022-03-17,51.85,51.95,51.2,51.4,16130728
2022-03-21,51.65,51.7,50.6,50.7,14160082
2022-03-22,50.75,51.15,50.1,51.0,18084732
2022-03-23,51.4,53.1,51.1,51.25,37287036
2022-03-24,51.05,52.0,50.9,51.35,17503276
2022-03-25,51.5,52.4,51.25,51.65,24798590
2022-03-28,52.0,52.0,49.6,49.85,28281264
2022-03-29,50.15,50.3,48.8,49.1,24751771
2022-03-30,49.55,50.75,49.45,50.2,25234310
2022-03-31,50.5,50.5,49.2,49.35,22962401
2022-04-01,49.5,54.2,49.45,53.85,74868337
2022-04-04,54.3,54.6,53.5,54.4,34054330
2022-04-05,54.7,56.8,54.35,56.05,34624398
2022-04-06,55.95,57.4,55.55,56.75,42528918
2022-04-07,56.8,58.65,55.9,56.55,45264070
2022-04-08,56.95,57.1,56.0,56.55,19306565
2022-04-11,56.55,57.7,56.35,56.6,19058505
2022-04-12,56.6,56.6,54.35,55.25,25159871
2022-04-13,55.55,55.9,54.55,54.7,15633459
2022-04-18,54.45,55.15,53.55,54.4,18237871
2022-04-19,55.0,55.9,52.65,53.55,26507027
2022-04-20,53.75,54.5,53.1,53.85,17850871
2022-04-21,54.1,55.1,54.05,54.7,18520814
2022-04-22,54.45,55.65,53.8,53.95,21803030
2022-04-25,53.25,53.25,51.3,51.7,31725522
2022-04-26,52.25,53.1,51.9,52.95,21251537
2022-04-27,52.5,53.4,51.75,52.6,19789916
2022-04-28,53.0,54.15,52.2,53.8,24440581
2022-04-29,54.2,54.85,52.45,52.65,20369122
2022-05-02,52.2,52.6,51.35,52.4,16280662
2022-05-04,52.5,54.4,51.85,52.35,32442013
2022-05-05,52.95,55.45,52.8,53.85,43687971
2022-05-06,52.95,52.95,50.5,51.05,37146290
2022-05-09,50.75,50.85,48.8,49.4,32286106
2022-05-10,49.25,50.55,48.1,48.35,23048696
2022-05-11,48.95,49.0,45.6,46.85,31708100
2022-05-12,46.25,46.55,44.5,45.4,29606312
2022-05-13,46.4,47.85,46.05,46.3,28207461
2022-05-16,47.0,49.1,46.05,48.65,27593828
2022-05-17,49.9,50.15,48.7,49.95,22875497
2022-05-18,49.8,50.35,49.4,49.8,20804686
2022-05-19,48.5,50.1,48.0,49.35,24918767
2022-05-20,50.0,53.5,50.0,53.1,52063254
2022-05-23,55.2,55.8,50.85,51.1,62079730
2022-05-24,51.4,51.5,50.05,50.4,23518464
2022-05-25,50.75,50.8,48.9,49.3,20752902
2022-05-26,49.45,50.5,47.7,50.2,31516573
2022-05-27,50.5,51.35,50.15,51.15,22624272
2022-05-30,51.8,52.05,51.3,51.6,15618484
2022-05-31,51.45,52.15,51.0,51.2,13815189
2022-06-01,51.5,52.4,51.2,51.7,19031052
2022-06-02,51.65,52.4,51.45,52.2,14396611
2022-06-03,52.55,52.7,50.45,50.6,16818510
