Date,Open,High,Low,Close,Volume
2022-01-03,364.65,367.5,362.15,362.75,868445
2022-01-04,365.0,369.6,358.55,364.4,3115452
2022-01-05,366.0,367.9,361.75,363.35,1049204
2022-01-06,361.0,364.4,359.45,360.35,967933
2022-01-07,360.0,362.65,356.7,358.5,1182457
2022-01-10,356.8,359.25,353.55,358.15,1843562
2022-01-11,358.15,362.7,357.05,358.65,1019918
2022-01-12,359.15,366.0,356.55,364.85,1738270
2022-01-13,365.0,374.2,358.6,370.25,2924164
2022-01-14,370.25,374.35,356.3,357.7,4700387
2022-01-17,361.0,361.0,353.5,357.1,1571893
2022-01-18,358.0,359.5,347.0,348.7,1631061
2022-01-19,353.3,369.5,353.3,367.35,8460578
2022-01-20,366.0,367.9,361.5,364.2,1513144
2022-01-21,364.0,382.5,356.0,377.1,9950400
2022-01-24,377.1,379.85,367.9,372.8,4407054
2022-01-25,370.0,377.3,365.8,374.3,3877973
2022-01-27,372.45,374.15,357.0,359.4,2404382
2022-01-28,361.4,369.4,358.3,364.1,2352469
2022-01-31,365.75,377.4,363.55,367.1,2706629
2022-02-01,369.1,376.9,366.15,376.15,1563744
2022-02-02,379.0,389.9,378.15,387.25,4529790
2022-02-03,388.0,394.35,384.7,392.7,4692928
2022-02-04,393.8,395.7,389.65,391.65,2637508
2022-02-07,390.5,404.5,390.25,399.3,6057343
2022-02-08,403.9,410.7,399.7,404.6,7761396
2022-02-09,404.6,409.2,401.5,407.25,2428075
2022-02-10,406.1,408.0,401.25,403.7,1556043
2022-02-11,400.0,404.6,394.7,402.9,2008633
2022-02-14,395.0,402.75,392.0,393.55,1638123
2022-02-15,393.55,404.85,392.6,403.9,1702145
2022-02-16,404.0,406.85,400.25,401.85,1075794
2022-02-17,403.0,405.75,393.3,395.7,1131202
2022-02-18,394.95,397.2,387.65,392.7,1428851
2022-02-21,390.4,392.2,385.0,387.5,1125934
2022-02-22,380.95,385.5,377.25,384.3,1727260
2022-02-23,384.1,397.15,383.45,395.45,2297257
2022-02-24,389.0,394.85,372.9,374.15,2949622
2022-02-25,379.7,395.8,378.4,394.55,1945989
2022-02-28,394.9,394.9,347.0,348.85,15809887
2022-03-02,350.0,353.45,343.05,344.85,13122596
2022-03-03,350.45,351.5,337.6,340.05,5683175
2022-03-04,340.0,340.95,327.0,328.2,4510173
2022-03-07,326.0,332.0,319.1,330.0,3343221
2022-03-08,330.0,338.5,325.0,334.45,6020844
2022-03-09,337.85,339.2,332.65,337.8,3009188
2022-03-10,344.0,344.0,331.5,333.2,5133631
2022-03-11,333.0,335.25,328.0,331.95,4955659
2022-03-14,331.95,334.3,324.65,328.7,2757846
2022-03-15,331.25,336.95,325.7,327.45,4762960
2022-03-16,330.6,330.85,327.5,329.2,1461561
2022-03-17,332.0,332.7,330.0,331.45,3561872
2022-03-21,332.0,335.6,328.8,329.8,1872846
2022-03-22,331.0,335.65,328.7,334.7,1558965
2022-03-23,336.0,341.9,335.7,337.2,2868421
2022-03-24,337.0,343.25,335.2,342.3,1779377
2022-03-25,343.55,350.9,342.0,348.9,4089702
2022-03-28,349.95,351.9,339.55,345.7,3149400
2022-03-29,347.1,349.25,342.0,343.45,1145170
2022-03-30,345.85,347.6,340.0,341.55,2474161
2022-03-31,343.0,343.9,334.45,335.6,2009138
2022-04-01,339.0,343.0,335.4,341.9,2395845
2022-04-04,344.2,348.0,341.75,346.45,1627838
2022-04-05,347.95,350.0,345.3,347.3,983530
2022-04-06,346.0,352.6,346.0,350.3,1959648
2022-04-07,352.0,355.9,348.35,353.35,3929845
2022-04-08,354.55,357.8,353.0,355.0,1524533
2022-04-11,355.0,361.75,349.8,351.35,3390421
2022-04-12,350.65,354.6,342.3,349.15,2291502
2022-04-13,349.95,354.8,348.5,350.7,855439
2022-04-18,347.8,350.6,338.4,343.2,2986116
2022-04-19,344.0,348.45,333.0,337.95,2438919
2022-04-20,342.0,353.8,337.3,352.55,3702037
2022-04-21,352.6,375.0,348.6,373.95,8965603
2022-04-22,373.9,384.85,368.15,375.55,7481010
2022-04-25,371.8,383.35,371.1,380.85,4861868
2022-04-26,384.9,388.0,376.75,380.05,4954362
2022-04-27,379.9,383.9,372.0,381.95,2724204
2022-04-28,385.0,385.0,375.25,376.75,1707353
