Date,Open,High,Low,Close,Volume
2022-01-03,213.5,214.0,211.5,212.0,3950694
2022-01-04,213.0,214.0,210.0,212.0,3166245
2022-01-05,213.0,214.0,210.0,212.0,3143358
2022-01-06,210.5,216.5,209.0,214.0,5538114
2022-01-07,216.5,220.5,214.5,216.5,9942858
2022-01-10,219.0,219.5,214.5,216.0,4355451
2022-01-11,217.0,222.0,216.0,217.0,6195654
2022-01-12,219.0,220.0,215.0,216.0,3570975
2022-01-13,217.0,232.5,214.5,223.0,37368864
2022-01-14,223.0,231.0,221.0,229.5,12496032
2022-01-17,230.0,231.5,227.0,227.5,5362749
2022-01-18,228.5,232.0,221.0,224.5,8796375
2022-01-19,224.5,238.5,222.0,236.0,17419707
2022-01-20,237.5,243.0,235.5,240.5,13169817
2022-01-21,237.5,244.0,226.5,229.0,16011225
2022-01-24,228.5,230.0,214.0,217.5,11302407
2022-01-25,215.0,224.0,207.5,220.5,10127430
2022-01-27,220.0,225.0,217.5,221.0,9324216
2022-01-28,223.0,228.0,217.5,219.0,6844770
2022-01-31,222.0,224.0,216.0,217.0,5319927
2022-02-01,218.5,224.0,214.5,221.5,4603707
2022-02-02,222.5,232.0,222.0,231.0,9612252
2022-02-03,231.0,246.5,231.0,243.5,22956201
2022-02-04,247.0,250.0,242.0,246.5,14280255
2022-02-07,247.0,247.0,234.5,237.5,10955826
2022-02-08,239.5,242.5,228.0,231.0,10942398
2022-02-09,232.0,254.5,224.0,248.5,47493864
2022-02-10,250.5,258.5,250.0,253.0,22831092
2022-02-11,250.0,257.5,247.0,252.5,12689658
2022-02-14,249.0,249.5,235.5,238.5,11149164
2022-02-15,241.0,246.0,233.5,243.5,12387987
2022-02-16,243.5,254.0,243.0,248.5,13377393
2022-02-17,252.0,260.5,248.5,253.5,21081060
2022-02-18,255.0,258.5,250.0,251.5,11531475
2022-02-21,251.0,251.0,239.0,240.5,11159685
2022-02-22,227.5,234.5,225.5,229.5,10089477
2022-02-23,233.0,238.5,230.0,231.0,7676118
2022-02-24,221.0,223.5,206.5,208.5,18210141
2022-02-25,211.0,219.5,211.0,217.0,10405917
2022-02-28,213.0,220.0,210.0,218.0,8849700
2022-03-02,214.0,225.5,213.5,223.0,9092043
2022-03-03,228.5,234.5,226.5,232.5,8640846
2022-03-04,229.5,237.5,229.5,231.5,9863271
2022-03-07,229.0,230.5,223.5,228.5,7498773
2022-03-08,232.0,237.5,230.0,235.5,6868080
2022-03-09,239.0,246.5,237.5,245.5,8083413
2022-03-10,253.0,294.5,251.5,291.0,65631258
2022-03-11,297.0,318.5,295.5,299.0,87032268
2022-03-14,300.5,346.0,299.5,336.5,68063517
2022-03-15,346.0,349.0,312.5,326.5,33900858
2022-03-16,331.5,338.5,325.0,329.5,14793219
2022-03-17,331.0,334.0,309.0,314.0,22806297
2022-03-21,300.0,329.0,300.0,312.5,15650502
2022-03-22,317.5,322.5,313.0,318.5,6404940
2022-03-23,322.0,324.5,314.5,316.0,3792807
2022-03-24,313.5,315.5,310.0,311.0,2483190
2022-03-25,312.5,313.5,294.0,295.5,4445568
2022-03-28,295.5,308.5,290.0,294.5,5085117
2022-03-29,296.0,303.5,295.5,299.5,2553717
2022-03-30,303.0,319.5,300.0,314.5,4573713
2022-03-31,316.0,320.0,306.5,314.5,4336740
2022-04-01,313.5,313.5,308.0,312.0,3606015
2022-04-04,313.5,315.0,304.0,307.0,3780225
2022-04-05,308.0,309.5,302.0,302.5,2745333
2022-04-06,302.0,305.5,300.0,302.5,2308857
2022-04-07,300.0,303.0,295.0,297.0,2686338
2022-04-08,298.5,305.0,295.5,300.5,2736294
2022-04-11,300.0,301.5,296.5,299.0,1532448
2022-04-12,299.0,307.0,294.5,300.5,3716601
2022-04-13,302.0,303.0,298.5,301.0,1379502
2022-04-18,299.0,299.0,293.5,293.5,1348863
2022-04-19,296.0,296.5,280.5,286.0,1595313
2022-04-20,286.5,297.0,278.5,281.0,2790102
