Date,Open,High,Low,Close,Volume
2022-01-03,4770.0,4799.0,4701.2,4711.5,534384
2022-01-04,4758.9,4758.9,4685.0,4726.95,242287
2022-01-05,4725.0,4725.0,4646.0,4687.4,287948
2022-01-06,4669.1,4716.0,4642.65,4705.65,361505
2022-01-07,4715.0,4748.0,4696.15,4731.35,301517
2022-01-10,4784.9,4784.9,4620.0,4633.55,1037618
2022-01-11,4649.0,4654.9,4499.0,4504.9,791417
2022-01-12,4500.0,4500.0,4165.3,4276.1,2521043
2022-01-13,4276.0,4354.45,4221.6,4254.6,1090010
2022-01-14,4266.0,4344.45,4256.15,4322.7,896929
2022-01-17,4365.0,4414.0,4290.45,4400.5,870335
2022-01-18,4425.0,4500.0,4381.0,4441.15,940894
2022-01-19,4459.0,4505.0,4365.0,4483.4,579886
2022-01-20,4517.0,4517.0,4462.35,4483.55,350124
2022-01-21,4410.0,4435.45,4281.0,4299.8,606584
2022-01-24,4300.0,4316.9,3978.0,4035.3,1126974
2022-01-25,4025.0,4120.0,3881.25,4095.45,810518
2022-01-27,4040.0,4144.1,3994.95,4063.3,675652
2022-01-28,4130.0,4150.9,4046.0,4076.0,582484
2022-01-31,4140.0,4171.0,4092.0,4114.35,478099
2022-02-01,4133.2,4278.0,4092.0,4225.6,321735
2022-02-02,4274.3,4275.0,4211.0,4236.65,249200
2022-02-03,4231.05,4235.0,4122.35,4140.0,337719
2022-02-04,4140.0,4140.2,4075.0,4081.9,299981
2022-02-07,4090.0,4146.8,4045.2,4073.55,288091
2022-02-08,4098.9,4128.95,3995.0,4015.0,456874
2022-02-09,4078.7,4078.7,3983.0,4002.1,380364
2022-02-10,4034.1,4182.0,4001.0,4162.7,699250
2022-02-11,4138.0,4157.0,4080.1,4142.25,336884
2022-02-14,4015.0,4125.0,3958.05,3979.75,466101
2022-02-15,4015.0,4128.9,3980.0,4081.75,377212
2022-02-16,4139.9,4155.0,4035.0,4051.15,313236
2022-02-17,4095.6,4152.0,4080.0,4115.4,357259
2022-02-18,4098.0,4121.0,4056.05,4073.1,169496
2022-02-21,4048.0,4170.0,3990.0,4096.6,480541
2022-02-22,4001.0,4179.0,3990.0,4157.1,484781
2022-02-23,4165.0,4217.7,4135.0,4193.45,360454
2022-02-24,3993.85,4131.95,3947.85,4014.65,552288
2022-02-25,4080.0,4210.0,4037.65,4190.75,425226
2022-02-28,4155.0,4355.0,4062.1,4340.35,647569
2022-03-02,4299.95,4446.95,4270.0,4295.15,479507
2022-03-03,4370.0,4395.0,4253.9,4276.5,303425
2022-03-04,4260.2,4260.2,4075.05,4110.2,437691
2022-03-07,4001.0,4175.0,3970.8,3991.65,694633
2022-03-08,4016.0,4160.0,3992.4,4124.0,713004
2022-03-09,4155.0,4172.9,4071.1,4096.7,395071
2022-03-10,4210.0,4239.9,4142.3,4168.6,439778
2022-03-11,4167.0,4210.0,4109.25,4198.95,387534
2022-03-14,4190.0,4218.0,4150.0,4168.25,305326
2022-03-15,4191.0,4251.0,4171.75,4231.05,560819
2022-03-16,4229.75,4243.6,4153.0,4169.55,470355
2022-03-17,4218.0,4239.0,4166.1,4192.75,608024
