Date,Open,High,Low,Close,Volume
2022-01-03,83.2,87.85,82.95,87.2,23089490
2022-01-04,88.0,88.9,86.9,88.5,17703948
2022-01-05,88.45,90.35,87.75,90.05,18419964
2022-01-06,89.7,90.6,89.0,90.05,16421121
2022-01-07,90.8,91.9,90.05,91.35,19019068
2022-01-10,91.85,95.9,91.6,95.55,29701899
2022-01-11,95.95,96.9,94.45,96.45,19146191
2022-01-12,98.7,99.5,97.7,98.5,22266577
2022-01-13,98.5,101.9,97.75,100.6,23810313
2022-01-14,100.45,101.0,98.8,99.5,11509042
2022-01-17,99.45,100.5,99.2,100.0,8373684
2022-01-18,100.2,101.0,97.8,98.3,16203943
2022-01-19,98.5,99.8,97.3,98.55,12924190
2022-01-20,98.4,99.2,97.4,97.85,10645612
2022-01-21,97.05,97.1,93.1,93.9,14711397
2022-01-24,93.9,94.75,90.25,92.0,16770551
2022-01-25,92.0,97.65,90.8,95.85,41665022
2022-01-27,95.4,100.5,94.0,100.1,31055664
2022-01-28,100.75,102.75,99.6,100.2,28438564
2022-01-31,101.5,101.7,99.8,100.6,14174495
2022-02-01,101.1,102.0,98.25,100.25,14525052
2022-02-02,101.0,102.2,100.3,101.4,12593978
2022-02-03,101.25,101.9,100.8,101.0,10269350
2022-02-04,101.0,101.2,98.25,98.9,9864599
2022-02-07,99.0,100.5,97.8,99.5,24264144
2022-02-08,99.85,100.05,97.0,99.0,9556428
2022-02-09,99.7,103.0,99.7,102.15,22966546
2022-02-10,102.5,105.0,100.9,104.45,30117303
2022-02-11,103.9,106.0,102.3,102.95,28714979
2022-02-14,100.0,100.45,95.45,96.2,23369759
2022-02-15,96.8,100.95,94.4,100.45,20803245
2022-02-16,101.0,101.5,98.95,99.6,16016476
2022-02-17,99.7,100.2,98.05,98.5,13437785
2022-02-18,97.0,98.95,96.95,97.9,10075699
2022-02-21,97.8,101.85,97.0,99.75,35843421
2022-02-22,97.75,100.05,96.15,99.45,25227553
2022-02-23,99.45,102.1,99.45,100.3,21482751
2022-02-24,97.0,97.55,92.6,93.85,39643527
2022-02-25,95.45,97.6,95.0,96.75,28249018
2022-02-28,96.1,97.3,95.0,97.0,14455709
2022-03-02,96.0,97.75,94.65,96.05,15548463
2022-03-03,97.45,97.5,95.3,95.75,12419175
2022-03-04,95.3,95.65,92.85,93.25,13385957
2022-03-07,92.0,92.5,86.0,87.4,24502834
2022-03-08,87.0,90.4,86.05,89.65,29047023
2022-03-09,90.8,93.0,89.5,92.45,23549931
2022-03-10,95.2,97.25,93.75,94.7,25939107
2022-03-11,94.4,95.75,93.8,95.3,15023756
2022-03-14,95.35,96.0,93.8,94.9,15504240
2022-03-15,95.35,95.8,93.0,93.45,12684289
2022-03-16,94.95,98.7,94.55,98.35,23649366
2022-03-17,99.65,100.3,97.75,98.05,18789951
2022-03-21,98.45,98.45,96.8,97.35,10129862
2022-03-22,97.5,99.2,96.5,98.85,11871146
2022-03-23,99.0,100.0,98.15,98.55,11438626
2022-03-24,98.3,99.15,97.7,98.0,10320726
2022-03-25,98.1,98.7,97.1,97.5,7671535
2022-03-28,97.8,99.05,96.2,98.65,11144335
2022-03-29,99.65,99.8,97.3,97.55,11378953
2022-03-30,98.55,98.65,96.65,97.05,18410087
2022-03-31,97.2,98.4,96.9,97.4,10490975
2022-04-01,97.4,102.25,97.15,101.6,21163607
2022-04-04,102.0,104.0,101.25,102.5,25317872
2022-04-05,103.2,103.2,97.7,98.25,43539147
2022-04-06,98.25,100.3,97.5,99.3,15242800
2022-04-07,99.3,99.8,98.0,98.45,17796591
2022-04-08,99.5,100.9,99.0,100.2,15120901
2022-04-11,100.0,101.35,99.55,100.05,8635769
2022-04-12,100.05,100.05,97.25,98.45,12213669
2022-04-13,99.0,100.2,98.25,98.95,11604703
2022-04-18,98.7,98.7,96.15,96.95,9523135
2022-04-19,97.6,98.85,95.0,96.3,11897241
2022-04-20,96.95,97.8,95.75,96.1,10227110
2022-04-21,96.9,97.3,96.0,96.6,10130826
2022-04-22,96.5,96.7,95.4,95.75,11899685
2022-04-25,95.0,96.55,93.7,95.4,12393868
2022-04-26,96.8,97.75,96.25,97.5,10607557
2022-04-27,96.85,97.7,95.9,97.05,7410436
