Date,Open,High,Low,Close,Volume
2022-01-03,77.9,79.25,77.76,79.16,6717087
2022-01-04,79.78,80.89,79.25,80.02,10529582
2022-01-05,80.75,82.39,79.83,82.1,18244766
2022-01-06,82.14,84.07,80.84,83.88,19398843
2022-01-07,84.26,84.65,83.11,84.36,11267465
2022-01-10,84.65,86.58,84.6,86.34,12153644
2022-01-11,86.38,86.87,85.37,85.81,10066721
2022-01-12,86.09,87.2,85.81,86.96,7171142
2022-01-13,87.01,88.07,86.38,87.83,10180856
2022-01-14,87.44,88.21,86.67,87.4,6295374
2022-01-17,85.61,88.02,85.13,87.64,12524406
2022-01-18,87.59,88.5,85.9,86.48,13774521
2022-01-19,86.29,90.09,86.19,89.76,29895144
2022-01-20,89.52,90.09,88.65,89.37,9383231
2022-01-21,88.79,88.99,85.52,86.82,12161757
2022-01-24,85.95,87.01,83.78,85.18,15752490
2022-01-25,83.83,87.3,83.4,87.06,16582790
2022-01-27,85.9,87.25,85.23,85.47,18465921
2022-01-28,86.0,88.6,85.47,85.81,13390613
2022-01-31,86.58,87.83,86.19,87.4,7778208
2022-02-01,87.83,89.76,87.3,89.47,15361881
2022-02-02,90.09,90.24,88.12,88.31,10444488
2022-02-03,87.83,90.62,87.83,89.37,24145317
2022-02-04,90.91,92.31,88.6,88.84,28158332
2022-02-07,89.42,90.33,88.74,89.95,12239946
2022-02-08,90.0,90.29,86.09,87.4,18082866
2022-02-09,87.83,88.21,86.09,86.53,11447532
2022-02-10,86.82,86.87,84.84,85.66,30568632
2022-02-11,85.08,86.38,84.65,85.03,11599658
2022-02-14,83.97,85.08,82.24,83.06,12593280
2022-02-15,83.54,84.46,80.89,84.17,9896463
2022-02-16,84.22,85.42,83.83,84.22,7104209
2022-02-17,84.99,86.14,84.02,84.5,9550596
2022-02-18,84.65,85.52,83.59,85.18,9216444
2022-02-21,84.89,84.99,81.86,82.24,7842080
2022-02-22,79.54,81.76,79.54,81.13,16870430
2022-02-23,81.47,84.55,81.42,83.49,16949706
2022-02-24,80.8,82.14,77.33,78.05,20102259
2022-02-25,78.87,81.71,78.87,81.28,9361904
2022-02-28,81.42,88.99,80.7,87.73,41879933
2022-03-02,88.5,94.14,88.17,92.7,51656592
2022-03-03,94.09,97.37,93.03,96.84,43969119
2022-03-04,96.84,97.46,94.19,94.57,27599465
2022-03-07,95.1,100.07,94.38,98.52,49852982
2022-03-08,98.52,99.54,95.3,95.83,27506886
2022-03-09,96.31,96.84,93.23,93.95,19095227
2022-03-10,92.36,92.55,88.99,89.47,38037086
2022-03-11,89.76,93.71,89.76,92.6,26918120
2022-03-14,93.56,95.15,91.64,92.55,26780126
2022-03-15,92.07,92.26,88.94,90.05,30786711
2022-03-16,90.86,92.84,89.76,92.6,22874642
2022-03-17,93.13,93.71,91.44,91.88,27066381
2022-03-21,89.27,89.56,87.2,87.4,28588611
2022-03-22,87.83,88.6,86.38,86.87,19226274
2022-03-23,87.3,88.6,86.62,86.96,21618524
2022-03-24,87.3,89.66,87.25,89.18,17833026
2022-03-25,89.47,90.19,88.89,89.56,15487355
2022-03-28,92.36,93.23,91.2,92.41,41821985
2022-03-29,93.13,93.32,91.39,92.74,15687570
2022-03-30,93.32,93.8,92.26,93.27,14933177
2022-03-31,94.14,95.73,92.89,94.67,43637699
2022-04-01,95.54,99.01,94.82,98.81,26125590
2022-04-04,99.78,100.31,98.33,98.57,17226963
2022-04-05,99.3,99.73,97.56,97.95,17312993
2022-04-06,97.37,99.58,96.74,99.01,10617483
2022-04-07,99.05,99.68,96.98,97.95,11665853
2022-04-08,98.33,99.25,97.56,98.86,10835868
2022-04-11,99.39,101.27,99.1,100.45,17773953
2022-04-12,100.98,103.05,100.36,101.8,42080381
2022-04-13,102.57,103.58,101.99,103.05,16484244
2022-04-18,102.09,104.4,101.99,102.57,24478446
2022-04-19,103.54,106.14,102.86,103.92,42103259
2022-04-20,104.84,104.84,99.78,101.08,26439089
2022-04-21,100.07,100.84,97.8,100.07,26070098
2022-04-22,99.39,101.13,99.01,100.16,10841300
2022-04-25,98.72,99.3,94.91,96.12,26466789
2022-04-26,97.22,97.42,94.29,95.59,23229773
2022-04-27,94.86,95.78,93.95,94.67,21439446
2022-04-28,96.21,96.74,95.3,96.07,17426663
2022-04-29,96.5,98.33,96.4,96.93,19011851
2022-05-02,96.31,97.27,95.3,95.92,9307421
2022-05-04,95.54,97.56,94.91,95.92,15067610
2022-05-05,96.84,99.73,96.6,98.33,19248848
2022-05-06,96.6,98.14,95.83,97.61,11865471
2022-05-09,96.21,97.46,94.57,94.96,10668992
2022-05-10,94.24,95.54,89.76,90.33,20527046
2022-05-11,90.38,93.08,90.05,91.49,16623365
2022-05-12,91.3,92.21,89.76,91.25,14025941
2022-05-13,91.73,92.84,88.99,89.66,11376351
2022-05-16,90.38,91.78,89.71,91.49,6032105
2022-05-17,92.84,94.0,91.78,93.76,9515223
2022-05-18,94.09,94.77,92.94,93.42,11161104
2022-05-19,91.68,93.9,90.91,93.47,10548978
2022-05-20,94.0,95.63,93.8,95.1,8769071
2022-05-23,94.29,94.91,92.79,93.13,8706326
2022-05-24,93.51,94.29,91.68,92.36,10262603
2022-05-25,92.5,93.61,91.73,92.41,12431466
2022-05-26,92.65,93.23,89.9,91.83,11919162
2022-05-27,92.55,92.65,86.05,86.43,17134841
2022-05-30,87.88,88.5,85.61,87.06,15258350
2022-05-31,87.35,92.41,86.87,89.27,44252819
2022-06-01,89.42,90.82,89.13,90.43,16916865
2022-06-02,90.43,91.3,89.76,90.53,10290948
2022-06-03,91.06,91.83,89.27,89.52,8321058
2022-06-06,88.55,91.01,88.5,89.85,7615440
2022-06-07,90.05,93.13,89.95,91.68,19132638
2022-06-08,92.45,94.0,91.68,92.65,15511416
2022-06-09,92.02,94.38,91.73,92.07,10734990
2022-06-10,92.31,92.98,90.05,90.48,9311255
2022-06-13,89.76,89.76,86.96,88.7,12132084
2022-06-14,88.21,90.72,87.97,89.08,7573116
2022-06-15,90.82,92.26,88.5,89.47,16896789
2022-06-16,90.38,90.67,84.65,84.94,14733386
2022-06-17,83.97,86.19,82.19,83.97,25102788
2022-06-20,84.6,84.6,77.57,78.96,17061659
2022-06-21,80.8,82.72,79.16,82.29,14231108
2022-06-22,81.08,81.37,78.43,80.51,19244924
