Date,Open,High,Low,Close,Volume
2022-01-03,973.9,976.0,956.15,957.6,365511
2022-01-04,960.0,960.0,934.0,949.7,781428
2022-01-05,950.0,956.3,941.2,954.55,280753
2022-01-06,951.9,955.5,933.45,949.05,399966
2022-01-07,936.0,962.0,936.0,957.55,748205
2022-01-10,959.0,962.75,928.6,931.05,811201
2022-01-11,936.8,938.0,912.65,915.05,619574
2022-01-12,920.0,926.0,908.7,924.95,599785
2022-01-13,927.8,929.8,916.0,924.35,411748
2022-01-14,915.9,924.45,909.0,918.75,690471
2022-01-17,922.0,934.8,908.0,924.95,1342109
2022-01-18,926.0,948.0,925.2,928.4,1309979
2022-01-19,933.75,943.6,929.55,937.55,986677
2022-01-20,940.75,940.75,900.25,902.75,838602
2022-01-21,899.0,899.95,883.7,891.2,844538
2022-01-24,890.0,890.7,853.95,860.8,1449993
2022-01-25,855.0,901.3,848.75,894.45,1244694
2022-01-27,891.0,891.0,870.45,879.4,801632
2022-01-28,885.95,900.1,877.65,880.95,1023782
2022-01-31,885.35,899.45,884.15,888.3,399856
2022-02-01,891.0,905.0,885.5,900.4,813871
2022-02-02,907.0,913.95,895.75,910.3,728598
2022-02-03,910.3,929.5,905.1,923.3,884886
2022-02-04,924.0,929.2,907.85,912.35,781566
2022-02-07,912.0,912.0,885.75,889.4,881015
2022-02-08,888.0,894.4,873.05,877.95,1308258
2022-02-09,874.95,874.95,848.05,860.0,1538750
2022-02-10,860.6,864.95,849.2,853.1,711095
2022-02-11,850.0,852.0,820.35,825.0,1853146
2022-02-14,805.0,820.6,794.15,799.75,1708417
2022-02-15,807.05,834.75,803.3,813.75,2517405
2022-02-16,815.6,846.95,814.8,830.25,895517
2022-02-17,839.15,839.15,826.15,832.95,598651
2022-02-18,830.0,836.9,793.85,825.4,376013
2022-02-21,823.0,825.4,801.8,809.0,548546
2022-02-22,788.0,794.0,765.0,780.9,1867712
2022-02-23,785.0,806.0,780.55,803.45,882666
2022-02-24,770.0,796.05,766.6,771.15,887861
2022-02-25,775.8,789.95,768.0,778.35,1150389
2022-02-28,778.0,778.0,742.05,767.95,2644457
2022-03-02,760.0,763.0,749.0,752.3,1483184
2022-03-03,756.0,756.0,730.0,733.8,2003112
2022-03-04,731.05,735.0,711.05,722.05,1833048
2022-03-07,705.1,732.15,660.05,664.7,3263788
2022-03-08,665.0,703.95,660.05,701.05,3176686
2022-03-09,702.85,707.0,694.45,702.0,2756142
2022-03-10,707.2,737.8,707.2,710.85,2212776
2022-03-11,708.5,712.05,699.0,709.45,1691259
2022-03-14,710.0,713.95,699.9,710.0,1006751
