Date,Open,High,Low,Close,Volume
2022-01-03,1623.3,1660.25,1610.6,1655.0,628964
2022-01-04,1664.4,1689.8,1651.45,1685.3,895183
2022-01-05,1678.35,1746.15,1677.35,1740.15,1771250
2022-01-06,1739.2,1739.2,1703.85,1713.75,1158707
2022-01-07,1715.2,1799.85,1715.2,1790.55,2905803
2022-01-10,1802.85,1837.7,1786.5,1831.55,1468480
2022-01-11,1826.9,1863.6,1813.8,1839.6,1416519
2022-01-12,1850.6,1870.0,1837.7,1866.6,701250
2022-01-13,1872.55,1875.55,1842.65,1849.5,844543
2022-01-14,1852.55,1860.35,1825.1,1849.95,1239492
2022-01-17,1849.95,1921.35,1838.7,1911.1,1256235
2022-01-18,1920.3,1922.15,1835.4,1844.9,945496
2022-01-19,1837.7,1856.5,1789.2,1799.35,809295
2022-01-20,1809.8,1829.5,1806.4,1823.75,716176
2022-01-21,1821.75,1821.75,1771.95,1785.0,527053
2022-01-24,1784.7,1784.7,1677.35,1684.0,1022827
2022-01-25,1662.0,1719.35,1651.5,1714.5,838000
2022-01-27,1690.4,1693.25,1653.55,1680.35,817874
2022-01-28,1693.25,1729.45,1684.35,1690.3,1141606
2022-01-31,1699.15,1730.1,1695.25,1720.65,513199
2022-02-01,1729.7,1769.9,1710.3,1764.35,1145245
2022-02-02,1772.95,1782.9,1756.0,1771.05,691679
2022-02-03,1772.0,1778.95,1715.2,1725.85,482344
2022-02-04,1725.85,1758.0,1720.35,1728.45,571680
2022-02-07,1718.2,1742.7,1693.25,1705.55,483212
2022-02-08,1714.55,1721.15,1678.75,1711.0,423296
2022-02-09,1711.3,1739.1,1706.2,1732.8,455811
2022-02-10,1719.75,1764.3,1719.75,1761.55,624868
2022-02-11,1743.05,1753.05,1695.25,1703.4,987534
2022-02-14,1689.9,1689.9,1629.15,1636.45,828020
2022-02-15,1652.75,1709.0,1611.65,1705.3,1199605
2022-02-16,1708.0,1743.0,1705.75,1714.5,1208851
2022-02-17,1731.05,1744.85,1693.25,1704.45,1071634
2022-02-18,1695.25,1733.0,1691.3,1715.95,1205180
2022-02-21,1697.25,1729.85,1680.65,1685.75,1035748
2022-02-22,1630.65,1683.0,1630.65,1677.5,884475
2022-02-23,1683.4,1697.25,1656.55,1663.2,675772
2022-02-24,1618.55,1646.4,1528.9,1538.25,1260593
2022-02-25,1573.75,1592.45,1553.95,1561.65,1125822
2022-02-28,1546.35,1598.05,1532.35,1592.15,1217106
2022-03-02,1565.75,1576.5,1532.4,1542.35,1150949
2022-03-03,1551.85,1571.35,1490.25,1497.65,1150369
2022-03-04,1479.1,1508.9,1441.25,1471.75,1633853
2022-03-07,1439.3,1469.85,1404.1,1440.8,927442
2022-03-08,1434.3,1459.9,1401.65,1452.45,819693
2022-03-09,1459.9,1502.75,1437.8,1487.45,1697970
2022-03-10,1543.85,1568.75,1525.05,1548.75,1492222
2022-03-11,1547.6,1569.65,1534.9,1560.05,1206952
2022-03-14,1550.05,1577.7,1539.8,1571.25,550221
2022-03-15,1566.75,1592.35,1551.45,1558.05,916893
2022-03-16,1573.3,1609.45,1569.95,1597.7,1406632
2022-03-17,1613.6,1650.2,1605.6,1613.45,2739045
2022-03-21,1600.65,1608.05,1550.3,1563.25,1291439
2022-03-22,1563.25,1584.65,1519.05,1576.25,1017767
2022-03-23,1588.2,1588.7,1558.1,1575.85,844629
2022-03-24,1570.75,1597.55,1562.9,1593.05,1080721
2022-03-25,1595.15,1605.6,1567.95,1584.75,662852
2022-03-28,1588.5,1610.55,1568.95,1604.55,1283150
2022-03-29,1612.6,1632.1,1600.6,1617.25,1743946
2022-03-30,1631.5,1671.3,1626.1,1661.1,1510711
2022-03-31,1663.4,1671.95,1643.75,1657.4,781391
2022-04-01,1654.6,1674.2,1651.45,1663.35,844681
2022-04-04,1660.4,1681.3,1652.45,1673.05,808254
2022-04-05,1681.3,1705.2,1662.95,1695.55,1206117
2022-04-06,1693.25,1710.5,1686.75,1693.0,448766
2022-04-07,1682.8,1693.25,1661.4,1675.3,867367
2022-04-08,1669.35,1778.75,1669.35,1764.25,2508015
2022-04-11,1777.65,1823.65,1757.7,1812.95,3289420
2022-04-12,1794.85,1807.8,1743.05,1748.55,1507804
2022-04-13,1750.05,1770.95,1731.5,1758.95,839407
2022-04-18,1754.05,1760.3,1718.25,1734.4,466584
2022-04-19,1747.05,1769.95,1693.35,1713.6,747892
2022-04-20,1711.5,1752.05,1710.25,1729.7,678131
2022-04-21,1738.1,1762.95,1727.65,1757.25,711002
2022-04-22,1741.1,1747.05,1703.25,1710.05,900053
2022-04-25,1681.3,1699.1,1671.7,1687.0,453315
2022-04-26,1698.25,1723.15,1688.3,1711.2,753433
2022-04-27,1689.3,1702.75,1670.35,1693.45,426076
2022-04-28,1710.2,1714.2,1683.3,1705.1,814436
2022-04-29,1709.6,1731.65,1678.45,1685.6,1115565
2022-05-02,1669.35,1682.25,1650.65,1672.9,438839
2022-05-04,1673.45,1696.75,1608.95,1615.85,607696
2022-05-05,1625.5,1638.4,1595.15,1600.55,524859
2022-05-06,1584.1,1598.05,1544.9,1559.4,527672
2022-05-09,1543.8,1567.4,1530.5,1545.6,965410
2022-05-10,1544.85,1569.6,1528.3,1536.0,856642
2022-05-11,1535.9,1557.5,1502.1,1529.25,840087
2022-05-12,1520.95,1523.95,1457.45,1479.95,693594
2022-05-13,1497.65,1511.95,1460.15,1469.25,489395
2022-05-16,1469.15,1490.95,1431.9,1446.5,814351
2022-05-17,1450.25,1484.1,1442.3,1475.55,772250
2022-05-18,1484.1,1503.35,1470.3,1481.45,776063
2022-05-19,1464.2,1465.1,1440.8,1452.05,525816
2022-05-20,1466.15,1515.95,1462.45,1482.45,645076
2022-05-23,1480.1,1504.45,1446.25,1451.65,959790
2022-05-24,1452.25,1461.2,1374.55,1397.2,1863231
2022-05-25,1394.45,1439.0,1351.45,1370.1,3390982
2022-05-26,1386.5,1395.3,1334.95,1387.05,1562780
2022-05-27,1404.4,1417.3,1372.6,1391.15,1274718
2022-05-30,1404.4,1443.25,1397.55,1435.3,784377
2022-05-31,1442.5,1449.5,1414.25,1422.95,2034013
2022-06-01,1419.35,1444.25,1407.0,1430.85,871147
2022-06-02,1443.25,1443.25,1410.0,1426.9,888795
2022-06-03,1429.3,1435.85,1324.8,1334.15,4829454
2022-06-06,1328.7,1334.7,1304.8,1321.45,2364329
2022-06-07,1309.8,1331.7,1292.35,1321.4,2011482
2022-06-08,1331.7,1349.65,1302.25,1323.5,2671127
2022-06-09,1321.75,1321.75,1296.85,1303.9,1360831
2022-06-10,1284.9,1326.55,1280.95,1321.25,1149961
2022-06-13,1294.85,1310.25,1280.55,1287.45,1204017
2022-06-14,1293.85,1316.3,1281.0,1304.15,1069819
2022-06-15,1314.15,1335.7,1302.75,1326.45,1062150
2022-06-16,1339.65,1342.55,1273.0,1279.95,954602
2022-06-17,1281.8,1301.55,1271.55,1284.95,1027139
2022-06-20,1285.0,1316.25,1279.9,1310.8,670772
2022-06-21,1325.75,1334.7,1311.35,1328.8,582021
2022-06-22,1322.85,1325.75,1305.55,1319.65,506447
2022-06-23,1328.7,1336.5,1293.95,1310.85,829824
2022-06-24,1315.2,1334.7,1306.05,1318.0,761752
2022-06-27,1334.7,1349.95,1326.7,1343.95,1127432
2022-06-28,1338.7,1348.5,1321.45,1337.75,661032
2022-06-29,1325.15,1354.5,1313.6,1318.0,1556138
2022-06-30,1326.15,1332.05,1304.9,1315.5,1138089
2022-07-01,1314.75,1344.65,1300.15,1341.9,518560
2022-07-04,1334.7,1352.2,1326.35,1345.45,787143
2022-07-05,1349.65,1372.35,1340.05,1344.4,704841
2022-07-06,1353.75,1369.75,1340.25,1364.25,709046
2022-07-07,1376.55,1386.4,1362.65,1369.4,546507
2022-07-08,1376.75,1401.45,1376.75,1385.85,1079820
2022-07-11,1382.55,1405.4,1368.55,1400.45,761237
2022-07-12,1385.75,1395.7,1370.85,1374.6,318840
2022-07-13,1386.3,1400.65,1382.8,1393.6,470489
2022-07-14,1397.45,1402.4,1375.15,1386.3,380844
2022-07-15,1393.25,1401.45,1383.4,1392.65,288786
2022-07-18,1403.4,1425.45,1400.55,1422.65,606107
2022-07-19,1412.4,1440.2,1412.4,1436.5,764755
2022-07-20,1459.05,1459.15,1432.3,1435.95,810415
2022-07-21,1439.3,1462.0,1436.45,1458.8,780126
2022-07-22,1459.2,1523.95,1451.35,1515.35,1650074
2022-07-25,1515.35,1515.35,1476.05,1492.55,1205285
2022-07-26,1492.55,1511.45,1479.2,1508.85,882250
2022-07-27,1507.8,1555.6,1506.95,1540.7,1287079
2022-07-28,1549.85,1560.85,1531.95,1544.45,966093
2022-07-29,1550.3,1581.4,1548.95,1566.75,804696
2022-08-01,1570.15,1583.05,1553.85,1562.2,556560
2022-08-02,1553.85,1588.2,1545.85,1583.55,907651
2022-08-03,1585.8,1598.2,1561.4,1580.55,539765
2022-08-04,1593.5,1595.35,1555.0,1573.1,720562
2022-08-05,1580.95,1609.5,1575.85,1591.95,951110
2022-08-08,1591.15,1600.7,1578.7,1592.3,461663
2022-08-10,1588.8,1609.8,1580.2,1604.5,567647
2022-08-11,1613.6,1613.65,1586.7,1593.7,451982
2022-08-12,1601.75,1646.45,1583.7,1616.15,1803740
2022-08-16,1625.05,1628.4,1536.55,1585.25,1431538
2022-08-17,1593.65,1632.45,1589.75,1610.15,1052538
2022-08-18,1601.65,1615.2,1579.7,1607.35,1010975
2022-08-19,1613.55,1615.6,1587.8,1599.5,815550
2022-08-22,1592.65,1592.65,1547.6,1557.9,962565
2022-08-23,1551.85,1601.15,1540.8,1589.15,1878454
2022-08-24,1588.7,1610.75,1568.8,1605.85,907999
2022-08-25,1610.6,1640.9,1609.65,1618.4,872154
2022-08-26,1623.5,1680.75,1623.5,1668.6,1352886
2022-08-29,1627.55,1675.35,1607.7,1657.45,1007459
2022-08-30,1663.6,1685.3,1663.6,1672.0,830049
2022-09-01,1653.9,1699.7,1653.8,1678.35,1368943
2022-09-02,1678.75,1690.8,1663.45,1681.2,601417
2022-09-05,1686.25,1707.45,1673.35,1703.95,790436
2022-09-06,1697.25,1723.9,1697.25,1716.25,833826
2022-09-07,1703.25,1748.05,1703.25,1743.2,800843
2022-09-08,1750.35,1765.5,1743.1,1762.85,608735
2022-09-09,1765.5,1790.7,1735.35,1741.35,695716
2022-09-12,1740.1,1765.0,1740.1,1761.45,420085
2022-09-13,1764.0,1801.5,1764.0,1782.55,812176
2022-09-14,1757.0,1791.75,1757.0,1775.75,710550
2022-09-15,1778.95,1809.05,1769.85,1801.15,1078073
2022-09-16,1792.75,1798.85,1719.05,1737.7,1031783
2022-09-19,1733.1,1755.95,1719.75,1742.4,517380
2022-09-20,1753.05,1760.95,1724.35,1734.75,1023132
2022-09-21,1732.1,1742.35,1703.25,1713.05,1131988
2022-09-22,1713.05,1729.1,1690.1,1725.85,477973
2022-09-23,1726.15,1727.65,1683.3,1690.7,638948
2022-09-26,1670.4,1686.3,1645.95,1658.85,784059
2022-09-27,1658.4,1690.25,1637.45,1675.85,571532
2022-09-28,1658.4,1681.05,1647.75,1662.55,550298
2022-09-29,1670.85,1683.15,1644.75,1649.25,543934
2022-09-30,1676.35,1690.3,1647.4,1668.2,815264
2022-10-03,1664.4,1674.8,1621.6,1629.95,474879
2022-10-04,1661.2,1681.9,1644.85,1677.25,515663
2022-10-06,1685.65,1698.25,1668.35,1676.45,616095
2022-10-07,1668.35,1696.15,1648.45,1691.2,691354
2022-10-10,1675.35,1681.25,1650.65,1667.3,771385
2022-10-11,1674.55,1675.35,1630.7,1638.0,409457
2022-10-12,1645.45,1670.35,1624.85,1665.05,412162
2022-10-13,1663.6,1678.1,1633.5,1673.1,751063
2022-10-14,1692.25,1708.45,1681.1,1688.85,568187
2022-10-17,1683.3,1702.25,1668.6,1684.45,711251
2022-10-18,1692.9,1693.95,1673.65,1681.55,471745
2022-10-19,1684.3,1705.85,1670.85,1677.7,1082577
2022-10-20,1676.8,1688.05,1661.55,1682.25,430634
