Date,Open,High,Low,Close,Volume
2022-01-03,169.8,172.8,169.45,172.45,1524540
2022-01-04,173.75,175.05,171.15,173.05,3415416
2022-01-05,173.75,184.45,173.1,183.75,11267937
2022-01-06,184.8,185.5,179.95,183.65,6556890
2022-01-07,184.0,190.65,184.0,187.45,7223049
2022-01-10,187.45,192.5,186.75,191.7,3889624
2022-01-11,191.35,192.25,185.95,186.6,4569924
2022-01-12,187.9,191.25,185.25,186.85,4749156
2022-01-13,187.9,189.7,186.2,188.55,3579710
2022-01-14,188.4,191.6,187.1,190.65,5679802
2022-01-17,192.2,194.15,190.95,192.6,5838015
2022-01-18,192.7,194.2,189.4,189.9,4403488
2022-01-19,187.8,193.3,186.25,190.25,3850218
2022-01-20,189.4,195.35,188.85,190.7,4637306
2022-01-21,189.8,191.1,180.45,181.25,4298454
2022-01-24,180.65,183.3,174.9,176.7,3988360
2022-01-25,174.8,183.15,174.6,181.8,6066980
2022-01-27,180.25,182.75,178.05,179.85,5430098
2022-01-28,181.0,189.1,180.9,183.15,6363381
2022-01-31,185.4,188.95,182.95,183.6,4224096
2022-02-01,180.9,180.9,167.95,168.9,18025340
2022-02-02,169.9,170.85,167.95,168.35,5586453
2022-02-03,168.6,168.85,163.95,164.4,5771946
2022-02-04,165.3,165.5,161.6,162.15,5787009
2022-02-07,162.5,165.5,160.5,164.75,5484352
2022-02-08,165.4,166.6,162.45,166.1,6645834
2022-02-09,167.15,172.45,166.1,171.7,6927784
2022-02-10,172.25,174.95,171.3,174.1,4981834
2022-02-11,171.85,177.0,171.55,175.5,5854886
2022-02-14,170.55,173.65,166.75,167.75,2885366
2022-02-15,168.6,172.0,163.1,171.5,3352287
2022-02-16,172.3,178.95,170.55,177.45,5684816
2022-02-17,178.5,178.5,173.3,175.25,3892938
2022-02-18,175.25,178.1,172.85,173.6,3601977
2022-02-21,171.15,175.75,168.65,169.7,2693274
2022-02-22,164.7,169.25,153.0,168.6,4817394
2022-02-23,168.6,171.15,166.65,167.65,3165232
2022-02-24,162.7,165.4,155.55,156.35,8020863
2022-02-25,160.15,160.7,151.2,153.55,8465396
2022-02-28,151.4,157.9,150.4,157.05,5540666
2022-03-02,154.95,162.4,151.8,152.85,8259096
2022-03-03,154.95,164.05,153.7,160.85,18683166
2022-03-04,162.6,166.1,158.0,164.45,13900755
2022-03-07,163.15,163.15,156.3,159.05,7171623
2022-03-08,159.1,160.4,150.75,155.3,13078812
2022-03-09,156.25,157.85,153.35,154.35,8320304
2022-03-10,158.2,167.25,158.2,160.9,16704669
2022-03-11,161.2,171.75,160.4,170.75,13948977
2022-03-14,171.15,171.15,159.8,160.95,13325282
2022-03-15,162.8,163.5,155.1,157.25,12053588
2022-03-16,159.45,160.95,155.85,160.35,7346892
2022-03-17,161.4,163.55,159.35,162.4,8709237
2022-03-21,159.65,161.2,157.05,159.0,11472684
2022-03-22,157.95,165.25,157.95,161.5,12790992
2022-03-23,163.35,166.9,162.35,164.45,9883227
2022-03-24,162.2,162.6,156.65,158.2,9849969
2022-03-25,160.4,160.45,155.45,155.85,7122980
2022-03-28,156.85,158.2,152.2,152.5,8935230
2022-03-29,154.8,155.45,152.7,153.35,4862826
2022-03-30,155.55,157.35,149.9,151.35,16343247
2022-03-31,153.15,157.0,151.85,154.5,7539246
2022-04-01,154.9,159.75,154.55,159.5,6241929
2022-04-04,159.85,162.45,158.85,161.2,4426702
2022-04-05,162.1,164.05,159.65,162.8,5759012
2022-04-06,162.1,169.35,161.6,168.45,6962420
2022-04-07,169.2,170.85,164.75,165.3,7751625
2022-04-08,167.7,172.8,166.8,172.1,8715123
2022-04-11,173.4,178.75,171.45,175.45,7524382
2022-04-12,174.95,174.95,165.75,167.2,5833906
2022-04-13,168.15,170.75,166.65,169.6,2802086
2022-04-18,167.95,169.0,162.75,163.6,4030407
2022-04-19,165.3,173.1,164.85,169.9,11036150
2022-04-20,171.15,176.45,169.6,174.25,7423839
2022-04-21,175.5,177.1,172.25,175.05,5202382
2022-04-22,175.05,176.5,172.8,173.55,3427598
2022-04-25,172.8,172.8,166.7,169.0,5720188
2022-04-26,169.9,170.95,167.25,169.55,3335396
2022-04-27,167.1,169.75,162.15,162.65,4318218
2022-04-28,163.9,164.05,160.35,162.85,5927102
2022-04-29,164.0,165.45,154.95,155.15,7115864
2022-05-02,154.95,157.05,153.2,156.5,4683938
2022-05-04,156.5,159.35,155.25,156.25,3205818
2022-05-05,158.1,159.95,154.3,155.3,3895654
2022-05-06,153.95,154.85,151.35,154.1,2549289
2022-05-09,154.05,155.4,149.1,153.9,4567230
2022-05-10,154.95,157.9,153.7,155.3,5354988
2022-05-11,157.5,157.5,149.5,151.0,4438941
2022-05-12,149.75,153.05,147.15,150.05,4457722
2022-05-13,151.65,153.05,145.95,147.25,3480812
2022-05-16,148.55,148.55,144.15,144.75,2635593
2022-05-17,145.95,146.95,142.65,145.75,7191000
2022-05-18,143.25,145.2,134.35,137.85,12287912
2022-05-19,136.25,138.35,133.5,134.8,7930874
2022-05-20,137.75,139.6,134.8,138.05,9490221
2022-05-23,138.05,139.6,132.5,133.85,7662762
2022-05-24,135.4,138.0,134.25,136.75,6859215
2022-05-25,137.4,137.8,130.65,131.4,5339415
2022-05-26,132.2,133.0,126.25,131.9,8213086
2022-05-27,132.55,132.55,127.25,128.85,7390122
2022-05-30,129.65,131.15,128.05,130.15,8166267
2022-05-31,129.95,130.6,126.55,127.5,12859684
2022-06-01,128.95,132.7,127.8,128.7,9236528
2022-06-02,130.25,130.7,128.1,130.35,7759270
2022-06-03,130.75,131.9,129.45,130.8,4933131
2022-06-06,130.75,130.75,125.75,127.45,6324724
2022-06-07,127.4,130.45,126.65,129.3,4612384
2022-06-08,129.7,132.2,128.95,130.45,5238554
2022-06-09,130.15,138.6,128.95,134.5,13659256
2022-06-10,132.85,135.3,131.9,133.9,4169348
2022-06-13,131.35,131.9,126.35,126.9,4277716
2022-06-14,126.95,128.1,117.95,118.55,15084033
2022-06-15,119.25,119.8,116.15,119.15,9391041
2022-06-16,121.15,122.25,116.9,117.25,6372418
2022-06-17,116.1,118.55,115.15,115.55,12099436
2022-06-20,117.3,119.55,113.65,116.2,8808268
2022-06-21,115.95,122.15,115.95,121.4,5265470
2022-06-22,122.35,125.95,118.7,125.4,12630306
2022-06-23,125.9,127.15,122.85,126.15,10109100
2022-06-24,126.05,126.8,121.85,122.35,7090887
2022-06-27,123.65,126.35,121.95,125.55,4016829
2022-06-28,124.2,128.95,122.7,124.0,8989018
2022-06-29,123.4,125.5,121.95,125.05,4839736
2022-06-30,124.4,125.45,119.9,120.65,10057864
2022-07-01,121.15,128.3,120.0,127.95,12294897
2022-07-04,126.0,127.65,124.7,126.9,3629558
2022-07-05,127.5,128.3,124.5,126.55,6522736
2022-07-06,127.65,133.3,127.65,131.45,14709478
2022-07-07,134.15,139.3,132.5,138.5,13166997
2022-07-08,138.15,139.2,135.3,136.3,6363082
