Date,Open,High,Low,Close,Volume
2022-01-03,2001.0,2024.8,1935.0,2014.0,1313054
2022-01-04,2014.0,2060.0,2002.5,2041.7,787910
2022-01-05,2015.0,2027.95,1965.0,1977.75,903873
2022-01-06,1955.0,1990.9,1940.15,1960.15,1064170
2022-01-07,1979.4,2018.75,1970.0,2005.45,1430111
2022-01-10,1977.0,2066.85,1977.0,2055.1,1307846
2022-01-11,2040.0,2115.0,2025.35,2035.55,1461780
2022-01-12,2057.6,2100.0,2040.7,2089.0,725042
2022-01-13,2096.0,2160.9,2091.1,2144.9,1194980
2022-01-14,2121.35,2169.0,2121.35,2165.45,628330
2022-01-17,2165.45,2173.4,2136.0,2165.25,443336
2022-01-18,2168.0,2183.0,2097.05,2112.25,819354
2022-01-19,2122.25,2123.0,2057.6,2079.5,459357
2022-01-20,2085.0,2107.2,2053.9,2091.75,409415
2022-01-21,2087.6,2127.7,2070.0,2084.35,708173
2022-01-24,2089.0,2089.0,1970.85,1992.2,459730
2022-01-25,1985.1,2024.0,1955.6,1966.7,705168
2022-01-27,1925.0,1935.0,1838.0,1862.6,1484512
2022-01-28,1869.0,1901.25,1826.0,1856.65,1843563
2022-01-31,1865.0,1898.9,1835.1,1856.85,814981
2022-02-01,1867.1,1962.0,1864.05,1950.9,1050461
2022-02-02,1960.0,1979.95,1938.05,1947.55,318185
2022-02-03,1959.4,1959.4,1920.0,1941.5,258633
2022-02-04,1950.65,2005.0,1937.05,1974.35,946376
2022-02-07,2005.0,2187.05,1985.0,2170.1,4481201
2022-02-08,2165.0,2235.0,2155.0,2182.6,2280188
2022-02-09,2190.0,2263.0,2180.1,2253.8,1079814
2022-02-10,2250.5,2282.1,2195.1,2236.75,1182724
2022-02-11,2208.2,2282.0,2201.1,2264.95,1317813
2022-02-14,2170.0,2228.5,2082.75,2092.3,1288158
2022-02-15,2125.0,2198.95,2071.55,2190.6,1091103
2022-02-16,2195.0,2223.4,2152.1,2170.95,796340
2022-02-17,2197.95,2244.0,2130.0,2156.65,1442010
2022-02-18,2149.0,2168.0,2091.0,2116.6,951796
2022-02-21,2085.05,2096.15,2025.2,2086.55,1964631
2022-02-22,1996.0,2078.8,1996.0,2066.05,999361
2022-02-23,2085.0,2095.0,2030.45,2039.4,720061
2022-02-24,1975.0,1988.0,1800.0,1830.55,2400153
2022-02-25,1900.0,1977.3,1870.05,1918.25,1612923
2022-02-28,1870.0,1894.0,1840.0,1874.9,1586689
2022-03-02,1836.0,1865.0,1786.85,1805.05,1602449
2022-03-03,1801.0,1803.85,1721.1,1729.95,1741377
2022-03-04,1720.0,1742.3,1634.0,1724.2,2922485
2022-03-07,1668.0,1668.0,1594.15,1617.0,1586234
