Date,Open,High,Low,Close,Volume
2022-01-03,248.0,249.8,246.5,248.85,2088281
2022-01-04,250.0,257.35,244.55,255.15,6167759
2022-01-05,255.7,259.0,251.6,256.4,3049705
2022-01-06,256.0,263.0,253.6,261.9,3362343
2022-01-07,264.0,264.15,258.1,261.2,1903747
2022-01-10,261.0,263.8,260.0,261.2,1077333
2022-01-11,263.0,269.45,253.75,267.55,7664067
2022-01-12,269.85,277.9,268.05,275.8,3819111
2022-01-13,278.0,278.1,274.0,275.95,2052380
2022-01-14,275.0,276.55,271.2,272.1,1940406
2022-01-17,272.1,274.0,270.4,271.55,1471859
2022-01-18,273.0,275.0,260.4,261.65,2560562
2022-01-19,263.25,271.85,262.0,270.7,3683574
2022-01-20,270.5,271.6,265.7,266.4,1008831
2022-01-21,265.95,270.6,257.5,258.7,3259006
2022-01-24,257.7,259.25,246.45,248.55,2191607
2022-01-25,246.1,256.4,243.3,253.55,2649933
2022-01-27,253.9,254.65,245.0,249.6,3594666
2022-01-28,254.5,262.4,251.0,253.1,7406660
2022-01-31,257.45,260.0,251.55,252.55,2977647
2022-02-01,255.95,258.55,252.7,256.8,1335683
2022-02-02,258.85,261.45,257.2,259.75,1107005
2022-02-03,261.1,261.1,255.35,257.35,1090467
2022-02-04,261.35,263.25,254.15,255.2,3110266
2022-02-07,257.0,258.35,250.55,253.0,2823052
2022-02-08,253.0,255.55,250.5,252.85,1437733
2022-02-09,255.55,256.0,250.4,251.95,1765080
2022-02-10,252.0,253.8,250.7,252.9,1777969
2022-02-11,251.8,254.9,249.45,252.6,1992805
2022-02-14,247.75,254.45,245.05,247.2,3481353
2022-02-15,248.55,258.5,246.9,256.85,2942207
2022-02-16,258.35,269.0,254.6,259.2,7995091
2022-02-17,260.35,263.0,254.6,256.1,1967005
2022-02-18,256.1,256.7,251.55,252.9,2377390
2022-02-21,253.0,254.35,249.1,251.7,1236492
2022-02-22,244.5,254.05,243.8,252.05,2659242
2022-02-23,252.6,254.45,247.5,251.65,2374844
2022-02-24,231.0,239.0,203.1,206.0,105283747
2022-02-25,213.0,223.15,211.9,214.6,20941909
2022-02-28,214.6,218.25,209.1,215.1,13023885
2022-03-02,214.95,216.0,206.3,207.15,10782608
2022-03-03,209.0,212.85,207.5,211.8,6385651
2022-03-04,207.6,214.7,207.0,208.0,7836766
2022-03-07,203.0,206.25,196.85,198.85,4251367
2022-03-08,200.0,205.25,197.55,204.0,3382497
2022-03-09,206.9,214.4,202.05,212.25,4515406
2022-03-10,217.85,217.85,211.1,212.35,3374016
2022-03-11,212.1,214.9,211.6,214.2,1749413
2022-03-14,214.15,216.45,211.1,214.25,2881455
2022-03-15,214.5,215.0,208.5,209.6,2185096
2022-03-16,213.8,216.3,211.5,214.45,3464634
2022-03-17,217.45,218.4,213.45,214.7,5038190
2022-03-21,215.5,222.5,209.1,209.95,6255048
2022-03-22,210.2,213.05,208.75,211.85,2166509
2022-03-23,213.0,215.75,212.3,213.9,2445320
2022-03-24,212.9,215.9,212.0,213.8,3006407
2022-03-25,215.0,215.15,196.4,203.1,8789839
2022-03-28,201.0,213.0,199.15,209.8,13745719
2022-03-29,209.75,216.75,199.5,215.1,17296192
2022-03-30,217.8,222.65,212.9,221.05,8205081
2022-03-31,222.0,226.5,219.3,222.05,4936282
2022-04-01,223.0,223.9,218.55,221.35,3883657
2022-04-04,220.0,223.75,219.05,220.75,3999118
2022-04-05,222.0,223.45,219.65,220.4,1889153
2022-04-06,220.9,222.35,216.7,217.05,4489578
2022-04-07,217.05,220.3,215.7,218.5,5650354
2022-04-08,220.35,223.4,218.75,219.75,6689098
2022-04-11,220.0,221.3,217.95,218.5,5080486
2022-04-12,218.5,220.0,215.25,217.0,2072519
2022-04-13,218.0,219.45,216.25,216.7,2373371
