Date,Open,High,Low,Close,Volume
2022-01-03,188.6,190.15,187.75,189.5,8978489
2022-01-04,189.85,191.75,189.45,190.5,10463930
2022-01-05,190.0,191.6,189.1,190.75,12984840
2022-01-06,189.4,190.6,188.7,189.15,10348698
2022-01-07,190.1,190.85,188.1,188.9,10238225
2022-01-10,190.2,194.35,189.35,193.15,18315757
2022-01-11,193.2,193.95,191.3,191.95,9273552
2022-01-12,192.45,193.45,191.65,192.65,15214353
2022-01-13,193.65,195.3,192.65,193.7,13297592
2022-01-14,193.7,194.45,192.25,192.55,12220748
2022-01-17,192.55,195.1,191.45,194.25,14242470
2022-01-18,194.25,196.6,190.55,190.95,16642498
2022-01-19,190.95,192.35,189.15,190.6,13266037
2022-01-20,190.75,192.15,188.55,189.2,20036878
2022-01-21,189.0,190.7,186.8,187.75,19177088
2022-01-24,187.75,188.35,182.4,183.2,20065836
2022-01-25,183.35,185.7,181.25,185.35,21185032
2022-01-27,182.7,186.4,182.6,185.6,26765734
2022-01-28,186.05,189.65,186.05,188.2,17663303
2022-01-31,189.0,190.95,187.75,190.45,17388144
2022-02-01,191.15,197.9,189.55,197.0,49956149
2022-02-02,198.95,201.8,198.05,200.8,47555367
2022-02-03,200.8,203.4,200.5,202.8,32195586
2022-02-04,205.2,206.3,200.25,202.65,65563591
2022-02-07,202.4,203.05,197.65,199.1,27946679
2022-02-08,199.2,200.9,198.1,200.0,18731969
2022-02-09,200.9,201.5,197.85,199.05,13751655
2022-02-10,197.8,201.85,197.0,200.85,22619470
2022-02-11,200.65,201.8,198.75,201.05,20923298
2022-02-14,195.45,195.45,189.0,189.8,26298101
2022-02-15,191.15,193.3,189.0,192.85,14886473
2022-02-16,193.55,194.35,191.9,192.65,12986005
2022-02-17,192.9,194.05,191.0,192.55,16214763
2022-02-18,192.55,193.25,191.6,191.9,10025375
2022-02-21,190.55,191.4,187.8,188.55,18648418
2022-02-22,185.95,187.6,184.2,185.8,29771464
2022-02-23,187.5,188.1,186.0,186.8,12734747
2022-02-24,181.65,184.5,179.05,180.35,47799193
2022-02-25,182.95,187.25,182.1,185.05,27325304
2022-02-28,184.4,187.2,182.3,186.7,23164103
2022-03-02,185.45,187.35,183.75,186.2,22310086
2022-03-03,186.85,190.45,186.8,189.75,32989556
2022-03-04,188.3,196.7,187.7,195.05,77275678
2022-03-07,192.0,196.35,190.35,194.55,52328209
2022-03-08,193.65,197.6,193.5,196.25,41665320
2022-03-09,196.95,200.15,195.55,198.3,48901497
2022-03-10,199.8,201.1,197.05,200.65,41776210
2022-03-11,200.55,205.05,199.05,204.4,48212722
2022-03-14,204.35,207.1,203.5,206.7,40598494
2022-03-15,206.7,208.8,204.05,205.7,38152739
2022-03-16,207.6,210.15,206.8,209.8,25008117
2022-03-17,212.1,212.25,209.9,211.8,39569591
2022-03-21,212.7,214.3,210.85,211.45,32344934
2022-03-22,211.5,216.85,210.65,216.0,42716412
2022-03-23,217.5,219.45,214.95,217.95,46816548
2022-03-24,217.9,221.85,217.5,220.4,44212531
2022-03-25,220.8,221.2,215.6,219.1,33858992
2022-03-28,219.7,223.15,218.45,222.3,28808419
2022-03-29,222.3,222.7,219.45,220.2,20953536
2022-03-30,220.65,221.75,215.05,215.55,20353598
2022-03-31,215.9,220.0,215.8,216.8,29664465
2022-04-01,216.25,220.85,215.2,219.1,16540304
2022-04-04,218.9,223.05,217.2,220.95,18392181
2022-04-05,221.45,226.45,220.65,224.4,31429230
2022-04-06,222.7,227.75,222.55,224.55,22659198
2022-04-07,223.15,226.8,221.25,222.0,18569879
2022-04-08,223.15,232.55,221.4,231.6,43735460
2022-04-11,232.45,236.25,230.05,231.35,53356055
2022-04-12,230.85,232.35,227.55,229.05,27232930
2022-04-13,229.45,234.05,228.05,233.15,24759374
2022-04-18,231.8,235.7,231.15,233.6,28210710
2022-04-19,235.25,235.7,223.85,226.2,27032186
2022-04-20,227.4,229.6,222.75,224.5,28339243
2022-04-21,224.6,228.7,224.55,225.2,27069347
2022-04-22,224.85,227.45,223.6,225.85,18119173
2022-04-25,223.85,224.0,218.4,220.75,27990108
2022-04-26,221.95,225.5,221.65,223.95,23744610
2022-04-27,221.6,223.6,221.2,222.7,19170798
2022-04-28,224.45,228.05,223.25,225.85,32286257
2022-04-29,227.45,227.45,223.6,224.5,23609554
2022-05-02,223.15,228.75,222.3,227.6,21928338
2022-05-04,228.35,230.1,223.65,224.65,30005779
2022-05-05,226.6,229.35,225.2,226.65,20734067
2022-05-06,224.0,231.25,223.9,230.65,39877584
2022-05-09,230.2,230.2,225.35,227.45,24747034
2022-05-10,226.6,230.75,224.1,224.65,20850109
2022-05-11,224.0,226.8,217.75,221.1,20053299
2022-05-12,220.55,221.75,215.5,218.75,23175772
2022-05-13,220.5,225.6,220.1,223.65,13783821
2022-05-16,224.85,224.85,218.8,219.75,9465671
2022-05-17,220.55,229.65,220.4,228.95,20578071
2022-05-18,230.05,231.6,227.6,230.75,23355684
2022-05-19,227.1,241.5,227.1,238.4,90516489
2022-05-20,239.6,244.2,239.6,242.15,37427183
2022-05-23,242.15,242.55,236.15,237.4,25089796
2022-05-24,237.85,237.85,233.5,234.25,17976607
2022-05-25,236.05,236.9,233.95,235.85,17676781
2022-05-26,232.0,232.0,228.2,230.65,21297443
2022-05-27,232.65,234.15,229.25,232.85,15571819
2022-05-30,233.95,234.4,231.45,232.7,13665281
2022-05-31,232.7,237.4,230.4,234.1,26833558
2022-06-01,234.1,237.05,233.7,235.1,16995944
2022-06-02,234.15,237.35,231.65,236.55,16465480
2022-06-03,237.85,238.45,234.9,235.85,14438504
2022-06-06,235.6,238.55,233.25,237.65,12631728
2022-06-07,236.3,237.85,235.45,236.9,12519989
2022-06-08,236.95,237.35,230.25,231.7,16605352
2022-06-09,231.6,235.0,229.85,234.25,11400386
2022-06-10,232.7,234.4,232.45,233.65,9678646
2022-06-13,230.4,232.75,227.45,228.9,12825401
2022-06-14,227.65,231.3,227.5,229.6,8581562
2022-06-15,230.05,231.2,227.5,227.8,5849779
2022-06-16,230.95,231.7,224.45,225.5,16526022
2022-06-17,224.0,228.45,223.6,227.75,19256168
2022-06-20,227.75,230.2,226.05,228.4,19749261
2022-06-21,229.2,234.25,228.4,233.45,16051606
2022-06-22,230.95,233.8,229.1,229.45,13089279
2022-06-23,229.65,231.15,226.95,229.65,10483584
2022-06-24,230.15,232.1,229.35,229.95,8108604
2022-06-27,230.95,234.1,230.5,233.5,9449605
2022-06-28,232.55,235.45,232.25,235.1,12995900
2022-06-29,232.85,237.85,232.8,237.05,18520579
2022-06-30,236.95,237.6,235.25,236.55,22270845
2022-07-01,236.55,246.5,234.55,245.95,40658647
2022-07-04,247.05,253.7,246.3,252.45,46111383
2022-07-05,253.4,253.4,247.15,248.15,21469135
2022-07-06,247.45,250.8,246.75,250.2,21150335
2022-07-07,251.7,253.55,249.5,252.5,15949810
2022-07-08,253.35,254.65,251.15,253.45,12845899
2022-07-11,253.4,256.85,252.6,255.15,14282191
2022-07-12,253.4,255.45,251.6,253.15,16273127
2022-07-13,253.4,254.95,253.15,254.3,10726754
2022-07-14,254.55,256.3,250.1,251.55,15509720
2022-07-15,252.55,254.3,250.4,253.9,12747624
2022-07-18,255.15,256.25,254.05,255.4,13083450
2022-07-19,255.15,255.65,253.15,254.8,10623678
2022-07-20,255.05,259.05,253.95,257.9,18255614
2022-07-21,258.6,261.35,257.75,259.1,18548780
2022-07-22,259.45,261.65,257.85,259.95,11524505
2022-07-25,258.6,262.0,258.45,260.4,12302840
2022-07-26,260.35,262.7,259.85,261.6,11260466
2022-07-27,261.95,263.8,260.0,263.05,10806042
2022-07-28,263.7,263.95,261.55,262.45,12532165
2022-07-29,263.8,264.55,260.65,262.1,19577688
2022-08-01,262.95,267.1,262.15,265.95,18371552
2022-08-02,268.1,273.85,266.55,268.1,45071749
2022-08-03,268.9,268.9,262.65,266.5,20459276
2022-08-04,266.4,268.4,265.65,267.7,18385845
2022-08-05,267.7,269.7,267.35,268.85,11664612
2022-08-08,268.95,271.55,268.15,270.85,9604740
2022-08-10,270.85,271.65,268.75,269.15,10317456
2022-08-11,270.7,271.1,264.05,264.9,12586414
2022-08-12,264.9,267.6,263.35,266.85,7425718
2022-08-16,266.85,269.4,266.85,268.6,9954751
2022-08-17,269.6,270.95,269.0,270.3,9221706
2022-08-18,270.7,273.3,270.35,273.0,11427738
2022-08-19,273.45,273.45,269.15,269.85,12050425
2022-08-22,269.15,274.15,269.0,271.9,13129653
2022-08-23,270.65,273.3,269.95,273.2,10797649
2022-08-24,273.1,276.3,270.75,271.65,13119311
2022-08-25,272.85,273.65,269.5,270.15,8971099
2022-08-26,272.25,272.8,269.85,270.65,8043228
2022-08-29,268.1,272.4,267.1,271.2,13136085
2022-08-30,271.8,278.0,271.8,277.2,20614438
2022-09-01,276.35,278.4,273.3,274.7,15325453
2022-09-02,275.65,280.45,275.1,279.5,29782471
2022-09-05,281.1,285.05,280.0,284.4,20201070
2022-09-06,285.4,285.4,282.3,282.95,13840617
2022-09-07,281.95,283.95,281.3,282.05,9348854
2022-09-08,284.55,285.95,283.25,285.35,12615481
2022-09-09,285.95,288.25,285.4,285.85,10877671
2022-09-12,287.15,287.5,285.4,286.2,10073637
2022-09-13,286.9,289.75,285.95,289.2,12163495
2022-09-14,286.3,293.2,286.25,290.05,14183171
2022-09-15,290.95,291.5,287.95,288.95,9733694
2022-09-16,287.45,289.4,285.15,286.55,14444272
2022-09-19,284.65,291.4,284.65,290.25,16609389
2022-09-20,293.0,293.7,289.75,290.6,11014068
2022-09-21,290.6,298.55,290.15,294.9,24271106
2022-09-22,294.95,301.65,294.85,298.45,27956974
2022-09-23,300.55,302.35,296.9,299.6,26406297
2022-09-26,298.25,299.2,286.95,287.65,18737182
2022-09-27,289.75,293.7,288.9,289.6,11551684
2022-09-28,287.1,288.25,280.5,281.05,17982322
2022-09-29,284.55,289.65,283.45,288.05,21136937
2022-09-30,288.05,290.4,285.55,287.3,14369197
2022-10-03,287.95,288.0,279.6,280.55,10534500
2022-10-04,284.3,288.9,283.7,287.9,10178350
2022-10-06,289.75,293.45,287.6,291.15,25708280
2022-10-07,291.3,291.35,286.55,288.95,12147159
2022-10-10,285.4,286.65,282.0,283.55,10855585
2022-10-11,284.55,285.8,281.2,282.2,12267263
2022-10-12,283.65,286.65,280.9,285.5,11952299
2022-10-13,285.35,286.55,283.7,284.25,8401808
2022-10-14,287.4,288.8,286.15,287.25,7428506
