Date,Open,High,Low,Close,Volume
2022-01-03,513.55,518.5,513.5,514.1,502608
2022-01-04,504.5,507.15,498.0,502.05,2094024
2022-01-05,503.0,503.0,498.0,501.1,856040
2022-01-06,497.5,506.9,497.1,502.3,797577
2022-01-07,506.5,506.6,502.05,504.25,596720
2022-01-10,505.0,507.6,501.1,506.05,702161
2022-01-11,506.0,509.45,503.3,504.5,743570
2022-01-12,508.2,508.2,501.3,504.1,1000008
2022-01-13,504.1,504.65,497.65,500.75,1476130
2022-01-14,500.75,501.0,496.05,499.55,637918
2022-01-17,502.0,503.1,494.35,501.05,1183216
2022-01-18,503.0,503.0,488.25,490.55,2047654
2022-01-19,493.0,495.7,484.1,494.4,899160
2022-01-20,495.9,496.0,486.85,487.75,1191400
2022-01-21,487.95,487.95,475.0,477.85,1725811
2022-01-24,476.7,476.8,466.7,471.4,1225487
2022-01-25,470.0,475.75,459.0,467.5,1736649
2022-01-27,470.0,470.0,455.65,463.25,2019041
2022-01-28,463.45,475.6,462.0,471.5,1421740
2022-01-31,479.0,494.7,474.45,482.55,2647338
2022-02-01,486.6,502.5,485.15,497.65,2794796
2022-02-02,502.5,506.7,496.0,505.3,1565539
2022-02-03,504.9,507.75,499.5,501.3,1393417
2022-02-04,496.8,511.65,492.7,510.55,1758002
2022-02-07,521.05,524.0,508.75,511.4,3235609
2022-02-08,514.65,516.7,504.4,505.8,1564673
2022-02-09,509.65,512.95,506.0,512.2,515112
2022-02-10,514.7,514.7,505.0,507.55,774115
2022-02-11,507.5,507.5,494.55,499.3,1069920
2022-02-14,490.0,498.4,486.6,489.8,1001194
2022-02-15,489.0,504.0,487.0,503.15,1520336
2022-02-16,506.0,506.9,497.0,500.2,1166886
2022-02-17,500.2,507.85,499.25,506.15,855947
2022-02-18,506.9,507.0,500.35,504.75,1330397
2022-02-21,504.0,508.9,499.0,507.25,1505281
2022-02-22,501.0,511.0,498.6,505.35,1586579
2022-02-23,503.0,506.45,499.7,501.0,812781
2022-02-24,477.0,495.45,477.0,483.45,3229880
2022-02-25,484.6,497.35,484.6,494.85,1460932
2022-02-28,493.75,518.0,485.8,514.7,3050846
2022-03-02,514.0,515.7,504.25,512.55,1985091
2022-03-03,512.6,518.4,509.0,511.05,1271102
2022-03-04,507.0,510.0,499.1,501.05,2233264
2022-03-07,490.0,502.0,476.9,481.85,1540133
2022-03-08,482.0,492.4,478.2,490.65,1797911
2022-03-09,495.0,498.3,487.05,492.6,2526968
2022-03-10,500.0,504.9,497.9,500.8,1022074
2022-03-11,503.0,509.0,502.2,507.55,1575214
2022-03-14,508.5,510.35,504.15,507.1,1105361
2022-03-15,510.0,513.8,507.25,511.45,1167973
2022-03-16,516.95,529.9,513.2,525.45,2965305
2022-03-17,533.4,535.0,518.5,524.1,2070981
2022-03-21,523.0,523.85,503.1,504.35,1655968
2022-03-22,505.0,505.0,486.5,492.1,1143012
2022-03-23,493.75,495.0,483.8,484.6,1755374
2022-03-24,486.0,486.0,478.9,482.4,2941035
2022-03-25,486.9,486.9,473.7,478.1,1468764
2022-03-28,479.55,480.0,468.5,474.7,2003440
2022-03-29,478.0,484.0,476.2,482.5,861768
2022-03-30,485.6,491.2,484.05,490.0,1710457
2022-03-31,494.8,506.2,491.55,503.7,2916586
2022-04-01,507.55,520.7,506.3,518.25,1839975
2022-04-04,522.65,531.8,510.55,530.1,2420693
2022-04-05,534.75,547.85,531.85,543.9,1871307
2022-04-06,525.0,532.0,517.85,521.3,3004423
2022-04-07,521.3,522.85,511.2,512.0,1770482
2022-04-08,516.5,520.0,511.0,517.8,4230498
2022-04-11,519.95,523.95,515.15,519.55,1167454
2022-04-12,522.0,525.0,512.85,517.9,1110786
2022-04-13,521.0,521.15,513.3,519.7,618477
2022-04-18,521.0,523.2,516.55,517.85,930605
2022-04-19,520.0,524.3,500.75,504.1,1077806
2022-04-20,506.7,514.35,502.0,510.65,1599673
2022-04-21,515.35,520.45,513.55,518.2,1515422
2022-04-22,516.6,525.35,509.0,523.2,1831082
2022-04-25,517.7,528.9,503.0,515.55,2516823
2022-04-26,516.3,532.5,516.3,530.3,2196486
2022-04-27,529.0,535.55,523.25,529.9,1901393
2022-04-28,533.0,546.35,525.95,542.6,2172557
2022-04-29,538.0,541.1,519.4,521.7,2965286
2022-05-02,519.8,526.0,515.25,522.9,923844
2022-05-04,526.0,537.1,515.6,519.55,1918045
2022-05-05,520.1,526.05,516.15,519.75,1275107
