Date,Open,High,Low,Close,Volume
2022-01-03,88.8,89.63,88.37,89.4,11281336
2022-01-04,89.73,90.53,88.97,89.37,9958809
2022-01-05,89.83,91.77,88.6,89.1,19113750
2022-01-06,88.67,93.03,87.9,92.6,25975881
2022-01-07,93.37,96.0,92.43,95.0,36040419
2022-01-10,95.83,97.67,95.0,95.43,19994040
2022-01-11,95.83,100.47,95.3,100.0,46903656
2022-01-12,100.97,100.97,96.27,96.8,32964642
2022-01-13,97.3,98.43,92.37,93.37,50118518
2022-01-14,86.63,89.9,81.17,82.47,100740236
2022-01-17,84.33,85.67,83.77,84.23,31362820
2022-01-18,85.03,85.03,81.1,81.6,20820640
2022-01-19,81.73,82.3,78.97,82.0,12179781
2022-01-20,82.23,83.33,81.5,82.5,13154180
2022-01-21,82.37,83.37,80.0,80.83,16657758
2022-01-24,81.1,82.63,78.1,79.87,31079840
2022-01-25,79.73,79.97,77.57,78.27,12736996
2022-01-27,78.23,78.23,75.63,77.4,12775998
2022-01-28,77.87,80.63,77.8,78.57,9342340
2022-01-31,79.97,81.2,79.6,79.77,9138734
2022-02-01,80.87,80.9,78.3,80.43,13803246
2022-02-02,80.9,82.23,80.9,81.7,7707694
2022-02-03,81.77,82.07,80.77,80.97,5070315
2022-02-04,81.33,81.77,79.97,80.57,5206818
2022-02-07,80.57,81.27,79.33,80.37,6934166
2022-02-08,80.77,81.9,78.47,79.1,14734256
2022-02-09,79.57,79.9,78.5,79.67,5412364
2022-02-10,80.07,80.67,78.97,80.17,6911181
2022-02-11,79.53,80.57,75.57,76.5,28848536
2022-02-14,73.93,77.67,73.87,74.7,20809418
2022-02-15,74.67,76.3,73.2,76.07,21147784
2022-02-16,76.9,76.9,74.7,75.1,8874201
2022-02-17,75.57,76.07,73.8,74.03,10459778
2022-02-18,73.77,73.83,69.97,70.4,52335044
2022-02-21,70.23,70.9,68.23,69.7,22723880
2022-02-22,66.67,70.03,66.0,69.5,18262845
2022-02-23,70.23,70.77,69.0,69.33,11609013
2022-02-24,66.23,67.0,63.77,64.23,40062418
2022-02-25,65.33,68.4,65.33,66.5,23441889
2022-02-28,64.0,67.33,63.8,66.87,19690149
2022-03-02,66.8,66.8,64.97,65.37,15791319
2022-03-03,66.23,66.43,63.83,64.03,15083685
2022-03-04,63.57,63.57,60.37,60.7,23630324
2022-03-07,59.5,59.5,55.3,56.97,41435692
2022-03-08,57.33,58.23,53.13,56.33,64845822
2022-03-09,57.33,57.77,56.3,56.9,35932774
2022-03-10,59.97,61.97,58.53,58.93,50216493
2022-03-11,58.67,58.93,56.9,58.47,53283092
2022-03-14,58.47,58.57,55.9,56.97,45361912
2022-03-15,57.43,60.63,57.43,59.4,45224127
2022-03-16,60.57,60.83,58.87,59.23,42909056
2022-03-17,60.17,62.0,59.9,60.87,47173404
2022-03-21,61.57,61.57,59.1,59.23,18968178
2022-03-22,59.33,60.77,58.23,60.63,18227632
2022-03-23,60.93,61.23,59.77,60.03,12265466
2022-03-24,58.9,59.97,58.17,58.8,13971855
2022-03-25,60.43,61.77,59.7,60.3,42457941
2022-03-28,60.63,60.7,58.67,60.17,22318666
2022-03-29,60.17,61.27,59.43,60.43,18225246
2022-03-30,61.0,61.73,60.57,61.23,22095162
2022-03-31,61.7,63.7,61.33,61.97,45854198
2022-04-01,62.2,62.63,61.37,62.33,15500372
2022-04-04,62.87,64.0,62.43,63.63,14167570
2022-04-05,64.43,65.03,63.8,64.57,22178268
2022-04-06,64.17,64.57,63.37,64.07,13492696
2022-04-07,64.6,64.83,62.53,62.97,17892428
2022-04-08,63.57,64.4,62.8,64.1,19496865
2022-04-11,64.5,64.53,63.6,64.1,17769936
2022-04-12,64.1,64.1,61.67,61.87,28948360
2022-04-13,62.3,62.87,60.9,61.87,23446236
2022-04-18,62.23,62.27,60.57,61.83,9994527
2022-04-19,62.13,62.57,58.7,59.53,11066288
2022-04-20,59.97,61.9,59.23,60.47,18390870
2022-04-21,60.9,63.1,60.77,62.93,12839908
2022-04-22,62.37,62.4,61.27,61.47,9263640
2022-04-25,61.33,61.4,58.97,59.1,21838923
2022-04-26,59.67,62.83,59.67,62.53,22210564
2022-04-27,61.53,62.03,58.63,60.37,42002076
2022-04-28,61.57,61.7,59.97,60.57,17900806
2022-04-29,61.23,63.03,60.53,61.17,23590809
2022-05-02,60.67,60.7,58.77,59.1,20563212
2022-05-04,59.53,59.97,57.63,57.97,18860646
2022-05-05,58.23,59.5,57.57,57.73,10822460
2022-05-06,56.0,56.37,54.7,55.0,21396027
2022-05-09,54.23,54.3,52.17,52.6,36632781
2022-05-10,52.9,54.63,52.77,54.1,19922116
2022-05-11,54.13,54.67,51.43,51.7,24111682
2022-05-12,51.43,51.47,50.0,51.03,31244098
2022-05-13,51.87,53.77,51.77,52.1,16773237
2022-05-16,52.8,54.0,51.57,53.63,12356306
2022-05-17,54.33,56.4,53.83,56.23,15458012
2022-05-18,56.63,57.17,55.57,56.3,17438733
2022-05-19,54.23,55.03,53.33,53.5,15182838
2022-05-20,54.9,55.63,54.33,55.27,10996928
2022-05-23,55.57,56.97,55.33,56.1,15476283
