Date,Open,High,Low,Close,Volume
2022-01-03,3035.0,3108.0,3007.0,3051.75,201183
2022-01-04,3050.0,3062.4,2997.65,3013.9,136534
2022-01-05,3027.25,3051.85,2961.2,2993.2,314219
2022-01-06,2970.0,2988.9,2930.0,2954.3,173758
2022-01-07,2969.8,2969.8,2916.8,2949.05,330943
2022-01-10,2949.05,2949.05,2881.15,2887.35,384955
2022-01-11,2889.9,2912.0,2857.0,2866.9,284934
2022-01-12,2875.0,2886.1,2817.4,2871.7,816910
2022-01-13,2894.75,2894.75,2814.45,2832.3,495708
2022-01-14,2830.0,2835.9,2791.25,2802.25,368513
2022-01-17,2802.25,2819.25,2775.0,2796.1,274417
2022-01-18,2814.9,2814.9,2705.4,2713.1,323427
2022-01-19,2714.0,2722.0,2668.25,2692.8,386650
2022-01-20,2700.0,2712.35,2664.9,2678.4,161540
2022-01-21,2660.0,2676.9,2575.0,2593.55,338562
2022-01-24,2588.0,2588.0,2412.65,2477.65,609192
2022-01-25,2470.0,2494.95,2394.4,2427.9,560760
2022-01-27,2425.0,2425.0,2333.55,2373.5,516832
2022-01-28,2374.05,2407.7,2360.0,2367.35,531926
2022-01-31,2386.25,2485.0,2386.25,2433.5,734221
2022-02-01,2452.45,2467.85,2371.0,2437.65,512872
2022-02-02,2456.0,2541.85,2451.0,2519.9,388310
2022-02-03,2530.0,2537.3,2453.95,2490.2,275530
2022-02-04,2485.0,2591.95,2443.35,2552.2,1024598
2022-02-07,2552.2,2643.95,2549.25,2605.05,661733
2022-02-08,2617.65,2684.4,2586.55,2664.0,431625
2022-02-09,2663.95,2683.95,2618.0,2642.25,249787
2022-02-10,2661.8,2661.8,2589.45,2625.25,203281
2022-02-11,2619.0,2623.35,2527.05,2554.15,286000
2022-02-14,2475.0,2573.3,2460.0,2540.95,464411
2022-02-15,2540.0,2628.2,2532.0,2608.6,205578
2022-02-16,2609.0,2635.0,2584.85,2596.4,101111
2022-02-17,2615.9,2647.4,2580.35,2609.9,291657
2022-02-18,2587.15,2615.0,2551.3,2587.5,221417
2022-02-21,2572.1,2582.8,2493.6,2505.6,324809
2022-02-22,2450.0,2508.0,2390.6,2494.9,458493
2022-02-23,2508.0,2558.0,2500.2,2534.6,196422
2022-02-24,2465.0,2487.95,2376.05,2391.25,277640
2022-02-25,2430.05,2505.0,2420.0,2478.0,143366
2022-02-28,2450.0,2504.85,2416.1,2468.35,180277
2022-03-02,2468.45,2525.85,2442.75,2516.75,200591
2022-03-03,2505.0,2541.6,2452.4,2472.15,143912
2022-03-04,2469.95,2473.9,2412.0,2440.2,130886
2022-03-07,2400.0,2427.9,2351.3,2406.3,180365
2022-03-08,2416.75,2454.05,2366.45,2439.8,155314
2022-03-09,2459.0,2527.9,2435.0,2509.05,225502
2022-03-10,2549.95,2598.85,2531.9,2545.45,291519
2022-03-11,2550.0,2588.75,2528.2,2580.7,203962
2022-03-14,2601.6,2693.8,2545.55,2679.7,360414
2022-03-15,2690.0,2735.9,2616.85,2649.15,384555
