Date,Open,High,Low,Close,Volume
2022-01-03,2470.0,2489.2,2450.5,2459.7,187072
2022-01-04,2470.0,2500.0,2452.0,2467.4,258206
2022-01-05,2463.0,2479.0,2455.15,2461.95,118766
2022-01-06,2452.0,2452.0,2418.0,2439.85,312518
2022-01-07,2450.0,2535.0,2428.4,2477.3,713835
2022-01-10,2485.35,2531.8,2480.4,2521.65,273120
2022-01-11,2525.0,2534.75,2461.4,2476.4,337933
2022-01-12,2484.1,2498.45,2466.0,2480.8,216977
2022-01-13,2491.5,2697.85,2483.0,2685.15,1933012
2022-01-14,2685.15,2759.9,2652.15,2693.9,1636239
2022-01-17,2700.0,2739.85,2691.7,2702.75,407860
2022-01-18,2723.0,2771.75,2643.4,2658.7,864192
2022-01-19,2658.0,2702.4,2605.55,2654.6,480182
2022-01-20,2665.0,2711.0,2637.25,2681.2,586436
2022-01-21,2664.0,2698.0,2486.1,2510.85,1514400
2022-01-24,2509.95,2509.95,2377.3,2463.4,887506
2022-01-25,2412.0,2516.55,2390.0,2475.7,585589
2022-01-27,2460.0,2504.95,2380.2,2489.05,581542
2022-01-28,2498.0,2580.5,2492.35,2514.05,339531
2022-01-31,2539.05,2552.95,2490.0,2523.9,248282
2022-02-01,2549.9,2584.95,2493.3,2539.4,299629
2022-02-02,2500.0,2544.8,2479.3,2499.9,417344
2022-02-03,2504.0,2522.8,2481.0,2494.85,255814
2022-02-04,2490.1,2516.7,2475.0,2497.2,212422
2022-02-07,2497.2,2506.1,2387.0,2401.0,279580
2022-02-08,2400.0,2435.0,2323.0,2368.75,342707
2022-02-09,2370.15,2448.75,2370.15,2440.8,247301
2022-02-10,2455.0,2458.0,2410.0,2416.65,129427
2022-02-11,2410.0,2410.0,2350.0,2366.75,243601
2022-02-14,2253.0,2345.05,2253.0,2290.15,456213
2022-02-15,2282.0,2413.2,2264.55,2394.75,333371
2022-02-16,2415.0,2432.35,2364.0,2385.3,289019
2022-02-17,2401.95,2417.0,2360.3,2389.15,213203
2022-02-18,2363.2,2430.95,2352.0,2380.2,185219
2022-02-21,2374.0,2414.25,2338.0,2380.95,338514
2022-02-22,2302.0,2399.0,2280.05,2373.6,280218
2022-02-23,2388.0,2417.4,2379.35,2384.65,180733
2022-02-24,2318.0,2358.9,2262.6,2282.65,411460
2022-02-25,2320.0,2414.0,2310.35,2332.35,411506
2022-02-28,2305.0,2387.9,2290.15,2374.85,219676
2022-03-02,2350.0,2389.0,2309.1,2340.8,239565
2022-03-03,2394.25,2394.25,2295.0,2316.35,352076
2022-03-04,2295.3,2322.0,2250.0,2255.25,321987
2022-03-07,2220.0,2237.95,2162.0,2202.15,432285
2022-03-08,2200.0,2268.0,2175.0,2238.4,261245
2022-03-09,2249.9,2252.95,2189.55,2246.2,810023
2022-03-10,2306.2,2334.65,2285.1,2314.1,270388
2022-03-11,2314.0,2354.85,2301.0,2344.8,181223
2022-03-14,2349.95,2387.7,2330.0,2340.15,171285
2022-03-15,2342.0,2414.0,2319.8,2395.6,296426
2022-03-16,2432.0,2440.25,2377.55,2418.5,305418
2022-03-17,2448.0,2472.0,2422.0,2437.85,276468
2022-03-21,2450.0,2459.7,2418.25,2438.4,156630
2022-03-22,2430.0,2437.95,2374.0,2425.9,184847
2022-03-23,2450.0,2450.0,2410.0,2414.0,100890
2022-03-24,2400.0,2439.8,2395.2,2405.6,171484
2022-03-25,2409.4,2498.0,2409.4,2446.9,459704
2022-03-28,2454.0,2459.8,2342.0,2352.15,303521
2022-03-29,2357.5,2394.9,2336.25,2350.8,238300
2022-03-30,2380.0,2390.0,2352.2,2362.35,182382
2022-03-31,2380.0,2385.7,2344.0,2364.4,264676
2022-04-01,2355.0,2443.7,2355.0,2435.55,214106
2022-04-04,2450.0,2480.0,2440.0,2469.2,164413
2022-04-05,2482.0,2675.45,2481.0,2654.45,1161280
2022-04-06,2630.0,2684.9,2619.75,2653.9,392461
2022-04-07,2647.0,2653.4,2570.0,2610.35,227637
2022-04-08,2620.0,2724.0,2603.15,2689.25,853591
2022-04-11,2688.0,2730.0,2651.0,2664.25,310168
2022-04-12,2666.0,2674.0,2566.1,2646.35,278544
2022-04-13,2645.0,2660.0,2600.0,2617.85,149796
2022-04-18,2605.0,2641.8,2537.9,2568.45,251049
2022-04-19,2590.0,2675.0,2541.1,2604.1,297642
2022-04-20,2617.8,2678.1,2592.05,2617.9,285429
2022-04-21,2620.2,2755.1,2620.2,2743.9,1237606
2022-04-22,2758.8,2820.0,2476.25,2520.1,2371341
2022-04-25,2500.0,2613.0,2485.1,2550.85,1166076
2022-04-26,2586.95,2612.75,2490.0,2518.05,441997
2022-04-27,2524.0,2542.4,2450.0,2505.25,311061
2022-04-28,2527.0,2540.0,2470.0,2520.7,234509
2022-04-29,2540.0,2549.1,2466.5,2486.15,210478
2022-05-02,2480.0,2505.0,2445.05,2467.25,173852
2022-05-04,2475.0,2504.2,2410.0,2428.3,193279
2022-05-05,2472.7,2539.0,2436.85,2448.25,410414
2022-05-06,2411.95,2447.3,2375.05,2418.45,377674
2022-05-09,2415.55,2458.85,2380.0,2437.9,242815
2022-05-10,2435.0,2504.1,2365.0,2393.55,816343
2022-05-11,2427.25,2451.55,2367.05,2428.4,597024
2022-05-12,2424.95,2450.1,2382.8,2431.7,377134
2022-05-13,2465.9,2566.25,2446.05,2540.7,586359
2022-05-16,2550.05,2594.0,2525.0,2572.4,326883
2022-05-17,2599.65,2629.9,2573.0,2603.1,289065
2022-05-18,2619.0,2627.25,2556.0,2560.9,233556
2022-05-19,2482.0,2550.0,2482.0,2517.8,177771
2022-05-20,2540.0,2569.5,2520.8,2556.55,159377
2022-05-23,2579.0,2590.25,2533.2,2543.2,170159
2022-05-24,2543.2,2569.7,2510.0,2527.95,98846
2022-05-25,2545.0,2545.0,2436.4,2443.65,168247
2022-05-26,2439.15,2470.0,2365.0,2408.95,230882
2022-05-27,2425.0,2438.95,2374.0,2399.25,213946
2022-05-30,2424.85,2470.0,2400.0,2434.15,317334
2022-05-31,2439.0,2486.2,2430.1,2441.8,398529
2022-06-01,2449.95,2511.75,2445.0,2493.7,211318
2022-06-02,2497.0,2549.9,2488.6,2541.05,440698
2022-06-03,2570.0,2570.7,2442.5,2453.85,276607
2022-06-06,2456.15,2476.9,2429.3,2455.35,151375
2022-06-07,2449.9,2449.9,2401.0,2418.45,170547
2022-06-08,2442.4,2442.4,2269.45,2314.1,789003
2022-06-09,2265.1,2335.0,2265.1,2320.1,240954
2022-06-10,2308.0,2340.75,2295.0,2332.35,125331
2022-06-13,2260.05,2288.65,2222.8,2232.4,318676
2022-06-14,2230.0,2238.65,2133.5,2151.5,840356
2022-06-15,2159.0,2228.0,2154.0,2218.6,502633
2022-06-16,2264.0,2282.35,2125.1,2135.8,502532
2022-06-17,2121.0,2186.2,2082.55,2135.25,485919
2022-06-20,2110.0,2150.0,2043.85,2080.2,319006
2022-06-21,2094.0,2143.15,2080.2,2116.25,388709
