Date,Open,High,Low,Close,Volume
2022-01-03,150.5,151.65,149.55,150.2,7410053
2022-01-04,151.15,156.2,150.55,154.4,14784087
2022-01-05,153.95,154.95,152.5,152.95,9565106
2022-01-06,152.25,152.95,149.95,150.9,5615931
2022-01-07,151.65,152.8,149.8,150.35,11908246
2022-01-10,151.9,151.9,149.05,149.45,11085708
2022-01-11,149.85,150.8,149.05,149.35,7208788
2022-01-12,150.95,151.45,149.7,150.15,11018137
2022-01-13,152.15,155.05,151.35,152.45,20522803
2022-01-14,152.4,153.7,151.35,152.25,14183651
2022-01-17,153.3,153.6,150.8,151.2,7574538
2022-01-18,151.15,152.35,149.9,150.3,8475421
2022-01-19,150.95,152.0,147.25,149.95,13724365
2022-01-20,151.75,157.95,150.5,157.45,30170336
2022-01-21,156.85,160.9,156.2,157.75,29509586
2022-01-24,158.75,159.75,155.05,156.95,12850186
2022-01-25,156.55,161.6,155.4,160.6,27389029
2022-01-27,159.95,160.9,155.7,157.6,28512466
2022-01-28,159.55,159.55,153.4,154.1,18932045
2022-01-31,155.45,159.0,154.85,158.0,19907755
2022-02-01,159.2,159.25,154.9,156.15,8622354
2022-02-02,157.6,159.8,156.4,156.95,9921098
2022-02-03,156.95,157.7,154.7,154.9,4594388
2022-02-04,155.45,156.45,153.25,153.7,7329262
2022-02-07,154.75,157.15,153.95,156.7,7869235
2022-02-08,156.95,158.0,152.8,154.0,9074235
2022-02-09,154.4,155.2,152.95,153.45,9833983
2022-02-10,154.0,158.2,154.0,155.5,19180330
2022-02-11,154.1,155.45,151.75,152.3,20071126
2022-02-14,151.65,151.65,147.4,147.85,12109373
2022-02-15,147.95,149.35,145.7,149.05,19046057
2022-02-16,145.4,147.2,143.2,143.65,20270056
2022-02-17,145.15,145.6,143.45,144.2,16405548
2022-02-18,144.05,146.55,142.9,143.2,14600640
2022-02-21,143.2,145.7,143.1,145.05,10682636
2022-02-22,142.1,145.3,140.3,145.05,13606055
2022-02-23,145.2,146.05,144.65,145.0,6493462
2022-02-24,141.95,143.45,138.85,139.75,13145034
2022-02-25,140.85,144.85,140.55,144.4,10920936
2022-02-28,144.55,154.15,143.5,153.3,31938377
2022-03-02,152.25,156.3,151.1,154.6,20502611
2022-03-03,154.45,160.95,154.45,159.85,19805551
2022-03-04,158.4,159.55,154.65,157.75,12794314
2022-03-07,154.3,157.85,153.1,156.05,17635649
2022-03-08,156.95,164.0,153.8,155.7,28410484
2022-03-09,157.8,158.45,151.4,152.5,22830953
2022-03-10,154.7,155.0,151.75,153.1,16516549
2022-03-11,153.4,156.2,152.25,155.8,12992847
2022-03-14,155.8,156.95,153.65,156.5,12598657
2022-03-15,156.35,157.75,152.65,153.7,14528282
2022-03-16,154.9,155.3,153.15,153.45,11933772
2022-03-17,155.45,156.0,152.25,155.1,28464614
2022-03-21,158.45,158.45,149.8,150.1,17797412
2022-03-22,150.2,153.55,149.5,152.95,13285294
2022-03-23,153.55,154.4,152.65,154.0,9408782
2022-03-24,153.95,154.85,152.45,154.5,11188956
2022-03-25,154.5,154.55,151.45,153.7,9842668
2022-03-28,153.7,156.0,152.05,155.65,12823575
2022-03-29,156.85,157.3,153.7,154.9,10470513
2022-03-30,156.25,160.45,155.3,159.25,54218472
2022-03-31,158.1,159.4,157.5,159.05,10326024
2022-04-01,158.5,165.75,158.5,165.25,39663951
2022-04-04,165.95,167.5,164.5,167.0,9907528
2022-04-05,168.9,172.4,166.6,171.25,17167484
2022-04-06,169.95,175.3,169.8,173.95,17153672
2022-04-07,173.4,176.35,168.95,169.95,11913909
2022-04-08,171.2,172.0,169.4,170.9,6746768
2022-04-11,170.8,173.1,167.75,169.6,12413820
2022-04-12,168.4,171.7,167.9,171.25,14769904
2022-04-13,172.65,172.95,167.1,168.55,11015437
2022-04-18,168.55,170.3,167.1,169.75,19069919
2022-04-19,170.95,171.45,166.3,167.35,15036939
2022-04-20,167.65,168.2,164.05,166.7,9814639
2022-04-21,166.0,167.95,165.4,166.9,11134331
2022-04-22,165.25,169.1,164.95,165.55,12032246
2022-04-25,164.4,166.6,162.55,163.6,11042681
2022-04-26,166.7,170.6,164.7,170.15,15389152
2022-04-27,169.95,171.1,167.05,168.4,12680206
2022-04-28,171.5,173.65,169.0,173.15,18378142
2022-04-29,172.75,173.7,166.75,167.25,9026330
2022-05-02,165.85,171.4,165.85,170.1,12634350
2022-05-04,171.2,176.05,171.1,174.65,23124638
2022-05-05,175.25,176.95,171.1,171.75,16481932
2022-05-06,170.05,175.8,170.05,175.25,17715182
2022-05-09,175.7,181.3,173.2,180.3,54118793
2022-05-10,180.8,182.7,178.3,179.2,30997487
2022-05-11,179.45,182.45,175.45,175.85,15412615
2022-05-12,175.7,177.85,170.55,173.35,26538988
2022-05-13,176.35,176.35,171.25,173.65,15074550
2022-05-16,173.05,174.85,171.2,172.85,7960527
2022-05-17,172.6,175.9,171.0,175.45,15470933
2022-05-18,174.55,175.15,166.75,167.35,19181546
2022-05-19,163.7,168.7,162.7,167.65,15085599
2022-05-20,169.5,171.25,166.5,168.25,15148278
2022-05-23,170.45,170.45,164.6,164.9,11572498
2022-05-24,165.2,168.7,164.9,166.7,16336855
2022-05-25,167.75,168.5,163.35,165.1,11062612
2022-05-26,166.7,168.25,164.35,166.85,14150451
2022-05-27,167.9,167.95,164.0,164.95,8430490
2022-05-30,164.8,168.85,164.65,167.65,9305756
2022-05-31,167.65,172.8,167.6,171.1,26351539
2022-06-01,170.55,171.2,167.55,168.35,10282007
2022-06-02,168.5,168.5,164.85,165.6,10071896
2022-06-03,165.95,167.5,165.2,165.95,16082515
2022-06-06,165.95,167.05,164.1,165.05,12693290
2022-06-07,164.4,166.15,164.2,165.2,9103194
2022-06-08,163.75,166.3,163.75,164.85,11240128
2022-06-09,164.95,165.7,162.2,165.1,9468039
2022-06-10,163.0,167.05,163.0,164.8,9019238
2022-06-13,162.85,165.55,162.55,163.2,10186773
2022-06-14,163.2,166.9,162.95,164.4,17023958
2022-06-15,164.65,166.15,162.85,163.15,5898563
2022-06-16,163.95,164.65,158.2,158.7,11883330
2022-06-17,157.1,159.1,154.15,154.95,19675222
2022-06-20,153.25,154.6,151.2,152.65,7402271
2022-06-21,153.25,156.3,151.9,154.2,9459618
2022-06-22,154.55,154.9,152.6,154.45,10257635
2022-06-23,154.0,155.2,151.05,152.85,13114522
2022-06-24,155.45,155.45,152.25,153.15,9499103
2022-06-27,156.45,156.45,153.7,155.1,17545386
2022-06-28,153.6,155.1,152.7,154.15,6770086
2022-06-29,153.25,157.7,152.8,154.75,41502908
2022-06-30,155.05,157.5,154.25,155.35,22260717
2022-07-01,154.75,156.1,150.35,151.3,11133661
2022-07-04,150.25,155.55,150.25,154.45,20178275
2022-07-05,154.7,158.4,154.65,157.05,20083992
2022-07-06,156.95,157.05,152.6,154.3,19203523
2022-07-07,156.4,157.9,155.5,155.85,14069299
2022-07-08,156.95,161.0,155.95,160.55,17142253
2022-07-11,161.45,162.4,158.6,159.25,10826077
2022-07-12,157.75,159.15,156.3,156.55,8503694
2022-07-13,157.3,158.95,156.55,157.3,10210003
2022-07-14,160.9,160.9,156.1,157.6,10898401
2022-07-15,159.2,159.2,153.05,153.4,22067474
2022-07-18,154.2,155.75,153.1,154.15,15155651
2022-07-19,153.85,155.05,153.65,153.95,14922392
2022-07-20,154.9,155.65,152.8,153.4,14181031
2022-07-21,153.9,156.35,153.55,155.65,12461552
2022-07-22,156.9,156.9,153.55,153.95,9272198
2022-07-25,153.95,154.7,152.0,152.35,6635193
2022-07-26,152.35,154.7,151.75,153.25,11451313
2022-07-27,153.85,154.7,153.5,154.45,9209352
2022-07-28,154.7,157.55,154.0,157.1,13192639
2022-07-29,158.75,159.8,156.1,156.9,15433064
2022-08-01,157.75,161.55,157.05,160.65,12136554
2022-08-02,161.4,164.0,159.45,163.4,17748744
2022-08-03,163.95,165.0,161.2,164.15,12406036
2022-08-04,164.45,164.6,160.75,162.05,9712266
2022-08-05,162.7,165.0,160.6,164.2,14099220
2022-08-08,165.2,166.15,162.25,162.85,8392039
2022-08-10,162.0,165.1,161.85,164.05,8585265
2022-08-11,164.95,166.6,162.7,163.6,5040625
2022-08-12,163.7,167.9,162.95,167.5,13279059
2022-08-16,168.35,168.9,166.75,168.1,11298244
2022-08-17,168.1,169.65,167.2,167.8,11225463
2022-08-18,167.4,170.2,167.25,169.95,11360482
2022-08-19,167.8,168.7,165.7,167.55,9829528
2022-08-22,167.5,169.55,165.7,165.9,9190491
2022-08-23,165.15,168.1,164.6,167.1,8903750
2022-08-24,166.95,168.9,166.3,168.55,13007222
2022-08-25,169.3,169.7,165.25,166.15,12124362
2022-08-26,166.4,169.85,166.4,169.3,7966043
2022-08-29,167.65,168.1,165.65,166.75,7517011
2022-08-30,167.6,169.15,167.5,168.65,7214497
2022-09-01,165.25,169.0,165.2,166.0,13109078
2022-09-02,167.05,168.1,164.3,164.6,6897236
2022-09-05,165.2,165.6,162.7,164.0,18055470
2022-09-06,164.45,167.45,164.45,165.25,14103698
2022-09-07,163.75,166.65,163.75,164.75,7866743
2022-09-08,165.95,166.6,164.05,164.75,7187734
2022-09-09,166.0,166.05,163.3,163.6,9162026
2022-09-12,164.1,164.95,163.1,164.4,8778918
2022-09-13,164.65,167.05,164.3,166.55,11278381
2022-09-14,165.2,171.35,164.95,170.85,25072952
2022-09-15,171.55,175.15,170.7,174.65,23606363
2022-09-16,175.25,175.3,171.5,173.2,29399635
