Date,Open,High,Low,Close,Volume
2022-01-03,925.0,931.8,922.6,928.0,717440
2022-01-04,934.0,937.0,927.05,934.5,778643
2022-01-05,937.65,941.8,931.05,935.4,692890
2022-01-06,925.0,937.4,924.0,932.95,578377
2022-01-07,932.7,937.9,925.1,926.95,404067
2022-01-10,923.0,923.0,897.0,904.55,2004623
2022-01-11,897.0,901.95,884.0,884.8,1889273
2022-01-12,895.0,898.55,885.05,893.7,1411418
2022-01-13,891.0,899.0,891.0,896.05,808463
2022-01-14,896.5,897.15,890.0,893.95,538419
2022-01-17,893.0,898.65,883.05,886.55,867313
2022-01-18,890.0,892.3,875.0,877.55,885485
2022-01-19,878.9,878.9,865.0,870.35,891919
2022-01-20,873.0,874.85,857.1,860.75,974864
2022-01-21,860.75,860.75,845.0,850.1,1089183
2022-01-24,851.1,851.9,800.0,814.9,2574253
2022-01-25,802.5,854.85,781.2,850.0,4184737
2022-01-27,848.0,850.2,826.55,844.4,1423748
2022-01-28,841.4,875.55,841.4,868.25,1267768
2022-01-31,880.0,883.5,871.1,879.5,1070345
2022-02-01,885.0,886.9,870.55,881.55,834265
2022-02-02,883.0,899.0,880.7,896.0,868260
2022-02-03,899.0,899.0,882.25,884.55,771285
2022-02-04,883.0,884.0,850.1,854.9,1566360
2022-02-07,860.0,860.0,831.75,835.05,1299577
2022-02-08,835.5,842.9,816.0,819.35,1175450
2022-02-09,825.0,866.7,825.0,863.7,2729856
2022-02-10,868.0,873.1,854.35,869.7,1248047
2022-02-11,852.0,860.0,843.0,846.75,739551
2022-02-14,816.0,840.75,812.25,824.0,761734
2022-02-15,835.0,840.0,815.05,838.5,699684
2022-02-16,840.0,848.5,835.0,836.4,542546
2022-02-17,834.35,840.95,825.8,831.7,849437
2022-02-18,824.0,836.15,819.8,826.4,629787
2022-02-21,826.4,826.4,801.0,802.45,1151625
2022-02-22,793.55,794.0,776.0,790.5,1972549
2022-02-23,799.8,806.95,794.0,797.8,1321164
2022-02-24,777.7,784.0,750.0,753.75,2301066
2022-02-25,762.0,791.45,762.0,782.8,1052529
2022-02-28,785.0,788.05,766.25,785.55,891610
2022-03-02,785.0,785.0,763.05,767.25,1496067
