Date,Open,High,Low,Close,Volume
2022-01-03,244.35,251.65,243.5,250.15,2860025
2022-01-04,251.4,255.25,246.25,250.6,6387390
2022-01-05,250.6,255.35,249.0,249.95,4206620
2022-01-06,249.8,249.8,241.8,243.25,4892065
2022-01-07,243.25,246.25,240.8,243.1,4311580
2022-01-10,244.0,248.6,241.65,244.6,4850740
2022-01-11,244.5,246.35,241.6,244.7,3000215
2022-01-12,245.2,249.8,244.8,249.05,6283615
2022-01-13,250.75,251.4,246.8,249.5,3167295
2022-01-14,248.1,252.95,245.8,248.05,4270915
2022-01-17,248.4,251.0,247.4,247.8,2446195
2022-01-18,247.0,253.4,237.25,240.8,7134135
2022-01-19,241.0,241.3,234.2,239.05,5312500
2022-01-20,239.6,246.85,239.4,244.2,6465015
2022-01-21,242.8,244.75,237.0,239.7,5834040
2022-01-24,239.0,240.6,228.2,230.9,9353860
2022-01-25,228.0,240.55,220.65,233.35,10473610
2022-01-27,236.0,249.55,234.0,248.2,14742195
2022-01-28,250.0,259.95,247.2,248.55,9290465
2022-01-31,251.8,254.4,245.0,245.7,4867125
2022-02-01,249.7,258.0,246.9,256.05,5528990
2022-02-02,258.2,260.85,254.2,256.75,4547020
2022-02-03,257.4,257.4,251.0,252.65,2367305
2022-02-04,252.0,253.5,245.8,246.65,2633985
2022-02-07,247.0,250.2,242.2,243.75,2030295
2022-02-08,245.1,249.05,241.35,248.05,3807905
2022-02-09,248.0,250.8,246.6,249.05,2220130
2022-02-10,249.0,255.0,246.4,253.1,3166790
2022-02-11,250.6,252.8,245.65,247.1,2919870
2022-02-14,241.2,241.2,230.7,232.15,6578230
2022-02-15,234.2,244.2,228.65,241.6,4886570
2022-02-16,244.8,254.9,243.2,244.1,9347585
2022-02-17,246.4,256.45,245.9,255.5,11096160
2022-02-18,253.8,258.4,250.1,251.6,6084335
2022-02-21,248.8,250.5,242.0,244.05,4546015
2022-02-22,240.0,243.2,235.25,240.85,4408165
2022-02-23,243.6,244.35,234.3,235.0,4670295
2022-02-24,228.0,230.9,212.0,213.7,7525505
2022-02-25,223.1,231.9,220.45,225.5,9287685
2022-02-28,221.8,225.6,216.2,224.85,6854355
2022-03-02,220.6,229.45,213.2,219.1,8430100
2022-03-03,223.4,227.2,218.8,221.1,5518095
2022-03-04,219.8,223.3,216.2,217.85,5340955
2022-03-07,211.0,211.95,203.25,204.25,4901560
2022-03-08,203.2,209.95,200.4,208.3,12217785
2022-03-09,212.25,214.45,208.25,212.35,6415045
2022-03-10,219.6,220.0,211.0,215.9,8349665
2022-03-11,211.65,218.9,211.3,218.2,5890485
2022-03-14,219.0,223.2,215.5,222.55,6630425
2022-03-15,223.0,227.4,216.0,218.05,7772955
2022-03-16,221.75,226.0,219.05,221.9,7527250
2022-03-17,225.0,228.9,224.15,225.9,5977670
2022-03-21,226.1,228.3,216.95,217.3,6308350
2022-03-22,216.4,221.0,213.2,219.65,8069535
2022-03-23,220.6,222.0,217.6,219.25,4335075
2022-03-24,218.8,220.3,217.3,218.5,3329035
2022-03-25,219.95,222.5,217.2,220.6,3234280
2022-03-28,221.7,224.1,216.75,223.1,7168470
2022-03-29,223.1,225.4,219.8,224.7,6632010
2022-03-30,225.4,227.75,223.8,224.9,2494090
2022-03-31,225.4,228.9,223.8,226.95,4371685
2022-04-01,227.0,239.8,225.6,236.25,4473460
2022-04-04,236.8,238.0,234.0,235.8,2766255
2022-04-05,236.8,237.5,233.1,234.1,7478890
2022-04-06,231.8,236.0,231.0,233.4,5148520
2022-04-07,232.2,237.0,231.6,234.8,10215730
2022-04-08,237.85,242.7,233.35,241.45,12013760
2022-04-11,243.0,247.6,239.6,244.7,5541150
2022-04-12,245.0,245.0,234.0,236.2,5301495
2022-04-13,238.4,239.45,235.7,236.8,2337810
2022-04-18,232.4,234.95,224.2,232.85,7199895
2022-04-19,235.85,237.8,220.4,223.7,7289265
2022-04-20,222.5,226.75,218.4,222.85,3195385
2022-04-21,224.8,230.8,223.6,230.15,3891400
2022-04-22,228.0,228.0,220.1,221.6,4432385
2022-04-25,219.0,220.8,215.25,219.3,5391300
2022-04-26,221.6,232.2,220.6,231.45,7799210
2022-04-27,228.4,233.35,226.8,228.25,5002305
2022-04-28,229.6,232.6,227.1,228.35,12255960
2022-04-29,238.9,247.8,234.85,240.4,30651345
2022-05-02,237.95,247.4,237.0,246.05,9994595
2022-05-04,246.4,251.5,226.2,229.8,9729470
2022-05-05,234.0,239.0,229.65,232.3,5106630
2022-05-06,226.6,238.6,226.6,236.75,9524820
2022-05-09,235.6,235.6,227.1,231.4,7602625
2022-05-10,231.4,235.6,229.0,232.05,4513380
2022-05-11,231.0,232.85,219.45,224.0,8918120
2022-05-12,224.0,224.0,209.4,212.95,9397425
2022-05-13,216.4,219.0,209.5,212.3,8482405
2022-05-16,212.0,219.5,210.35,218.1,6833390
2022-05-17,219.4,224.15,216.4,221.75,4101275
2022-05-18,224.0,225.35,217.45,219.55,4296340
2022-05-19,213.8,217.3,212.8,215.7,8110880
2022-05-20,219.4,221.8,216.7,219.2,3296315
2022-05-23,220.0,229.6,220.0,227.35,6070490
2022-05-24,226.75,229.0,220.6,225.55,8069565
2022-05-25,227.2,229.25,220.55,223.45,5017540
2022-05-26,224.2,230.2,220.5,229.35,3514895
2022-05-27,232.3,232.3,226.25,228.5,2271910
2022-05-30,231.4,237.0,228.4,234.4,4176795
2022-05-31,234.4,239.15,229.0,235.25,13941420
2022-06-01,235.05,240.0,233.2,237.0,5176220
2022-06-02,237.1,239.2,235.05,238.6,2790370
2022-06-03,239.1,239.6,233.65,235.7,5396720
2022-06-06,235.2,238.95,230.9,237.15,2524525
2022-06-07,234.3,236.65,228.5,235.85,4116090
2022-06-08,236.0,239.45,232.45,235.05,3753885
2022-06-09,233.6,234.55,231.0,233.55,4476645
2022-06-10,231.6,233.5,230.55,233.05,2121945
2022-06-13,229.0,232.0,223.1,226.8,4399480
2022-06-14,224.8,229.7,224.2,227.9,3860780
2022-06-15,229.0,230.6,226.3,230.0,3345520
2022-06-16,231.6,235.0,224.75,228.55,6698850
2022-06-17,227.3,230.9,222.5,229.8,6730740
2022-06-20,230.0,232.35,223.3,227.8,4386785
2022-06-21,229.4,236.65,225.75,234.8,4280930
2022-06-22,233.5,239.8,233.0,234.3,4890975
2022-06-23,232.25,243.45,232.0,239.55,3954310
2022-06-24,242.1,251.15,240.6,249.05,4996020
2022-06-27,253.8,253.8,249.1,250.5,4127285
2022-06-28,248.6,252.7,247.85,250.2,3527135
2022-06-29,248.0,251.95,243.6,244.8,2727410
2022-06-30,247.0,259.45,245.85,256.25,9956150
2022-07-01,253.25,254.95,247.7,253.15,5358285
2022-07-04,250.2,257.8,250.0,252.95,2008615
2022-07-05,253.75,262.1,252.2,255.5,6272225
2022-07-06,254.65,259.25,254.0,256.8,3157810
2022-07-07,256.0,264.3,251.6,261.65,4945940
2022-07-08,263.95,264.7,254.2,256.1,3652815
2022-07-11,255.15,256.0,248.0,251.25,3691540
2022-07-12,249.8,251.5,246.75,247.25,3442455
2022-07-13,248.8,255.0,248.05,253.8,3151325
2022-07-14,254.8,259.9,254.0,259.0,3203265
2022-07-15,260.0,263.6,255.2,262.95,2703045
2022-07-18,266.4,283.8,264.6,279.4,5420345
2022-07-19,276.45,279.8,271.45,278.3,4993150
2022-07-20,282.0,286.25,280.3,281.6,4629925
2022-07-21,280.6,293.7,279.1,292.4,4855305
2022-07-22,293.4,300.0,291.3,299.2,4810415
2022-07-25,294.6,301.8,294.6,299.3,4721665
2022-07-26,299.2,301.8,294.75,295.65,4102640
2022-07-27,292.2,294.8,287.0,290.15,6702695
2022-07-28,295.6,301.25,288.6,292.2,8557735
2022-07-29,296.0,296.0,274.1,275.95,9296570
2022-08-01,276.0,279.6,272.2,274.95,4709025
2022-08-02,275.4,280.65,272.65,275.8,4861880
2022-08-03,277.0,279.3,269.6,272.05,3733035
2022-08-04,275.4,275.4,266.7,272.0,4646770
2022-08-05,273.95,275.75,270.8,272.5,3153135
2022-08-08,274.0,280.8,271.2,278.45,4775785
2022-08-10,279.0,281.9,277.05,279.3,4003980
2022-08-11,281.15,285.05,278.25,281.2,5658525
2022-08-12,281.2,281.2,272.5,273.6,5225265
2022-08-16,273.0,277.4,270.55,272.95,6555990
2022-08-17,272.8,273.8,270.2,271.1,6599875
2022-08-18,270.05,273.05,265.4,269.7,4383855
2022-08-19,270.0,273.0,268.0,269.35,3815695
2022-08-22,272.95,272.95,261.0,262.55,4246725
2022-08-23,261.1,271.3,259.65,267.3,4383165
2022-08-24,269.2,269.95,265.4,268.6,2029850
2022-08-25,269.8,272.75,264.0,264.95,3292195
2022-08-26,267.0,269.5,264.85,266.65,2107620
2022-08-29,260.45,266.35,260.0,265.0,2128080
2022-08-30,266.4,271.8,266.1,270.95,5142225
2022-09-01,268.4,271.6,264.6,265.85,2217970
2022-09-02,268.0,268.0,261.3,261.7,2321585
2022-09-05,264.2,267.6,262.0,264.15,2988435
2022-09-06,266.75,278.3,263.5,276.95,8058715
2022-09-07,275.2,278.15,272.2,273.3,3464835
2022-09-08,274.8,277.2,271.2,272.3,3184610
2022-09-09,274.0,275.0,264.0,264.8,3022760
2022-09-12,266.25,266.85,262.0,265.7,4745365
2022-09-13,267.0,270.0,264.75,266.5,3598305
2022-09-14,264.65,270.9,263.0,266.95,3689160
2022-09-15,268.25,274.8,262.6,265.2,4760095
2022-09-16,265.95,267.6,253.6,256.8,5117185
2022-09-19,257.4,261.65,256.0,257.4,1969205
2022-09-20,259.05,263.7,258.0,259.2,3808500
2022-09-21,259.95,262.0,252.6,254.55,3779985
2022-09-22,252.6,255.2,248.25,251.45,4041540
2022-09-23,251.0,251.4,239.3,240.65,5578410
2022-09-26,238.25,240.45,229.65,235.0,3960710
