Date,Open,High,Low,Close,Volume
2022-01-03,2429.0,2429.0,2362.05,2388.8,99237
2022-01-04,2427.95,2427.95,2350.0,2374.9,22150
2022-01-05,2392.0,2392.0,2352.95,2368.55,16281
2022-01-06,2350.0,2362.3,2325.25,2349.05,17735
2022-01-07,2332.0,2369.0,2331.0,2346.9,36395
2022-01-10,2347.0,2357.9,2302.05,2343.45,46205
2022-01-11,2321.35,2355.2,2271.0,2279.5,76395
2022-01-12,2230.0,2247.85,2163.55,2226.0,296163
2022-01-13,2250.0,2319.65,2240.05,2261.5,101749
2022-01-14,2255.0,2339.9,2230.0,2245.8,81349
2022-01-17,2250.0,2274.7,2234.1,2244.15,24843
2022-01-18,2244.7,2265.0,2205.0,2214.5,18837
2022-01-19,2210.0,2239.55,2181.0,2223.3,22556
2022-01-20,2233.85,2298.0,2207.0,2287.5,39328
2022-01-21,2289.9,2319.0,2242.0,2303.0,49959
2022-01-24,2319.8,2335.95,2275.75,2315.75,65916
2022-01-25,2327.0,2574.0,2281.65,2480.25,97360
2022-01-27,2520.0,2528.95,2385.0,2399.9,86013
2022-01-28,2399.85,2447.95,2399.85,2426.45,43296
2022-01-31,2567.7,2597.7,2290.05,2308.7,208786
2022-02-01,2348.85,2350.5,2260.0,2300.85,60473
2022-02-02,2311.0,2353.15,2301.0,2331.85,32086
2022-02-03,2329.7,2357.95,2321.25,2339.9,57878
2022-02-04,2346.0,2353.15,2311.0,2330.65,12233
2022-02-07,2330.65,2397.95,2324.55,2339.7,14157
2022-02-08,2359.7,2415.0,2334.1,2355.45,55983
2022-02-09,2376.7,2384.45,2315.45,2337.35,26883
2022-02-10,2330.0,2337.0,2264.0,2285.4,39893
2022-02-11,2296.85,2296.85,2245.4,2262.85,63818
2022-02-14,2239.7,2274.25,2180.0,2208.7,18235
2022-02-15,2200.0,2299.0,2171.35,2275.85,25756
2022-02-16,2287.8,2320.1,2252.6,2284.7,14135
2022-02-17,2280.0,2339.95,2271.0,2311.25,46966
2022-02-18,2281.25,2319.0,2276.45,2289.95,6188
2022-02-21,2289.95,2358.0,2271.0,2311.55,18515
2022-02-22,2261.0,2325.0,2231.0,2305.9,25608
2022-02-23,2318.0,2346.75,2301.0,2325.65,17220
2022-02-24,2290.0,2298.0,2191.9,2272.9,35204
2022-02-25,2281.0,2347.05,2281.0,2340.85,17596
2022-02-28,2302.15,2348.45,2301.0,2312.85,36611
2022-03-02,2301.05,2316.5,2281.0,2291.8,13785
2022-03-03,2314.55,2328.9,2292.75,2312.1,43063
2022-03-04,2285.0,2300.35,2275.0,2279.25,20396
2022-03-07,2268.0,2279.25,2227.25,2245.05,26441
2022-03-08,2249.05,2318.35,2241.0,2305.75,17767
2022-03-09,2316.1,2432.55,2292.65,2403.85,44876
2022-03-10,2451.95,2492.55,2406.0,2419.0,15100
2022-03-11,2401.0,2444.8,2392.0,2414.35,9013
2022-03-14,2401.0,2424.9,2391.0,2402.95,8538
2022-03-15,2424.9,2437.65,2370.0,2407.25,34301
2022-03-16,2449.0,2449.0,2391.45,2405.75,17458
2022-03-17,2417.8,2620.8,2417.8,2586.85,159447
2022-03-21,2621.75,2699.0,2575.9,2674.45,66593
2022-03-22,2694.45,2700.0,2630.0,2650.9,19591
2022-03-23,2660.0,2699.0,2606.0,2619.8,28320
2022-03-24,2600.0,2686.8,2600.0,2658.75,13870
2022-03-25,2680.0,2681.65,2631.0,2640.3,19217
2022-03-28,2659.0,2763.65,2616.35,2731.1,45599
2022-03-29,2775.0,2835.0,2740.05,2768.7,43996
2022-03-30,2799.0,2816.0,2751.0,2757.9,23899
2022-03-31,2771.7,2836.0,2751.0,2796.5,31137
2022-04-01,2849.95,2890.0,2845.15,2869.6,70093
2022-04-04,2890.0,2920.0,2851.0,2875.15,29688
2022-04-05,2852.0,2985.5,2851.0,2960.65,63591
2022-04-06,3040.0,3189.95,2945.4,2972.6,280596
2022-04-07,2965.0,3017.2,2936.75,2945.45,35911
2022-04-08,2989.0,3020.0,2951.05,3000.05,39138
2022-04-11,3048.0,3070.0,2971.0,3020.4,27834
2022-04-12,3035.0,3047.15,2976.0,2984.2,25879
2022-04-13,3046.0,3046.0,2971.0,2987.95,20877
2022-04-18,2960.8,3049.0,2941.0,3036.15,31016
2022-04-19,3039.95,3045.1,2968.1,2994.8,19986
2022-04-20,2994.7,3007.75,2939.1,2963.3,14127
2022-04-21,2991.35,3014.45,2971.0,2985.45,9452
2022-04-22,2965.0,3012.5,2961.0,2969.6,30690
2022-04-25,2968.0,2969.55,2840.0,2850.3,21193
2022-04-26,2861.0,2932.45,2820.4,2833.0,28700
2022-04-27,2821.0,2855.0,2733.05,2765.2,60886
2022-04-28,2779.05,2847.95,2766.95,2788.5,14918
2022-04-29,2819.9,2844.2,2741.0,2760.9,19785
2022-05-02,2798.95,2949.9,2720.05,2918.95,78486
2022-05-04,3070.0,3150.0,2951.0,2997.45,205063
2022-05-05,3114.0,3114.0,2973.15,2998.9,73080
2022-05-06,2980.0,3005.6,2936.0,2983.65,59848
2022-05-09,2984.0,3007.95,2900.65,2983.65,36245
2022-05-10,2983.65,3027.45,2880.0,2902.3,42082
2022-05-11,2949.95,2963.95,2795.0,2820.35,37683
2022-05-12,2811.45,2829.9,2751.0,2781.1,23258
2022-05-13,2815.0,2819.0,2771.0,2783.25,24399
2022-05-16,2790.15,2806.45,2755.55,2795.1,18302
2022-05-17,2811.7,2853.55,2783.95,2845.9,34718
2022-05-18,2900.0,2923.9,2810.0,2886.95,23015
2022-05-19,2860.2,2916.8,2801.2,2884.4,27432
2022-05-20,2937.6,2975.0,2761.35,2797.35,47070
2022-05-23,2797.3,2837.0,2650.0,2683.55,27762
2022-05-24,2683.55,2780.0,2683.55,2723.25,53658
2022-05-25,2723.25,2775.0,2556.0,2579.2,34470
2022-05-26,2585.6,2620.0,2520.0,2561.65,40285
2022-05-27,2576.35,2620.0,2478.45,2571.4,37527
2022-05-30,2600.0,2738.8,2598.0,2706.9,46537
2022-05-31,2709.2,2735.25,2590.1,2620.1,68027
2022-06-01,2635.0,2663.2,2593.0,2620.65,120672
2022-06-02,2620.65,2639.65,2575.85,2616.15,22030
2022-06-03,2629.9,2847.85,2629.9,2802.9,168159
2022-06-06,2782.0,2830.9,2732.45,2789.4,47088
2022-06-07,2788.95,2830.0,2760.75,2775.65,22225
2022-06-08,2788.55,2876.2,2788.55,2807.5,151569
2022-06-09,2807.85,2810.85,2751.05,2768.9,14589
2022-06-10,2748.0,2931.6,2720.0,2856.25,240967
2022-06-13,2849.0,2849.0,2752.25,2771.45,30583
2022-06-14,2738.1,2780.65,2700.0,2721.6,22981
2022-06-15,2733.0,2760.0,2712.5,2750.3,53230
2022-06-16,2780.0,2805.0,2733.55,2759.35,21241
2022-06-17,2734.3,2799.0,2692.2,2761.0,26773
2022-06-20,2777.0,2779.75,2652.75,2701.05,30298
2022-06-21,2714.6,2825.0,2701.1,2792.6,27329
2022-06-22,2755.0,2791.45,2721.0,2741.7,36630
2022-06-23,2740.55,2779.75,2734.4,2764.55,28116
2022-06-24,2751.1,2774.95,2736.95,2756.65,20722
2022-06-27,2779.95,2830.0,2710.3,2747.1,61211
2022-06-28,2703.0,2759.95,2703.0,2753.0,13945
2022-06-29,2722.15,2780.0,2713.0,2737.65,15182
2022-06-30,2741.45,2777.0,2719.55,2745.3,11907
2022-07-01,2725.2,2769.95,2702.2,2722.85,53477
2022-07-04,2736.0,2744.9,2690.0,2728.8,8601
2022-07-05,2735.55,2744.45,2661.05,2670.95,19465
2022-07-06,2660.0,2705.8,2619.75,2681.6,36303
2022-07-07,2704.3,2730.0,2691.35,2715.7,22105
2022-07-08,2732.75,2739.05,2680.0,2689.8,5992
2022-07-11,2698.0,2715.9,2690.5,2709.5,9191
2022-07-12,2723.05,2725.0,2692.25,2714.35,8507
2022-07-13,2711.35,2719.55,2675.0,2697.15,13991
2022-07-14,2692.0,2707.0,2633.7,2641.25,19678
2022-07-15,2654.5,2661.65,2631.0,2645.5,8871
2022-07-18,2669.0,2710.0,2644.0,2698.4,14010
2022-07-19,2690.0,2735.0,2619.65,2683.15,55166
2022-07-20,2704.0,2735.0,2699.85,2715.3,25969
2022-07-21,2735.0,2745.0,2712.0,2725.2,13974
2022-07-22,2738.85,2874.0,2737.55,2815.55,59962
2022-07-25,2830.0,2925.0,2815.6,2837.8,114176
2022-07-26,2848.0,2875.0,2820.0,2831.8,40746
2022-07-27,2820.0,2846.7,2790.95,2799.75,19663
2022-07-28,2818.85,2839.0,2775.0,2789.9,18880
2022-07-29,2800.0,2819.5,2733.0,2742.1,42914
2022-08-01,2795.0,2799.0,2685.0,2693.25,41316
2022-08-02,2703.0,2750.0,2675.05,2709.5,113038
2022-08-03,2725.0,2800.0,2716.15,2795.0,54967
2022-08-04,2823.0,2999.0,2823.0,2987.15,205275
2022-08-05,3015.0,3199.05,3010.25,3142.8,329805
2022-08-08,3155.0,3228.95,3091.0,3135.15,125099
2022-08-10,3150.0,3267.55,3110.0,3194.0,97304
2022-08-11,3220.0,3235.0,3162.0,3220.5,46947
2022-08-12,3215.0,3225.0,3141.95,3163.15,28700
2022-08-16,3163.15,3349.0,3163.15,3302.95,175615
2022-08-17,3315.0,3378.1,3291.2,3298.9,69909
2022-08-18,3300.0,3402.3,3292.1,3386.4,54499
2022-08-19,3400.0,3448.5,3395.0,3418.65,41708
2022-08-22,3395.0,3448.85,3333.75,3420.0,55064
2022-08-23,3399.1,3449.0,3369.15,3409.7,29727
2022-08-24,3422.35,3449.0,3386.45,3439.8,23384
2022-08-25,3444.95,3559.5,3372.15,3430.7,73984
2022-08-26,3449.0,3451.05,3310.1,3345.95,70203
2022-08-29,3340.0,3414.35,3278.0,3300.4,45509
2022-08-30,3330.25,3354.95,3282.2,3331.9,33069
2022-09-01,3330.0,3419.0,3311.1,3326.6,32060
2022-09-02,3345.0,3356.4,3280.0,3334.1,25370
2022-09-05,3366.9,3588.5,3366.9,3494.55,81089
2022-09-06,3535.0,3549.0,3441.1,3467.0,42661
2022-09-07,3480.0,3510.35,3440.0,3452.05,28471
2022-09-08,3452.05,3491.4,3441.0,3474.5,19388
2022-09-09,3492.8,3600.0,3484.0,3549.05,57761
2022-09-12,3550.0,3579.0,3522.5,3534.8,25438
2022-09-13,3564.4,3638.95,3551.65,3565.9,32148
2022-09-14,3544.6,3560.05,3521.75,3549.45,35481
2022-09-15,3576.35,3594.0,3521.0,3557.35,40995
2022-09-16,3579.9,3600.0,3541.0,3578.75,47894
2022-09-19,3605.75,3649.5,3541.0,3643.95,67226
2022-09-20,3653.0,3940.0,3653.0,3851.45,189105
2022-09-21,3899.0,3923.9,3801.0,3851.9,72389
2022-09-22,3871.2,3880.0,3801.0,3814.15,36774
2022-09-23,3842.95,3842.95,3681.0,3696.65,36862
2022-09-26,3663.0,3686.25,3412.75,3441.85,102386
2022-09-27,3470.0,3680.0,3421.0,3595.4,83745
2022-09-28,3562.7,3684.95,3480.0,3647.6,73135
2022-09-29,3715.5,3774.9,3581.0,3745.3,62073
2022-09-30,3750.0,3974.95,3719.6,3916.8,179007
2022-10-03,3943.8,4046.9,3841.0,3972.55,113509
2022-10-04,4034.95,4047.8,3966.0,3997.2,39922
2022-10-06,4008.05,4122.95,3997.2,4063.3,61366
2022-10-07,4082.65,4175.05,4062.05,4139.3,108639
2022-10-10,4100.0,4170.5,3990.0,4011.7,79407
2022-10-11,4044.35,4048.75,3840.0,3866.75,70626
2022-10-12,3870.0,3899.65,3837.05,3855.6,41119
2022-10-13,3874.6,3884.65,3810.0,3827.25,131940
2022-10-14,3877.0,3899.4,3815.0,3847.5,22324
2022-10-17,3847.5,3914.0,3825.1,3879.0,36398
2022-10-18,3898.4,3949.9,3860.0,3898.15,44708
2022-10-19,3920.0,3998.95,3900.0,3935.05,47675
2022-10-20,3936.0,3955.7,3881.0,3910.4,23213
2022-10-21,3930.0,3974.4,3855.0,3870.2,61371
2022-10-24,3967.0,3999.0,3905.05,3986.75,13587
2022-10-25,3986.75,4038.6,3873.15,3886.3,46759
2022-10-27,3905.9,3941.95,3862.5,3905.95,22101
2022-10-28,3891.9,3940.0,3878.1,3905.8,14374
2022-10-31,3949.0,3956.6,3877.8,3901.85,27010
2022-11-01,3977.7,4098.85,3941.0,3955.8,103294
2022-11-02,3965.0,4048.9,3910.1,3963.55,59690
2022-11-03,3973.9,4009.0,3945.2,3983.85,30830
2022-11-04,3999.0,4056.0,3960.3,4008.65,95451
2022-11-07,4050.0,4200.0,4050.0,4087.9,120184
2022-11-09,4100.05,4224.85,4100.05,4167.7,73681
2022-11-10,4180.25,4250.0,4126.0,4178.15,90692
2022-11-11,4225.0,4268.95,4132.05,4146.0,65498
2022-11-14,4214.75,4214.75,3995.0,4051.1,64778
2022-11-15,4034.0,4049.9,3998.0,4030.3,34544
2022-11-16,4050.5,4090.0,3964.1,4027.5,39520
2022-11-17,4031.8,4035.55,3980.0,3996.05,29523
2022-11-18,4016.05,4034.95,3920.0,3951.7,23105
2022-11-21,3939.5,3983.0,3915.0,3946.35,18421
2022-11-22,3966.05,3966.05,3821.0,3851.25,64430
2022-11-23,3879.2,3891.0,3812.35,3873.3,32078
2022-11-24,3895.0,3932.55,3875.1,3886.2,60264
2022-11-25,3905.6,3919.0,3751.0,3759.7,81684
2022-11-28,3750.0,3794.55,3730.05,3745.1,32069
2022-11-29,3759.9,3770.5,3700.0,3717.25,30965
2022-11-30,3741.3,3895.0,3726.05,3877.75,70962
2022-12-01,3924.35,4098.0,3888.2,4078.55,120245
2022-12-02,4092.25,4132.45,4040.05,4086.2,53657
2022-12-05,4104.95,4111.05,4006.0,4025.55,22344
