Date,Open,High,Low,Close,Volume
2022-01-03,737.85,740.2,730.9,738.8,937205
2022-01-04,742.75,747.4,722.05,729.8,2381723
2022-01-05,731.15,734.35,717.6,724.6,2102364
2022-01-06,724.0,725.95,713.7,716.55,2103580
2022-01-07,716.55,735.5,716.15,727.05,2133247
2022-01-10,731.35,733.9,722.05,722.9,1611887
2022-01-11,727.4,734.45,721.8,729.6,1929030
2022-01-12,733.9,734.15,724.15,727.05,1839803
2022-01-13,727.95,730.35,714.7,721.25,1624617
2022-01-14,721.25,767.45,718.05,753.15,8841900
2022-01-17,758.55,761.9,749.95,755.7,1880453
2022-01-18,754.4,760.55,719.45,722.45,2707389
2022-01-19,725.95,728.95,705.25,708.85,2456407
2022-01-20,719.1,737.1,708.4,714.55,5363576
2022-01-21,712.15,733.85,703.25,717.65,4914616
2022-01-24,716.1,716.1,680.05,682.95,3153406
2022-01-25,681.55,701.25,666.7,699.05,2055786
2022-01-27,691.4,700.8,679.05,697.3,3157298
2022-01-28,697.85,720.95,697.85,709.1,2099934
2022-01-31,717.1,727.9,713.2,718.35,1703372
2022-02-01,723.0,729.95,708.25,727.05,2089401
2022-02-02,732.5,735.75,725.6,733.35,1794023
2022-02-03,740.8,759.55,724.35,729.05,8255437
2022-02-04,731.9,737.4,713.35,724.8,1955669
2022-02-07,720.05,727.7,693.45,696.15,1932479
2022-02-08,696.45,701.3,682.85,688.55,2440408
2022-02-09,697.35,700.3,688.0,691.6,2234268
2022-02-10,697.6,702.25,690.4,698.0,1792297
2022-02-11,686.45,694.45,681.55,692.4,2038350
2022-02-14,680.55,692.2,675.65,685.8,2095132
2022-02-15,684.5,697.35,680.7,693.4,2237088
2022-02-16,696.85,699.65,687.5,692.4,1232326
2022-02-17,692.9,717.25,692.9,711.5,3484877
2022-02-18,706.8,715.7,703.45,708.7,1707250
2022-02-21,701.8,712.5,695.85,704.45,1561984
2022-02-22,681.55,708.1,681.55,706.4,1885121
2022-02-23,706.2,722.2,705.35,714.35,1839235
2022-02-24,690.4,705.8,665.75,669.4,3129723
2022-02-25,681.55,704.6,677.2,700.8,1793905
2022-02-28,690.9,711.95,686.0,709.8,1959400
2022-03-02,703.2,709.8,692.95,702.25,1962536
2022-03-03,703.4,709.95,676.15,678.6,2138586
2022-03-04,679.95,679.95,649.45,661.7,2868384
2022-03-07,650.9,665.25,642.2,651.75,2163885
2022-03-08,650.9,679.3,649.9,675.3,2886295
2022-03-09,676.6,697.25,669.95,690.55,1944507
2022-03-10,696.9,718.55,696.9,715.3,2606455
2022-03-11,715.4,717.15,698.75,707.65,2334367
2022-03-14,711.15,715.1,700.95,713.4,1604423
2022-03-15,715.1,764.5,714.85,739.4,9503176
2022-03-16,744.75,746.25,731.5,738.65,1984138
2022-03-17,748.7,764.95,745.0,762.8,3137762
2022-03-21,762.5,764.35,736.15,738.6,1912709
2022-03-22,740.8,748.7,722.4,743.65,3085856
2022-03-23,750.2,750.65,735.95,739.6,1116964
2022-03-24,738.8,742.35,729.65,731.4,1193743
2022-03-25,730.9,730.9,699.9,724.35,3005521
2022-03-28,725.0,737.05,719.2,732.15,1855890
2022-03-29,732.9,738.55,726.55,734.1,997960
2022-03-30,740.8,773.15,739.8,756.45,8431618
2022-03-31,758.5,770.4,756.5,767.85,2928082
2022-04-01,770.35,782.75,769.45,780.1,3120620
2022-04-04,782.3,785.25,772.15,778.4,1585112
2022-04-05,781.3,800.05,778.5,796.75,2948480
2022-04-06,800.5,802.5,787.25,799.3,2029087
2022-04-07,799.05,808.25,792.2,795.0,1989665
2022-04-08,800.55,809.8,794.15,807.65,1423698
2022-04-11,807.65,813.9,799.55,811.4,1246540
2022-04-12,811.4,812.75,792.7,802.15,1208325
2022-04-13,802.15,813.4,801.1,807.55,1049626
2022-04-18,806.2,814.75,799.05,812.2,1499362
2022-04-19,814.85,826.6,775.2,781.65,2491066
2022-04-20,790.2,803.45,782.4,800.5,1541377
2022-04-21,802.05,811.9,794.4,810.0,1360959
2022-04-22,807.95,811.5,793.25,805.6,1904045
2022-04-25,792.15,799.95,779.85,783.0,1208458
2022-04-26,788.45,814.25,785.25,811.95,1301184
2022-04-27,804.9,807.8,786.5,788.8,1201561
2022-04-28,800.9,808.95,789.8,801.7,1824996
2022-04-29,805.0,825.0,803.0,813.65,2297124
