Date,Open,High,Low,Close,Volume
2022-01-03,625.0,632.95,616.3,629.25,1188070
2022-01-04,631.0,635.55,626.5,630.45,574936
2022-01-05,632.8,644.2,629.4,638.7,1056096
2022-01-06,635.0,650.0,630.0,648.9,1042775
2022-01-07,650.85,654.0,637.25,641.05,715951
2022-01-10,645.0,653.0,642.5,649.8,771849
2022-01-11,647.0,652.8,641.15,642.7,389969
2022-01-12,645.0,658.15,642.5,654.8,810304
2022-01-13,657.45,663.05,643.0,660.45,1892618
2022-01-14,658.95,664.15,652.7,658.75,697133
2022-01-17,657.0,670.6,653.4,657.45,1356881
2022-01-18,660.0,660.7,640.2,643.2,900906
2022-01-19,640.0,648.95,631.05,642.8,519529
2022-01-20,639.0,647.65,629.65,636.15,545287
2022-01-21,630.05,652.0,627.3,631.1,3144751
2022-01-24,630.5,631.1,607.4,612.2,712987
2022-01-25,607.0,623.3,595.0,620.7,1227614
2022-01-27,609.0,636.0,600.0,629.85,2490371
2022-01-28,640.0,640.0,585.05,601.95,6413288
2022-01-31,608.0,613.5,597.25,606.3,2066796
2022-02-01,610.0,629.9,606.6,626.25,1547133
2022-02-02,626.0,640.5,621.55,626.15,2011120
2022-02-03,628.0,663.0,626.35,657.25,4972594
2022-02-04,655.0,655.0,643.5,653.0,1376064
2022-02-07,653.0,653.25,628.6,636.95,1305798
2022-02-08,669.0,669.0,638.5,656.5,10100060
2022-02-09,654.0,665.85,648.8,659.85,1943723
2022-02-10,668.0,677.0,665.0,668.45,3502156
2022-02-11,659.9,673.15,640.6,660.45,6277578
2022-02-14,654.0,668.4,637.15,641.7,2853430
2022-02-15,645.1,666.0,630.55,663.3,2567801
2022-02-16,665.0,676.75,657.0,665.1,2258102
2022-02-17,665.0,679.4,663.1,671.2,3282622
2022-02-18,671.0,681.6,661.85,663.5,1962790
2022-02-21,663.5,671.3,657.0,658.4,1757845
2022-02-22,640.0,666.5,638.0,663.5,1225239
2022-02-23,665.0,671.55,648.85,651.45,1558086
2022-02-24,637.0,644.95,615.8,619.1,2115554
2022-02-25,626.8,637.9,624.35,631.95,2854919
2022-02-28,625.0,629.95,610.0,617.6,1615551
2022-03-02,610.0,611.9,596.0,597.95,3546669
2022-03-03,610.7,611.0,583.2,585.55,2284162
2022-03-04,578.55,578.55,552.95,554.75,2215341
2022-03-07,544.0,544.0,513.0,530.1,2581507
2022-03-08,525.0,537.45,519.45,535.15,2002029
2022-03-09,539.0,558.95,535.05,555.45,1835596
2022-03-10,575.0,578.2,559.7,565.25,2099008
2022-03-11,565.0,584.1,557.55,581.6,1993394
2022-03-14,581.55,593.3,574.5,592.25,1892847
2022-03-15,592.25,600.0,586.2,594.8,1578493
2022-03-16,603.0,611.9,600.5,609.7,1238848
2022-03-17,617.95,623.5,610.0,611.7,1019241
2022-03-21,621.6,621.6,605.65,608.7,780297
2022-03-22,606.0,614.75,599.55,612.55,821505
2022-03-23,616.0,617.0,607.95,611.15,382090
2022-03-24,613.35,616.8,605.3,608.95,789555
2022-03-25,610.5,614.8,600.45,603.0,784429
2022-03-28,605.0,611.0,601.5,607.4,696633
2022-03-29,609.0,617.0,608.55,613.45,1488760
2022-03-30,619.0,627.0,616.0,621.8,1536320
2022-03-31,623.5,627.85,617.2,625.65,990282
2022-04-01,621.3,629.9,619.0,628.75,1025492
2022-04-04,634.7,634.85,626.8,633.6,750972
2022-04-05,633.65,642.05,632.05,637.0,747815
2022-04-06,645.35,650.0,630.0,647.9,1725636
2022-04-07,647.5,650.9,635.4,637.95,742601
2022-04-08,639.9,656.0,638.45,653.4,1370697
2022-04-11,655.0,661.15,649.0,650.95,975863
2022-04-12,648.0,652.45,639.5,650.25,1061190
2022-04-13,656.95,659.9,647.85,650.05,884084
2022-04-18,644.05,664.7,640.8,656.0,5207648
2022-04-19,656.65,660.0,634.05,640.6,690068
2022-04-20,642.0,657.35,637.0,651.7,605933
2022-04-21,652.55,663.0,652.0,658.2,634287
2022-04-22,650.9,661.65,629.05,645.6,1266650
2022-04-25,640.15,654.15,637.4,649.35,1120487
2022-04-26,655.0,685.0,653.1,681.5,7352944
2022-04-27,679.85,690.0,672.0,686.6,2798687
2022-04-28,689.95,693.7,677.85,681.35,1424197
2022-04-29,680.0,686.0,651.15,654.85,1769821
2022-05-02,654.85,659.7,643.05,649.05,853787
2022-05-04,649.0,654.5,624.2,627.5,2056479
2022-05-05,631.0,648.15,624.2,631.05,1563698
2022-05-06,620.8,636.95,619.2,629.05,3963203
2022-05-09,623.3,626.45,607.25,615.45,981633
2022-05-10,615.45,628.1,611.4,616.2,1204286
2022-05-11,617.1,623.9,608.8,620.15,1977793
2022-05-12,615.5,619.0,589.05,602.25,1947444
2022-05-13,610.0,641.5,606.1,634.65,2489259
2022-05-16,638.8,655.55,632.4,653.5,1247350
2022-05-17,655.0,682.3,653.55,676.15,2524634
2022-05-18,677.2,693.0,674.25,680.2,2014804
2022-05-19,671.15,689.6,665.8,679.1,2516859
2022-05-20,693.85,695.9,677.65,684.55,1957573
2022-05-23,685.35,710.0,685.35,695.9,2656671
2022-05-24,694.95,712.5,692.35,708.85,1995805
2022-05-25,712.0,714.95,697.15,702.15,1126056
2022-05-26,702.15,711.95,693.8,708.3,984399
2022-05-27,717.4,729.9,709.05,723.7,1809438
2022-05-30,734.0,742.5,730.0,739.65,1080849
2022-05-31,736.95,749.75,733.0,736.55,1712518
2022-06-01,737.0,744.85,728.05,737.2,1950546
2022-06-02,732.0,740.7,730.5,738.75,719240
2022-06-03,743.0,744.15,728.1,730.3,831010
2022-06-06,729.8,739.4,723.25,728.7,897590
2022-06-07,724.5,746.2,716.05,744.05,2341860
2022-06-08,747.0,755.0,736.2,751.05,3376027
2022-06-09,751.05,766.0,746.2,764.2,2206938
2022-06-10,762.0,766.2,754.0,763.65,1330054
2022-06-13,758.8,762.55,748.35,750.45,1450884
2022-06-14,743.6,760.8,743.0,749.9,1342735
2022-06-15,751.2,757.9,749.6,753.85,694564
2022-06-16,760.15,766.35,739.1,747.1,1719322
2022-06-17,741.0,750.65,731.95,740.15,1829920
2022-06-20,739.9,746.9,722.95,730.65,1866728
2022-06-21,731.25,749.0,730.0,744.4,1053612
2022-06-22,741.0,746.55,734.4,743.9,1294272
2022-06-23,745.95,775.8,744.8,772.0,2403326
2022-06-24,778.0,805.7,777.0,798.75,3909837
2022-06-27,810.85,810.85,796.0,801.5,2192974
2022-06-28,798.9,823.6,793.1,820.2,3330788
2022-06-29,813.9,841.0,808.6,833.35,2359911
2022-06-30,832.4,850.0,825.2,841.95,4098480
2022-07-01,837.5,886.3,827.3,860.45,3263584
2022-07-04,840.0,851.5,821.15,840.9,4102568
2022-07-05,839.95,846.75,810.2,812.4,2427183
2022-07-06,817.0,835.65,815.1,825.1,2184396
2022-07-07,836.1,840.4,820.5,825.95,1581958
2022-07-08,834.9,841.85,825.0,839.15,1066301
2022-07-11,837.75,857.5,829.85,854.95,1110345
2022-07-12,856.0,858.7,843.8,848.85,808629
2022-07-13,850.9,865.7,849.8,856.95,891323
2022-07-14,856.95,862.55,832.55,836.45,923118
2022-07-15,837.25,874.0,836.45,871.65,1584738
2022-07-18,876.0,881.75,871.0,878.2,1456093
2022-07-19,870.5,888.7,870.5,880.15,1289938
2022-07-20,882.0,890.0,873.15,877.45,679275
2022-07-21,876.0,887.25,873.0,879.5,815859
2022-07-22,875.3,898.7,875.3,885.75,2263170
2022-07-25,884.85,893.0,867.7,871.0,980576
2022-07-26,870.0,872.75,860.5,864.45,1080149
2022-07-27,864.45,867.95,837.05,849.85,1305629
2022-07-28,857.95,874.25,849.0,870.6,1418272
2022-07-29,898.95,953.2,897.0,908.05,9480378
2022-08-01,908.9,943.6,908.05,926.65,2767083
2022-08-02,931.0,940.85,917.4,938.35,1898797
2022-08-03,935.0,943.55,916.3,927.75,1237195
2022-08-04,935.0,944.65,924.2,934.1,1265730
2022-08-05,935.0,951.2,935.0,948.35,2153657
2022-08-08,949.9,960.9,942.1,956.7,1356911
2022-08-10,959.95,969.0,950.1,966.6,1247420
2022-08-11,971.0,974.9,955.1,958.25,1035579
2022-08-12,960.0,964.5,950.95,952.55,653263
2022-08-16,958.0,981.7,949.55,979.1,965828
2022-08-17,981.0,986.0,968.25,970.55,1182141
2022-08-18,971.0,990.9,971.0,974.0,2149414
2022-08-19,981.4,991.45,954.55,958.75,1831816
2022-08-22,953.0,959.7,933.6,936.95,1465242
2022-08-23,930.0,959.2,925.0,955.15,1292054
2022-08-24,959.0,966.7,950.5,959.95,1250754
2022-08-25,964.95,968.0,945.9,949.1,1538844
2022-08-26,958.8,967.25,951.55,954.45,1280541
2022-08-29,935.0,960.0,934.5,957.85,680203
2022-08-30,964.0,989.75,962.7,985.6,1055038
2022-09-01,983.9,1028.8,978.0,1015.1,3390887
2022-09-02,1022.0,1037.45,1019.9,1025.85,2684334
2022-09-05,1025.85,1042.95,1022.0,1038.05,1159599
2022-09-06,1042.85,1058.9,1041.75,1054.55,2050061
2022-09-07,1048.0,1062.95,1038.05,1041.4,1263932
2022-09-08,1048.85,1062.7,1037.2,1044.8,1430694
2022-09-09,1056.0,1058.7,1044.35,1053.8,1205966
2022-09-12,1059.05,1071.35,1047.05,1050.5,1677576
2022-09-13,1052.55,1059.45,1034.55,1038.7,903787
2022-09-14,1031.0,1049.5,1024.55,1037.85,893907
2022-09-15,1041.8,1061.75,1031.4,1041.55,1604996
2022-09-16,1040.0,1043.5,1012.3,1024.9,1601671
2022-09-19,1019.5,1041.0,1016.15,1027.2,1895834
2022-09-20,1033.5,1087.95,1033.5,1082.15,3241244
2022-09-21,1076.0,1094.4,1066.65,1068.45,2001040
2022-09-22,1060.0,1086.0,1060.0,1066.45,2452415
2022-09-23,1068.0,1070.6,1027.0,1037.55,1935689
2022-09-26,1034.8,1034.8,994.05,1024.85,1652899
2022-09-27,1035.0,1043.0,1020.75,1034.85,1417788
2022-09-28,1024.25,1041.25,1017.1,1021.25,1241220
2022-09-29,1026.35,1037.0,1009.7,1011.9,1056799
2022-09-30,1011.0,1036.15,984.25,1032.25,2086641
