Date,Open,High,Low,Close,Volume
2022-01-03,722.3,735.65,719.45,733.05,1206775
2022-01-04,737.8,737.8,724.7,730.7,1300394
2022-01-05,728.05,738.45,726.55,733.35,1205746
2022-01-06,734.8,754.9,728.5,750.85,5667869
2022-01-07,750.15,758.45,744.9,756.8,2139761
2022-01-10,759.8,791.4,759.45,788.1,7739713
2022-01-11,788.3,794.25,782.75,786.15,2089864
2022-01-12,787.65,791.45,779.3,788.9,2337923
2022-01-13,789.55,810.45,789.55,806.7,4598101
2022-01-14,801.95,802.0,784.65,791.05,3847352
2022-01-17,791.8,796.85,782.45,791.15,2678324
2022-01-18,788.05,791.4,763.4,766.55,2940260
2022-01-19,765.5,781.8,757.05,780.1,2287168
2022-01-20,786.6,789.45,771.25,775.5,2033666
2022-01-21,768.35,772.05,748.3,754.85,1511364
2022-01-24,745.05,753.95,724.7,731.5,1734261
2022-01-25,723.75,762.75,715.7,758.9,3107825
2022-01-27,762.45,762.45,733.8,740.5,2539929
2022-01-28,746.3,773.65,745.85,758.05,4178082
2022-01-31,771.0,779.6,743.4,744.85,5357129
2022-02-01,753.0,763.15,735.65,753.0,3850768
2022-02-02,754.55,767.0,750.15,753.9,1847073
2022-02-03,756.8,758.75,739.6,741.95,1556854
2022-02-04,742.05,745.15,733.8,735.95,1034202
2022-02-07,733.05,743.3,719.65,725.75,1309318
2022-02-08,726.15,732.8,713.75,727.75,2151208
2022-02-09,733.35,740.95,729.05,739.1,1399834
2022-02-10,743.4,747.2,736.65,738.7,2670474
2022-02-11,734.65,735.7,719.45,722.5,1690702
2022-02-14,713.95,718.5,686.8,692.3,2033105
2022-02-15,695.55,716.5,686.95,714.35,1529704
2022-02-16,719.45,719.45,702.45,705.8,1457912
2022-02-17,706.95,712.45,696.15,697.4,1224021
2022-02-18,698.35,706.2,689.7,695.4,2057790
2022-02-21,695.35,695.35,673.25,675.45,2686966
2022-02-22,660.9,667.35,648.7,665.1,2961763
2022-02-23,671.5,674.0,656.95,659.95,2828325
2022-02-24,645.55,647.25,596.65,606.55,5685366
2022-02-25,629.45,636.8,618.4,628.0,4056243
2022-02-28,624.45,641.7,617.85,638.35,3190967
2022-03-02,636.6,668.6,632.6,661.45,8860847
2022-03-03,679.05,695.05,660.85,684.65,10087575
2022-03-04,683.0,705.9,676.05,684.65,10622426
2022-03-07,681.1,705.05,657.8,702.05,7265698
2022-03-08,700.65,710.75,678.75,694.7,4292885
2022-03-09,702.65,704.85,683.65,695.65,3011539
2022-03-10,701.75,712.15,690.65,694.7,4397351
2022-03-11,694.35,699.3,687.0,695.9,2668105
2022-03-14,698.35,703.65,690.75,700.95,2966220
2022-03-15,700.25,715.6,698.85,710.8,4223604
2022-03-16,719.4,725.8,713.6,721.8,3001938
2022-03-17,728.05,733.35,723.8,730.55,2395113
2022-03-21,738.6,746.05,729.05,744.3,3358538
2022-03-22,743.4,754.9,739.6,749.1,2906672
2022-03-23,748.7,763.95,748.2,761.6,2465571
2022-03-24,762.6,769.15,756.9,766.55,2207648
2022-03-25,774.1,781.3,759.35,766.0,4964892
2022-03-28,762.65,765.45,746.3,748.95,2301567
2022-03-29,749.65,758.2,747.3,750.15,1705624
2022-03-30,750.15,753.5,742.45,744.5,1160901
2022-03-31,746.8,747.2,733.8,738.25,1954256
2022-04-01,739.1,751.55,739.1,749.7,1530325
2022-04-04,749.6,757.8,747.3,752.4,1159032
2022-04-05,759.65,768.0,758.1,761.2,2425604
2022-04-06,763.75,778.7,759.8,772.5,3003057
2022-04-07,764.5,776.05,758.25,770.6,2321702
2022-04-08,773.15,786.1,772.8,776.75,3425310
2022-04-11,777.95,790.4,777.15,786.45,3301867
2022-04-12,784.35,784.35,767.85,772.8,3256605
2022-04-13,772.8,802.35,772.2,785.3,5185556
2022-04-18,780.5,784.35,760.0,772.35,3166950
2022-04-19,774.1,790.3,767.4,772.1,3030578
2022-04-20,776.5,793.2,774.15,791.6,3172115
2022-04-21,797.15,799.65,787.55,795.35,2806365
2022-04-22,795.1,795.1,778.25,783.25,3280981
2022-04-25,772.2,776.0,759.25,770.3,2137204
2022-04-26,780.8,785.9,774.2,779.25,2108408
2022-04-27,776.9,777.15,761.85,765.85,1696729
2022-04-28,781.05,793.3,771.45,790.7,4802352
2022-04-29,798.1,800.0,783.1,789.35,3374405
2022-05-02,782.3,803.55,779.6,796.4,4019648
2022-05-04,797.05,813.45,783.65,790.6,5095853
2022-05-05,796.55,807.1,785.7,789.7,2742262
2022-05-06,781.8,781.8,747.7,754.8,3394691
2022-05-09,740.55,773.75,737.25,745.9,7089184
2022-05-10,759.7,768.0,746.8,757.6,4199078
2022-05-11,768.35,779.6,750.9,759.85,3809843
2022-05-12,750.15,757.1,722.3,733.75,3125801
