Date,Open,High,Low,Close,Volume
2020-04-01,293.9,314.5,287.0,298.4,1658121
2020-04-03,295.05,301.35,278.6,286.1,939256
2020-04-07,298.1,309.9,290.25,303.6,1126711
2020-04-08,298.0,333.95,295.4,321.5,1524218
2020-04-09,325.25,341.65,318.25,325.55,1039586
2020-04-13,329.0,337.0,308.0,319.7,1173203
2020-04-15,325.85,345.0,316.5,320.9,1822976
2020-04-16,320.0,337.85,313.05,332.6,1139613
2020-04-17,345.0,350.0,334.3,348.35,2182190
2020-04-20,351.6,357.0,325.25,328.5,1897215
2020-04-21,322.0,322.8,309.0,311.35,1124394
2020-04-22,310.0,310.35,280.25,285.3,4306104
2020-04-23,290.0,303.5,285.6,296.1,3051849
2020-04-24,289.2,298.5,282.0,284.05,1697209
2020-04-27,287.0,293.9,285.1,287.45,966134
2020-04-28,290.0,293.8,281.5,288.8,2575740
2020-04-29,293.9,295.5,288.45,291.65,1522132
2020-04-30,296.5,309.4,290.3,292.05,2437836
2020-05-04,283.0,283.25,267.55,270.25,1997089
2020-05-05,273.95,278.9,261.1,262.45,1460550
2020-05-06,264.0,269.9,254.1,267.95,1831551
2020-05-07,266.0,275.2,263.1,265.6,1014858
2020-05-08,272.0,278.15,263.95,266.1,1452081
2020-05-11,269.0,275.8,268.3,271.35,983261
2020-05-12,270.8,271.55,256.8,266.35,1192809
2020-05-13,279.0,286.3,270.25,279.1,1852706
2020-05-14,273.0,282.9,270.35,272.2,1095769
2020-05-15,275.8,277.7,265.8,274.85,1865577
2020-05-18,275.0,275.95,254.75,255.8,1881572
2020-05-19,262.0,267.5,255.75,258.75,1611511
2020-05-20,259.0,265.0,257.3,264.15,920248
2020-05-21,263.0,270.0,260.25,262.95,1301848
2020-05-22,262.95,274.65,259.65,271.15,1822006
2020-05-26,274.5,279.75,270.3,275.75,1306380
2020-05-27,278.0,283.1,276.65,282.15,1514928
2020-05-28,283.9,289.8,282.6,284.55,1306724
2020-05-29,285.5,297.85,282.7,285.6,2448942
2020-06-01,288.0,303.0,288.0,294.65,2087667
2020-06-02,299.0,317.45,295.7,311.9,4144142
2020-06-03,320.0,321.35,306.15,308.05,2019189
2020-06-04,309.0,315.65,301.4,306.4,1027607
2020-06-05,309.45,325.0,309.0,317.9,2761455
2020-06-08,321.9,327.4,315.0,318.1,1659122
2020-06-09,320.8,324.4,308.5,312.5,1559496
2020-06-10,314.9,318.75,311.6,314.6,1258570
2020-06-11,302.45,310.9,291.1,293.4,3120433
2020-06-12,276.0,300.0,275.15,299.2,2349896
2020-06-15,300.0,306.6,293.0,300.35,4385453
2020-06-16,306.0,307.95,290.1,297.0,2137787
2020-06-17,296.0,301.95,292.05,293.65,1564302
2020-06-18,293.6,306.5,293.0,305.4,1331074
2020-06-19,308.0,320.9,305.1,318.2,2517977
2020-06-22,320.2,332.9,315.25,324.35,2799986
2020-06-23,324.35,326.9,312.0,316.5,1828250
2020-06-24,319.45,321.9,300.0,305.3,1743126
2020-06-25,303.5,311.0,301.6,307.45,1054848
2020-06-26,311.0,314.0,303.85,307.85,998410
2020-06-29,304.85,306.95,295.2,298.1,980750
2020-06-30,299.9,302.4,291.0,294.5,1164790
2020-07-01,293.3,304.0,291.2,302.65,3497536
2020-07-02,305.0,307.95,298.1,299.4,852993
2020-07-03,300.8,311.9,298.0,306.05,2494316
2020-07-06,309.35,321.45,307.15,318.1,2419407
2020-07-07,325.9,326.55,314.2,316.45,3445023
2020-07-08,318.8,319.9,308.5,309.4,1399389
2020-07-09,312.45,323.2,308.55,321.35,3699767
2020-07-10,320.95,327.8,312.75,315.5,3090476
2020-07-13,316.3,318.45,309.05,311.55,1020314
2020-07-14,312.5,315.9,298.0,302.3,1855421
2020-07-15,302.0,304.0,295.05,299.05,1223316
2020-07-16,298.95,304.9,290.25,300.85,1101919
2020-07-17,303.25,306.75,300.0,304.0,561317
2020-07-20,305.5,310.05,302.15,307.35,1194755
2020-07-21,311.0,313.9,306.6,308.35,955528
2020-07-22,310.35,312.5,302.15,308.15,796722
2020-07-23,308.05,317.05,305.65,307.45,1618083
2020-07-24,305.45,312.4,296.0,300.05,1931631
