Date,Open,High,Low,Close,Volume
2020-04-01,472.05,494.0,463.0,477.8,1220932
2020-04-03,477.8,480.0,455.65,460.2,457301
2020-04-07,469.0,506.0,466.0,501.1,837744
2020-04-08,501.1,513.65,488.45,502.05,755312
2020-04-09,508.5,531.5,503.65,522.0,1918114
2020-04-13,532.0,532.0,487.55,499.05,1324307
2020-04-15,502.0,528.65,499.1,511.2,948123
2020-04-16,505.0,534.0,499.35,521.85,826820
2020-04-17,530.5,544.5,524.1,541.2,1244146
2020-04-20,554.0,555.8,537.5,540.1,894184
2020-04-21,535.95,535.95,501.5,509.25,843490
2020-04-22,503.7,560.15,503.5,557.95,2386515
2020-04-23,563.0,573.25,552.95,557.85,1265300
2020-04-24,555.0,555.0,529.25,532.1,995741
2020-04-27,541.0,549.0,534.45,541.65,620570
2020-04-28,547.5,557.0,544.0,545.55,896837
2020-04-29,555.0,556.8,536.4,540.2,1082273
2020-04-30,550.0,572.25,544.0,570.85,1318693
2020-05-04,550.0,558.5,527.0,550.85,1230603
2020-05-05,551.0,577.9,548.35,565.25,2404713
2020-05-06,565.5,572.0,543.65,563.5,922190
2020-05-07,551.5,576.5,551.5,557.2,930606
2020-05-08,558.0,574.0,539.3,544.3,2048760
2020-05-11,544.35,573.85,544.35,568.55,2092275
2020-05-12,570.0,584.0,552.85,558.65,3302796
2020-05-13,582.0,582.0,563.7,568.9,1570468
2020-05-14,560.4,571.6,548.5,552.5,1251172
2020-05-15,555.0,578.0,550.0,572.85,1834188
2020-05-18,575.85,581.45,536.0,540.1,2311174
2020-05-19,552.0,571.45,540.55,564.9,1649070
2020-05-20,560.05,572.0,551.2,569.0,1485073
2020-05-21,562.5,599.6,562.5,596.4,3082821
2020-05-22,600.0,613.5,586.9,592.55,4067306
2020-05-26,592.55,609.0,592.55,605.3,1428639
2020-05-27,608.0,614.0,598.55,611.2,1277069
2020-05-28,615.2,618.7,611.2,614.4,735739
2020-05-29,612.4,623.95,603.0,614.6,2114778
2020-06-01,630.0,655.7,630.0,652.4,2905199
2020-06-02,656.8,678.5,656.65,665.15,2959113
2020-06-03,677.5,677.5,646.2,650.6,1696637
2020-06-04,652.45,666.0,651.05,660.55,1786284
2020-06-05,665.05,673.35,658.5,670.8,1232201
2020-06-08,682.9,685.75,657.3,662.75,897741
2020-06-09,662.75,668.0,652.1,656.8,1372187
2020-06-10,656.05,666.0,652.5,662.5,441436
2020-06-11,662.5,665.9,639.05,640.9,631887
2020-06-12,601.1,661.0,601.1,656.7,804320
2020-06-15,649.0,661.5,637.7,645.0,698411
2020-06-16,652.0,672.0,652.0,666.9,1886933
2020-06-17,669.35,689.35,660.8,672.85,2339352
2020-06-18,673.0,683.0,665.15,679.4,875072
2020-06-19,679.4,685.4,669.75,673.5,856687
2020-06-22,675.0,681.9,658.8,666.6,847392
2020-06-23,674.9,674.9,658.0,661.6,905750
2020-06-24,665.0,675.0,652.0,655.6,1259716
2020-06-25,656.0,657.9,635.0,640.25,1257209
2020-06-26,642.9,651.55,640.85,647.85,838124
2020-06-29,647.95,650.0,635.8,641.3,791145
2020-06-30,643.1,655.9,643.1,650.4,1107993
2020-07-01,650.4,665.95,648.9,660.6,1091795
2020-07-02,659.05,688.0,656.25,683.65,1424244
2020-07-03,689.75,702.5,686.15,690.6,2882466
2020-07-06,690.6,715.6,682.5,712.1,1504810
2020-07-07,715.0,718.95,700.0,707.65,1146228
2020-07-08,707.0,714.0,693.0,698.35,755956
2020-07-09,697.0,703.9,692.55,698.05,355422
2020-07-10,693.0,699.7,690.25,696.55,485941
2020-07-13,697.0,712.4,694.1,698.2,792988
2020-07-14,700.75,705.0,686.5,695.9,1058592
2020-07-15,697.15,704.0,676.95,680.6,1088457
2020-07-16,680.0,686.45,663.95,683.7,749477
2020-07-17,675.0,702.95,675.0,697.55,926748
2020-07-20,705.0,713.6,700.0,703.75,855163
2020-07-21,707.0,722.5,699.0,704.25,1726256
2020-07-22,704.25,717.0,687.15,698.3,1473686
2020-07-23,697.95,714.85,695.5,712.65,585156
2020-07-24,712.5,717.0,703.8,708.1,861753
2020-07-27,706.9,707.25,678.0,684.75,918250
2020-07-28,686.9,696.2,680.3,692.8,576313
2020-07-29,696.0,701.9,675.1,678.5,871711
2020-07-30,682.5,703.7,679.15,698.75,1188165
2020-07-31,703.75,713.65,695.25,709.2,1195579
2020-08-03,713.0,733.5,707.0,711.6,2366255
2020-08-04,717.0,730.95,702.3,711.75,1575188
2020-08-05,716.4,724.0,711.0,716.2,504214
2020-08-06,720.5,724.35,711.0,721.85,647781
2020-08-07,723.0,727.25,713.5,718.15,688883
