Date,Open,High,Low,Close,Volume
2020-04-01,19.05,19.6,17.6,18.1,74202456
2020-04-03,18.1,18.1,16.5,16.6,75112312
2020-04-07,17.5,17.9,16.2,17.45,98339994
2020-04-08,17.45,21.4,16.9,19.45,153635536
2020-04-09,20.0,20.5,19.55,20.35,79093862
2020-04-13,20.4,21.1,19.8,20.55,83697662
2020-04-15,20.8,23.2,20.7,20.9,120619228
2020-04-16,20.6,21.45,20.3,21.0,59663394
2020-04-17,22.2,22.3,21.4,22.0,55170142
2020-04-20,22.25,22.5,21.25,21.5,76101038
2020-04-21,20.1,20.6,19.5,19.6,47476294
2020-04-22,19.6,20.2,19.3,20.0,49507356
2020-04-23,20.5,21.1,20.35,20.9,37523048
2020-04-24,20.5,20.7,19.8,20.0,30088430
2020-04-27,20.4,20.6,19.5,19.7,40456038
2020-04-28,20.1,20.3,19.4,19.8,37069156
2020-04-29,20.1,21.9,19.8,21.5,84289520
2020-04-30,22.1,24.1,22.1,23.7,112720016
2020-05-04,22.55,23.25,21.65,22.2,65775266
2020-05-05,22.4,22.95,21.5,21.7,82113144
2020-05-06,21.8,22.25,21.1,21.3,57683178
2020-05-07,21.2,22.0,20.4,20.6,42808570
2020-05-08,21.2,22.15,20.6,21.05,61825916
2020-05-11,21.3,22.2,20.8,21.9,105244828
2020-05-12,21.9,22.1,20.85,21.8,48868408
2020-05-13,23.5,23.5,21.6,21.9,96004884
2020-05-14,21.5,22.3,21.2,22.2,49342770
2020-05-15,22.2,22.2,21.0,21.1,60027472
2020-05-18,21.1,21.2,18.8,19.45,85723288
2020-05-19,19.7,20.15,18.95,19.05,53866182
2020-05-20,19.05,19.3,18.7,19.2,52046422
2020-05-21,19.2,20.8,19.05,20.6,85037984
2020-05-22,20.35,20.4,19.2,19.3,59158260
2020-05-26,19.5,19.8,19.1,19.3,51951602
2020-05-27,19.4,19.6,19.0,19.1,60359330
2020-05-28,19.4,19.9,19.1,19.7,80238176
2020-05-29,19.4,19.7,18.5,18.75,323798914
2020-06-01,19.45,21.2,19.3,20.7,171049448
2020-06-02,20.7,21.6,20.0,21.4,117239726
2020-06-03,21.8,22.1,20.9,21.1,79073452
2020-06-04,21.1,21.1,20.15,20.4,103598462
2020-06-05,20.7,22.05,20.3,21.7,173257610
2020-06-08,22.5,24.7,22.35,24.05,254014638
2020-06-09,24.8,25.2,22.6,22.9,148939786
2020-06-10,23.0,24.1,22.9,23.9,107148486
2020-06-11,23.6,23.7,22.9,23.1,80750442
2020-06-12,21.1,23.9,21.1,23.7,96200920
2020-06-15,23.7,24.4,23.05,23.4,82436212
2020-06-16,24.05,24.1,22.4,22.95,70156286
2020-06-17,22.8,23.2,22.3,22.8,38957358
2020-06-18,22.7,23.2,22.6,23.1,35098648
2020-06-19,23.2,25.0,23.1,24.7,120635286
2020-06-22,24.75,25.4,24.4,24.8,76823398
2020-06-23,25.1,25.8,24.35,25.65,88155998
2020-06-24,26.0,26.8,24.35,24.6,118641522
2020-06-25,24.5,24.9,23.8,24.25,94393306
2020-06-26,25.0,25.3,23.4,23.75,151551314
2020-06-29,23.35,23.45,21.75,21.8,152286534
2020-06-30,22.1,22.5,20.85,21.0,123528506
2020-07-01,21.3,21.8,20.95,21.6,105140522
2020-07-02,21.65,22.25,21.5,22.1,84530072
2020-07-03,22.3,22.3,21.75,22.1,53897752
2020-07-06,22.4,23.5,22.25,23.4,116274258
2020-07-07,23.5,23.85,22.95,23.5,88998052
2020-07-08,23.6,24.2,23.3,23.5,110087634
2020-07-09,23.8,23.9,23.4,23.6,46083064
2020-07-10,23.3,23.6,22.8,23.1,57966766
2020-07-13,23.3,23.75,22.8,22.9,45838932
2020-07-14,23.0,23.0,21.9,22.7,63119114
2020-07-15,22.7,23.0,22.0,22.2,53613744
2020-07-16,22.2,22.8,21.7,22.6,46477372
2020-07-17,22.95,23.8,22.7,23.4,71360484
2020-07-20,23.6,23.9,23.15,23.3,62824032
2020-07-21,23.55,24.1,23.4,23.75,70679980
2020-07-22,23.75,23.8,23.0,23.35,54201058
2020-07-23,23.3,23.8,23.0,23.5,28925900
2020-07-24,23.25,23.9,22.5,22.7,76519282
2020-07-27,23.0,23.0,22.0,22.2,43110228
2020-07-28,22.2,23.25,22.2,23.1,79205124
2020-07-29,23.0,23.5,22.85,23.1,53742154
2020-07-30,23.15,23.3,22.0,22.1,60342204
2020-07-31,22.15,22.2,21.5,21.85,49294614
2020-08-03,22.0,22.8,21.85,22.2,76031980
2020-08-04,22.4,22.65,22.2,22.3,44493696
2020-08-05,22.5,22.6,21.95,22.0,63350670
2020-08-06,22.3,22.35,21.95,22.05,40779240
2020-08-07,22.1,22.7,21.95,22.5,57605544
2020-08-10,22.8,23.45,22.7,23.2,66105280
2020-08-11,23.5,23.7,22.8,23.6,66954786
2020-08-12,23.6,24.6,23.5,24.5,104144204
2020-08-13,24.0,28.5,23.7,28.1,490019966
2020-08-14,28.5,30.2,27.65,28.3,326485092
2020-08-17,28.8,29.8,27.6,28.9,140676458
2020-08-18,29.0,32.0,29.0,31.8,204510162
2020-08-19,32.2,33.1,31.1,32.15,278752046
2020-08-20,31.6,33.6,31.2,33.2,171869636
2020-08-21,33.5,33.8,32.0,32.2,101326264
2020-08-24,32.2,32.5,31.4,31.7,70954200
2020-08-25,32.15,32.7,31.6,32.5,75039148
2020-08-26,32.8,33.25,32.5,33.05,56317782
2020-08-27,33.25,34.3,33.1,33.8,86446934
2020-08-28,33.8,34.2,32.6,32.8,76804200
