Date,Open,High,Low,Close,Volume
2020-04-01,456.0,466.75,446.0,450.2,7577720
2020-04-03,456.0,464.6,443.0,451.05,7223160
2020-04-07,462.0,481.9,432.9,472.5,11307380
2020-04-08,457.5,495.0,453.8,460.85,11130570
2020-04-09,470.5,484.8,466.2,482.0,8642220
2020-04-13,484.4,484.4,446.95,449.15,8917090
2020-04-15,455.1,466.4,448.0,459.9,9830710
2020-04-16,457.0,476.0,450.9,469.95,7473540
2020-04-17,487.6,513.6,485.5,499.95,13522230
2020-04-20,508.6,509.0,472.05,488.2,9031570
2020-04-21,474.9,474.9,457.5,459.5,6709440
2020-04-22,458.5,481.55,448.5,477.55,7921580
2020-04-23,480.0,485.8,470.5,472.95,6918380
2020-04-24,467.5,467.5,436.5,439.0,10220430
2020-04-27,443.0,467.0,428.8,461.75,11338880
2020-04-28,469.1,491.0,458.1,486.2,15204280
2020-04-29,486.5,507.0,482.25,499.85,15235280
2020-04-30,510.8,517.5,505.1,510.45,10644090
2020-05-04,492.2,494.0,472.0,476.25,8107090
2020-05-05,489.0,492.0,461.0,462.9,8158890
2020-05-06,464.7,479.0,454.2,469.3,12628300
2020-05-07,467.8,479.6,464.0,467.35,6454310
2020-05-08,476.8,477.85,457.75,460.1,4885870
2020-05-11,468.75,471.75,454.0,455.8,5852300
2020-05-12,452.8,471.6,445.55,466.8,10188930
2020-05-13,494.8,505.0,477.8,481.65,6987550
2020-05-14,477.0,493.8,472.0,479.0,7928680
2020-05-15,479.2,483.35,470.1,472.3,3951240
2020-05-18,472.45,473.9,445.1,446.55,6469420
2020-05-19,452.0,459.5,443.3,453.55,5741510
2020-05-20,454.8,474.0,452.15,470.2,5828850
2020-05-21,472.5,474.25,451.5,453.9,10926210
2020-05-22,450.9,457.85,408.7,431.55,27250180
2020-05-26,436.0,440.0,405.2,409.7,15758200
2020-05-27,410.0,427.7,398.55,425.8,24986930
2020-05-28,425.0,432.5,421.2,428.6,12472570
2020-05-29,424.0,442.9,420.15,440.5,13944300
2020-06-01,450.0,484.55,447.65,476.3,21106310
2020-06-02,479.4,523.8,474.25,518.45,26933750
2020-06-03,534.4,553.0,521.7,528.6,24126240
2020-06-04,528.9,533.6,506.8,513.7,19944890
2020-06-05,516.2,528.5,509.6,523.65,15139320
2020-06-08,536.0,549.5,536.0,544.1,13966310
2020-06-09,550.0,552.4,525.0,531.1,11634340
2020-06-10,531.1,534.4,516.0,522.3,11622570
2020-06-11,520.0,528.5,513.0,515.8,10573330
2020-06-12,490.0,533.9,490.0,528.6,16552630
2020-06-15,528.1,528.1,507.65,510.35,10234910
2020-06-16,525.0,527.0,498.05,512.85,11691030
2020-06-17,503.6,513.0,500.8,503.7,10498740
2020-06-18,503.7,549.9,502.15,542.75,18062080
2020-06-19,545.0,597.05,544.4,590.0,35955720
2020-06-22,596.9,635.0,596.0,618.35,25140210
2020-06-23,627.5,638.2,609.1,631.95,19812860
2020-06-24,645.5,645.5,598.05,604.6,18864910
2020-06-25,596.6,612.5,592.0,602.1,19003160
2020-06-26,608.9,613.35,587.0,594.65,10672470
2020-06-29,583.2,593.75,575.15,589.0,10102740
2020-06-30,599.0,604.35,581.6,584.5,9766740
2020-07-01,581.8,619.5,580.25,616.95,17242440
2020-07-02,620.0,626.7,611.25,618.9,15292520
2020-07-03,622.0,623.85,612.8,614.95,8330770
2020-07-06,621.7,632.1,616.1,628.5,12202980
2020-07-07,632.3,662.95,627.5,658.95,20073540
2020-07-08,660.0,668.0,637.0,640.55,14003670
2020-07-09,643.05,663.8,637.5,656.9,13227990
2020-07-10,651.5,664.5,644.1,648.4,12206430
2020-07-13,657.4,659.25,640.0,646.15,8107260
2020-07-14,646.0,646.0,621.1,624.35,11287150
2020-07-15,632.0,644.0,610.3,616.85,9813940
2020-07-16,620.0,628.0,606.5,626.5,8304220
2020-07-17,630.0,638.3,628.0,636.15,5700410
2020-07-20,640.0,663.5,638.0,662.0,12218900
2020-07-21,668.9,671.0,633.85,638.45,18625220
2020-07-22,659.9,659.9,627.1,634.75,21580540
2020-07-23,637.0,645.5,631.3,638.15,9248500
2020-07-24,630.8,635.5,622.5,627.05,8747190
2020-07-27,627.9,631.5,613.6,617.3,6562080
