Date,Open,High,Low,Close,Volume
2020-04-01,44.85,45.19,41.76,42.2,16340613
2020-04-03,42.2,42.24,39.54,39.73,20739757
2020-04-07,41.23,41.86,38.76,39.2,25467272
2020-04-08,39.05,42.44,38.38,39.39,27159204
2020-04-09,40.02,42.82,39.83,41.86,26081928
2020-04-13,41.86,42.15,39.73,40.84,14157206
2020-04-15,41.18,42.82,39.54,39.97,20243132
2020-04-16,40.17,41.18,39.3,40.6,19193391
2020-04-17,42.2,43.26,40.07,41.18,35113747
2020-04-20,41.95,44.08,40.65,42.15,47815278
2020-04-21,40.79,40.99,39.44,39.59,23452461
2020-04-22,39.54,39.78,38.09,39.34,26228382
2020-04-23,39.63,40.21,39.05,39.49,16711767
2020-04-24,38.72,39.05,37.22,37.46,18988577
2020-04-27,38.33,38.86,37.65,37.85,17015660
2020-04-28,38.09,38.57,37.8,38.38,17324240
2020-04-29,38.62,39.68,38.28,39.15,26517815
2020-04-30,40.02,42.2,39.44,40.21,41912287
2020-05-04,39.05,39.05,36.64,36.98,23190611
2020-05-05,37.6,37.6,34.99,35.19,26004754
2020-05-06,35.19,35.38,33.06,33.54,33143287
2020-05-07,33.25,34.46,32.87,33.74,17318857
2020-05-08,34.22,34.56,32.29,32.38,19319628
2020-05-11,33.11,33.11,31.85,32.29,19453329
2020-05-12,31.9,32.82,30.69,32.34,24650912
2020-05-13,35.19,36.3,33.45,35.33,57646491
2020-05-14,34.8,36.06,34.08,34.37,26197647
2020-05-15,34.37,34.8,32.67,32.87,24229616
2020-05-18,32.77,32.96,29.73,29.97,35350236
2020-05-19,30.35,30.64,27.74,27.94,43613740
2020-05-20,27.6,28.61,27.45,28.08,28593606
2020-05-21,28.37,30.45,28.03,28.95,53394024
2020-05-22,29.1,30.6,28.18,28.86,51975877
2020-05-26,29.24,29.73,28.13,28.52,33532219
2020-05-27,28.71,30.26,28.18,29.87,43372765
2020-05-28,29.92,31.27,29.68,29.97,51181791
2020-05-29,29.82,30.5,28.9,30.31,33859214
2020-06-01,31.03,34.03,30.74,33.69,78512223
2020-06-02,33.98,34.32,32.63,33.35,45380613
2020-06-03,34.12,36.25,33.54,34.37,73277842
2020-06-04,34.61,36.25,33.54,34.03,72267603
2020-06-05,34.46,38.09,34.37,37.6,77982876
2020-06-08,39.05,40.02,36.54,36.88,74318859
2020-06-09,36.88,38.62,35.57,36.93,71125810
2020-06-10,36.83,38.47,36.69,38.09,44737464
2020-06-11,38.28,39.01,36.15,36.3,53651971
2020-06-12,33.25,36.73,33.11,36.59,44355747
2020-06-15,36.35,37.41,34.85,37.07,50670538
2020-06-16,38.09,38.47,34.95,36.01,48131046
2020-06-17,35.67,36.78,35.04,36.06,39635625
2020-06-18,35.96,37.56,35.72,37.07,30460778
2020-06-19,37.56,38.57,37.02,38.14,48159332
2020-06-22,38.62,41.08,38.47,40.41,65558940
2020-06-23,41.57,42.0,40.5,41.47,64519345
2020-06-24,45.63,45.63,42.05,42.53,135178756
2020-06-25,41.95,43.89,41.08,42.92,63334346
2020-06-26,43.79,43.98,42.44,42.78,36651763
2020-06-29,42.44,42.44,39.97,40.26,33620836
2020-06-30,40.79,41.28,39.34,39.63,24094805
2020-07-01,39.68,42.63,39.25,42.34,56378625
2020-07-02,42.49,43.31,41.52,42.44,48639045
2020-07-03,42.53,42.78,41.52,41.71,26626325
2020-07-06,41.95,42.92,41.86,42.39,28186246
2020-07-07,42.34,42.34,40.7,41.76,36427755
2020-07-08,41.76,44.95,41.71,43.65,96884916
2020-07-09,43.89,44.37,42.82,43.69,37524641
2020-07-10,43.07,44.23,41.86,42.53,36913436
2020-07-13,42.92,43.36,41.13,41.52,31368155
2020-07-14,41.28,41.28,39.15,40.02,35213352
2020-07-15,40.5,40.89,38.28,38.62,31647989
2020-07-16,39.05,39.39,37.99,39.15,22261907
2020-07-17,39.3,40.7,39.1,40.41,23124544
2020-07-20,40.46,41.28,39.44,39.68,33227141
2020-07-21,40.46,40.84,39.73,40.41,26867428
2020-07-22,40.5,40.94,39.39,39.73,27424762
2020-07-23,39.92,40.65,39.54,40.26,23215501
2020-07-24,39.63,40.12,38.76,39.63,21490405
2020-07-27,39.63,39.63,37.65,37.75,25755306
2020-07-28,37.89,38.33,37.07,37.89,20236662
2020-07-29,38.09,39.68,37.94,38.43,32650844
2020-07-30,38.76,38.96,36.83,37.07,24738511
2020-07-31,37.12,38.28,36.59,37.89,31805020
2020-08-03,37.56,38.57,37.31,37.94,20459853
2020-08-04,38.09,38.28,37.02,37.6,24687343
2020-08-05,37.8,38.52,37.36,37.46,25599111
2020-08-06,37.89,38.14,37.02,37.36,25765184
2020-08-07,37.51,39.88,37.22,39.39,37147126
2020-08-10,39.97,40.26,38.96,39.59,28220299
2020-08-11,38.09,39.44,37.8,38.18,36466171
2020-08-12,38.67,40.89,38.28,39.63,73914810
2020-08-13,39.83,40.02,38.86,39.15,21612267
2020-08-14,39.54,39.54,36.93,37.22,40561827
2020-08-17,37.8,37.85,36.78,37.27,26149211
2020-08-18,37.51,37.75,36.78,37.6,34889564
2020-08-19,37.8,38.81,37.7,38.67,27392710
2020-08-20,38.23,39.05,37.51,38.52,22312375
2020-08-21,39.01,39.88,38.76,39.39,22911875
2020-08-24,39.73,39.83,38.57,39.39,39209571
2020-08-25,39.63,40.5,39.49,39.73,42069294
2020-08-26,39.59,40.12,39.2,39.49,24378055
2020-08-27,39.83,40.5,39.59,39.73,34037255
2020-08-28,40.07,43.11,39.92,42.53,101656705
2020-08-31,44.37,44.81,39.1,39.97,54489680
2020-09-01,40.5,40.79,37.94,38.62,43888630
2020-09-02,38.86,39.3,37.8,38.33,32628864
2020-09-03,38.86,39.01,38.14,38.38,20869935
2020-09-04,37.8,38.14,36.88,37.02,37394928
2020-09-07,37.12,37.6,36.15,37.31,30300185
2020-09-08,37.41,37.56,36.2,36.4,26695546
2020-09-09,35.96,35.96,34.99,35.53,19912040
2020-09-10,35.96,36.93,35.77,36.73,17529918
2020-09-11,36.64,37.22,36.44,37.07,13134359
2020-09-14,37.27,37.75,37.12,37.27,15548159
2020-09-15,37.36,37.8,36.78,37.65,12525342
2020-09-16,37.65,37.8,36.98,37.56,10519165
2020-09-17,36.93,37.41,36.64,36.73,12133544
2020-09-18,36.98,37.02,36.06,36.2,14231696
2020-09-21,36.44,36.44,33.74,34.08,23385146
2020-09-22,33.88,34.17,32.14,33.54,26903199
2020-09-23,33.93,34.03,32.14,32.82,23937793
2020-09-24,32.05,32.48,30.98,31.18,21990482
2020-09-25,31.51,33.11,30.84,32.82,21522723
2020-09-28,33.35,34.66,32.92,34.56,21365403
2020-09-29,34.61,34.8,32.0,32.63,31387377
2020-09-30,32.92,32.92,31.61,32.34,32131398
2020-10-01,32.63,33.83,32.63,33.21,21969216
2020-10-05,33.35,34.03,32.67,32.82,21951328
2020-10-06,33.06,33.5,32.09,33.3,29879396
2020-10-07,33.25,33.5,32.58,32.77,13209472
2020-10-08,33.11,34.66,32.87,33.83,29261228
2020-10-09,33.74,35.62,33.21,35.48,27478318
2020-10-12,35.57,36.69,32.48,33.06,36832859
2020-10-13,33.06,33.4,32.48,32.58,19646632
2020-10-14,32.77,33.5,31.66,33.3,17707254
2020-10-15,33.16,33.98,31.32,31.66,22011058
2020-10-16,32.0,32.38,31.22,31.61,18306969
2020-10-19,32.29,35.04,31.85,34.8,43038518
2020-10-20,34.27,34.46,32.72,33.11,38022299
2020-10-21,33.45,34.51,32.92,33.79,30555633
2020-10-22,33.64,34.41,33.11,34.08,27573809
2020-10-23,34.12,34.85,34.03,34.37,27661346
2020-10-26,34.27,34.95,33.79,33.93,33556100
2020-10-27,33.93,34.32,32.77,34.12,21932535
2020-10-28,34.03,34.41,32.92,33.25,20411304
2020-10-29,33.01,34.66,32.34,34.17,37139036
2020-10-30,34.46,34.66,32.63,32.96,45666121
2020-11-02,33.35,36.4,33.11,36.01,61695399
2020-11-03,35.77,36.88,34.99,36.2,38365746
2020-11-04,35.91,36.44,34.61,36.2,35144741
2020-11-05,36.44,37.65,36.2,36.88,31843085
2020-11-06,36.73,37.51,36.25,36.93,25675306
2020-11-09,37.46,38.47,37.12,37.85,30062307
2020-11-10,38.09,39.83,37.6,39.25,39007158
2020-11-11,39.34,39.92,37.8,38.28,35470779
2020-11-12,38.18,38.33,36.54,36.78,30619367
2020-11-13,36.59,37.85,35.57,37.65,26724684
2020-11-14,38.23,38.28,37.51,37.75,2862425
2020-11-17,37.8,38.96,37.8,38.62,21494471
2020-11-18,38.23,40.89,38.09,40.6,52946624
2020-11-19,40.36,40.36,38.72,39.01,27880377
2020-11-20,39.01,39.34,38.28,38.62,17592043
2020-11-23,38.91,39.25,37.8,37.99,20454971
2020-11-24,38.28,38.52,37.12,37.94,31404794
2020-11-25,38.62,41.66,38.38,40.07,95600102
2020-11-26,40.12,42.44,39.3,42.1,55805690
2020-11-27,42.1,43.4,41.57,42.29,61204165
2020-12-01,42.49,45.05,42.1,44.61,58316841
2020-12-02,44.81,46.06,43.94,44.95,61231380
2020-12-03,45.48,49.4,45.19,49.01,88098471
2020-12-04,49.59,50.41,47.37,49.74,73822092
2020-12-07,49.88,51.62,49.2,50.8,63605512
2020-12-08,50.8,56.6,50.56,55.68,134428758
2020-12-09,57.76,58.0,54.71,56.07,115081316
2020-12-10,55.44,57.23,53.46,56.79,69017267
2020-12-11,56.79,58.63,55.49,55.92,73246944
2020-12-14,56.79,57.9,56.6,57.42,40028589
2020-12-15,57.57,58.48,55.97,57.57,43111626
2020-12-16,58.1,58.29,56.12,56.84,33186305
2020-12-17,56.84,57.57,53.89,54.33,39697753
2020-12-18,54.47,54.76,52.59,53.65,38450486
2020-12-21,52.83,54.04,47.56,49.49,50895629
2020-12-22,48.87,50.65,46.98,49.49,52670734
2020-12-23,49.49,51.43,49.06,51.19,32358417
2020-12-24,51.67,53.8,51.23,51.48,39083563
2020-12-28,52.1,53.51,51.86,52.97,27299489
2020-12-29,53.55,54.71,52.68,52.93,41508873
2020-12-30,53.55,53.8,51.38,52.68,33108560
2020-12-31,52.68,53.12,51.77,52.06,22488846
2021-01-01,52.39,55.29,52.2,55.0,43369915
2021-01-04,55.58,56.74,54.81,56.26,40279407
2021-01-05,55.68,56.7,55.29,56.07,31735002
2021-01-06,56.45,58.1,55.2,55.97,47643226
2021-01-07,56.94,57.42,56.21,56.6,27985323
2021-01-08,57.42,57.57,55.78,56.02,22794827
2021-01-11,56.45,56.6,54.28,54.76,23307584
2021-01-12,54.42,61.96,53.65,61.05,81300070
2021-01-13,62.25,66.12,60.37,65.4,127567552
2021-01-14,65.49,67.96,64.86,66.31,73557480
2021-01-15,66.6,67.86,63.08,65.3,61065625
2021-01-18,65.59,67.18,62.3,63.27,58500838
2021-01-19,63.66,66.07,63.41,65.88,36969600
2021-01-20,65.98,70.28,65.2,69.46,61542233
2021-01-21,70.13,70.76,65.3,66.41,53482170
2021-01-22,66.27,67.43,63.22,63.56,45531180
2021-01-25,64.77,66.27,60.71,64.04,53420249
2021-01-27,63.75,65.64,62.25,64.24,72480794
2021-01-28,62.69,63.03,55.0,57.18,153754944
2021-01-29,58.34,60.47,56.84,58.44,72845577
2021-02-01,59.31,64.57,58.1,64.09,88439891
2021-02-02,65.15,67.04,63.56,64.82,73020753
2021-02-03,65.54,68.88,63.7,67.18,65076252
2021-02-04,67.18,72.98,66.22,71.97,95917593
2021-02-05,73.56,78.69,71.63,72.4,121275419
2021-02-08,73.37,74.92,70.08,70.91,44535603
2021-02-09,71.34,73.03,68.97,70.18,56527410
2021-02-10,70.08,71.05,68.05,69.7,43516962
2021-02-11,69.65,71.15,66.94,67.28,65851076
2021-02-12,67.52,69.5,67.09,68.39,48490727
2021-02-15,69.12,70.66,68.63,69.55,39681236
2021-02-16,70.37,71.68,68.63,69.7,44803164
2021-02-17,69.6,75.3,69.17,74.05,109833018
2021-02-18,75.3,86.13,74.24,85.12,256891275
2021-02-19,85.41,89.18,78.35,80.81,184205581
2021-02-22,81.01,83.28,78.49,79.22,75628484
2021-02-23,79.94,81.2,75.84,76.61,68592567
2021-02-24,77.14,79.94,76.17,78.06,40874043
2021-02-25,79.56,80.28,78.69,79.61,52500068
2021-02-26,76.66,76.95,74.82,75.21,87811972
2021-03-01,75.21,76.13,72.79,73.23,51758155
2021-03-02,73.85,75.06,72.94,73.18,39147694
2021-03-03,73.95,76.66,73.95,75.4,55604904
2021-03-04,74.82,77.53,74.0,75.59,62171034
2021-03-05,75.01,75.59,69.5,70.62,100394468
2021-03-08,71.92,73.37,70.66,71.15,49714873
2021-03-09,71.92,72.55,68.68,70.28,35236058
2021-03-10,71.29,71.82,69.65,69.99,36342485
2021-03-12,70.71,70.86,66.7,67.43,54547934
2021-03-15,68.01,69.7,66.12,68.88,74971698
2021-03-16,69.5,69.94,66.51,68.88,65198270
2021-03-17,68.73,69.02,64.43,65.01,47739117
2021-03-18,66.02,67.04,61.19,62.21,61825454
2021-03-19,61.14,64.53,59.89,63.9,63657565
2021-03-22,63.99,64.82,62.01,62.69,43215479
2021-03-23,63.12,65.98,63.03,64.43,66644024
2021-03-24,64.53,65.3,61.63,62.06,53558041
2021-03-25,62.25,62.54,58.39,60.37,57493782
2021-03-26,61.67,62.16,60.51,61.05,34963255
2021-03-30,62.16,64.38,61.14,62.5,83791986
2021-03-31,62.35,65.59,61.96,64.28,54265324
2021-04-01,64.96,66.12,63.7,65.73,38540206
2021-04-05,65.25,65.78,61.09,62.93,37343942
2021-04-06,63.12,64.48,62.06,63.08,38056228
2021-04-07,63.12,65.69,62.5,64.28,40294171
2021-04-08,64.57,65.73,63.46,63.7,38186842
2021-04-09,63.61,67.47,63.12,64.19,57888088
2021-04-12,62.25,62.25,53.8,56.55,77084143
2021-04-13,57.57,59.64,56.74,59.26,49363120
2021-04-15,58.15,59.74,56.74,58.68,51164588
2021-04-16,58.68,59.84,57.47,57.76,36225190
2021-04-19,55.49,55.49,53.07,54.33,49914615
2021-04-20,55.44,56.26,53.26,53.8,36714142
2021-04-22,52.64,54.71,52.35,53.6,45762152
2021-04-23,53.17,55.44,53.07,53.51,45619019
2021-04-26,54.04,54.96,53.75,54.09,34891753
2021-04-27,54.42,56.02,54.09,55.78,45483876
2021-04-28,56.45,58.53,56.21,58.15,47954929
2021-04-29,58.82,60.08,56.99,57.28,50981272
2021-04-30,55.87,58.77,55.54,57.18,51182287
2021-05-03,56.41,57.37,54.86,57.08,44344732
2021-05-04,57.61,63.17,57.47,60.71,117824041
2021-05-05,62.35,63.17,61.14,62.59,66540783
2021-05-06,63.22,63.22,60.42,60.95,38260232
2021-05-07,61.38,61.96,60.18,60.85,26413730
2021-05-10,61.63,64.57,61.0,63.66,50589470
2021-05-11,62.74,64.77,61.43,64.24,56166002
2021-05-12,64.24,69.94,64.09,67.47,128513179
2021-05-14,68.34,69.55,63.56,64.19,86863950
2021-05-17,64.96,67.81,63.99,67.18,73000338
2021-05-18,68.44,68.63,66.41,66.85,53617303
2021-05-19,66.7,68.3,66.27,66.8,54818016
2021-05-20,67.09,67.67,66.02,66.6,57767243
