Date,Open,High,Low,Close,Volume
2020-04-01,1238.75,1249.0,1170.0,1189.7,503551
2020-04-03,1201.9,1215.0,1146.3,1190.75,737772
2020-04-07,1232.0,1282.8,1202.45,1246.4,901621
2020-04-08,1246.5,1339.0,1228.0,1240.05,1346088
2020-04-09,1260.0,1280.0,1219.0,1242.45,981112
2020-04-13,1240.0,1242.45,1154.2,1191.8,1193225
2020-04-15,1199.0,1245.0,1189.15,1203.75,1088202
2020-04-16,1191.25,1243.95,1152.65,1229.55,1351651
2020-04-17,1255.0,1287.95,1202.55,1239.1,1457555
2020-04-20,1239.9,1249.5,1202.9,1207.65,790595
2020-04-21,1180.0,1208.0,1158.0,1200.4,1824989
2020-04-22,1180.0,1223.85,1170.0,1215.55,1432117
2020-04-23,1215.0,1280.8,1211.05,1269.7,2260917
2020-04-24,1258.0,1313.0,1230.0,1239.55,3094827
2020-04-27,1248.8,1298.0,1245.0,1290.2,1572375
2020-04-28,1309.8,1344.0,1296.3,1324.2,2271914
2020-04-29,1348.0,1354.0,1327.85,1338.15,1270468
2020-04-30,1355.0,1382.0,1320.0,1365.15,1561853
2020-05-04,1318.0,1346.25,1306.0,1313.3,988502
2020-05-05,1330.0,1341.95,1257.0,1265.25,1112032
2020-05-06,1270.0,1318.0,1245.65,1306.8,1180629
2020-05-07,1313.9,1314.0,1273.5,1278.45,677378
2020-05-08,1291.85,1314.6,1286.5,1293.1,740511
2020-05-11,1320.0,1334.9,1301.3,1321.0,1364779
2020-05-12,1310.0,1329.55,1286.05,1323.75,614808
2020-05-13,1350.0,1392.0,1328.2,1384.6,1343211
2020-05-14,1370.0,1385.8,1355.2,1364.0,714738
2020-05-15,1372.0,1372.0,1323.0,1335.0,882864
2020-05-18,1335.0,1337.95,1273.05,1282.25,1265790
2020-05-19,1282.35,1307.5,1263.65,1289.25,1229676
2020-05-20,1280.0,1333.85,1278.95,1325.0,784299
2020-05-21,1325.0,1342.8,1289.0,1301.3,806319
2020-05-22,1295.0,1322.0,1267.35,1274.7,1036091
2020-05-26,1260.0,1299.0,1230.0,1286.55,2297683
2020-05-27,1284.7,1329.0,1255.35,1320.85,1688613
2020-05-28,1310.05,1328.45,1292.25,1300.05,1388838
2020-05-29,1285.0,1337.8,1283.0,1325.6,1485617
2020-06-01,1339.9,1398.75,1335.0,1387.55,1450295
2020-06-02,1410.0,1439.25,1403.45,1433.1,2064231
2020-06-03,1448.0,1464.4,1399.25,1405.45,1221887
2020-06-04,1410.0,1418.85,1370.5,1394.65,1377354
2020-06-05,1394.65,1420.5,1385.0,1414.25,725101
