Date,Open,High,Low,Close,Volume
2020-04-01,431.9,431.9,404.8,413.6,9646910
2020-04-03,424.05,424.05,407.95,416.15,14419451
2020-04-07,425.15,476.8,425.15,461.55,15553787
2020-04-08,465.6,482.05,444.65,453.15,13639450
2020-04-09,462.3,483.25,462.3,479.7,11963073
2020-04-13,481.95,511.3,481.95,502.75,24416593
2020-04-15,524.1,526.05,495.75,501.1,26277431
2020-04-16,490.8,503.55,488.2,491.25,17402968
2020-04-17,501.6,503.05,489.0,493.2,16430425
2020-04-20,498.35,498.35,477.95,481.25,11688616
2020-04-21,475.1,494.5,470.3,491.3,15781859
2020-04-22,506.5,507.5,483.0,492.15,18447801
2020-04-23,492.6,497.95,482.0,486.85,12767415
2020-04-24,485.8,489.8,475.5,485.15,12161874
2020-04-27,488.85,493.8,482.05,484.95,10074374
2020-04-28,488.3,488.3,475.2,476.7,11729096
2020-04-29,481.9,489.2,478.05,486.85,8372224
2020-04-30,493.85,506.45,486.05,504.8,20170916
2020-05-04,493.2,530.05,490.7,522.7,34658193
2020-05-05,528.1,543.5,516.35,518.3,30498987
2020-05-06,521.95,541.3,520.3,535.95,26074949
2020-05-07,535.3,535.3,514.8,518.3,15823913
2020-05-08,530.05,535.75,518.55,520.3,13847768
2020-05-11,523.25,538.4,522.3,526.3,14490831
2020-05-12,523.2,553.6,520.7,549.55,23041221
2020-05-13,557.9,559.25,539.2,545.7,21510588
2020-05-14,540.95,552.15,525.25,529.9,13428371
2020-05-15,533.5,546.65,529.45,543.9,14758138
2020-05-18,546.65,548.7,525.35,528.15,21991337
2020-05-19,548.2,592.4,546.75,587.75,73259715
2020-05-20,593.85,600.7,577.75,583.1,36415523
2020-05-21,579.6,593.35,574.6,583.6,20673654
2020-05-22,586.0,586.4,576.2,582.25,11630644
2020-05-26,561.45,565.85,547.25,548.95,77933586
2020-05-27,550.65,555.15,543.65,552.7,22950981
2020-05-28,554.25,557.55,545.75,552.4,16575920
2020-05-29,547.7,553.6,533.8,542.4,55206664
2020-06-01,548.7,551.3,540.0,548.75,40025952
2020-06-02,552.6,561.75,545.85,547.8,32573956
2020-06-03,557.55,557.85,539.15,541.5,29783963
2020-06-04,542.1,574.6,539.4,561.9,30007980
2020-06-05,573.25,579.15,557.0,573.6,48773274
2020-06-08,577.15,582.75,568.55,574.35,20814238
2020-06-09,569.3,580.75,555.25,557.35,15219770
2020-06-10,560.5,565.4,552.65,556.65,19489672
2020-06-11,559.5,563.25,536.6,541.7,27805875
2020-06-12,530.05,551.65,530.05,549.8,19225063
2020-06-15,545.75,553.35,538.9,540.55,13839970
2020-06-16,547.7,549.0,527.1,534.85,19430755
2020-06-17,536.75,555.1,531.05,553.05,20916918
2020-06-18,553.85,562.35,547.9,550.55,19692752
2020-06-19,551.55,567.55,550.65,561.95,41925099
2020-06-22,565.2,577.15,559.9,570.35,12954530
2020-06-23,570.35,573.85,563.75,568.15,9945729
2020-06-24,570.3,571.25,544.75,547.1,12620033
2020-06-25,543.7,553.3,539.85,548.7,15882012
2020-06-26,549.7,555.95,546.9,550.05,11317618
2020-06-29,548.6,558.45,541.05,556.65,13163337
2020-06-30,561.45,566.35,547.15,549.55,13182062
2020-07-01,564.4,564.4,548.0,549.85,13895739
2020-07-02,554.4,556.55,547.3,548.15,13796737
2020-07-03,551.45,572.7,550.25,570.75,21007162
2020-07-06,576.75,578.45,564.45,565.95,16115180
2020-07-07,568.35,571.85,555.6,556.7,12759702
2020-07-08,561.45,563.4,548.7,550.95,9581341
2020-07-09,553.6,559.75,549.95,558.15,8611672
2020-07-10,558.6,568.35,555.25,564.1,13533470
2020-07-13,563.9,578.15,559.5,576.0,16661019
2020-07-14,573.75,585.8,567.9,578.5,32936089
2020-07-15,578.1,578.1,549.35,553.2,20063026
2020-07-16,555.45,555.75,543.1,552.4,11528908
2020-07-17,552.7,563.3,551.4,556.3,12189600
2020-07-20,560.5,571.75,557.15,565.15,9790608
2020-07-21,569.3,573.05,555.9,557.3,12005930
2020-07-22,557.55,564.9,552.45,558.65,11034529
2020-07-23,559.5,565.15,553.6,556.75,9719014
2020-07-24,554.6,556.95,545.15,549.15,9960676
2020-07-27,547.9,553.35,534.1,549.2,10895923
2020-07-28,548.2,563.65,545.05,554.2,14210314
2020-07-29,554.85,558.65,549.9,555.75,9980025
2020-07-30,565.4,569.75,533.05,542.5,45326575
2020-07-31,540.75,549.0,536.25,544.6,13918103
2020-08-03,544.3,546.25,536.35,537.25,9392852
2020-08-04,537.9,543.15,535.8,538.9,12035223
2020-08-05,541.85,550.15,536.5,548.65,12920599
2020-08-06,551.35,551.35,542.45,545.05,10621231
2020-08-07,545.75,553.0,541.9,550.45,7346291
2020-08-10,553.9,554.6,544.6,548.55,9594664
2020-08-11,547.7,550.15,540.05,540.95,8290741
2020-08-12,539.85,550.9,535.3,537.6,12614218
2020-08-13,524.15,538.2,514.6,525.5,37465010
2020-08-14,532.85,532.85,515.3,518.85,18551077
2020-08-17,520.75,522.7,508.55,511.8,19371348
2020-08-18,512.45,519.35,510.55,516.6,13771692
2020-08-19,519.25,529.95,517.4,525.95,17396090
2020-08-20,521.2,523.75,513.05,515.85,13692445
2020-08-21,520.05,520.05,506.5,510.65,22245559
2020-08-24,508.35,522.6,498.85,517.2,29714542
2020-08-25,524.65,525.8,516.3,518.9,19882463
2020-08-26,518.65,518.65,502.55,505.0,26392923
