Date,Open,High,Low,Close,Volume
2020-04-01,9399.0,9750.0,9070.6,9235.8,57719
2020-04-03,9150.0,9157.6,8710.0,8816.65,34591
2020-04-07,9020.5,9365.1,8900.0,9258.8,28486
2020-04-08,9019.6,9709.85,8978.15,9609.2,29889
2020-04-09,9760.0,10295.0,9694.95,10205.6,23791
2020-04-13,10299.95,10299.95,9845.0,10025.3,16241
2020-04-15,10060.2,10900.0,10060.2,10524.45,55034
2020-04-16,10500.0,10674.0,10117.4,10380.25,34921
2020-04-17,10799.8,10799.8,10353.05,10739.95,28346
2020-04-20,10800.0,11100.0,10499.0,10664.1,35034
2020-04-21,10355.05,10442.9,9900.0,10006.85,24156
2020-04-22,9800.0,10520.0,9800.0,10414.1,36578
2020-04-23,10495.0,10828.55,10460.3,10600.85,25489
2020-04-24,10470.0,10500.0,10100.0,10212.45,22577
2020-04-27,10399.9,10590.0,10050.0,10114.7,29015
2020-04-28,10260.0,10399.95,9910.1,9982.1,42651
2020-04-29,10150.0,10160.0,9960.0,10024.0,31297
2020-04-30,10199.0,10760.1,10113.55,10612.45,71220
2020-05-04,10255.0,10300.25,9885.0,9925.6,37610
2020-05-05,10168.0,10185.0,9850.0,9916.4,23771
2020-05-06,9980.0,10090.0,9722.2,9863.6,24152
2020-05-07,9860.0,10075.0,9799.0,9895.25,20333
2020-05-08,10100.0,10100.0,9750.1,9792.15,34107
2020-05-11,9868.0,9990.0,9801.65,9861.5,26023
2020-05-12,9825.0,9861.0,9652.55,9767.4,35394
2020-05-13,10001.05,10028.9,9632.0,9791.3,51558
2020-05-14,9740.0,9850.0,9454.05,9516.65,35712
2020-05-15,9550.05,9650.0,9385.05,9583.15,40890
2020-05-18,9640.0,9690.0,9030.0,9070.35,40942
2020-05-19,9118.1,9361.25,9072.05,9149.25,24817
2020-05-20,9199.0,9338.4,9098.0,9264.3,24356
2020-05-21,9280.0,9450.0,9200.0,9346.7,29393
2020-05-22,9339.0,9600.0,9230.0,9520.3,102227
2020-05-26,9570.0,9572.05,9250.05,9391.85,40025
2020-05-27,9395.05,9499.0,9251.2,9431.3,28681
2020-05-28,9467.0,9950.0,9410.65,9872.1,59908
2020-05-29,9762.0,9800.0,9472.0,9721.15,211975
2020-06-01,9800.0,10384.85,9800.0,10309.25,68856
2020-06-02,10390.0,10690.0,10255.0,10499.3,58406
2020-06-03,10649.0,11159.0,10550.05,11043.35,86297
2020-06-04,11043.35,11340.0,10807.05,10957.65,94397
2020-06-05,11100.0,11643.95,10949.8,11487.9,75829
2020-06-08,11601.5,11850.0,11151.7,11353.45,93870
2020-06-09,11353.5,11528.2,11121.2,11189.35,52191
2020-06-10,11180.8,11189.35,10733.45,10806.1,58612
2020-06-11,10810.0,11016.95,10650.0,10783.0,42240
2020-06-12,10200.0,10969.0,10200.0,10913.35,34859
2020-06-15,10880.0,10989.65,10565.25,10649.35,30417
2020-06-16,10800.0,10979.4,10450.0,10566.1,32772
2020-06-17,10550.0,10723.0,10414.7,10572.35,24994
2020-06-18,10500.0,10680.55,10480.0,10607.5,27624
2020-06-19,10680.0,11074.9,10600.0,10949.1,58972
2020-06-22,11079.0,11491.0,11031.0,11338.7,48288
2020-06-23,11384.0,11482.45,11192.05,11336.8,40342
2020-06-24,11398.5,11584.0,11259.1,11401.3,40167
2020-06-25,11339.0,11508.05,11230.0,11447.05,35402
2020-06-26,11488.0,11574.55,11118.0,11213.5,39854
2020-06-29,11196.25,11200.0,10909.05,10954.55,35590
2020-06-30,11021.2,11580.0,10949.95,11418.1,66211
2020-07-01,11425.0,11450.0,11150.0,11289.45,31749
2020-07-02,11340.0,11995.0,11329.8,11914.7,72622
2020-07-03,11901.0,12073.35,11649.0,11777.05,47869
2020-07-06,11849.9,12128.0,11780.0,12037.3,47140
2020-07-07,12173.7,13794.0,12050.0,13481.15,248803
2020-07-08,13490.0,13790.0,12979.3,13528.1,213525
2020-07-09,13600.0,13738.7,13284.3,13411.1,77152
2020-07-10,13397.0,13599.0,13251.65,13332.15,41548
2020-07-13,13498.0,13960.0,13335.0,13858.9,61390
2020-07-14,13715.0,13864.8,13101.0,13246.2,64206
2020-07-15,13398.6,13563.0,12900.0,12995.3,63992
2020-07-16,13170.0,13221.8,12685.05,12811.4,59446
2020-07-17,13001.0,13550.0,13001.0,13187.85,109427
2020-07-20,13450.0,13450.0,13135.0,13256.2,40027
2020-07-21,13320.1,13440.0,13028.25,13162.5,47985
2020-07-22,13300.0,13498.0,13050.0,13264.7,47894
2020-07-23,13290.0,13540.0,13163.0,13331.0,40613
2020-07-24,13328.0,13380.0,13115.0,13199.35,28090
2020-07-27,13249.0,13351.65,12792.3,12910.65,31452
2020-07-28,13039.95,13269.75,13013.5,13203.55,26471
2020-07-29,13177.45,13350.0,13098.35,13173.85,18308
2020-07-30,13199.9,13427.75,12890.0,12983.85,39964
2020-07-31,13076.55,13199.0,12955.3,13078.65,16982
2020-08-03,13078.65,13245.1,12748.85,12794.1,31958
2020-08-04,12945.0,13045.0,12721.0,12767.9,29891
2020-08-05,12867.9,12985.65,12700.75,12852.1,23894
2020-08-06,12969.0,13250.0,12807.2,13065.7,53334
2020-08-07,13050.0,13790.0,13049.95,13657.65,116365
2020-08-10,13655.0,13889.8,13503.5,13592.0,44968
2020-08-11,13719.5,13814.8,13112.0,13262.55,88883
2020-08-12,13250.0,14485.0,12953.25,14327.5,209343
2020-08-13,14300.0,14725.85,14078.35,14397.05,107444
2020-08-14,14399.9,14399.9,13642.7,13705.15,85542
2020-08-17,13800.0,13993.8,13475.0,13895.1,61158
2020-08-18,13961.0,14140.0,13733.8,13814.9,60135
2020-08-19,13948.9,13990.0,13581.0,13615.9,55444
2020-08-20,13590.0,13859.3,13501.0,13758.1,33183
2020-08-21,13849.0,14380.0,13751.55,14196.75,85026
2020-08-24,14299.0,14485.05,14140.75,14197.15,52366
2020-08-25,14299.9,14540.0,14181.05,14254.55,43362
2020-08-26,14325.0,14425.0,14191.05,14295.55,35309
2020-08-27,14430.0,14430.0,14083.75,14145.75,30525
2020-08-28,14200.0,14300.0,13951.0,14007.65,30109
2020-08-31,14140.0,14214.05,12715.05,12814.0,133778
2020-09-01,13100.0,13185.9,12251.0,12392.55,94365
2020-09-02,12400.0,13060.0,12400.0,12953.5,89002
2020-09-03,12997.0,13253.95,12725.0,13064.25,72433
2020-09-04,12764.25,13188.7,12600.0,12856.35,68035
2020-09-07,12970.0,13142.15,12641.1,13065.7,61989
2020-09-08,13060.0,13130.0,12710.0,12774.45,58805
2020-09-09,12774.45,12844.0,12570.05,12778.1,42771
2020-09-10,12829.9,13024.2,12716.0,12951.2,54847
2020-09-11,12916.8,13040.0,12767.0,12872.15,34008
2020-09-14,12970.0,13298.0,12759.85,12853.55,76633
2020-09-15,12898.0,13141.65,12829.85,13081.55,49684
2020-09-16,13040.0,13274.85,12930.55,13137.3,72399
2020-09-17,13080.0,13080.0,12765.2,12963.25,96566
2020-09-18,13050.0,13226.0,12808.75,13070.6,89575
2020-09-21,13080.0,13115.0,12750.0,12925.6,87236
2020-09-22,12840.5,12895.0,12121.25,12395.6,106829
2020-09-23,12450.0,12800.0,12250.1,12749.45,103685
2020-09-24,12511.05,12680.0,12111.15,12390.55,97035
2020-09-25,12580.0,13000.0,12440.0,12930.05,100854
2020-09-28,13099.0,13682.0,12931.35,13490.8,90572
2020-09-29,13515.1,13829.95,13416.05,13645.7,72355
2020-09-30,13645.7,13880.5,13513.5,13730.05,73855
2020-10-01,13760.3,14045.45,13460.8,13551.5,39876
2020-10-05,13660.0,13807.45,13363.05,13400.15,30511
2020-10-06,13537.0,13632.0,13212.75,13291.75,76880
2020-10-07,13345.0,13437.5,13167.05,13222.5,30601
2020-10-08,13311.0,13311.0,12780.0,12841.7,42919
2020-10-09,12920.0,13014.35,12650.45,12737.8,33005
2020-10-12,12738.0,12819.45,12491.05,12529.1,37951
2020-10-13,12576.45,12600.0,12061.75,12159.25,45049
2020-10-14,12159.9,12392.2,12005.55,12075.45,62664
2020-10-15,12125.0,12232.0,11800.0,11856.5,51324
2020-10-16,11955.0,12075.1,11760.05,11959.1,38590
2020-10-19,11999.95,12170.9,11790.0,11903.65,33701
2020-10-20,11903.75,11998.0,11755.0,11895.5,28573
2020-10-21,11955.0,12069.5,11654.4,11748.6,50224
2020-10-22,11792.7,11866.55,11710.25,11811.7,22523
2020-10-23,11900.0,12264.75,11802.0,12212.7,50389
2020-10-26,12244.0,12279.85,11732.55,11841.35,50034
2020-10-27,11869.0,12199.85,11661.55,11942.8,54636
2020-10-28,11875.0,12038.2,11642.8,11806.6,52643
2020-10-29,11715.0,11885.95,11631.0,11776.7,33533
2020-10-30,11790.0,11984.5,11567.5,11610.15,40856
2020-11-02,11680.0,11741.0,11431.0,11569.85,38084
2020-11-03,11682.5,12072.7,11550.0,11820.8,59568
2020-11-04,11870.0,11963.1,11739.75,11802.95,31121
2020-11-05,11852.0,12039.7,11780.0,12003.5,43860
2020-11-06,12098.0,12514.3,11600.0,11862.75,103282
2020-11-09,11938.95,11938.95,11618.45,11699.05,76944
2020-11-10,11810.0,12049.95,11725.0,12000.1,51522
2020-11-11,11899.9,12447.95,11745.45,12238.75,84766
2020-11-12,12240.0,12281.2,11830.0,11895.2,61962
2020-11-13,11975.0,11975.0,11680.0,11738.3,60754
2020-11-14,11870.0,11880.0,11728.7,11849.6,4332
2020-11-17,11968.0,11968.1,11585.05,11621.15,85398
2020-11-18,11666.0,11689.95,11265.05,11501.75,134113
