Date,Open,High,Low,Close,Volume
2020-04-01,14.56,14.65,13.93,14.32,31373590
2020-04-03,13.88,14.08,13.01,13.16,27553925
2020-04-07,13.74,13.88,12.97,13.64,36938435
2020-04-08,13.35,14.8,13.16,13.79,42173335
2020-04-09,13.98,14.85,13.59,14.61,56099175
2020-04-13,14.46,14.51,13.64,13.93,34279490
2020-04-15,14.08,14.65,13.45,13.59,55040455
2020-04-16,13.69,13.79,13.26,13.45,56464965
2020-04-17,14.08,14.32,13.01,13.64,83190580
2020-04-20,13.88,15.09,13.5,14.65,116925220
2020-04-21,14.22,14.22,13.11,13.16,66082320
2020-04-22,13.16,13.21,12.24,12.92,102446100
2020-04-23,13.11,13.45,12.87,13.06,44754850
2020-04-24,12.82,13.26,12.53,12.58,38313130
2020-04-27,12.82,13.01,12.43,12.63,34768795
2020-04-28,12.87,13.5,12.58,13.11,58543460
2020-04-29,13.3,13.93,13.16,13.79,80530970
2020-04-30,13.98,14.51,13.79,13.88,71391015
2020-05-04,13.4,13.4,12.39,12.63,60115295
2020-05-05,12.92,13.01,12.24,12.29,51514750
2020-05-06,12.43,12.68,11.76,12.58,50205615
2020-05-07,12.39,12.87,12.29,12.58,29105130
2020-05-08,12.72,12.92,12.24,12.29,37989145
2020-05-11,12.34,12.53,12.05,12.1,35882275
2020-05-12,12.14,12.43,11.57,12.29,45927470
2020-05-13,12.92,14.32,12.63,14.08,111087235
2020-05-14,13.69,14.27,13.45,13.54,67809370
2020-05-15,13.69,13.79,12.97,13.11,50330305
2020-05-18,13.21,13.26,11.66,11.86,67060550
2020-05-19,12.14,12.24,11.57,11.66,50588640
2020-05-20,11.66,12.0,11.52,11.81,42202100
2020-05-21,11.95,12.48,11.76,11.9,54868960
2020-05-22,11.81,12.34,11.66,11.81,62121840
2020-05-26,12.0,12.19,11.81,12.1,35218675
2020-05-27,12.14,13.16,12.1,13.06,67380380
2020-05-28,13.16,13.4,12.87,12.97,62299320
2020-05-29,12.72,13.16,12.43,13.06,57054645
2020-06-01,13.35,14.75,13.3,14.65,112545450
2020-06-02,14.9,15.19,14.41,14.7,85991370
2020-06-03,14.8,16.44,14.65,15.67,168759885
2020-06-04,15.57,16.34,15.28,15.67,134271175
2020-06-05,15.91,17.41,15.81,17.02,150082580
2020-06-08,17.74,17.74,16.1,16.3,126716755
2020-06-09,16.39,17.26,16.05,16.3,108555200
2020-06-10,16.34,17.31,16.15,17.12,95925390
2020-06-11,17.21,17.99,16.3,16.39,162743150
2020-06-12,15.14,17.07,15.14,16.92,114891450
2020-06-15,16.88,16.97,16.05,16.73,92745945
